time; x; y; z
11588033576960; 6.479764; -7.453642; 5.702096
11588053499904; 7.312466; -8.298309; 7.247860
11588061888512; 5.491528; -10.224531; 8.736196
11588081811456; 10.320244; -14.531611; 9.334401
11588102782976; 15.393028; -19.898712; 11.968899
11588119560192; 15.148960; -17.383856; 12.607782
11588139483136; 18.178274; -20.011175; 11.842079
11588165697536; 22.360928; -18.936798; 8.975478
11588178280448; 24.040689; -14.813965; 5.883951
11588205543424; 21.611975; -13.600804; 4.512864
11588223369216; 20.367706; -16.072590; 4.369294
11588245389312; 15.254245; -13.062419; 2.600998
11588259020800; 9.214760; -11.126625; 0.914058
11588273700864; 6.309873; -13.660625; 0.344566
11588292575232; 5.146962; -13.957335; -1.562513
11588314595328; 3.996014; -12.825529; -3.684947
11588332421120; 5.515456; -13.057633; -5.936593
11588356538368; 7.580462; -14.857036; -8.183454
11588393238528; 3.967300; -11.432906; -6.652047
11588397432832; 3.967300; -11.432906; -6.652047
11588410015744; -0.756132; -5.620740; -7.829316
11588436230144; -0.780060; -12.028720; -8.334201
11588450910208; 1.409373; -7.590034; -12.284752
11588476076032; 3.266203; -3.749553; -10.016356
11588486561792; 4.211368; -6.817152; -8.786445
11588505436160; 6.912865; -5.359923; -7.654640
11588524310528; 7.884351; -6.089734; -7.427321
11588545282048; 9.394221; -8.523234; -7.408179
11588566253568; 9.439685; -9.734002; -7.714460
11588583030784; 6.360123; -10.439885; -5.419743
11588602953728; 3.330809; -8.803194; -3.603591
11588621828096; 1.502693; -7.838887; -2.543571
11588658528256; -0.043071; -5.857630; 0.612563
11588666916864; -0.043071; -5.857630; 0.612563
11588683694080; 3.170490; -6.673583; 1.543371
11588700471296; 3.515056; -7.972885; 2.440679
11588724588544; 3.385844; -7.422536; 5.041677
11588743462912; 7.891529; -5.008178; 7.652247
11588763385856; 10.652846; -3.878766; 7.030113
11588775968768; 12.660424; -2.787638; 7.173682
11588802183168; 15.407385; -4.034299; 9.992428
11588816863232; 15.594026; -3.373880; 7.123433
11588836786176; 12.284752; -2.175076; 3.491128
11588856709120; 14.194224; -2.849852; 2.895315
11588871389184; 17.510675; -4.972285; 1.916651
11588893409280; 18.209381; -8.202596; -0.337388
11588911235072; 20.307886; -10.368100; -2.416751
11588942692352; 22.872992; -14.062618; -3.893122
11588948983808; 24.129223; -16.864614; -3.584448
11588969955328; 24.995426; -15.804593; -2.007578
11588988829696; 25.689344; -13.050455; -0.270389
11589009801216; 23.662622; -11.313266; 1.299303
11589028675584; 23.078773; -12.201003; 0.641276
11589045452800; 22.310678; -16.587046; 2.734996
11589064327168; 21.511477; -16.036697; 1.658226
11589088444416; 17.395821; -10.954342; 5.053641
11589106270208; 17.221144; -12.306287; 1.117448
11589126193152; 15.594026; -11.808579; 0.792024
11589145067520; 14.371293; -11.873186; 1.799403
11589162893312; 11.839686; -10.669596; 0.143569
11589187010560; 9.571291; -8.336594; -4.149155
11589202739200; 6.410372; -7.795816; -5.379066
11589219516416; 3.754339; -6.372087; -2.500500
11589238390784; 2.206182; -4.620541; -1.143769
11589257265152; 1.416551; -2.500500; -1.165305
11589276139520; 1.237089; -3.847659; -4.474578
11589296062464; 1.399801; -2.423929; -2.687140
11589318082560; -0.366102; 1.598405; -2.500500
11589334859776; 1.835295; 10.425529; -3.172883
11589353734144; 4.666004; -0.801596; -2.591427
11589376802816; 3.144169; -6.577869; 0.591027
11589391482880; 2.165504; -0.306281; 0.851845
