time; x; y; z
592240312320; -1.002593; 1.715654; 9.497113
592328982528; -1.150948; 1.725225; 9.561719
592335142912; -1.244268; 1.670190; 9.753145
592342482944; -1.244268; 1.670190; 9.753145
592385343488; -1.148555; 1.718047; 9.693324
592387178496; -1.148555; 1.718047; 9.693324
592395567104; -1.148555; 1.718047; 9.693324
592402644992; -1.148555; 1.718047; 9.693324
592421519360; -1.076770; 1.878366; 9.681360
592437182464; -1.076770; 1.878366; 9.681360
592451534848; -1.076770; 1.878366; 9.681360
592467722240; -1.076770; 1.878366; 9.681360
592477159424; -1.292124; 1.859223; 9.693324
592480632832; -1.292124; 1.859223; 9.693324
592483188736; -1.292124; 1.859223; 9.693324
592503242752; -1.292124; 1.859223; 9.693324
592512483328; -1.292124; 1.859223; 9.693324
592519626752; -1.292124; 1.859223; 9.693324
592521854976; -1.292124; 1.859223; 9.693324
592523558912; -1.292124; 1.859223; 9.693324
592533716992; -1.698904; 1.950150; 9.296116
592558096384; -1.698904; 1.950150; 9.296116
592561700864; -1.698904; 1.950150; 9.296116
592566550528; -1.698904; 1.950150; 9.296116
592571924480; -1.698904; 1.950150; 9.296116
592582934528; -1.698904; 1.950150; 9.296116
592586932224; -1.698904; 1.950150; 9.296116
592615505920; -2.400001; 2.522035; 8.240881
592623697920; -2.400001; 2.522035; 8.240881
592636149760; -3.507878; 3.007778; 6.424729
592640475136; -3.507878; 3.007778; 6.424729
592644014080; -3.507878; 3.007778; 6.424729
592650633216; -3.651447; 3.144169; 6.118447
592689627136; -3.651447; 3.144169; 6.118447
592699719680; -3.651447; 3.144169; 6.118447
592703913984; -4.677969; 3.055634; 5.651847
592720756736; -4.677969; 3.055634; 5.651847
592725803008; -4.677969; 3.055634; 5.651847
592730193920; -4.677969; 3.055634; 5.651847
592764600320; -5.965307; 0.835095; 6.424729
592768335872; -5.965307; 0.835095; 6.424729
592777445376; -5.965307; 0.835095; 6.424729
592788783104; -5.965307; 0.835095; 6.424729
592796581888; -5.965307; 0.835095; 6.424729
592797368320; -5.965307; 0.835095; 6.424729
592798285824; -5.965307; 0.835095; 6.424729
592809492480; -5.965307; 0.835095; 6.424729
592811917312; -5.965307; 0.835095; 6.424729
592817618944; -5.965307; 0.835095; 6.424729
592828235776; -6.943971; -0.315853; 5.072784
592850714624; -6.943971; -0.315853; 5.072784
592874569728; -6.943971; -0.315853; 5.072784
592884203520; -8.767303; -4.991428; 3.182454
592895279104; -8.767303; -4.991428; 3.182454
592907010048; -8.767303; -4.991428; 3.182454
592915333120; -8.767303; -4.991428; 3.182454
592945872896; -9.882358; -8.843872; 1.859223
592961732608; -9.882358; -8.843872; 1.859223
592976478208; -9.882358; -8.843872; 1.859223
592979755008; -9.882358; -8.843872; 1.859223
592989716480; -9.882358; -8.843872; 1.859223
592993452032; -9.315259; -9.073584; -1.607977
593006624768; -9.315259; -9.073584; -1.607977
593077075968; -9.812965; -9.513863; -5.180461
593090707456; -11.320444; -8.374879; -4.852644
593110695936; -10.734202; -11.296515; -4.065406
593117642752; -10.734202; -11.296515; -4.065406
593147985920; -8.968299; -7.913064; -4.625326
593161158656; -8.968299; -7.913064; -4.625326
593210638336; -5.412565; -8.963513; -2.933601
593222434816; -5.797809; -7.877172; -3.043670
593343021056; -5.828916; -12.457035; -4.718646
593344856064; -5.828916; -12.457035; -4.718646
593346428928; -5.828916; -12.457035; -4.718646
593361436672; -5.106284; -13.529019; -7.625926
593392304128; -4.900501; -16.493727; -12.775280
593404887040; -4.900501; -16.493727; -12.775280
593411375104; -2.368894; -15.165709; -17.113468
593429725184; -1.639084; -14.935999; -19.436899
593436540928; -1.639084; -14.935999; -19.436899
593440473088; -1.639084; -14.935999; -19.436899
593476059136; -1.000200; -14.617754; -19.324436
593495064576; -1.954936; -12.268002; -18.403198
593501356032; -1.954936; -12.268002; -18.403198
593512235008; -2.895315; -9.824930; -16.835899
593523179520; -2.895315; -9.824930; -16.835899
593531174912; -4.022335; -6.553941; -14.854643
593533992960; -4.022335; -6.553941; -14.854643
593546510336; -4.859823; -3.153740; -12.229716
593555488768; -4.859823; -3.153740; -12.229716
593563156480; -4.859823; -3.153740; -12.229716
593578950656; -5.391029; -0.114855; -10.025927
593583276032; -5.491528; 2.734996; -8.420342
593585635328; -5.491528; 2.734996; -8.420342
593594286080; -5.491528; 2.734996; -8.420342
593599070208; -5.491528; 2.734996; -8.420342
593610539008; -5.946164; 3.747160; -7.891529
593613291520; -5.946164; 3.747160; -7.891529
593634590720; -7.125826; 4.304688; -5.927022
593639899136; -7.125826; 4.304688; -5.927022
593642848256; -7.858029; 4.197011; -3.658626
593658707968; -7.858029; 4.197011; -3.658626
593659559936; -7.858029; 4.197011; -3.658626
593664016384; -7.585248; 3.818945; -2.888137
593667948544; -7.585248; 3.818945; -2.888137
593672929280; -7.585248; 3.818945; -2.888137
593675943936; -7.585248; 3.818945; -2.888137
593685446656; -7.369894; 2.866601; -3.084348
593687216128; -7.369894; 2.866601; -3.084348
593695211520; -7.369894; 2.866601; -3.084348
593697964032; -7.369894; 2.866601; -3.084348
593702289408; -7.970492; 1.828117; -3.503092
593711792128; -7.970492; 1.828117; -3.503092
593712644096; -7.970492; 1.828117; -3.503092
593715789824; -7.970492; 1.828117; -3.503092
593718673408; -9.827323; 0.105284; -2.048256
593725882368; -9.827323; 0.105284; -2.048256
593759371264; -10.169497; -2.055435; 0.854238
593761730560; -10.169497; -2.055435; 0.854238
593770184704; -10.169497; -2.055435; 0.854238
593777262592; -7.496713; -2.407180; 1.619941
593810620416; -4.862216; -7.563713; 2.950350
593819205632; -3.029314; -10.552348; 4.756931
593828708352; -3.029314; -10.552348; 4.756931
593849614336; -2.801995; -12.361321; 7.125826
593864294400; -2.455036; -14.835501; 8.427522
593886904320; -2.483750; -19.025333; 11.301301
593903616000; -2.038685; -20.580667; 9.750752
593922228224; -4.386044; -17.891134; 6.766902
593960370176; -15.696917; -16.965113; 9.382257
593981669376; -14.737394; -8.568698; -0.040678
593994842112; -11.298908; -6.106483; -5.735596
594025775104; -8.985049; -8.059027; -3.481557
594039144448; -7.836494; -9.420543; 2.459822
594056183808; -7.580462; -5.613562; 9.178867
594067128320; -5.166104; -5.386244; 7.542177
594084560896; -5.166104; -5.386244; 7.542177
594099240960; -2.598605; -6.747760; 2.000400
594105008128; -5.213961; -0.988236; 1.921437
594111234048; -5.213961; -0.988236; 1.921437
594140266496; -11.830115; 10.683953; -0.081356
594152456192; -18.364914; 2.225325; -1.265803
594167398400; -22.722244; -4.197011; 0.325424
594180308992; -22.722244; -4.197011; 0.325424
594189877248; -22.198215; -5.388637; -1.069592
594207768576; -16.795221; -8.484949; -1.289731
594211897344; -16.795221; -8.484949; -1.289731
594223562752; -8.204988; -13.636696; -3.211168
594232082432; -8.204988; -13.636696; -3.211168
594267013120; 1.990828; -20.903698; -8.298309
594276319232; 1.990828; -20.903698; -8.298309
594291064832; 9.327223; -23.741587; -7.250253
594298863616; 15.108282; -22.542782; -5.929415
594315968512; 15.108282; -22.542782; -5.929415
594325536768; 9.997213; -20.829521; -6.486942
594339430400; -1.756332; -18.417557; -5.737988
594349260800; -1.756332; -18.417557; -5.737988
594361253888; -10.655239; -21.162123; -9.525827
594375999488; -17.218752; -20.779272; -9.528220
594391138304; -17.218752; -20.779272; -9.528220
594412371968; -14.163117; -24.835106; -10.392029
594464538624; -4.122833; -22.588245; -1.359123
594484658176; -2.416751; -27.271000; -0.736989
594491146240; -1.586441; -22.203001; 0.193819
594518212608; 0.875773; -16.048662; 0.117248
594525093888; 0.875773; -16.048662; 0.117248
594549473280; 2.517249; -10.734202; -2.684747
594568478720; 1.502693; -6.149554; -3.113062
594582896640; 1.502693; -6.149554; -3.113062
594592399360; 0.100499; -2.806781; -3.342773
594614943744; -2.179862; -0.937986; -4.120440
594617434112; -2.179862; -0.937986; -4.120440
594631000064; -3.711268; 0.277567; -5.529813
594631917568; -3.711268; 0.277567; -5.529813
594641092608; -3.711268; 0.277567; -5.529813
594658263040; -4.134798; 1.512264; -5.994021
594667438080; -3.790231; 0.959522; -5.764310
594689458176; -2.842673; 0.074178; -4.115655
594692079616; -2.842673; 0.074178; -4.115655
594700664832; -2.842673; 0.074178; -4.115655
594710560768; -4.716253; -0.942772; -2.761317
594746933248; -1.708475; -3.538985; -2.256432
594756108288; -1.708475; -3.538985; -2.256432
594774720512; -3.806981; -2.622534; -1.703690
594782519296; -3.634698; -2.502892; -0.526421
594797330432; -3.634698; -2.502892; -0.526421
594819416064; -4.819145; -4.292724; 2.237289
594833768448; -4.819145; -4.292724; 2.237289
594834620416; -4.819145; -4.292724; 2.237289
594849759232; -6.503692; -8.396415; 4.113262
594866339840; -5.326423; -9.092726; 4.522435
594885345280; -5.036891; -6.331409; 4.321438
594891177984; -5.036891; -6.331409; 4.321438
594915098624; -6.692725; -4.991428; 3.902694
594937315328; -7.652247; -8.575876; 5.228317
594955862016; -9.181260; -10.482956; 6.884151
594966806528; -9.181260; -10.482956; 6.884151
594973818880; -10.112068; -9.035298; 8.642876
594984828928; -10.112068; -9.035298; 8.642876
594986926080; -10.112068; -9.035298; 8.642876
595005472768; -10.621739; -7.197610; 9.241081
595020349440; -10.662417; -8.085348; 8.255239
595030769664; -10.951949; -11.121840; 5.764310
595040796672; -10.951949; -11.121840; 5.764310
595053248512; -11.545369; -12.296716; 2.885744
595075661824; -13.811373; -14.983855; 6.123233
595092242432; -16.601404; -16.788044; 8.585447
595113082880; -17.123039; -14.986248; 6.848258
595144081408; -18.049061; -14.854643; 5.414958
595149848576; -19.341185; -12.921243; 6.128019
595173113856; -18.113667; -14.988641; 7.312466
595187793920; -16.625332; -13.060026; 7.807780
595209551872; -16.180267; -13.225131; 7.714460
595226853376; -14.612967; -13.933406; 7.611569
