time; x; y; z
3250420449280; 1.765903; 3.649055; 8.281559
3250420973568; 1.765903; 3.649055; 8.281559
3250421497856; 1.765903; 3.649055; 8.281559
3250421760000; 1.765903; 3.649055; 8.281559
3250422022144; 1.765903; 3.649055; 8.281559
3250435391488; 1.765903; 3.649055; 8.281559
3250473140224; 1.868794; 3.445665; 8.791230
3250484674560; 1.868794; 3.445665; 8.791230
3250495160320; 1.868794; 3.445665; 8.791230
3250499092480; 1.868794; 3.445665; 8.791230
3250507218944; 1.868794; 3.445665; 8.791230
3250511937536; 1.871187; 3.735196; 9.090333
3250522947584; 1.871187; 3.735196; 9.090333
3250529501184; 1.871187; 3.735196; 9.090333
3250541821952; 1.871187; 3.735196; 9.090333
3250546278400; 1.871187; 3.735196; 9.090333
3250550210560; 1.871187; 3.735196; 9.090333
3250551259136; 1.871187; 3.735196; 9.090333
3250577735680; 2.337788; 3.902694; 9.657433
3250584813568; 2.337788; 3.902694; 9.657433
3250593464320; 2.337788; 3.902694; 9.657433
3250605785088; 2.337788; 3.902694; 9.657433
3250608144384; 2.337788; 3.902694; 9.657433
3250611290112; 2.337788; 3.902694; 9.657433
3250635407360; 2.258825; 3.917051; 9.389436
3250651660288; 2.258825; 3.917051; 9.389436
3250655330304; 2.258825; 3.917051; 9.389436
3250660048896; 2.258825; 3.917051; 9.389436
3250665291776; 2.258825; 3.917051; 9.389436
3250673418240; 2.258825; 3.917051; 9.389436
3250694127616; 2.361716; 3.804588; 9.092726
3250722177024; 2.361716; 3.804588; 9.092726
3250722963456; 2.361716; 3.804588; 9.092726
3250724536320; 2.361716; 3.804588; 9.092726
3250725584896; 2.361716; 3.804588; 9.092726
3250726633472; 2.361716; 3.804588; 9.092726
3250758877184; 2.407180; 3.579663; 9.099904
3250769100800; 2.407180; 3.579663; 9.099904
3250780372992; 2.407180; 3.579663; 9.099904
3250787975168; 2.407180; 3.579663; 9.099904
3250798460928; 2.407180; 3.579663; 9.099904
3250809470976; 2.285146; 3.572484; 9.030513
3250825461760; 2.285146; 3.572484; 9.030513
3250833063936; 2.285146; 3.572484; 9.030513
3250836209664; 2.285146; 3.572484; 9.030513
3250848268288; 2.285146; 3.572484; 9.030513
3250855870464; 2.285146; 3.572484; 9.030513
3250862161920; 2.400001; 3.385844; 8.946764
3250904891392; 2.400001; 3.385844; 8.946764
3250906988544; 2.400001; 3.385844; 8.946764
