time; x; y; z
160844058984448; 1.244268; 1.641476; 9.544970
160844075761664; 1.244268; 1.641476; 9.544970
160844109316096; 1.215554; 1.895115; 9.394221
160844126093312; 1.261018; 1.986043; 9.360723
160844126093312; 1.261018; 1.986043; 9.360723
160844142870528; 1.261018; 1.986043; 9.360723
160844193202176; 1.371087; 2.093720; 9.492328
160844226756608; 1.454836; 1.830509; 9.662218
160844226756608; 1.454836; 1.830509; 9.662218
160844243533824; 1.454836; 1.830509; 9.662218
160844277088256; 1.282553; 2.031507; 9.482756
160844277088256; 1.330409; 2.067399; 9.497113
160844310642688; 1.339981; 2.014757; 9.394221
160844310642688; 1.339981; 2.014757; 9.394221
160844327419904; 1.433301; 1.978864; 9.370294
160844360974336; 1.663012; 2.294717; 9.090333
160844360974336; 1.663012; 2.294717; 9.090333
160844360974336; 1.380659; 2.603391; 8.977871
160844360974336; 1.380659; 2.603391; 8.977871
160844394528768; 2.371287; 3.055634; 7.726424
160844394528768; 2.371287; 3.055634; 7.726424
160844411305984; 2.371287; 3.055634; 7.726424
160844428083200; 2.402394; 3.285346; 7.544570
160844428083200; 2.402394; 3.285346; 7.544570
160844444860416; 3.062813; 3.981657; 7.168897
160844461637632; 3.842873; 3.208775; 6.924829
160844461637632; 3.842873; 3.208775; 6.924829
160844478414848; 3.842873; 3.208775; 6.924829
160844478414848; 4.012764; 3.146562; 6.886544
160844478414848; 4.012764; 3.146562; 6.886544
160844495192064; 4.173083; 2.883351; 6.850651
160844495192064; 4.302295; 2.589034; 6.759724
160844511969280; 4.347759; 2.380858; 6.759724
160844528746496; 4.457829; 1.261018; 7.130611
160844545523712; 4.551149; 0.911665; 7.278966
160844562300928; 4.340580; -0.813560; 7.226325
160844562300928; 4.340580; -0.813560; 7.226325
160844579078144; 4.302295; -1.390230; 7.568498
160844612632576; 4.354937; -2.790031; 8.037491
160844629409792; 4.393222; -3.488735; 7.566105
160844696518656; 5.271388; -6.367301; 7.513463
160844730073088; 5.383851; -7.714460; 6.685546
160844746850304; 5.257031; -7.479964; 6.362515
160844780404736; 6.104091; -8.453842; 6.774081
160844797181952; 5.998806; -9.255438; 6.118447
160844813959168; 5.974878; -9.750752; 5.690132
160844830736384; 6.008378; -10.356136; 4.168297
160844847513600; 5.472385; -10.578669; 3.428915
160844881068032; 5.123033; -10.686346; 3.215954
160844881068032; 5.000999; -10.971092; 3.022135
160844914622464; 4.773681; -10.937593; 2.103291
160844964954112; 4.247260; -10.815558; 0.720240
160845032062976; 3.756732; -9.166903; -1.584049
160845065617408; 3.416951; -8.389236; -1.859223
160845132726272; 1.557728; -6.867401; -1.995614
160845149503488; 0.827917; -6.367301; -1.830509
160845149503488; 0.827917; -6.367301; -1.830509
160845149503488; 0.827917; -6.367301; -1.830509
160845166280704; 0.078963; -6.192625; -1.521835
160845183057920; -0.126820; -6.257231; -1.361516
160845199835136; -0.126820; -6.257231; -1.361516
160845199835136; -0.110070; -6.934400; -1.385444
160845233389568; -0.155533; -7.453642; -0.736989
