time; x; y; z
160751297757184; -0.023928; 5.103891; 8.238488
160751314534400; -0.023928; 5.103891; 8.238488
160751331311616; -0.023928; 5.103891; 8.238488
160751348088832; 0.071785; 5.168497; 8.372486
160751431974912; 0.208176; 5.314459; 8.456235
160751448752128; 0.244068; 5.223532; 8.437093
160751482306560; 0.215354; 4.950750; 8.415557
160751499083776; 0.133998; 5.108676; 8.398808
160751515860992; 0.110070; 5.218746; 8.384451
160751532638208; 0.179462; 5.221139; 8.353344
160751549415424; 0.119641; 5.060820; 8.274381
160751616524288; 0.098106; 5.077569; 7.712068
160751650078720; 0.547956; 5.091927; 6.862615
160751666855936; 0.634098; 5.429315; 5.953343
160751700410368; 1.261018; 5.714060; 4.017549
160751717187584; 1.887937; 4.838287; 2.689533
160751750742016; 3.378666; 3.670590; 1.182054
160751767519232; 5.393422; 4.331009; 1.533799
160751801073664; 6.417551; 5.194818; 1.651048
160751834628096; 8.429914; 4.273581; 0.105284
160751851405312; 9.245867; 3.931408; -0.234497
160751851405312; 10.265209; 3.357130; -0.366102
160751868182528; 12.031113; 1.756332; -1.406980
160751884959744; 13.093526; 0.447458; -1.562513
160751884959744; 13.093526; 0.447458; -1.562513
160751901736960; 13.093526; 0.447458; -1.562513
160751901736960; 13.093526; 0.447458; -1.562513
160751918514176; 13.093526; 0.447458; -1.562513
160751935291392; 15.574883; -2.950350; -2.428715
160751952068608; 15.574883; -2.950350; -2.428715
160751968845824; 17.472391; -6.190232; -3.302095
160751968845824; 17.472391; -6.190232; -3.302095
160751985623040; 18.802801; -9.346365; -4.902894
160751985623040; 18.802801; -9.346365; -4.902894
160751985623040; 18.802801; -9.346365; -4.902894
160752002400256; 18.802801; -9.346365; -4.902894
160752002400256; 17.178074; -7.092326; -4.326223
160752019177472; 17.178074; -7.092326; -4.326223
160752019177472; 17.178074; -7.092326; -4.326223
160752035954688; 17.178074; -7.092326; -4.326223
160752052731904; 17.816957; -10.887343; -7.345965
160752069509120; 17.816957; -10.887343; -7.345965
160752119840768; 13.892728; -15.778273; -11.334801
160752136617984; 12.167503; -18.675982; -12.662817
160752153395200; 11.392229; -20.255243; -14.816358
160752170172416; 11.392229; -20.255243; -14.816358
160752203726848; 9.564112; -21.638294; -19.233509
160752203726848; 9.564112; -21.638294; -19.233509
160752237281280; 9.288938; -18.226130; -19.685751
160752254058496; 9.824930; -16.005590; -20.870199
160752270835712; 10.853844; -14.366508; -21.956541
160752287612928; 10.956735; -11.315659; -20.226530
160752287612928; 10.025927; -7.788638; -17.733208
160752304390144; 10.025927; -7.788638; -17.733208
160752321167360; 9.884750; -6.104091; -15.627524
160752321167360; 9.884750; -6.104091; -15.627524
160752321167360; 9.884750; -6.104091; -15.627524
160752337944576; 9.939785; -3.653840; -13.079168
160752354721792; 9.801002; -2.325824; -9.789038
160752354721792; 9.801002; -2.325824; -9.789038
160752388276224; 11.157732; -0.471386; -8.604590
160752388276224; 11.157732; -0.471386; -8.604590
160752388276224; 11.157732; -0.471386; -8.604590
160752405053440; 13.272987; 7.027720; -8.200203
160752405053440; 15.814165; 7.149754; -5.501099
160752421830656; 15.814165; 7.149754; -5.501099
160752438607872; 18.446270; 10.707881; -5.603991
160752472162304; 18.774086; 10.253245; 4.453043
160752488939520; 18.774086; 10.253245; 4.453043
160752522493952; 13.658232; 6.082555; 5.637490
160752522493952; 13.658232; 6.082555; 5.637490
160752572825600; 14.859428; -6.333802; 4.630112
160752572825600; 14.859428; -6.333802; 4.630112
160752572825600; 14.859428; -6.333802; 4.630112
160752606380032; 14.194224; -17.312073; 20.688345
160752606380032; 14.194224; -17.312073; 20.688345
160752606380032; 14.194224; -17.312073; 20.688345
160752673488896; 21.556940; -12.973885; 9.068798
160752673488896; 28.235308; -12.600604; 8.039884
160752690266112; 28.235308; -12.600604; 8.039884
160752723820544; 13.706088; -12.145967; 7.511070
160752723820544; 13.706088; -12.145967; 7.511070
160752723820544; 13.706088; -12.145967; 7.511070
160752723820544; 13.706088; -12.145967; 7.511070
160752740597760; 13.706088; -12.145967; 7.511070
