time; x; y; z
160751431974912; -0.005986; 0.000672; 0.030849
160751532638208; 0.018448; -0.011545; -0.027183
160751582969856; -0.038973; -0.012767; 0.001527
160751633301504; -0.117164; -0.095845; -0.007636
160751650078720; -0.273545; -0.185031; -0.045509
160751666855936; -0.429316; -0.236344; -0.047953
160751700410368; -1.341338; -0.503903; -0.074220
160751733964800; -2.606440; -1.291308; -0.745561
160751750742016; -2.931420; -1.872241; -1.080315
160751784296448; -3.877650; -2.424463; -1.411404
160751817850880; -5.826311; -2.797702; -1.908038
160751834628096; -7.666847; -3.120850; -2.820670
160751851405312; -8.187916; -3.012726; -3.105944
160751868182528; -8.776179; -2.778765; -3.407712
160751868182528; -9.334510; -2.541749; -3.646560
160751884959744; -9.775555; -2.334666; -3.817602
160751884959744; -9.775555; -2.334666; -3.817602
160751901736960; -9.775555; -2.334666; -3.817602
160751901736960; -9.775555; -2.334666; -3.817602
160751918514176; -10.472552; -1.760453; -4.163352
160751935291392; -10.472552; -1.760453; -4.163352
160751952068608; -10.729726; -0.763520; -4.493219
160751968845824; -10.729726; -0.763520; -4.493219
160751968845824; -10.729726; -0.763520; -4.493219
160751985623040; -9.939266; 1.059912; -4.873178
160751985623040; -9.939266; 1.059912; -4.873178
160751985623040; -9.939266; 1.059912; -4.873178
160752002400256; -9.939266; 1.059912; -4.873178
160752019177472; -9.669875; 2.408092; -4.729013
160752019177472; -9.669875; 2.408092; -4.729013
160752035954688; -9.669875; 2.408092; -4.729013
160752052731904; -10.436511; 4.633474; -3.111442
160752069509120; -10.480494; 5.151488; -2.344195
160752086286336; -10.404746; 5.462418; -1.907427
160752119840768; -8.712649; 6.507608; 1.030224
160752153395200; -8.011376; 6.057401; 2.946508
160752170172416; -8.011376; 6.057401; 2.946508
160752186949632; -7.545285; 5.019541; 4.286136
160752203726848; -5.784771; 3.589505; 5.140125
160752220504064; -4.029756; 1.960939; 5.501758
160752237281280; -3.070086; 0.102686; 5.464495
160752270835712; -2.311392; -1.569862; 5.193271
160752270835712; -1.673038; -2.985237; 4.862792
160752287612928; -1.673038; -2.985237; 4.862792
160752304390144; -1.333397; -4.192307; 4.547586
160752304390144; -1.333397; -4.192307; 4.547586
160752321167360; -0.629069; -4.946726; 4.197560
160752321167360; -0.629069; -4.946726; 4.197560
160752337944576; 0.299446; -5.086614; 3.969708
160752337944576; 0.299446; -5.086614; 3.969708
160752354721792; 1.274998; -5.029803; 3.909843
160752354721792; 1.274998; -5.029803; 3.909843
160752388276224; 2.315912; -5.632728; 3.889684
160752388276224; 2.315912; -5.632728; 3.889684
160752388276224; 2.177857; -6.522147; 3.488957
160752405053440; 2.177857; -6.522147; 3.488957
160752421830656; 1.602422; -7.507473; 2.474310
160752421830656; 1.574933; -8.305874; 1.375363
160752455385088; 0.591440; -7.661411; 0.562301
160752472162304; -0.279043; -6.309566; -0.126755
