time; hr
160843975098368; 131.000000
160844444860416; 129.000000
160844461637632; 129.000000
160846693007360; 131.000000
160846709784576; 131.000000
160848387506176; 132.000000
160850216222720; 133.000000
160852229488640; 134.000000
160852229488640; 134.000000
160856239243264; 135.000000
160858235731968; 130.000000
160858252509184; 130.000000
160860316106752; 127.000000
160860316106752; 127.000000
160862245486592; 124.000000
160862245486592; 124.000000
160864258752512; 121.000000
160864275529728; 121.000000
160866238464000; 119.000000
160866238464000; 119.000000
160868268507136; 117.000000
160868268507136; 117.000000
160870264995840; 114.000000
160870281773056; 114.000000
160872244707328; 116.000000
160872244707328; 116.000000
160876254461952; 114.000000
160876254461952; 114.000000
160878301282304; 112.000000
160878301282304; 112.000000
