time; hr
160751230648320; 99.000000
160760122572800; 100.000000
160764149104640; 105.000000
160764149104640; 105.000000
160766028152832; 108.000000
160766028152832; 108.000000
160768041418752; 111.000000
160768041418752; 111.000000
160770138570752; 117.000000
160770138570752; 117.000000
160778057416704; 115.000000
160778074193920; 115.000000
160780087459840; 114.000000
160782050394112; 113.000000
160784080437248; 112.000000
160788056637440; 115.000000
160788056637440; 115.000000
160790137012224; 114.000000
160792083169280; 116.000000
160792099946496; 116.000000
160794079657984; 119.000000
160794079657984; 119.000000
