time; x; y; z
157760842891264; 0.088534; 7.288538; 7.058827
157760859668480; 0.172283; 7.097112; 7.018149
157760893222912; 0.256032; 6.654440; 6.967899
157760910000128; 0.198604; 6.805188; 6.927222
157760910000128; 0.198604; 6.805188; 6.927222
157760926777344; 0.177069; 7.020542; 6.881758
157760943554560; 0.177069; 7.020542; 6.881758
157760960331776; 0.040678; 6.893722; 6.917650
157760977108992; 0.122034; 6.757331; 6.848258
157760993886208; 0.047856; 6.860222; 6.915257
157761010663424; 0.066999; 6.876972; 6.850651
157761027440640; 0.040678; 6.984649; 6.786045
157761060995072; 0.162712; 6.946364; 6.731010
157761111326720; 0.222533; 6.920043; 6.120841
157761144881152; 0.952343; 7.834101; 5.903093
157761161658368; 2.184647; 7.685746; 5.623133
157761161658368; 1.586441; 7.800602; 5.450850
157761178435584; 1.627119; 7.838887; 5.216353
157761195212800; 2.344966; 7.027720; 4.608576
157761195212800; 2.344966; 7.027720; 4.608576
157761211990016; 1.921437; 6.568298; 4.567898
157761211990016; 1.921437; 6.568298; 4.567898
157761228767232; 1.837688; 6.867401; 4.859823
157761245544448; 1.837688; 6.867401; 4.859823
157761262321664; 2.467000; 7.130611; 4.907679
157761262321664; 2.557927; 6.336195; 5.005785
157761279098880; 1.990828; 3.806981; 5.379066
157761295876096; 1.593620; 3.103491; 5.434100
157761295876096; 1.316052; 2.895315; 5.295317
157761329430528; 1.663012; 2.249253; 5.146962
157761329430528; 2.251646; 1.136591; 5.278567
157761346207744; 1.878366; -2.050649; 4.685147
157761362984960; 1.222732; -5.570491; 4.060620
157761379762176; 1.112663; -6.671189; 4.027121
157761396539392; 1.440479; -7.678568; 3.862016
157761396539392; 1.878366; -8.236095; 3.840480
157761413316608; 1.801795; -8.944371; 3.474379
157761430093824; 1.440479; -10.559526; 3.034099
157761430093824; 1.440479; -10.559526; 3.034099
157761430093824; 0.971486; -12.000006; 2.627319
157761446871040; 0.473779; -13.002598; 2.440679
157761463648256; 0.401994; -13.533805; 2.105684
157761463648256; 0.646062; -13.624732; 1.962115
157761480425472; 0.959522; -13.347165; 1.983650
157761497202688; 0.875773; -13.031312; 1.966900
157761513979904; 0.066999; -12.457035; 1.653440
157761530757120; -0.138784; -11.940185; 1.505085
157761547534336; 0.512064; -10.846665; 1.234697
157761648197632; 1.385444; -11.887543; -0.660419
157761664974848; 1.385444; -11.887543; -0.660419
157761698529280; 1.562513; -12.148360; -0.514457
157761715306496; 1.832902; -12.057433; 0.050249
157761748860928; 2.120041; -11.755938; -0.227318
157761782415360; 1.844866; -12.942778; 0.468993
157761782415360; 2.024328; -12.655639; 0.387637
157761832747008; 2.289931; -12.648460; 0.083749
157761849524224; 2.289931; -12.648460; 0.083749
157761866301440; 2.081756; -12.811172; -0.780060
157761883078656; 2.081756; -12.811172; -0.780060
157761899855872; 1.636691; -12.873385; -1.129412
157761916633088; 1.584049; -12.244074; -1.607977
157761933410304; 1.591227; -12.067004; -1.634298
157761966964736; 1.356730; -11.583654; -1.660619
157761966964736; 0.765703; -10.794023; -1.658226
157762000519168; -0.220140; -9.533006; -1.619941
157762017296384; -0.543171; -8.382058; -0.959522
157762034073600; -0.543171; -8.382058; -0.959522
157762034073600; -0.839881; -7.508677; -0.892523
157762050850816; -0.839881; -7.508677; -0.892523
157762067628032; -1.385444; -7.606783; -1.325624
157762067628032; -1.806581; -7.831708; -1.634298
157762084405248; -1.806581; -7.831708; -1.634298
157762101182464; -1.524228; -8.154739; -0.787239
157762117959680; -0.825524; -8.451449; -0.239282
157762134736896; -0.600598; -7.697711; -0.832702
157762151514112; -0.600598; -7.697711; -0.832702
157762168291328; -1.332802; -6.558727; -1.462015
157762168291328; -2.450250; -6.477371; -2.009971
157762185068544; -2.450250; -6.477371; -2.009971
157762185068544; -2.450250; -6.477371; -2.009971
157762201845760; -1.799403; -6.996614; -1.763510
157762201845760; -1.799403; -6.996614; -1.763510
157762218622976; -0.526421; -7.405786; -1.493121
157762218622976; -0.526421; -7.405786; -1.493121
157762235400192; 0.279960; -8.202596; -1.222732
157762235400192; 0.279960; -8.202596; -1.222732
157762252177408; 0.844666; -8.573483; -1.261018
157762252177408; 0.844666; -8.573483; -1.261018
157762252177408; 0.844666; -8.573483; -1.261018
157762268954624; 0.844666; -8.573483; -1.261018
