time; x; y; z
157820267790336; 0.756132; 6.888937; 6.692725
157820284567552; 0.756132; 6.888937; 6.692725
157820301344768; 0.756132; 6.888937; 6.692725
157820334899200; 0.567099; 7.436893; 6.833901
157820351676416; 0.672383; 7.245467; 7.049255
157820351676416; 0.672383; 7.245467; 7.049255
157820351676416; 0.681954; 7.168897; 7.087541
157820351676416; 0.681954; 7.168897; 7.087541
157820368453632; 0.701097; 7.099505; 7.097112
157820385230848; 0.715454; 7.068398; 7.077970
157820385230848; 0.715454; 7.068398; 7.077970
157820402008064; 0.751346; 6.963114; 7.070791
157820418785280; 0.729811; 6.881758; 6.932007
157820452339712; 0.533599; 6.953543; 6.781260
157820469116928; 0.547956; 6.896115; 6.702296
157820485894144; 0.473779; 6.800402; 6.503692
157820519448576; 0.399601; 7.034899; 6.484550
157820553003008; 0.531207; 7.061220; 6.010770
157820569780224; 0.875773; 7.554141; 5.481956
157820603334656; 2.833102; 7.616354; 4.855037
157820603334656; 2.833102; 7.616354; 4.855037
157820603334656; 2.029114; 7.640283; 4.689932
157820620111872; 2.711068; 7.405786; 4.177868
157820653666304; 3.026921; 7.350751; 3.876373
157820653666304; 3.026921; 7.350751; 3.876373
157820670443520; 2.940779; 6.848258; 3.876373
157820687220736; 3.081956; 6.130412; 3.890730
157820703997952; 2.857030; 5.599205; 4.333402
157820720775168; 2.646462; 5.458028; 4.752146
157820720775168; 2.634498; 5.087141; 5.398208
157820737552384; 3.014956; 2.600998; 5.809773
157820754329600; 2.667997; 0.780060; 5.429315
157820787884032; 1.220340; -1.931008; 5.886343
157820854992896; 1.485943; -10.363315; 2.309074
157820854992896; 1.485943; -10.363315; 2.309074
157820871770112; 0.011964; -11.751152; 1.548156
157820888547328; 0.011964; -11.751152; 1.548156
157820888547328; 0.000000; -12.196217; 1.450050
157820905324544; 0.559920; -13.552947; 1.170090
157820922101760; 0.624527; -13.603197; 0.847059
157820955656192; -0.894916; -13.576876; 0.373280
157820955656192; -1.081556; -13.610375; 0.184247
157820972433408; -0.602991; -13.272987; 0.483350
157820989210624; -0.356531; -13.186846; 0.521635
157821022765056; -0.385244; -12.928421; -0.021535
157821073096704; 0.775275; -14.249259; 0.813560
157821089873920; 0.519243; -14.601004; 0.478565
157821089873920; 0.095713; -14.775680; 0.071785
157821106651136; -0.200997; -15.266209; 0.141177
157821140205568; -0.339781; -15.017355; 1.179662
157821190537216; -0.806381; -12.969099; 0.679562
157821207314432; -1.342373; -12.674782; 1.021735
157821257646080; -1.462015; -12.004791; 0.466600
157821274423296; -1.335195; -11.487942; -0.040678
157821274423296; -1.124627; -11.109876; -0.559920
157821291200512; -1.124627; -11.109876; -0.559920
157821291200512; -1.045663; -10.657632; -0.524028
157821307977728; -1.045663; -10.657632; -0.524028
157821324754944; -1.471586; -9.712467; -0.378066
157821324754944; -1.471586; -9.712467; -0.378066
157821324754944; -1.471586; -9.712467; -0.378066
157821341532160; -1.844866; -8.743374; -0.760918
157821358309376; -2.723032; -7.743174; -0.492921
157821358309376; -2.723032; -7.743174; -0.492921
157821375086592; -2.723032; -7.743174; -0.492921
157821391863808; -4.275974; -5.757131; -0.397209
157821408641024; -4.275974; -5.757131; -0.397209
157821425418240; -5.000999; -5.637490; -0.344566
157821458972672; -5.166104; -4.984250; -1.761117
157821458972672; -5.166104; -4.984250; -1.761117
157821492527104; -3.273381; -7.336394; -1.682154
157821492527104; -3.273381; -7.336394; -1.682154
157821509304320; -2.364109; -7.654640; -1.497907
157821509304320; -2.364109; -7.654640; -1.497907
157821526081536; -2.364109; -7.654640; -1.497907
157821526081536; -1.933401; -8.236095; -1.607977
157821542858752; -1.933401; -8.236095; -1.607977
157821542858752; -0.239282; -10.009177; -1.871187
157821559635968; -0.239282; -10.009177; -1.871187
157821559635968; 2.514857; -11.088340; -2.031507
157821576413184; 2.514857; -11.088340; -2.031507
157821576413184; 2.514857; -11.088340; -2.031507
157821593190400; 4.819145; -12.591033; -2.292324
157821593190400; 4.819145; -12.591033; -2.292324
157821609967616; 6.539584; -14.019547; -1.138984
157821609967616; 6.539584; -14.019547; -1.138984
157821626744832; 7.879565; -17.860027; 0.622134
157821643522048; 10.791630; -20.456242; 1.787439
157821660299264; 10.791630; -20.456242; 1.787439
157821660299264; 12.971492; -18.683159; 5.127819
157821660299264; 12.971492; -18.683159; 5.127819
157821677076480; 14.373686; -17.321644; 8.276773
157821677076480; 14.373686; -17.321644; 8.276773
157821693853696; 14.373686; -17.321644; 8.276773
157821693853696; 15.962520; -17.489141; 11.229517
157821710630912; 15.962520; -17.489141; 11.229517
157821710630912; 19.094725; -16.900507; 13.289737
157821727408128; 19.094725; -16.900507; 13.289737
157821744185344; 21.351156; -16.931614; 15.110675
157821760962560; 22.561924; -14.256437; 17.056040
157821760962560; 22.561924; -14.256437; 17.056040
157821794516992; 20.666809; -10.729417; 16.943577
157821811294208; 18.970299; -7.702496; 15.924234
157821828071424; 17.300108; -4.431508; 14.000405
157821844848640; 15.156138; -3.036492; 12.007184
