time; x; y; z
157573844041728; 1.464407; 6.221339; 7.621140
157573860818944; 1.631905; 6.238089; 7.513463
157573877596160; 1.631905; 6.238089; 7.513463
157573911150592; 1.406980; 6.154340; 7.683353
157573911150592; 1.406980; 6.154340; 7.683353
157573927927808; 1.533799; 6.223732; 7.824530
157573927927808; 1.469193; 6.197411; 7.771888
157573927927808; 1.469193; 6.197411; 7.771888
157573927927808; 1.469193; 6.197411; 7.771888
157573944705024; 1.507478; 5.962914; 7.432107
157573961482240; 1.507478; 5.962914; 7.432107
157573978259456; 1.411765; 5.998806; 7.302895
157573978259456; 1.373480; 6.183053; 7.374680
157573995036672; 1.371087; 6.276374; 7.470392
157574011813888; 1.337588; 6.352944; 7.412964
157574028591104; 1.213161; 6.321837; 7.334002
157574045368320; 1.196411; 6.252446; 7.262217
157574045368320; 1.170090; 6.218946; 7.085148
157574062145536; 1.225125; 6.139983; 7.116254
157574078922752; 1.122234; 6.209375; 7.097112
157574095699968; 1.184447; 6.125626; 7.144969
157574095699968; 1.296910; 6.034698; 7.238288
157574112477184; 1.294517; 5.907879; 7.295716
157574129254400; 1.505085; 5.898308; 7.020542
157574179586048; 0.849452; 6.678368; 5.706882
157574179586048; 1.000200; 7.066005; 5.462814
157574196363264; 7.460821; 10.406385; 4.141976
157574229917696; -0.602991; 7.389036; 4.740181
157574263472128; 1.830509; 6.290731; 3.943372
157574297026560; 2.086541; 3.759124; 3.785445
157574313803776; 2.254039; -0.102891; 3.732803
157574347358208; 3.759124; -7.613962; 2.356930
157574364135424; 1.184447; -13.545769; 0.849452
157574380912640; -0.172283; -15.905092; -1.366302
157574397689856; -0.557528; -15.632310; -2.005185
157574414467072; -2.591427; -14.677574; -1.651048
157574414467072; -2.591427; -14.677574; -1.651048
157574431244288; -3.419343; -13.600804; -2.103291
157574464798720; -3.830909; -14.440684; -0.428315
157574481575936; -3.270988; -13.344772; -1.217947
157574515130368; -3.627519; -11.751152; -1.646262
157574531907584; -4.029513; -10.657632; -1.466800
157574599016448; -2.055435; -8.827123; -0.265603
157574649348096; -0.425922; -7.350751; -1.239482
157574682902528; 2.419144; -6.391229; -1.189233
157574699679744; 3.828516; -8.736196; -0.849452
157574716456960; 3.828516; -8.736196; -0.849452
157574733234176; 4.220939; -8.800801; -0.172283
157574800343040; 9.291330; -7.219146; -2.189433
157574817120256; 9.291330; -7.219146; -2.189433
157574817120256; 10.585847; -7.719246; -2.943172
157574833897472; 10.585847; -7.719246; -2.943172
157574833897472; 10.585847; -7.719246; -2.943172
157574850674688; 11.913864; -7.305287; -4.663611
157574850674688; 11.913864; -7.305287; -4.663611
157574867451904; 13.074383; -7.901100; -5.419743
157574884229120; 14.531611; -10.325029; -6.427122
157574884229120; 14.531611; -10.325029; -6.427122
157574901006336; 17.089539; -10.028319; -10.013963
157574917783552; 17.991634; -7.960921; -12.390036
157574934560768; 16.134804; -10.454242; -10.523634
157574951337984; 16.134804; -10.454242; -10.523634
157574968115200; 17.211573; -11.040483; -9.456435
157574968115200; 18.922441; -9.229117; -11.779866
157574984892416; 18.922441; -9.229117; -11.779866
157575001669632; 18.431913; -8.051848; -14.086547
157575018446848; 16.790436; -7.374680; -15.467206
157575018446848; 16.790436; -7.374680; -15.467206
157575035224064; 15.438492; -8.341380; -16.534405
157575052001280; 15.438492; -8.341380; -16.534405
157575052001280; 14.605789; -9.164511; -16.433907
157575068778496; 14.605789; -9.164511; -16.433907
157575068778496; 10.861022; -7.015756; -13.246666
157575085555712; 10.861022; -7.015756; -13.246666
157575102332928; 9.489935; -5.371887; -13.978869
157575102332928; 10.432707; -2.407180; -18.494125
157575119110144; 10.432707; -2.407180; -18.494125
157575119110144; 7.551748; -3.081956; -17.603996
157575135887360; 7.551748; -3.081956; -17.603996
157575152664576; 5.661418; -3.273381; -15.517455
157575152664576; 5.661418; -3.273381; -15.517455
157575169441792; 5.661418; -3.273381; -15.517455
157575169441792; 5.950950; -2.122434; -17.912670
157575186219008; 6.453443; -2.864209; -19.135403
157575186219008; 6.453443; -2.864209; -19.135403
157575202996224; 4.821537; -3.498307; -16.189838
157575236550656; 4.407579; -4.268795; -13.847264
157575236550656; 3.668197; -2.017149; -10.521241
157575253327872; 3.668197; -2.017149; -10.521241
