time; x; y; z
157643536596992; 0.775275; 6.391229; 7.221539
157643570151424; 1.002593; 6.429514; 7.264609
157643586928640; 1.002593; 6.429514; 7.264609
157643620483072; 0.796810; 6.503692; 7.331609
157643620483072; 0.796810; 6.503692; 7.331609
157643620483072; 0.837488; 6.506085; 7.420143
157643637260288; 0.837488; 6.506085; 7.420143
157643637260288; 0.837488; 6.506085; 7.420143
157643637260288; 0.837488; 6.506085; 7.420143
157643637260288; 0.837488; 6.506085; 7.420143
157643637260288; 0.839881; 6.508478; 7.551748
157643670814720; 0.823131; 6.587441; 7.482357
157643687591936; 0.820738; 6.683154; 7.487142
157643704369152; 0.835095; 6.577869; 7.319644
157643721146368; 0.734597; 6.417551; 7.243074
157643737923584; 0.617348; 6.506085; 7.281359
157643754700800; 0.406780; 6.546763; 7.243074
157643771478016; 0.423530; 6.484550; 7.245467
157643788255232; 0.430708; 6.381658; 7.233503
157643788255232; 0.526421; 6.285945; 7.216753
157643805032448; 0.526421; 6.285945; 7.202396
157643821809664; 0.411565; 6.568298; 7.264609
157643838586880; 0.354138; 6.582655; 7.238288
157643855364096; 0.411565; 6.592227; 7.298109
157643872141312; 0.526421; 6.252446; 7.252645
157643905695744; 0.423530; 6.297909; 7.324430
157643905695744; 0.370888; 6.506085; 7.255038
157643922472960; 0.370888; 6.506085; 7.255038
157643939250176; 0.457029; 6.381658; 7.231110
157643956027392; 0.540778; 6.360123; 6.833901
157643989581824; 0.954736; 7.259824; 6.240481
157644023136256; 2.021935; 7.798209; 5.666204
157644023136256; 0.440279; 7.917850; 5.709275
157644039913472; 1.253839; 8.011170; 5.309673
157644056690688; 2.502892; 7.932207; 4.883751
157644073467904; 1.777867; 8.047063; 5.094319
157644090245120; 1.725225; 5.295317; 5.749953
157644107022336; 1.725225; 5.295317; 5.749953
157644107022336; 2.249253; 4.474578; 5.804988
157644123799552; 1.524228; 3.132205; 4.857430
157644140576768; 1.007378; 1.466800; 4.479364
157644157353984; 0.308674; -3.448057; 2.871387
157644157353984; 0.031107; -6.288338; 2.368894
157644174131200; 0.031107; -6.288338; 2.368894
157644190908416; 0.258425; -9.142975; 1.682154
157644190908416; 0.196211; -9.619147; 1.514657
157644207685632; -1.710868; -11.949757; 0.184247
157644241240064; -3.366701; -12.514462; -1.095913
157644258017280; -4.661219; -13.560126; -3.201597
157644258017280; -4.979464; -13.208381; -3.125026
157644274794496; -4.979464; -13.208381; -3.125026
157644291571712; -6.290731; -11.870793; -2.191826
157644291571712; -6.623333; -12.002398; -2.258825
157644308348928; -6.855437; -11.425728; -2.311467
157644325126144; -6.187840; -10.779666; -2.785246
157644341903360; -5.795416; -11.057234; -3.156133
157644358680576; -5.680561; -10.959127; -3.022135
157644375457792; -5.493921; -10.540383; -2.579463
157644392235008; -4.208975; -9.365508; -0.399601
157644442566656; -2.739782; -9.990034; 0.323031
157644459343872; -0.983450; -9.427721; 1.720439
157644492898304; 1.591227; -7.633104; 1.160519
157644526452736; 4.711468; -8.688339; 0.574277
157644543229952; 6.329016; -9.248260; 0.775275
157644560007168; 6.329016; -9.248260; 0.775275
157644560007168; 7.484749; -10.085748; 1.028914
157644576784384; 7.484749; -10.085748; 1.028914
157644576784384; 8.374879; -9.769895; 0.653241
157644593561600; 8.374879; -9.769895; 0.653241
157644610338816; 9.856036; -8.891729; -1.227518
157644610338816; 9.856036; -8.891729; -1.227518
157644627116032; 11.760723; -10.408778; -2.395216
157644643893248; 11.760723; -10.408778; -2.395216
157644660670464; 15.046069; -10.499705; -4.876573
157644677447680; 15.046069; -10.499705; -4.876573
157644694224896; 16.723438; -9.518648; -7.970492
157644711002112; 17.113468; -10.207782; -9.439685
157644727779328; 17.781065; -10.636097; -10.466207
157644744556544; 18.719051; -8.245667; -11.148161
157644761333760; 17.793030; -7.228717; -12.148360
157644761333760; 17.793030; -7.228717; -12.148360
157644794888192; 16.914864; -9.970892; -13.153346
157644811665408; 16.118053; -8.384451; -12.507284
157644828442624; 16.118053; -8.384451; -12.507284
157644861997056; 12.265609; -6.104091; -13.667803
157644895551488; 10.102497; -5.386244; -15.345172
157644912328704; 7.546963; 0.921237; -14.656038
157644945883136; 6.257231; -5.309673; -14.589040
157644962660352; 5.637490; -2.589034; -16.778473
157644962660352; 5.637490; -2.589034; -16.778473
157644979437568; 5.017749; -0.981057; -16.821543
157644979437568; 5.017749; -0.981057; -16.821543
157644996214784; 4.409972; -3.390630; -15.558133
157644996214784; 4.409972; -3.390630; -15.558133
157645029769216; 2.754139; -2.744568; -11.303694
157645046546432; 2.754139; -2.744568; -11.303694
157645063323648; 1.966900; -2.474179; -8.626125
157645063323648; 1.916651; -2.184647; -6.824330
157645080100864; 2.277967; -1.655833; -5.012963
157645096878080; 2.277967; -1.655833; -5.012963
157645113655296; 3.232703; -2.074577; -4.271188
157645130432512; 4.031906; -1.962115; -4.972285
157645147209728; 5.682954; -0.454636; -3.993621
157645163986944; 6.829116; -0.806381; 0.610170
157645180764160; 6.142376; -0.476172; 3.077170
157645197541376; 4.733003; -0.859023; 2.639283
157645214318592; 4.733003; -0.859023; 2.639283
157645214318592; 5.410172; -1.454836; 3.426522
157645231095808; 5.410172; -1.454836; 3.426522
157645247873024; 5.979664; -3.543770; 5.400601
157645264650240; 4.649254; -5.123033; 7.027720
157645281427456; 3.366701; -4.565506; 5.974878
157645281427456; 3.366701; -4.565506; 5.974878
157645314981888; 4.558327; -9.511470; 3.565306
157645314981888; 4.558327; -9.511470; 3.565306
157645331759104; 3.184847; -9.181260; 5.544170
157645348536320; 3.184847; -9.181260; 5.544170
157645365313536; 3.034099; -7.599605; 7.094719
157645382090752; 3.404987; -6.941578; 4.658826
157645398867968; 6.403193; -13.112668; 6.350551
157645432422400; 9.509077; -16.778473; 7.410572
157645449199616; 9.590433; -19.444077; 8.886943
157645465976832; 15.440885; -23.406591; 6.503692
157645482754048; 15.440885; -23.406591; 6.503692
157645516308480; 17.233109; -20.968306; 1.179662
157645533085696; 16.713865; -19.602003; 0.971486
157645533085696; 16.713865; -19.602003; 0.971486
157645583417344; 6.656833; -19.161724; -2.335395
157645616971776; -5.407779; -16.649260; -6.798009
157645650526208; 3.404987; -13.100704; -12.483356
157645650526208; 3.404987; -13.100704; -12.483356
157645667303424; 7.278966; -8.480164; -13.933406
157645684080640; 7.532606; -5.108676; -14.842679
157645684080640; 7.532606; -5.108676; -14.842679
157645700857856; 7.532606; -5.108676; -14.842679
157645717635072; 7.532606; -5.108676; -14.842679
