time; x; y; z
157760943554560; -0.004765; 0.048319; -0.093768
157760977108992; 0.001955; 0.060537; -0.024129
157761010663424; 0.006842; 0.042211; -0.049175
157761044217856; -0.089064; 0.018387; -0.100487
157761094549504; -0.434203; -0.070188; -0.349720
157761128103936; -0.957714; -0.224126; -0.752281
157761161658368; -1.410366; -0.152655; -0.522595
157761161658368; -1.824532; 0.105130; -0.647212
157761178435584; -2.114082; 0.040989; -0.846965
157761178435584; -2.395080; -0.042699; -0.989296
157761195212800; -2.607051; -0.035980; -1.195769
157761195212800; -2.607051; -0.035980; -1.195769
157761211990016; -2.879497; 0.018387; -1.550681
157761228767232; -3.237463; -0.045754; -1.879327
157761228767232; -3.237463; -0.045754; -1.879327
157761245544448; -3.949121; -0.109895; -2.290439
157761262321664; -4.435370; -0.078130; -2.457206
157761279098880; -4.838542; 0.003726; -2.566550
157761295876096; -5.330899; 0.100854; -2.698497
157761295876096; -5.552032; 0.055650; -2.790738
157761312653312; -5.846469; -0.035369; -2.892142
157761329430528; -6.756047; -0.141660; -3.041193
157761346207744; -7.498249; 0.167438; -2.868929
157761362984960; -7.760921; 0.323820; -2.750421
157761379762176; -7.883705; 0.517464; -2.583044
157761379762176; -7.699224; 0.500360; -2.465147
157761396539392; -7.569720; 0.436219; -2.296548
157761413316608; -7.575829; 0.469816; -2.143831
157761413316608; -7.561779; 0.650633; -1.949576
157761430093824; -7.439606; 0.820453; -1.710117
157761430093824; -7.221527; 1.003102; -1.448056
157761446871040; -6.901433; 1.117944; -1.313055
157761446871040; -6.901433; 1.117944; -1.313055
157761463648256; -6.045000; 1.272493; -1.310001
157761480425472; -5.515991; 1.383671; -1.286177
157761480425472; -4.895963; 1.490572; -1.237918
157761497202688; -3.498303; 1.689714; -1.207375
157761513979904; -2.703567; 1.683606; -1.185384
157761547534336; -2.618046; 1.628628; -1.269683
157761597865984; -3.325428; 1.840598; -1.112691
157761664974848; -1.633332; 1.981097; -1.286177
157761698529280; -1.039571; 2.186959; -1.136515
157761698529280; -1.039571; 2.186959; -1.136515
157761732083712; -0.826378; 2.105103; -1.109026
157761765638144; -0.552711; 2.304245; -1.047939
157761782415360; -0.439090; 2.275534; -0.918436
157761815969792; 0.393519; 2.386101; -0.732733
157761832747008; 0.113132; 2.536374; -0.489608
157761849524224; -0.569204; 2.637166; -0.100487
157761883078656; -1.131811; 2.698864; 0.303905
157761899855872; -1.030408; 2.653660; 0.606284
157761899855872; -0.303478; 2.468567; 0.798095
