time; x; y; z
157820251013120; 20.021231; 20.071873; 20.055622
157820385230848; -0.081123; -0.021319; -0.109650
157820385230848; -0.092729; -0.001772; -0.134696
157820402008064; -0.069516; 0.020831; -0.131641
157820435562496; -0.073182; 0.092302; -0.102320
157820452339712; -0.106779; 0.097800; -0.096211
157820485894144; -0.143431; 0.080695; -0.088881
157820519448576; -0.276600; 0.070921; -0.096822
157820553003008; -0.409768; 0.017165; -0.233045
157820553003008; -0.662056; -0.086071; -0.482278
157820586557440; -1.354166; -0.081184; -0.422413
157820603334656; -1.582630; 0.169271; -0.358883
157820603334656; -1.770165; 0.240131; -0.630108
157820620111872; -1.969918; 0.114293; -0.933708
157820636889088; -2.410963; -0.007269; -1.416291
157820653666304; -2.815356; 0.107573; -1.746158
157820670443520; -3.062756; 0.139949; -1.976454
157820670443520; -3.279002; 0.161940; -2.208583
157820687220736; -3.539231; 0.273118; -2.650239
157820703997952; -3.997380; 0.320765; -2.999043
157820720775168; -4.343740; 0.321376; -3.145651
157820720775168; -4.685214; 0.343367; -3.326467
157820754329600; -5.113431; 0.435608; -3.590971
157820771106816; -5.919162; 0.719660; -3.741244
157820838215680; -8.545272; 0.674456; -2.736371
157820854992896; -8.982652; 1.373286; -2.212859
157820871770112; -8.899574; 1.627406; -1.881770
157820871770112; -8.899574; 1.627406; -1.881770
157820888547328; -8.675386; 1.659782; -1.801747
157820905324544; -8.272216; 1.604193; -1.667357
157820922101760; -6.916094; 1.767905; -1.361313
157820938878976; -5.390152; 2.226665; -1.328937
157820955656192; -4.043195; 2.256597; -1.314277
157820972433408; -3.480588; 2.185126; -1.361924
157820972433408; -2.996783; 2.170465; -1.448056
157821005987840; -1.858130; 2.197343; -1.611157
157821073096704; -1.665097; 1.948721; -1.529912
157821073096704; -1.616227; 1.973156; -1.465771
157821089873920; -1.431135; 2.039129; -1.368033
157821089873920; -1.125092; 2.128315; -1.206153
157821123428352; 0.096028; 2.171687; -0.858571
157821173760000; 0.972009; 2.208950; -0.763276
157821190537216; 0.953072; 2.198565; -0.608116
157821224091648; 0.392298; 2.039129; -0.144470
157821257646080; 0.524245; 1.841820; 0.206167
157821274423296; 1.096625; 1.673221; 0.306960
157821274423296; 1.096625; 1.673221; 0.306960
157821291200512; 1.664730; 1.568152; 0.321621
157821307977728; 1.664730; 1.568152; 0.321621
157821307977728; 2.151590; 1.485075; 0.319788
157821324754944; 2.151590; 1.485075; 0.319788
157821324754944; 2.151590; 1.485075; 0.319788
157821341532160; 2.238943; 1.379395; 0.302073
157821341532160; 2.238943; 1.379395; 0.302073
157821358309376; 2.024530; 1.230955; 0.168904
157821375086592; 2.024530; 1.230955; 0.168904
157821391863808; 1.697717; 1.007989; 0.007025
157821391863808; 1.191309; 0.767919; 0.014355
157821425418240; 0.879768; 0.472260; -0.186008
157821442195456; 0.643974; 0.083139; -0.419359
157821458972672; 0.512638; -0.354241; -0.611782
157821475749888; 0.711169; -0.740918; -0.857960
157821492527104; 1.088073; -1.260154; -1.091922
157821509304320; 1.088073; -1.260154; -1.091922
157821509304320; 1.455203; -1.603460; -1.402852
157821526081536; 1.455203; -1.603460; -1.402852
157821526081536; 1.636019; -1.965703; -1.582446
157821542858752; 1.636019; -1.965703; -1.582446
157821542858752; 1.400225; -2.504487; -1.625207
157821559635968; 1.400225; -2.504487; -1.625207
157821559635968; 1.406334; -3.119628; -1.619709
157821576413184; 1.406334; -3.119628; -1.619709
157821576413184; 1.406334; -3.119628; -1.619709
157821593190400; 1.210246; -3.421395; -1.143845
157821593190400; 1.210246; -3.421395; -1.143845
157821609967616; 0.708726; -3.498364; -0.573297
157821609967616; 0.708726; -3.498364; -0.573297
157821626744832; 0.578612; -3.627868; 0.101709
157821626744832; 0.578612; -3.627868; 0.101709
