time; x; y; z
157573844041728; 20.021231; 20.071873; 20.055622
157573944705024; -0.065240; 0.045876; -0.032681
157573961482240; -0.043249; 0.095967; 0.020464
157573978259456; 0.019059; 0.128343; 0.023518
157573995036672; 0.006842; 0.132008; 0.028405
157574011813888; -0.013928; 0.128954; 0.003360
157574028591104; -0.021258; 0.126510; -0.009468
157574028591104; -0.035308; 0.114293; -0.018021
157574045368320; -0.046914; 0.078252; -0.053451
157574062145536; -0.028588; 0.072143; -0.069944
157574078922752; -0.019426; 0.069089; -0.090713
157574095699968; -0.035919; 0.040378; -0.151189
157574095699968; -0.043860; 0.028772; -0.168904
157574112477184; -0.062797; 0.031215; -0.191506
157574129254400; -0.085399; 0.026328; -0.195782
157574146031616; -0.219789; 0.031826; -0.258091
157574179586048; -1.441520; -0.402499; -0.799928
157574196363264; -1.990077; -0.585148; -0.837802
157574229917696; -4.424985; 0.584048; -0.874454
157574246694912; -5.999796; -0.738475; -1.380861
157574280249344; -7.399899; -0.753747; -1.231810
157574297026560; -9.102382; -0.751914; -1.240973
157574347358208; -12.542164; 0.541899; -0.053451
157574347358208; -12.258722; 0.978056; 0.284969
157574380912640; -10.616716; 1.189416; 0.594677
157574397689856; -8.581313; 1.057469; 0.832304
157574397689856; -8.581313; 1.057469; 0.832304
157574414467072; -6.781093; 1.055025; 1.004568
157574431244288; -5.475674; 0.725158; 1.377196
157574448021504; -4.858700; 0.673235; 1.333824
157574464798720; -3.862990; 0.449658; 1.098030
157574498353152; -3.021828; 0.462486; 0.971581
157574531907584; -2.600942; 0.308548; 1.258688
157574565462016; -2.702346; 0.089858; 1.201267
157574599016448; -1.875845; 0.124678; 0.883006
157574682902528; -4.862976; 0.894368; 0.597732
157574699679744; -4.987593; 1.400164; 0.650877
157574716456960; -5.233771; 1.931617; 1.027781
157574733234176; -4.388945; 2.551645; 1.089478
157574800343040; -1.778718; 4.482590; 1.543962
157574800343040; -1.778718; 4.482590; 1.543962
157574817120256; -1.778718; 4.482590; 1.543962
157574833897472; -1.636997; 5.030536; 1.735774
157574833897472; -1.636997; 5.030536; 1.735774
157574833897472; -1.374325; 5.563822; 2.000889
157574850674688; -1.374325; 5.563822; 2.000889
157574867451904; -1.320569; 6.128872; 2.306933
157574884229120; -1.290025; 6.618175; 2.619085
157574884229120; -1.290025; 6.618175; 2.619085
157574901006336; -1.487946; 6.977364; 3.098614
157574917783552; -2.155010; 7.350603; 3.613573
157574934560768; -2.645535; 7.483771; 4.372879
157574934560768; -2.645535; 7.483771; 4.372879
157574951337984; -2.040779; 7.183226; 5.006957
157574968115200; -1.033462; 6.836254; 5.304448
157574984892416; -1.033462; 6.836254; 5.304448
157575001669632; -0.803166; 6.485006; 5.465106
157575001669632; -0.803166; 6.485006; 5.465106
157575018446848; -1.839193; 6.037242; 5.739995
157575035224064; -3.152553; 5.340245; 6.123008
157575035224064; -3.152553; 5.340245; 6.123008
157575052001280; -3.299161; 4.263900; 6.301991
157575068778496; -3.299161; 4.263900; 6.301991
157575068778496; -2.216708; 2.788661; 6.159049
157575085555712; -2.216708; 2.788661; 6.159049
157575102332928; -0.979706; 1.518061; 5.989228
157575102332928; -0.979706; 1.518061; 5.989228
157575119110144; -0.159314; 0.678122; 5.614157
157575119110144; -0.159314; 0.678122; 5.614157
157575135887360; 0.708115; -0.136773; 5.044830
157575152664576; 2.455190; -1.167913; 4.899445
157575152664576; 2.455190; -1.167913; 4.899445
157575152664576; 2.455190; -1.167913; 4.899445
157575169441792; 3.650653; -2.480052; 4.993518
157575186219008; 3.650653; -2.480052; 4.993518
157575186219008; 3.089879; -3.709113; 4.793154
157575202996224; 3.089879; -3.709113; 4.793154
157575219773440; 2.634784; -4.766521; 4.526206
157575236550656; 3.322618; -5.556980; 4.597066
157575253327872; 3.511986; -5.845920; 4.651433
157575270105088; 3.113702; -6.065220; 4.627609
157575270105088; 3.113702; -6.065220; 4.627609
157575286882304; 2.540100; -6.190447; 4.405865
157575320436736; 1.597535; -5.252769; 3.023478
157575353991168; 1.686721; -5.040799; 2.598315
157575353991168; 0.626870; -4.476359; 2.487138
157575387545600; -1.680368; -3.964455; 2.350304
157575404322816; -2.797641; -3.825788; 1.611768
157575421100032; -2.696848; -3.781195; 0.943481
157575437877248; -2.625988; -3.565559; 0.693027
157575454654464; -2.932031; -3.135510; 0.473115
157575471431680; -2.932031; -3.135510; 0.473115
157575488208896; -3.660182; -2.825802; -0.520763
157575521763328; -3.257622; -2.896662; -0.809702
157575555317760; -3.386515; -3.020057; -1.733330
157575588872192; -3.517851; -2.157515; -2.181705
157575639203840; -4.358401; -0.996871; -3.349679
157575689535488; -4.825102; 1.802724; -4.671592
157575723089920; -5.161078; 3.105700; -4.517654
157575723089920; -5.610064; 4.412341; -4.680144
157575739867136; -4.643675; 5.573596; -4.702746
157575756644352; -2.142182; 6.593740; -3.936721
157575773421568; -1.812315; 6.894286; -2.731484
157575790198784; -1.812315; 6.894286; -2.731484
157575790198784; -1.812315; 6.894286; -2.731484
157575806976000; -4.480574; 6.851526; -1.633759
157575823753216; -7.332704; 6.622451; 0.339336
157575823753216; -7.332704; 6.622451; 0.339336
157575840530432; -7.332704; 6.622451; 0.339336
157575840530432; -7.636915; 5.647510; 3.657556
157575857307648; -7.636915; 5.647510; 3.657556
157575857307648; -5.971696; 4.751982; 5.242140
157575874084864; -5.971696; 4.751982; 5.242140
157575874084864; -3.147055; 2.935269; 6.272058
157575890862080; -3.147055; 2.935269; 6.272058
157575890862080; -3.147055; 2.935269; 6.272058
157575890862080; 0.974452; 1.435594; 6.360023
157575907639296; 3.142413; 0.110017; 6.111401
157575924416512; 3.142413; 0.110017; 6.111401
157575924416512; 3.142413; 0.110017; 6.111401
157575941193728; 3.758165; -2.202108; 5.937915
157575941193728; 3.758165; -2.202108; 5.937915
157575957970944; 3.538865; -4.203303; 5.314833
157575974748160; 3.538865; -4.203303; 5.314833
157575974748160; 4.799690; -5.899675; 4.798041
157575974748160; 4.799690; -5.899675; 4.798041
157575991525376; 4.799690; -5.899675; 4.798041
157575991525376; 6.885795; -6.905159; 4.782769
157576008302592; 6.885795; -6.905159; 4.782769
157576008302592; 6.885795; -6.905159; 4.782769
