time; x; y; z
157643637260288; 0.082589; -0.001772; -0.048564
157643654037504; -0.094562; 0.028161; -0.103542
157643670814720; -0.136712; 0.044654; -0.094990
157643704369152; -0.186803; 0.077641; -0.016188
157643721146368; -0.148318; 0.107573; -0.016188
157643721146368; -0.131214; 0.122234; -0.016799
157643737923584; -0.112888; 0.125899; -0.037568
157643754700800; -0.098227; 0.113071; -0.057727
157643788255232; -0.036530; 0.046487; -0.070555
157643788255232; -0.036530; 0.046487; -0.070555
157643805032448; 0.017226; 0.028161; -0.088881
157643821809664; 0.012339; 0.034880; -0.103542
157643838586880; -0.021869; 0.013500; -0.116370
157643855364096; -0.085399; -0.001161; -0.106596
157643855364096; -0.106168; -0.001161; -0.095600
157643888918528; -0.087232; 0.051985; -0.085827
157643905695744; -0.103114; 0.058704; -0.094379
157643922472960; -0.121440; 0.052595; -0.114537
157643939250176; -0.191079; 0.022663; -0.161574
157643939250176; -0.236894; 0.008613; -0.196393
157643989581824; -0.716423; -0.153266; -0.726013
157644023136256; -1.822089; 0.161940; -0.643547
157644023136256; -2.348655; 0.535790; -0.555582
157644039913472; -2.651644; 0.426445; -0.982577
157644056690688; -3.377963; 0.050763; -1.589777
157644073467904; -4.310754; 0.277394; -1.939803
157644090245120; -5.672983; 0.330539; -2.251955
157644107022336; -6.143350; 0.339702; -2.338087
157644107022336; -6.580729; 0.347643; -2.548224
157644123799552; -7.172047; 0.461875; -2.719877
157644140576768; -7.921578; 0.610315; -2.735760
157644140576768; -9.343062; 0.901698; -2.519514
157644157353984; -9.951484; 0.979889; -2.307544
157644174131200; -10.412687; 0.971948; -2.028378
157644174131200; -10.608775; 0.897422; -1.734552
157644190908416; -10.975294; 1.281046; -0.985631
157644207685632; -11.080974; 1.574261; -0.423024
157644224462848; -10.289904; 1.582813; 0.437074
157644241240064; -9.390099; 1.430708; 0.836580
157644258017280; -8.352239; 1.295706; 1.220814
157644274794496; -7.464651; 1.210796; 1.430952
157644274794496; -6.768876; 1.116723; 1.406517
157644291571712; -5.811650; 1.106949; 1.147510
157644308348928; -5.354722; 1.004934; 0.980744
157644325126144; -4.158648; 0.808847; 0.616668
157644341903360; -3.479977; 0.585881; 0.543976
157644341903360; -2.362094; 0.307326; 0.504269
157644358680576; -2.053607; 0.215697; 0.406531
157644392235008; -2.575897; 0.014111; 0.097433
157644425789440; -2.747550; 0.202257; -0.028405
157644459343872; -2.687685; 0.574885; -0.311236
157644476121088; -3.079860; 1.007378; -0.394314
157644526452736; -4.461027; 2.100216; -0.406531
157644543229952; -3.184929; 3.471608; -0.245873
157644560007168; -3.184929; 3.471608; -0.245873
157644560007168; -3.184929; 3.471608; -0.245873
157644576784384; -2.725559; 4.090415; -0.090103
157644576784384; -2.725559; 4.090415; -0.090103
157644593561600; -2.302229; 4.646913; 0.096211
157644610338816; -1.807428; 5.123999; 0.316734
157644610338816; -1.807428; 5.123999; 0.316734
157644627116032; -1.459235; 5.646899; 0.655764
157644643893248; -1.459235; 5.646899; 0.655764
157644660670464; -1.921660; 6.623062; 1.524414
157644677447680; -1.921660; 6.623062; 1.524414
157644677447680; -2.017566; 6.891232; 2.146275
157644694224896; -2.017566; 6.891232; 2.146275
157644711002112; -1.427470; 7.225986; 2.733927
157644727779328; -0.871583; 7.454450; 3.265991
157644744556544; -1.338894; 7.511260; 3.623347
157644761333760; -2.706622; 7.342051; 4.009414
157644794888192; -3.464705; 6.886956; 4.694805
157644811665408; -2.885605; 5.067799; 5.659361
157644828442624; -2.885605; 5.067799; 5.659361
157644861997056; -2.815967; 2.613343; 5.850562
157644861997056; -2.815967; 2.613343; 5.850562
157644912328704; -0.509950; 0.749593; 5.491984
157644945883136; 0.043494; -0.888137; 4.839580
157644945883136; 1.904189; -1.944323; 4.936096
157644962660352; 1.904189; -1.944323; 4.936096
157644962660352; 2.103942; -2.865508; 4.755280
157644979437568; 2.103942; -2.865508; 4.755280
157644979437568; 2.103942; -2.865508; 4.755280
157644996214784; 1.551720; -3.883820; 4.593401
157645029769216; 2.557204; -5.105551; 4.677701
157645029769216; 3.497326; -5.885626; 4.804150
157645046546432; 3.533367; -6.154407; 4.763222
157645063323648; 2.970760; -6.096985; 4.477336
157645080100864; 2.212676; -5.872797; 3.824933
157645096878080; 2.212676; -5.872797; 3.824933
157645113655296; 1.750251; -5.596076; 2.924517
157645130432512; 1.822944; -5.385327; 2.189036
157645147209728; 1.822944; -5.385327; 2.189036
157645163986944; 1.323256; -4.555772; 1.684461
157645180764160; 1.323256; -4.555772; 1.684461
157645180764160; -1.188011; -4.239954; 1.212873
157645197541376; -3.359637; -3.835562; 0.340557
157645214318592; -3.811066; -3.157501; -0.204334
157645231095808; -3.811066; -3.157501; -0.204334
157645247873024; -3.343143; -2.677361; -0.584293
157645264650240; -3.221581; -2.410413; -1.036944
157645264650240; -3.221581; -2.410413; -1.036944
157645281427456; -3.580159; -2.081157; -1.421178
157645314981888; -3.435384; -1.807489; -1.628872
157645314981888; -2.740219; -1.742127; -2.077858
157645331759104; -2.172115; -1.581469; -2.404060
157645348536320; -2.172115; -1.581469; -2.404060
157645365313536; -2.677911; -1.568030; -2.293494
157645382090752; -3.338256; -1.519161; -2.450486
157645398867968; -2.409741; -1.224113; -2.865874
157645415645184; -1.936321; -0.298041; -3.077845
157645449199616; -3.550226; 0.340924; -3.407712
157645465976832; -4.334578; 0.827783; -3.887852
157645482754048; -2.943637; 2.037908; -4.204280
157645499531264; -2.932031; 3.165565; -4.805983
157645516308480; -3.548394; 3.973129; -5.515808
157645533085696; -2.410352; 5.034202; -5.492595
157645566640128; -1.892949; 5.542441; -4.544532
157645616971776; -6.638761; 6.044573; -0.872010
157645633748992; -7.227635; 4.734267; 3.454138
157645650526208; -7.227635; 4.734267; 3.454138
157645667303424; -4.597860; 2.889454; 5.104084
157645667303424; -4.597860; 2.889454; 5.104084
157645684080640; -1.963810; 1.185140; 6.258009
157645700857856; -1.963810; 1.185140; 6.258009
157645717635072; -1.963810; 1.185140; 6.258009
157645734412288; 0.107634; -0.384173; 6.506020
157645751189504; 0.107634; -0.384173; 6.506020
157645751189504; 2.653110; -2.267471; 6.413779
157645767966720; 2.653110; -2.267471; 6.413779
157645767966720; 2.653110; -2.267471; 6.413779
157645784743936; 4.527855; -4.458644; 6.147442
157645801521152; 4.527855; -4.458644; 6.147442
157645818298368; 4.783808; -6.881947; 4.523762
157645835075584; -0.436036; -5.394490; 3.021034
157645851852800; -3.913691; -4.376178; 0.866512
157645851852800; -2.640648; -3.214923; -0.926988
157645851852800; -2.640648; -3.214923; -0.926988
157645868630016; -2.640648; -3.214923; -0.926988
157645868630016; -0.889908; -1.950432; -3.066849
157645885407232; -0.889908; -1.950432; -3.066849
157645885407232; -0.889908; -1.950432; -3.066849
157645885407232; -1.480004; -0.719538; -4.608062
157645902184448; -1.480004; -0.719538; -4.608062
157645902184448; -2.054218; -0.384784; -5.875607
157645918961664; -2.054218; -0.384784; -5.875607
157645918961664; -2.054218; -0.384784; -5.875607
157645952516096; 0.802188; 1.048306; -7.543270
157645986070528; 1.472918; 2.871738; -5.418069
157646019624960; -1.302243; 3.839960; -3.803552
157646053179392; -6.807971; 4.412341; 0.398590
157646069956608; -7.074308; 4.229692; 2.673452
157646086733824; -7.074308; 4.229692; 2.673452
157646086733824; -5.509882; 3.152126; 4.599510
157646086733824; -5.509882; 3.152126; 4.599510
157646103511040; -1.600345; 1.316476; 5.510921
157646103511040; -1.600345; 1.316476; 5.510921
157646137065472; 1.139386; -2.127583; 5.620876
157646187397120; 2.765509; -4.297987; 4.323399
157646220951552; 0.715445; -4.802562; 3.297145
157646237728768; 0.715445; -4.802562; 3.297145
157646237728768; -3.282668; -3.881988; 1.167669
157646254505984; -4.431094; -2.977296; -0.897666
157646271283200; -4.431094; -2.977296; -0.897666
157646288060416; -2.952800; -1.942490; -2.683226
157646304837632; -0.905791; -0.663339; -4.450459
157646321614848; 0.880990; 0.158275; -5.305059
157646338392064; 2.393492; 1.100840; -6.069252
157646355169280; 1.664119; 1.415436; -6.521903
157646388723712; -0.516059; 2.123429; -5.860947
157646388723712; -2.625988; 3.383644; -3.867082
157646405500928; -2.625988; 3.383644; -3.867082
157646405500928; -3.152553; 4.037270; -1.526247
157646405500928; -3.152553; 4.037270; -1.526247
157646422278144; -3.152553; 4.037270; -1.526247
157646422278144; -3.978443; 3.973129; 0.041233
157646439055360; -3.978443; 3.973129; 0.041233
157646455832576; -4.891076; 3.541247; 1.315498
157646472609792; -4.390777; 2.689701; 2.917798
157646472609792; -4.390777; 2.689701; 2.917798
157646489387008; -2.834903; 1.359236; 4.646546
157646522941440; 2.392881; -2.239371; 5.001459
157646539718656; 3.003747; -3.136732; 4.880507
157646573273088; 2.990918; -3.902757; 5.137071
157646573273088; 2.990918; -3.902757; 5.137071
157646590050304; 2.325686; -4.637628; 4.473671
157646606827520; 1.321424; -5.103718; 3.845702
157646623604736; -0.741468; -5.027360; 2.801733
157646640381952; -0.741468; -5.027360; 2.801733
157646640381952; -2.497706; -4.419549; 0.765720
157646657159168; -2.497706; -4.419549; 0.765720
157646657159168; -2.255192; -2.914377; -1.372309
157646673936384; -2.255192; -2.914377; -1.372309
157646690713600; -0.875859; -1.279091; -3.581198
157646690713600; -0.875859; -1.279091; -3.581198
157646707490816; 0.126571; -0.002993; -5.242751
157646724268032; 0.199264; 1.155818; -6.675230
157646741045248; 1.213300; 1.632904; -7.457138
157646757822464; 1.593870; 2.100827; -7.198742
157646774599680; 1.096625; 2.860743; -5.557347
157646808154112; -2.004737; 3.604777; -3.305697
157646824931328; -5.068227; 3.846069; -0.811534
157646841708544; -5.611897; 3.380589; 1.315498
157646875262976; -0.892352; 1.337245; 4.314236
157646875262976; -0.892352; 1.337245; 4.314236
157646892040192; 1.307985; 0.017776; 4.473061
157646908817408; 1.307985; 0.017776; 4.473061
157646908817408; 1.664730; -1.261986; 4.415028
157646925594624; 1.810727; -2.508763; 4.455956
157646942371840; 1.810727; -2.508763; 4.455956
157646959149056; 2.334849; -3.084808; 4.029572
157646975926272; 2.455801; -4.100067; 4.292244
157646992703488; 0.979950; -4.801950; 3.838983
157647043035136; -1.596680; -3.771421; 0.030849
157647059812352; -1.421972; -0.479468; -4.742453
157647076589568; -1.421972; -0.479468; -4.742453
157647093366784; -0.630291; 0.792964; -5.531691
157647093366784; -0.575924; 2.013473; -6.534731
157647110144000; -0.511172; 2.564473; -6.348417
157647126921216; -0.511172; 2.564473; -6.348417
157647143698432; -0.605245; 3.525364; -5.283068
157647160475648; -2.789699; 4.366526; -3.387553
157647177252864; -5.671762; 4.660352; -1.103528
157647194030080; -6.187332; 4.073921; 0.909884
157647227584512; -4.141544; 3.064772; 2.542727
157647244361728; -2.009014; 1.871752; 3.900069
157647244361728; -2.009014; 1.871752; 3.900069
157647261138944; -0.440312; 0.394680; 4.214054
157647277916160; 0.843727; -1.223502; 4.567745
157647311470592; 1.601811; -2.480052; 4.202447
157647328247808; 2.074621; -3.194764; 4.311792
157647328247808; 2.042856; -4.415884; 3.816992
157647345025024; 3.098431; -5.401209; 3.559206
157647361802240; 3.098431; -5.401209; 3.559206
157647378579456; 1.121060; -5.603406; 3.114496
157647395356672; -1.703581; -5.182520; 1.310611
157647395356672; -1.703581; -5.182520; 1.310611
157647412133888; -1.878899; -3.980337; -0.315512
157647428911104; -0.693210; -2.329779; -2.562885
157647445688320; -0.114110; -0.711597; -3.926947
157647462465536; 0.515082; 0.479590; -5.074152
157647479242752; 0.530353; 1.210185; -6.256176
157647496019968; -0.935112; 2.141144; -6.591542
157647529574400; -1.277197; 3.543079; -5.081483
157647546351616; -1.021855; 4.569333; -3.152981
157647563128832; -3.032213; 4.747706; -1.674687
157647579906048; -4.448198; 4.001228; -0.253204
157647596683264; -2.721282; 3.200384; 2.096184
157647613460480; -1.786659; 1.914513; 3.628234
157647647014912; -0.192300; 0.356196; 4.231769
157647663792128; 1.394117; -1.024971; 4.778493
157647680569344; 1.926180; -2.561908; 5.068043
157647714123776; 1.409999; -3.076256; 4.614171
157647747678208; 1.413053; -4.554550; 4.557971
157647781232640; 2.067901; -5.352951; 4.188397
157647814787072; -2.103698; -3.999274; 1.123687
157647814787072; -2.103698; -3.999274; 1.123687
157647848341504; 0.545014; 1.507066; -6.363078
157647865118720; 0.545014; 1.507066; -6.363078
157647865118720; 0.545014; 1.507066; -6.363078
157647881895936; 1.438710; 1.711706; -6.805955
157647915450368; -1.836139; 4.018944; -4.556139
157647932227584; -4.117109; 4.911417; -2.390621
157647932227584; -4.117109; 4.911417; -2.390621
157647949004800; -6.432899; 4.829562; -0.293521
157647949004800; -6.432899; 4.829562; -0.293521
157647965782016; -5.238658; 3.474663; 1.730887
157647982559232; -1.053010; 1.719036; 3.491400
157647999336448; 1.011715; -0.064691; 4.156022
157648032890880; 1.168707; -1.499002; 4.347222
157648032890880; 0.541960; -2.101315; 4.278194
157648066445312; 1.069136; -2.914988; 4.799873
157648083222528; 2.019032; -4.042034; 4.319122
157648099999744; 2.963429; -4.946115; 3.724751
157648116776960; 0.921918; -4.872811; 2.890920
157648133554176; -1.477561; -4.072577; 1.112080
157648150331392; -2.169060; -2.792815; -0.913549
157648183885824; -1.366383; -1.461128; -3.393051
157648200663040; -0.058521; -0.261389; -4.377155
157648217440256; 0.344039; 0.631085; -5.419291
157648250994688; 0.426506; 1.865033; -5.992894
157648267771904; 0.426506; 1.865033; -5.992894
157648284549120; -0.560041; 3.116695; -4.582406
157648301326336; -2.660807; 4.089804; -2.751642
157648318103552; -5.294858; 4.330485; -0.608727
157648334880768; -5.667486; 3.631044; 1.168280
157648351657984; -3.341311; 2.657936; 3.053410
157648368435200; -0.710314; 1.026315; 3.833485
157648385212416; 0.907868; -0.629130; 4.289190
157648401989632; 1.242622; -1.342621; 4.295909
157648435544064; 2.120435; -2.508763; 4.773606
157648452321280; 1.723373; -3.176438; 3.913508
157648469098496; 2.408764; -4.123280; 3.838983
157648485875712; 1.893193; -4.510568; 3.586695
157648502652928; -1.231382; -4.409775; 2.342363
157648519430144; -2.059104; -3.517301; 0.652099
157648536207360; -1.541702; -2.736004; -1.237308
157648552984576; -0.687712; -1.350562; -3.609908
157648569761792; 0.289672; -0.193583; -4.578741
157648603316224; 1.155268; 0.449658; -5.854228
157648620093440; 0.871216; 0.992717; -6.544505
157648636870656; -0.305310; 2.308521; -6.277557
157648653647872; -1.482448; 3.619438; -4.745507
157648670425088; -3.754256; 4.505803; -2.772412
157648687202304; -5.937488; 4.688452; -0.466396
157648720756736; -5.191621; 3.703126; 1.594053
157648737533952; -1.858130; 2.453296; 3.395494
157648754311168; -0.022480; 0.788688; 4.175569
157648771088384; 0.445443; -0.486188; 4.521319
157648787865600; 0.487593; -0.889970; 4.559803
157648804642816; 1.020878; -2.078103; 4.917770
157648821420032; 1.293324; -3.233860; 4.356996
157648854974464; 2.380053; -4.644958; 4.014301
157648871751680; 1.898691; -5.453133; 3.474296
157648888528896; -1.167852; -5.256434; 2.014939
157648905306112; -2.428678; -4.252172; -0.108429
157648922083328; -1.754283; -2.940033; -2.429717
157648938860544; -0.153816; -0.955943; -4.429079
157648955637760; 0.647029; 0.535790; -5.642257
157648989192192; 0.437502; 1.483242; -6.949509
157649005969408; -0.335854; 2.250489; -7.214014
157649022746624; -1.531317; 3.614551; -6.179819
157649039523840; -2.741441; 4.558949; -4.177402
157649056301056; -4.379171; 4.711665; -1.743104
157649073078272; -4.753631; 3.808195; 0.689361
157649089855488; -2.376143; 2.649994; 2.644130
157649123409920; 0.098471; 1.269439; 3.661832
157649140187136; 1.053865; 0.197981; 4.427856
157649156964352; 0.800967; -0.383562; 4.605008
157649173741568; 1.029430; -1.769005; 5.042998
157649190518784; 1.139386; -2.455006; 4.433354
157649207296000; 2.504670; -4.101288; 4.533536
157649240850432; 2.469851; -4.753692; 4.367992
157649257627648; -1.101268; -4.539889; 2.928183
157649274404864; -2.291844; -3.775697; 1.239140
157649291182080; -1.625390; -2.808086; -0.596510
157649307959296; -0.879524; -1.239384; -3.015536
157649341513728; -0.092118; -0.252837; -4.154800
157649358290944; 1.351967; 0.562668; -5.837123
157649375068160; 1.481470; 0.895590; -6.731430
157649391845376; -0.126938; 2.207728; -6.643465
157649408622592; -2.321777; 3.516812; -5.053383
157649425399808; -4.694377; 4.519853; -2.762638
157649442177024; -6.467108; 4.475871; -0.139583
157649458954240; -5.000421; 3.244366; 2.047926
157649475731456; -1.837971; 1.713538; 3.776674
157649492508672; 0.490036; 0.259068; 4.436409
157649526063104; 0.760039; -0.829494; 4.794987
157649542840320; 0.666576; -1.800159; 4.612949
157649559617536; 0.970176; -2.269914; 4.759556
157649576394752; 1.154657; -3.869770; 4.744895
157649643503616; 2.811935; -4.856928; 4.480391
157649677058048; -2.361483; -4.770797; 2.245235
157649677058048; -2.361483; -4.770797; 2.245235
157649710612480; -1.194730; -2.424463; -2.376571
157649710612480; -1.194730; -2.424463; -2.376571
157649727389696; -0.323026; -1.129429; -3.994142
157649760944128; 1.369682; 0.746538; -6.887811
157649760944128; 0.150395; 1.560211; -7.384445
157649777721344; -1.445796; 3.190610; -6.397897
157649777721344; -2.574675; 4.429445; -4.551863
157649794498560; -2.574675; 4.429445; -4.551863
157649811275776; -4.853813; 5.050084; -2.635578
157649828052992; -6.902044; 4.665850; -0.269086
157649844830208; -4.289984; 3.290792; 2.188425
157649861607424; -0.268659; 1.636569; 3.746742
