time; hr
157573844041728; 0.000000
157584195584000; 91.000000
157590201827328; 93.000000
157590201827328; 93.000000
157592131207168; 93.000000
157594127695872; 100.000000
157594127695872; 100.000000
157596140961792; 103.000000
157596157739008; 103.000000
157598137450496; 104.000000
157600133939200; 107.000000
157600133939200; 107.000000
157602163982336; 109.000000
157602163982336; 109.000000
157604143693824; 110.000000
157606140182528; 113.000000
157606140182528; 113.000000
157608153448448; 112.000000
157610149937152; 115.000000
157610166714368; 115.000000
157612146425856; 118.000000
157612146425856; 118.000000
157614159691776; 121.000000
157614159691776; 121.000000
157616172957696; 123.000000
157616172957696; 123.000000
157618152669184; 126.000000
157618169446400; 126.000000
157620417593344; 127.000000
