time; hr
157643536596992; 0.000000
157653888139264; 88.000000
157655783964672; 90.000000
157655783964672; 90.000000
157657780453376; 89.000000
157659927937024; 90.000000
157663786696704; 91.000000
157665799962624; 92.000000
157667813228544; 94.000000
157667813228544; 94.000000
157669792940032; 101.000000
157669792940032; 101.000000
157671806205952; 107.000000
157671806205952; 107.000000
157673836249088; 112.000000
157673853026304; 112.000000
157675815960576; 115.000000
157675815960576; 115.000000
157677812449280; 117.000000
157677812449280; 117.000000
157679808937984; 119.000000
157679825715200; 119.000000
157681822203904; 124.000000
157681822203904; 124.000000
157683818692608; 127.000000
157683818692608; 127.000000
157685831958528; 129.000000
157685831958528; 129.000000
