time; x; y; z
160932256808960; 0.437887; 4.625326; 8.788837
160932256808960; 0.437887; 4.625326; 8.788837
160932256808960; 0.437887; 4.625326; 8.788837
160932256808960; 0.437887; 4.625326; 8.788837
160932307140608; 0.430708; 4.666004; 8.762517
160932307140608; 0.397209; 4.579863; 8.788837
160932307140608; 0.397209; 4.579863; 8.788837
160932323917824; 0.397209; 4.579863; 8.788837
160932323917824; 0.500100; 4.620541; 8.793623
160932323917824; 0.500100; 4.620541; 8.793623
160932340695040; 0.435494; 4.582255; 8.786445
160932357472256; 0.430708; 4.587041; 8.805588
160932374249472; 0.445065; 4.666004; 8.776874
160932391026688; 0.406780; 4.479364; 8.731410
160932424581120; 0.447458; 4.654040; 8.659625
160932424581120; 0.447458; 4.654040; 8.659625
160932441358336; 0.392423; 4.627719; 8.599805
160932441358336; 0.370888; 4.522435; 8.614161
160932458135552; 0.373280; 4.558327; 8.602198
160932474912768; 0.404387; 4.479364; 8.678768
160932474912768; 0.366102; 4.433900; 8.726624
160932491689984; 0.447458; 4.536792; 8.599805
160932508467200; 0.404387; 4.572684; 8.484949
160932525244416; 0.279960; 4.567898; 8.367701
160932542021632; 0.416351; 4.532006; 8.238488
160932558798848; 0.744168; 4.630112; 7.841280
160932558798848; 0.961915; 4.802395; 7.444071
160932575576064; 1.110270; 5.185246; 7.152147
160932575576064; 1.143769; 5.539384; 6.664011
160932592353280; 1.213161; 5.812166; 6.116055
160932609130496; 1.363909; 6.065805; 5.469993
160932625907712; 1.940579; 6.192625; 4.094120
160932642684928; 2.474179; 4.941179; 2.696711
160932642684928; 3.192025; 4.022335; 2.347359
160932659462144; 3.192025; 4.022335; 2.347359
160932659462144; 3.292524; 3.749553; 1.983650
160932676239360; 3.605984; 3.687340; 1.852045
160932693016576; 3.859623; 3.527021; 1.741975
160932709793792; 4.575077; 3.663411; 1.533799
160932743348224; 7.154540; 1.744368; 2.715854
160932776902656; 8.760123; 0.756132; 1.962115
160932810457088; 9.083155; 0.009571; 1.945365
160932827234304; 11.662618; -4.582255; 1.897508
160932860788736; 12.973885; -8.013563; 1.691726
160932877565952; 13.392629; -10.526027; 0.753739
160932894343168; 13.040883; -10.777273; -0.583849
160932911120384; 12.868600; -11.219945; -1.253839
160932927897600; 12.490534; -12.947563; -1.808974
160932961452032; 12.425928; -12.313465; -1.914258
160932978229248; 12.100504; -11.806187; -1.873580
160932995006464; 11.648261; -10.346565; -3.060420
160933011783680; 11.222338; -9.592826; -3.651447
160933078892544; 9.212367; -10.999805; -4.292724
160933095669760; 8.437093; -11.839686; -4.472186
160933112446976; 8.161918; -11.755938; -4.756931
160933162778624; 7.415358; -13.363914; -7.810173
160933179555840; 7.415358; -13.363914; -7.810173
160933196333056; 6.915257; -14.088940; -8.549556
160933213110272; 5.905486; -13.856836; -9.635897
160933246664704; 5.548956; -15.409778; -12.485748
160933263441920; 5.525027; -14.411971; -13.208381
160933296996352; 7.444071; -14.100904; -17.254644
160933313773568; 7.444071; -14.100904; -17.254644
160933313773568; 7.444071; -14.100904; -17.254644
160933313773568; 7.927422; -13.663017; -18.053846
160933330550784; 7.927422; -13.663017; -18.053846
160933330550784; 7.927422; -13.663017; -18.053846
160933330550784; 7.463214; -13.619946; -17.635103
160933347328000; 7.463214; -13.619946; -17.635103
160933364105216; 7.070791; -13.442878; -17.111074
160933364105216; 7.070791; -13.442878; -17.111074
160933364105216; 7.070791; -13.442878; -17.111074
160933380882432; 7.398608; -12.897314; -16.017555
160933397659648; 7.398608; -12.897314; -16.017555
160933397659648; 7.398608; -12.897314; -16.017555
160933397659648; 7.398608; -12.897314; -16.017555
160933414436864; 7.398608; -12.897314; -16.017555
160933414436864; 7.398608; -12.897314; -16.017555
160933431214080; 7.398608; -12.897314; -16.017555
160933431214080; 7.398608; -12.897314; -16.017555
160933431214080; 7.398608; -12.897314; -16.017555
160933447991296; 8.140383; -11.937792; -14.502898
160933447991296; 8.140383; -11.937792; -14.502898
160933447991296; 8.140383; -11.937792; -14.502898
160933464768512; 8.140383; -11.937792; -14.502898
160933464768512; 8.140383; -11.937792; -14.502898
160933481545728; 9.095119; -10.774880; -10.906486
160933481545728; 9.095119; -10.774880; -10.906486
160933481545728; 9.095119; -10.774880; -10.906486
160933498322944; 9.095119; -10.774880; -10.906486
160933498322944; 9.095119; -10.774880; -10.906486
160933515100160; 9.095119; -10.774880; -10.906486
160933515100160; 9.671789; -7.860423; -6.826723
160933515100160; 9.671789; -7.860423; -6.826723
160933531877376; 9.671789; -7.860423; -6.826723
160933548654592; 8.867801; -4.914858; -3.527021
160933548654592; 8.867801; -4.914858; -3.527021
160933565431808; 8.867801; -4.914858; -3.527021
160933598986240; 7.422536; -2.746960; 0.346959
160933598986240; 7.422536; -2.746960; 0.346959
160933615763456; 6.759724; -2.636891; 1.514657
160933632540672; 5.467600; -1.844866; 2.888137
160933666095104; 3.763910; -2.541178; 4.070191
160933699649536; 3.134598; -2.579463; 4.335794
160933766758400; 0.861416; -4.211368; 6.262017
160933833867264; 0.693919; -4.414758; 6.331409
160933833867264; 0.693919; -4.414758; 6.331409
160933900976128; 3.457629; -7.255038; 9.803394
160933900976128; 3.457629; -7.255038; 9.803394
160933934530560; 6.175875; -8.169097; 7.814959
160933934530560; 6.175875; -8.169097; 7.814959
160933951307776; 10.975878; -9.602397; 9.190832
160933968084992; 10.975878; -9.602397; 9.190832
160933968084992; 10.564312; -10.968699; 10.978271
160933968084992; 10.564312; -10.968699; 10.978271
160933984862208; 10.564312; -10.968699; 10.978271
160933984862208; 10.564312; -10.968699; 10.978271
160934001639424; 8.925228; -9.190832; 11.107483
160934001639424; 8.925228; -9.190832; 11.107483
160934001639424; 10.695917; -6.501299; 7.668997
160934018416640; 10.695917; -6.501299; 7.668997
160934035193856; 14.811572; -8.123632; 7.415358
160934035193856; 14.811572; -8.123632; 7.415358
160934035193856; 14.811572; -8.123632; 7.415358
160934035193856; 14.811572; -8.123632; 7.415358
160934051971072; 17.833708; -9.281759; 7.872386
160934051971072; 17.833708; -9.281759; 7.872386
160934068748288; 17.001005; -8.470592; 6.422336
160934068748288; 17.001005; -8.470592; 6.422336
160934085525504; 17.001005; -8.470592; 6.422336
160934085525504; 18.778872; -8.228917; 7.092326
160934102302720; 18.778872; -8.228917; 7.092326
160934102302720; 19.334007; -7.561319; 6.781260
160934119079936; 19.334007; -7.561319; 6.781260
160934135857152; 19.996819; -7.240681; 2.864209
160934152634368; 18.975084; -7.087541; 1.146162
160934186188800; 8.082955; -11.985648; 5.558527
160934202966016; 8.082955; -11.985648; 5.558527
160934219743232; 2.696711; -14.847465; 0.988236
160934236520448; 2.696711; -14.847465; 0.988236
160934253297664; 2.526821; -18.230915; -2.239682
160934270074880; -3.084348; -23.956940; -4.551149
160934286852096; -3.084348; -23.956940; -4.551149
160934303629312; -2.835495; -22.030718; -6.221339
160934337183744; -1.739582; -19.692930; -7.793423
160934337183744; 1.272982; -22.841885; -12.765709
160934353960960; 1.272982; -22.841885; -12.765709
160934353960960; 5.276174; -20.317457; -18.798016
160934370738176; 5.276174; -20.317457; -18.798016
160934387515392; 7.616354; -15.168102; -18.506090
160934387515392; 11.169696; -21.379869; -15.830914
160934404292608; 11.796616; -20.310278; -16.256838
160934421069824; 11.796616; -20.310278; -16.256838
160934437847040; 11.298908; -19.994427; -15.656239
160934471401472; 7.156932; -15.524633; -8.508878
160934504955904; 6.723832; -13.359129; -7.209575
160934521733120; 7.061220; -10.372886; -4.120440
160934555287552; 6.625726; -6.360123; -0.485743
160934572064768; 6.472585; -2.062613; 3.050849
160934572064768; 6.472585; -2.062613; 3.050849
160934588841984; 6.472585; -2.062613; 3.050849
160934588841984; 6.853044; -0.098106; 6.544370
160934605619200; 6.853044; -0.098106; 6.544370
160934605619200; 7.477571; 2.696711; 6.448657
160934605619200; 7.477571; 2.696711; 6.448657
160934622396416; 7.477571; 2.696711; 6.448657
160934639173632; 9.025727; 4.103691; 4.991428
160934655950848; 9.822537; 6.132804; 4.429115
160934672728064; 9.073584; 6.862615; 5.898308
160934672728064; 9.073584; 6.862615; 5.898308
160934689505280; 7.795816; 7.077970; 6.790831
160934689505280; 7.795816; 7.077970; 6.790831
160934706282496; 7.255038; 7.025327; 6.893722
160934723059712; 7.142576; 7.743174; 5.938986
160934739836928; 7.893922; 5.819345; 5.606383
160934756614144; 8.176275; 3.708875; 6.039485
160934790168576; 8.085348; 0.248854; 8.372486
160934806945792; 6.474978; -0.435494; 9.162118
160934823723008; 7.587641; -1.844866; 9.183653
160934840500224; 10.004392; -3.290131; 9.927821
160934857277440; 11.480763; -3.871587; 11.868401
160934874054656; 12.961920; -6.410372; 12.583855
160934890831872; 16.376478; -7.582855; 14.237295
160934907609088; 16.804794; -8.293523; 12.607782
160934941163520; 19.362720; -8.499306; 9.353543
160934974717952; 20.781664; -11.990435; 10.057034
160934974717952; 20.781664; -11.990435; 10.057034
160935025049600; 14.720645; -6.144769; 4.766503
160935041826816; 14.720645; -6.144769; 4.766503
160935058604032; 11.899507; -7.444071; 4.792824
160935075381248; 8.133204; -11.332408; 2.983850
160935092158464; 6.441479; -14.323437; 1.378266
160935108935680; 5.721239; -14.679967; 2.065006
160935125712896; 5.721239; -14.679967; 2.065006
160935142490112; 1.241875; -13.517056; 1.797010
160935159267328; 1.241875; -13.517056; 1.797010
160935159267328; 0.047856; -16.828722; 0.789631
160935192821760; -1.471586; -16.311872; 1.136591
160935209598976; -5.340780; -12.971492; 1.737189
160935226376192; -8.020741; -10.052248; -2.761317
