time; x; y; z
160932307140608; -0.052412; 0.028772; 0.033903
160932340695040; -0.025534; 0.035491; 0.027184
160932357472256; 0.002566; 0.035491; 0.021686
160932374249472; -0.002321; 0.034270; 0.019242
160932391026688; -0.034086; 0.042211; 0.013744
160932407803904; 0.014783; 0.036713; -0.000305
160932424581120; 0.016005; 0.042211; -0.002749
160932441358336; -0.001710; 0.034880; -0.001527
160932441358336; -0.001710; 0.034880; -0.001527
160932458135552; -0.007208; 0.026939; -0.000916
160932458135552; -0.005376; 0.018387; -0.003971
160932474912768; 0.002566; 0.018387; -0.010690
160932491689984; 0.005620; 0.006781; -0.018631
160932508467200; 0.006842; 0.009224; -0.013134
160932525244416; -0.004154; 0.004948; -0.010690
160932525244416; -0.067684; -0.021930; -0.005192
160932542021632; -0.086621; -0.032926; -0.007025
160932558798848; -0.095173; -0.056139; -0.017410
160932575576064; -0.206961; -0.112949; -0.043066
160932575576064; -0.329134; -0.153266; -0.055894
160932592353280; -0.487348; -0.209466; -0.077885
160932609130496; -0.698097; -0.283991; -0.123089
160932609130496; -1.336451; -0.533835; -0.241597
160932625907712; -1.701138; -0.703656; -0.343001
160932642684928; -2.015122; -0.930898; -0.473726
160932642684928; -2.191662; -1.140424; -0.558636
160932659462144; -2.275962; -1.318797; -0.794430
160932676239360; -2.567344; -1.792217; -1.156673
160932693016576; -2.750604; -1.975477; -1.347874
160932709793792; -3.305881; -2.293738; -1.616655
160932743348224; -4.703540; -2.756774; -2.016772
160932776902656; -6.093869; -2.838630; -2.589152
160932793679872; -6.851953; -2.561297; -2.769358
160932827234304; -8.360791; -2.103148; -3.039971
160932844011520; -9.436524; -1.149587; -3.304476
160932877565952; -9.628947; -0.409219; -3.428481
160932894343168; -9.143310; 0.713552; -3.322802
160932911120384; -9.024191; 1.066021; -3.218954
160932927897600; -8.831768; 1.730642; -3.117551
160932944674816; -8.677219; 2.010419; -3.117551
160932978229248; -8.074906; 3.054998; -3.014315
160932995006464; -7.940515; 3.394028; -2.757140
160933011783680; -7.894700; 3.712900; -2.280665
160933078892544; -6.996118; 4.337204; -0.383929
160933095669760; -6.615548; 4.441051; 0.408974
160933112446976; -6.142128; 4.450825; 0.996016
160933146001408; -5.971696; 4.419671; 1.300227
