time; x; y; z
158315631869952; 0.564706; 6.872187; 7.774281
158315631869952; 0.564706; 6.872187; 7.774281
158315665424384; 0.696311; 6.412765; 7.233503
158315682201600; 0.696311; 6.412765; 7.233503
158315682201600; 0.696311; 6.412765; 7.233503
158315682201600; 0.696311; 6.412765; 7.233503
158315682201600; 0.696311; 6.412765; 7.233503
158315682201600; 0.569492; 6.656833; 7.269395
158315732533248; 0.531207; 6.654440; 7.295716
158315732533248; 0.531207; 6.654440; 7.295716
158315749310464; 0.674776; 6.293124; 7.310073
158315766087680; 0.674776; 6.293124; 7.310073
158315766087680; 0.758525; 6.293124; 7.331609
158315782864896; 0.796810; 6.451050; 7.305287
158315799642112; 0.624527; 6.683154; 7.245467
158315833196544; 0.557528; 6.664011; 7.173682
158315833196544; 0.552742; 6.599405; 7.233503
158315866750976; 0.600598; 6.551548; 7.384251
158315883528192; 0.581456; 6.508478; 7.185647
158315917082624; 0.464208; 6.436693; 7.085148
158315933859840; 0.550349; 6.479764; 6.984649
158315950637056; 0.600598; 6.463014; 6.996614
158315967414272; 0.574277; 6.774081; 7.063612
158316000968704; 0.930808; 7.166504; 7.097112
158316034523136; 3.361916; 8.310273; 6.037092
158316068077568; 2.151148; 7.814959; 5.819345
158316084854784; 2.754139; 7.235896; 5.505885
158316101632000; 2.187040; 5.233103; 5.008178
158316118409216; 1.598405; 3.120241; 4.843073
158316135186432; 1.301695; 1.385444; 4.522435
158316151963648; 0.423530; -0.686740; 3.854837
158316168740864; -1.797010; -3.560520; 2.636891
158316202295296; -3.771089; -6.640083; 1.600798
158316202295296; -3.821338; -7.728817; 1.024128
158316219072512; -4.359723; -9.126225; 0.425922
158316219072512; -4.811966; -10.092926; 0.088534
158316235849728; -5.324030; -10.700703; -0.193819
158316269404160; -5.283352; -11.521441; -0.043071
158316269404160; -5.714060; -11.904293; -0.830309
158316286181376; -5.984449; -11.952149; -0.935594
158316302958592; -6.802795; -11.911471; -1.150948
158316302958592; -6.453443; -11.655439; 0.418744
158316319735808; -5.379066; -11.411371; 0.851845
158316336513024; -4.436293; -10.516456; 1.024128
158316336513024; -3.708875; -9.982856; 0.942772
158316336513024; -3.708875; -9.982856; 0.942772
158316353290240; -3.158526; -8.968299; 0.296710
158316370067456; -3.158526; -8.968299; 0.296710
158316403621888; -1.658226; -10.155139; 1.026521
158316420399104; -0.595813; -9.812965; 0.258425
158316437176320; -0.162712; -9.494720; 0.105284
158316437176320; 0.248854; -8.930014; 0.031107
158316453953536; 1.148555; -8.630911; 0.823131
158316487507968; 2.383251; -8.149954; 0.899701
158316504285184; 3.684947; -7.668997; 0.014357
158316521062400; 4.393222; -7.846066; -1.572084
158316537839616; 5.376672; -8.329415; -2.380858
158316554616832; 5.376672; -8.329415; -2.380858
158316571394048; 6.896115; -8.350951; -2.615355
158316621725696; 10.392029; -10.090533; -9.394221
158316638502912; 11.497513; -10.727024; -9.693324
158316638502912; 11.497513; -10.727024; -9.693324
158316638502912; 11.497513; -10.727024; -9.693324
158316655280128; 12.205789; -10.870593; -8.757730
158316672057344; 12.205789; -10.870593; -8.757730
158316672057344; 12.205789; -10.870593; -8.757730
158316672057344; 12.698709; -10.255638; -9.686146
158316688834560; 14.273187; -10.389636; -11.746367
158316705611776; 14.273187; -10.389636; -11.746367
158316705611776; 15.725631; -10.564312; -12.866207
158316722388992; 15.292529; -10.535598; -13.115061
158316739166208; 13.897514; -9.930214; -12.210574
158316755943424; 13.897514; -9.930214; -12.210574
158316772720640; 13.897514; -9.930214; -12.210574
158316772720640; 13.933406; -9.341579; -13.622339
158316789497856; 14.428720; -9.954143; -16.271194
158316806275072; 12.449856; -10.078569; -15.718451
158316839829504; 8.896515; -8.518449; -13.646268
158316856606720; 7.314859; -6.537191; -14.383257
158316873383936; 6.467800; -6.965507; -15.912271
158316890161152; 4.625326; -6.441479; -17.627924
158316906938368; 1.507478; -6.455835; -16.146767
158316923715584; 1.277767; -4.900501; -16.505692
158316940492800; 2.182254; -3.919444; -16.017555
158316940492800; 2.182254; -3.919444; -16.017555
158316957270016; 3.493521; -5.510671; -13.866407
158316974047232; 1.141376; -5.458028; -13.239488
158316990824448; 1.141376; -5.458028; -13.239488
158317007601664; 0.844666; -5.333601; -11.408978
158317024378880; 1.088734; -5.151747; -9.387043
158317041156096; 1.184447; -3.670590; -6.876972
158317057933312; 1.184447; -3.670590; -6.876972
158317057933312; 1.653440; -2.868994; -4.357330
158317091487744; 1.612762; -2.124826; -3.900301
158317108264960; 1.878366; 0.284746; -5.615955
158317125042176; 2.175076; -0.327817; -4.311866
158317141819392; 2.175076; -0.327817; -4.311866
158317141819392; 2.175076; -0.327817; -4.311866
158317192151040; 4.766503; 1.591227; 1.483550
158317208928256; 4.855037; -0.002393; 5.716453
158317225705472; 2.986243; -2.914458; 10.210175
158317242482688; 2.986243; -2.914458; 10.210175
158317259259904; 1.339981; -3.352345; 10.372886
158317276037120; 0.093320; -4.517649; 9.638289
158317292814336; -0.081356; -4.443471; 9.020942
158317309591552; -0.662812; -5.331209; 9.042477
158317326368768; -0.662812; -5.331209; 9.042477
158317326368768; -2.179862; -6.092126; 8.673982
158317343145984; -2.179862; -6.092126; 8.673982
158317359923200; -3.227918; -5.826523; 9.054440
158317359923200; -2.514857; -5.089534; 8.353344
158317376700416; -2.514857; -5.089534; 8.353344
158317393477632; -1.150948; -6.896115; 8.549556
158317393477632; -0.344566; -8.142776; 8.372486
158317427032064; -0.698704; -8.197810; 7.441679
158317427032064; -0.698704; -8.197810; 7.441679
158317443809280; -1.201197; -8.137990; 6.446264
158317477363712; -0.086142; -8.126026; 6.317052
158317494140928; 0.796810; -7.812566; 6.451050
158317494140928; 0.796810; -7.812566; 6.451050
158317510918144; 1.356730; -7.465607; 5.599205
158317527695360; 1.356730; -7.465607; 5.599205
158317544472576; 2.447858; -7.795816; 6.652047
158317561249792; 4.113262; -7.623533; 6.427122
158317578027008; 8.772088; -13.031312; 8.346166
158317611581440; 13.454842; -15.929020; 8.618947
158317628358656; 15.077175; -12.882957; 6.532406
158317628358656; 17.962919; -13.576876; 6.271588
158317645135872; 20.638096; -15.708880; 5.972486
158317661913088; 20.638096; -15.708880; 5.972486
158317678690304; 17.900705; -12.009577; 3.976871
158317678690304; 17.900705; -12.009577; 3.976871
158317695467520; 17.338392; -9.284152; 0.727418
158317712244736; 17.644674; -9.954143; 0.535992
158317729021952; 12.169896; -10.660025; 1.323231
158317745799168; 12.169896; -10.660025; 1.323231
158317762576384; 6.058627; -9.430114; 1.160519
158317796130816; -0.792024; -8.733803; -1.880759
158317812908032; -0.792024; -8.733803; -1.880759
158317846462464; -3.443272; -10.569098; -4.122833
158317880016896; 0.064606; -11.794223; -2.744568
158317896794112; 4.000800; -12.911671; -2.486143
158317913571328; 6.573084; -12.296716; -7.601997
158317930348544; 8.683554; -9.138189; -8.700303
158317930348544; 8.683554; -9.138189; -8.700303
158317947125760; 6.317052; -15.878771; -10.583454
158317963902976; 4.027121; -14.663218; -9.080762
158317980680192; 4.027121; -14.663218; -9.080762
158317980680192; 4.431508; -13.847264; -7.592426
158317997457408; 4.431508; -13.847264; -7.592426
158317997457408; 2.703890; -12.327823; -6.848258
158318014234624; 0.746561; -8.516056; -3.897908
158318031011840; -0.626920; -6.731010; -1.284946
158318047789056; -0.626920; -6.731010; -1.284946
158318064566272; -0.887737; -4.005585; 0.452243
158318081343488; -1.198804; -3.062813; 2.658426
158318081343488; -1.198804; -3.062813; 2.658426
158318098120704; -1.071985; -3.945765; 4.589434
158318114897920; -0.275175; -3.579663; 3.318845
158318131675136; -0.275175; -3.579663; 3.318845
158318131675136; -0.689133; -2.170290; 1.931008
158318148452352; -0.689133; -2.170290; 1.931008
158318165229568; -0.906880; -1.024128; 0.859023
158318165229568; -0.906880; -1.024128; 0.859023
158318165229568; -0.198604; -2.141576; 2.026721
158318182006784; 0.995414; -3.089134; 3.912265
158318198784000; 1.756332; -3.062813; 2.419144
158318232338432; 1.672583; -2.617748; 1.852045
158318265892864; 1.308874; -2.318645; 3.089134
158318299447296; 3.428915; -2.376073; 3.964907
158318316224512; 4.146761; -4.156333; 4.177868
158318333001728; 4.998607; -5.678168; 5.704489
158318366556160; 8.018349; -7.927422; 5.821737
158318383333376; 9.166903; -10.112068; 5.496314
158318400110592; 9.451650; -11.880364; 8.394022
158318416887808; 12.047862; -14.057833; 11.282159
158318450442240; 16.649260; -12.368501; 9.193225
158318467219456; 19.283758; -13.615161; 8.695518
158318483996672; 20.015961; -13.493127; 8.396415
158318517551104; 16.417156; -8.516056; 1.914258
158318534328320; 13.270595; -11.054841; 2.749353
158318551105536; 9.075976; -11.564512; 3.460021
158318567882752; 2.883351; -9.276974; -0.875773
158318584659968; 2.883351; -9.276974; -0.875773
158318601437184; -2.727818; -9.475577; -0.916451
158318618214400; -2.603391; -10.193424; -1.160519
158318651768832; -0.626920; -10.530812; -3.199204
158318651768832; 0.236889; -8.956335; -2.481357
158318668546048; 0.236889; -8.956335; -2.481357
158318668546048; 5.328816; -11.327622; 1.533799
158318685323264; 5.328816; -11.327622; 1.533799
158318702100480; 4.266403; -15.062819; -2.739782
158318702100480; 5.410172; -10.365707; -6.211768
158318718877696; 5.410172; -10.365707; -6.211768
158318735654912; 8.530413; -14.557933; -5.702096
158318735654912; 8.530413; -14.557933; -5.702096
158318735654912; 7.700103; -11.523834; -4.199404
158318752432128; 7.700103; -11.523834; -4.199404
158318769209344; 5.802595; -17.525034; -6.991828
158318785986560; 5.328816; -15.931413; -6.903293
158318802763776; 3.814159; -15.510277; -5.793024
158318819540992; 3.814159; -15.510277; -5.793024
158318819540992; 1.990828; -10.705488; -4.007978
158318836318208; 1.990828; -10.705488; -4.007978
158318853095424; 0.052642; -6.463014; -1.643869
158318869872640; -0.533599; -6.072984; -0.059821
158318886649856; -0.160319; -3.574877; 0.634098
158318903427072; -0.234497; -1.507478; 3.098705
158318920204288; -0.686740; -2.567499; 4.012764
158318936981504; -0.686740; -2.567499; 4.012764
158318953758720; -0.421137; -2.943172; 2.148755
158318970535936; -0.019143; -1.024128; 1.167697
158319004090368; -0.078963; -2.084148; 3.053242
158319020867584; 0.442672; -2.122434; 3.878766
158319037644800; 0.856631; -1.232304; 2.177469
158319054422016; 0.796810; -1.158126; 1.067199
158319071199232; 1.301695; -2.486143; 2.804388
158319087976448; 4.677969; -6.539584; 4.213761
158319104753664; 4.677969; -6.539584; 4.213761
158319121530880; 8.427522; -7.635497; 2.203790
158319138308096; 8.149954; -9.279366; 2.813959
158319138308096; 8.149954; -9.279366; 2.813959
158319155085312; 9.346365; -12.973885; 6.960721
158319188639744; 12.928421; -12.299109; 10.035499
158319205416960; 15.065211; -13.373486; 9.736395
158319222194176; 16.797615; -14.780465; 9.343972
158319238971392; 16.797615; -14.780465; 9.343972
158319255748608; 16.579868; -13.339986; 8.621340
158319272525824; 15.589239; -8.470592; 5.630311
158319289303040; 15.996019; -10.461421; 5.747560
158319306080256; 15.996019; -10.461421; 5.747560
158319306080256; 13.052848; -11.389835; 5.132605
158319322857472; 13.052848; -11.389835; 5.132605
158319322857472; 8.951550; -9.437292; 4.125226
158319339634688; 5.039285; -6.427122; 1.725225
158319356411904; 1.785046; -8.391629; 0.863809
158319373189120; 1.785046; -8.391629; 0.863809
158319389966336; -0.131605; -9.535398; 2.122434
158319406743552; -0.622134; -7.317252; -2.409572
158319423520768; -0.803988; -8.226524; -0.981057
158319440297984; -0.803988; -8.226524; -0.981057
158319457075200; 1.194018; -9.044869; -1.804188
158319473852416; 5.467600; -5.501099; 2.342573
158319473852416; 3.972085; -14.902499; 0.870987
158319490629632; 5.888737; -12.928421; -4.878965
158319507406848; 5.888737; -12.928421; -4.878965
158319524184064; 9.114262; -12.756138; -7.219146
158319524184064; 8.822337; -15.622739; -5.747560
158319540961280; 8.822337; -15.622739; -5.747560
158319557738496; 7.133004; -17.242680; -6.046663
158319557738496; 7.133004; -17.242680; -6.046663
158319591292928; 3.230311; -17.529819; -7.068398
158319608070144; 1.768296; -12.220145; -3.919444
158319624847360; -0.093320; -7.826923; -2.065006
158319658401792; -0.859023; -5.950950; -0.610170
158319675179008; -0.746561; -4.098905; -0.751346
158319691956224; -0.428315; -1.658226; -0.586242
158319708733440; -0.258425; 0.715454; 1.418944
158319725510656; 0.186640; -1.306481; 2.799603
158319759065088; 2.105684; -0.940379; 1.873580
158319775842304; 2.105684; -0.940379; 1.873580
158319792619520; 1.208375; 0.729811; 0.538385
158319809396736; 1.208375; 0.729811; 0.538385
158319842951168; 0.806381; -1.375873; 2.526821
158319859728384; 2.062613; -3.110669; 4.512864
158319893282816; 2.177469; -3.089134; 2.766103
158319926837248; 3.723232; -4.319045; 5.254639
158319926837248; 3.723232; -4.319045; 5.254639
158319960391680; 12.466606; -15.278172; 10.222138
158319977168896; 14.763716; -15.050855; 11.308480
158319977168896; 14.763716; -15.050855; 11.308480
158319993946112; 14.462220; -13.318451; 9.860822
158319993946112; 14.462220; -13.318451; 9.860822
158320010723328; 15.869200; -12.059826; 8.303095
158320027500544; 18.144773; -13.847264; 7.733603
158320044277760; 18.144773; -13.847264; 7.733603
158320061054976; 17.513069; -13.438092; 6.068198
158320077832192; 16.326229; -9.549755; 3.517449
158320094609408; 14.792430; -9.181260; 3.079563
158320111386624; 11.339586; -12.064611; 2.993421
158320128163840; 6.333802; -9.358330; 1.191626
158320144941056; 1.674976; -7.743174; 0.320638
158320161718272; -0.897308; -8.922835; -2.483750
158320195272704; -1.416551; -12.193824; 0.047856
158320212049920; -0.373280; -11.483156; -1.974079
158320228827136; 0.275175; -9.571291; -4.074977
158320262381568; 2.490928; -6.752545; -3.974478
158320279158784; 3.835695; -13.500305; 0.095713
158320295936000; 4.146761; -12.880565; -3.419343
158320312713216; 6.082555; -12.021541; -6.561120
158320329490432; 9.477970; -14.636896; -5.441278
158320346267648; 8.257631; -18.360128; -5.027320
158320363044864; 6.041877; -18.695124; -5.948557
158320379822080; 3.586841; -15.378671; -4.883751
158320413376512; 2.318645; -9.741181; -2.608177
158320430153728; 1.873580; -6.319445; -0.040678
158320446930944; 0.607777; -4.649254; 2.354537
158320463708160; -0.473779; -3.182454; 3.924229
158320497262592; -0.686740; -1.363909; 4.091727
158320514039808; -0.686740; -1.363909; 4.091727
158320514039808; -0.136391; -2.376073; 4.996214
158320530817024; -0.165105; -0.555135; 4.733003
158320547594240; -0.528814; -0.792024; 3.689733
158320564371456; 0.138784; -1.986043; 3.603591
158320597925888; 0.796810; -2.129612; 4.869394
158320614703104; 0.827917; -2.912065; 5.158926
158320631480320; 0.866202; -2.273181; 4.311866
158320648257536; 1.268196; -2.139184; 4.213761
158320665034752; 1.569692; -3.175276; 4.297510
158320681811968; 4.139583; -5.307281; 5.766703
158320698589184; 8.135597; -8.683554; 5.723632
158320732143616; 8.906086; -10.609776; 5.003392
158320748920832; 9.320045; -13.079168; 8.587840
158320765698048; 12.009577; -15.239887; 11.298908
158320782475264; 14.112868; -13.167703; 9.769895
158320799252480; 15.574883; -13.488341; 9.662218
158320816029696; 15.711273; -14.761323; 9.439685
158320832806912; 15.665810; -11.459228; 6.190232
158320849584128; 16.153946; -7.061220; 1.744368
158320883138560; 15.108282; -11.818151; 2.761317
158320899915776; 11.344372; -11.102697; 2.976671
158320916692992; 5.142176; -6.008378; 1.127020
158320933470208; 0.256032; -6.838687; 0.284746
158320950247424; -0.748953; -11.145768; -1.452443
158320967024640; -1.447658; -10.435100; -2.024328
158321000579072; -1.138984; -9.310472; -1.966900
158321017356288; 0.234497; -10.305887; -3.299702
158321034133504; 2.414358; -7.963314; -4.455436
158321050910720; 3.914658; -12.780066; -1.631905
158321067687936; 4.886144; -15.586846; -2.215754
158321101242368; 8.384451; -15.505490; -5.381458
158321118019584; 8.556734; -17.070396; -4.919643
158321134796800; 8.123632; -17.663816; -2.490928
