time; x; y; z
158498688073728; 0.689133; 6.290731; 7.494320
158498688073728; 0.689133; 6.290731; 7.494320
158498688073728; 0.689133; 6.290731; 7.494320
158498771959808; 0.933201; 6.123233; 7.365108
158498788737024; 1.060020; 6.209375; 7.247860
158498788737024; 1.083949; 6.305088; 7.183254
158498788737024; 1.083949; 6.305088; 7.183254
158498788737024; 1.083949; 6.343373; 7.137790
158498805514240; 1.083949; 6.343373; 7.137790
158498805514240; 1.103091; 6.611369; 7.183254
158498822291456; 1.153340; 6.967899; 7.211967
158498822291456; 1.031307; 6.955935; 7.298109
158498839068672; 0.885344; 6.824330; 7.391429
158498839068672; 0.885344; 6.824330; 7.391429
158498855845888; 0.875773; 6.326623; 7.288538
158498855845888; 0.765703; 6.329016; 7.147361
158498889400320; 0.954736; 6.405586; 7.037292
158498906177536; 0.830309; 6.630512; 7.130611
158498939731968; 0.844666; 6.819544; 7.008577
158498956509184; 0.894916; 6.726224; 7.056434
158498990063616; 0.995414; 6.465407; 7.252645
158499040395264; 1.217947; 6.589834; 6.987042
158499040395264; 1.158126; 6.776474; 6.819544
158499073949696; 1.507478; 7.322037; 6.608976
158499090726912; 3.268596; 7.135397; 6.001199
158499090726912; 3.744767; 6.941578; 5.726025
158499107504128; 2.890530; 6.886544; 5.517849
158499124281344; 1.588834; 6.951150; 5.709275
158499174612992; 2.165504; 7.034899; 5.764310
158499174612992; 1.976472; 6.589834; 6.003592
158499191390208; 1.878366; 6.049056; 6.178268
158499191390208; 2.033899; 5.194818; 6.544370
158499208167424; 2.213361; 4.051049; 6.714260
158499224944640; 2.103291; 3.462414; 6.379265
158499241721856; 2.165504; 2.574677; 6.132804
158499258499072; 2.086541; -0.519243; 5.912665
158499258499072; 1.780260; -2.275574; 5.927022
158499275276288; 0.926022; -4.663611; 5.556134
158499292053504; 0.550349; -5.472385; 5.261817
158499308830720; 0.277567; -8.104490; 4.565506
158499325607936; -0.303888; -9.607183; 3.316452
158499342385152; -2.251646; -10.313066; 1.897508
158499359162368; -3.026921; -11.176874; 1.150948
158499375939584; -2.718246; -11.344372; 1.220340
158499392716800; -2.459822; -10.674382; 1.002593
158499426271232; -4.682754; -10.664810; -1.624727
158499459825664; -5.371887; -13.162917; -2.084148
158499476602880; -5.041677; -13.761123; -1.488336
158499493380096; -5.144569; -12.361321; -0.849452
158499526934528; -5.850451; -9.631111; -0.488136
158499526934528; -5.850451; -9.631111; -0.488136
158499577266176; -5.292923; -9.906285; -1.026521
158499594043392; -5.426922; -10.289138; -0.839881
158499594043392; -5.426922; -10.289138; -0.839881
158499610820608; -5.426922; -10.289138; -0.839881
158499661152256; -3.797410; -9.346365; -0.823131
158499677929472; -3.653840; -8.427522; -0.990629
158499711483904; -2.768496; -7.726424; -0.677169
158499745038336; -2.581856; -7.389036; -0.253639
158499778592768; -0.717847; -7.255038; 1.861616
158499812147200; 0.981057; -7.209575; 0.421137
158499845701632; 2.237289; -7.384251; 0.284746
158499862478848; 4.302295; -8.511271; 2.170290
158499879256064; 4.302295; -8.511271; 2.170290
158499912810496; 7.173682; -7.439286; -0.445065
158499912810496; 7.173682; -7.439286; -0.445065
158499929587712; 8.207381; -8.343773; -2.347359
158499946364928; 8.831908; -10.001999; -2.610569
158499979919360; 9.911072; -10.377672; -2.452643
158499996696576; 12.330215; -11.734403; -7.781459
158500013473792; 12.330215; -11.734403; -7.781459
158500047028224; 13.763515; -11.729616; -8.961121
158500063805440; 13.782659; -10.497313; -9.946963
158500080582656; 13.631910; -10.884951; -10.674382
158500114137088; 13.792230; -11.423335; -11.265409
158500130914304; 13.794622; -12.564712; -11.200803
158500130914304; 13.447663; -11.478371; -12.124433
158500181245952; 11.514262; -9.774680; -14.325830
158500181245952; 11.514262; -9.774680; -14.325830
158500214800384; 7.369894; -7.640283; -14.773287
158500265132032; 0.768096; -5.783453; -14.258830
158500281909248; 0.768096; -5.783453; -14.258830
158500298686464; -0.229711; -7.044470; -14.026727
158500315463680; -0.229711; -7.044470; -14.026727
158500315463680; -0.229711; -7.044470; -14.026727
158500332240896; -0.270389; -7.341180; -14.124832
158500349018112; 0.205783; -8.999406; -13.849657
158500382572544; 0.526421; -8.358130; -12.335001
158500382572544; 0.859023; -7.097112; -9.190832
158500416126976; 0.882952; -5.831309; -5.876772
158500432904192; 1.328017; -3.936193; -3.474379
158500449681408; 1.612762; -2.359323; -2.624926
158500466458624; 1.402194; -1.517050; -2.732604
158500483235840; 1.246661; -2.246861; -2.292324
158500500013056; 2.172683; -0.698704; -1.584049
158500516790272; 2.656033; 0.662812; 0.739382
158500533567488; 2.517249; -0.086142; 4.247260
158500567121920; 1.426122; 0.265603; 4.898108
158500583899136; 1.426122; 0.265603; 4.898108
158500600676352; 1.670190; -0.526421; 6.979864
158500600676352; 1.670190; -0.526421; 6.979864
158500634230784; 1.543371; -1.548156; 8.925228
158500667785216; -1.780260; -2.275574; 7.513463
158500684562432; -1.947758; -2.926422; 8.224132
158500701339648; -1.105484; -3.448057; 9.834501
158500701339648; -1.105484; -3.448057; 9.834501
158500718116864; -1.667797; -2.916851; 10.439885
158500734894080; -2.670390; -2.349752; 8.353344
158500751671296; -2.289931; -3.759124; 8.082955
158500751671296; -2.289931; -3.759124; 8.082955
158500785225728; -0.248854; -5.316852; 9.298509
158500818780160; 0.562313; -6.429514; 9.796216
158500835557376; 0.423530; -6.750153; 8.181061
158500852334592; 0.320638; -6.173482; 7.448857
158500902666240; 1.639084; -8.051848; 7.965706
158500919443456; 3.115455; -7.546963; 8.331808
158500952997888; 4.962714; -7.836494; 7.762317
158500952997888; 4.962714; -7.836494; 7.762317
158500986552320; 18.513269; -12.397214; 9.233903
158500986552320; 18.513269; -12.397214; 9.233903
158501020106752; 16.912470; -11.775081; 5.965307
158501020106752; 16.912470; -11.775081; 5.965307
158501036883968; 16.067804; -10.846665; 4.213761
158501070438400; 14.526826; -12.174682; 3.428915
158501070438400; 11.708081; -12.047862; 1.993221
158501103992832; 7.013363; -10.174282; -1.639084
158501137547264; -4.232903; -15.515062; -1.071985
158501171101696; 0.222533; -9.396614; -3.115455
158501187878912; 3.543770; -10.013963; -2.572284
158501221433344; 5.099105; -11.502298; -0.344566
158501238210560; 4.096512; -11.916257; -3.926622
158501238210560; 4.101298; -12.067004; -6.719046
158501254987776; 4.101298; -12.067004; -6.719046
158501305319424; 2.053042; -14.526826; -4.931607
158501338873856; -1.344766; -9.741181; -3.680161
158501372428288; -1.349552; -7.219146; -0.409173
158501389205504; -1.785046; -4.972285; 1.067199
158501405982720; -2.471786; -2.359323; 1.447658
158501422759936; -1.875973; -1.634298; 3.168097
158501439537152; -0.483350; -2.603391; 5.946164
158501473091584; -0.727418; -4.153940; 5.814559
158501489868800; -0.897308; -3.139383; 2.770889
158501523423232; 0.043071; -4.000800; 3.438486
158501540200448; 0.043071; -4.000800; 3.438486
158501556977664; 0.538385; -3.507878; 2.364109
158501573754880; 0.538385; -3.507878; 2.364109
158501590532096; 1.426122; -4.840680; 2.782853
158501590532096; 1.916651; -4.450650; 3.747160
158501624086528; 1.201197; -4.311866; 5.067998
158501640863744; 2.220539; -3.881158; 5.084748
158501657640960; 5.245067; -5.158926; 5.249853
158501674418176; 8.085348; -5.548956; 5.209175
158501674418176; 8.085348; -5.548956; 5.209175
158501691195392; 6.934400; -5.079962; 5.592027
158501707972608; 8.360522; -7.968100; 6.829116
158501741527040; 14.974284; -10.628919; 9.779466
158501758304256; 17.654245; -14.562718; 9.997213
158501791858688; 18.876978; -11.995220; 7.580462
158501808635904; 19.453648; -15.474384; 7.424929
158501808635904; 19.453648; -15.474384; 7.424929
158501825413120; 16.692331; -15.096318; 5.347959
158501858967552; 13.964513; -11.432906; 2.682354
158501892521984; 3.725625; -10.353744; 2.371287
158501959630848; -2.828316; -7.585248; -1.627119
158501959630848; -2.038685; -11.040483; -2.309074
158501976408064; 0.401994; -10.135997; -1.569692
158501993185280; 0.401994; -10.135997; -1.569692
158501993185280; 1.914258; -8.300702; -2.323431
158502026739712; 4.460221; -5.302495; 1.220340
158502043516928; 3.706482; -14.395221; -0.500100
158502060294144; 6.072984; -12.126825; -3.596412
158502093848576; 6.013163; -12.571890; -2.919244
158502127403008; 4.237689; -14.943177; -3.280560
158502160957440; 0.129212; -11.011770; -3.196811
158502177734656; -1.406980; -7.386643; -0.512064
158502194511872; -2.512464; -5.934200; 0.468993
158502211289088; -2.907279; -3.352345; 0.442672
158502228066304; -2.907279; -3.352345; 0.442672
158502244843520; -2.572284; -1.710868; 0.507278
158502261620736; -1.576870; -2.634498; 2.524428
158502278397952; -1.347159; -3.936193; 3.917051
158502295175168; -1.363909; -3.282953; 3.132205
158502328729600; -0.868595; -1.462015; 0.445065
158502345506816; 0.265603; -3.541378; 2.620141
158502345506816; 0.265603; -3.541378; 2.620141
158502362284032; 1.244268; -3.048456; 4.165904
158502379061248; 1.622334; -5.637490; 3.148955
158502395838464; 1.622334; -5.637490; 3.148955
158502412615680; 1.562513; -5.596812; 2.811567
158502429392896; 1.782653; -3.814159; 3.802195
158502446170112; 3.220739; -4.950750; 3.692125
158502462947328; 7.853244; -8.504091; 4.321438
158502479724544; 7.853244; -8.504091; 4.321438
158502479724544; 10.676775; -10.286744; 5.874380
158502496501760; 9.786645; -10.549955; 8.137990
158502513278976; 10.758131; -11.595618; 8.870193
158502530056192; 10.758131; -11.595618; 8.870193
158502546833408; 18.312271; -15.177674; 8.740981
158502563610624; 16.845472; -14.864214; 8.453842
158502597165056; 16.137196; -11.442478; 5.012963
158502597165056; 16.137196; -11.442478; 5.012963
158502613942272; 15.627524; -11.284552; 3.022135
158502630719488; 14.014762; -12.564712; 3.414558
158502647496704; 10.303494; -9.422935; 2.689533
158502664273920; 10.303494; -9.422935; 2.689533
158502681051136; 5.759524; -7.740781; 2.380858
158502697828352; 1.442872; -9.334401; 2.660819
158502714605568; -1.500300; -9.401401; 1.744368
158502731382784; -1.512264; -7.886744; -1.351945
158502731382784; -1.512264; -7.886744; -1.351945
158502748160000; -1.383052; -9.157332; -4.096512
158502764937216; -1.383052; -9.157332; -4.096512
158502798491648; 3.436093; -9.638289; -2.325824
158502815268864; 4.467400; -7.329216; -0.823131
158502848823296; 5.132605; -15.115460; -0.399601
158502848823296; 5.132605; -15.115460; -0.399601
158502865600512; 8.319844; -12.899707; -3.505485
158502899154944; 9.760324; -13.954942; -6.190232
158502915932160; 9.760324; -13.954942; -6.190232
158502949486592; 7.166504; -13.208381; -3.120241
158502983041024; -2.476571; -5.663811; 0.449851
158503033372672; -0.533599; -4.005585; 2.682354
158503066927104; -0.294317; -4.287938; 2.715854
158503083704320; -0.449851; -1.919044; 1.775474
158503134035968; 1.220340; -4.132405; 4.498507
158503167590400; 2.019542; -2.536392; 3.792624
158503184367616; 0.629312; -3.632305; 3.610769
158503201144832; 0.629312; -3.632305; 3.610769
158503234699264; 7.046863; -8.221739; 3.471986
158503251476480; 7.929814; -7.446464; 2.014757
158503268253696; 9.255438; -9.908679; 6.082555
158503285030912; 9.255438; -9.908679; 6.082555
158503301808128; 15.586846; -13.777873; 8.310273
158503318585344; 16.663616; -12.299109; 7.927422
158503335362560; 17.742781; -14.050654; 9.255438
158503368916992; 16.412371; -13.710874; 7.556534
158503385694208; 14.601004; -11.404193; 4.419543
158503419248640; 13.445271; -10.013963; 3.668197
158503419248640; 10.805987; -11.430513; 4.900501
158503452803072; 2.955136; -9.951750; 1.974079
158503503134720; -0.440279; -11.370693; -2.017149
158503536689152; 0.299103; -9.719646; -0.902094
158503570243584; 2.134398; -7.678568; -2.344966
158503587020800; 3.964907; -5.642276; 0.514457
158503603798016; 3.586841; -13.088739; 0.229711
158503620575232; 8.188239; -10.753345; -4.005585
158503654129664; 7.113862; -13.280166; -1.581656
158503687684096; 2.876173; -13.631910; -3.366701
158503721238528; 1.294517; -10.652846; -1.454836
158503738015744; 0.169890; -7.570891; 0.224925
158503738015744; -0.827917; -5.046463; 1.579263
158503754792960; -0.827917; -5.046463; 1.579263
158503788347392; -1.184447; -2.852245; 3.579663
158503805124608; -1.316052; -3.742375; 3.907479
158503821901824; -0.763310; -3.294917; 3.270988
158503838679040; -0.763310; -3.294917; 3.270988
158503855456256; -0.727418; -1.971686; 2.438286
158503889010688; -0.308674; -3.826123; 4.007978
158503905787904; 0.110070; -4.144369; 4.869394
158503956119552; 1.411765; -4.737789; 4.453043
158503972896768; 4.321438; -6.565906; 5.438886
158504006451200; 7.133004; -8.446664; 4.409972
158504006451200; 7.673782; -8.262417; 4.259224
158504023228416; 9.193225; -9.351151; 7.331609
158504056782848; 13.337593; -13.016955; 10.997413
158504073560064; 16.094126; -13.990834; 10.703095
158504107114496; 16.158731; -10.162318; 7.451250
158504140668928; 15.342779; -13.083954; 6.264410
158504191000576; 8.295917; -9.032906; 3.632305
158504207777792; 4.728218; -11.274981; 3.438486
158504241332224; -1.201197; -9.533006; -2.778067
158504274886656; -0.380459; -11.411371; -1.150948
158504274886656; 1.483550; -9.145369; -0.141177
158504291663872; 1.483550; -9.145369; -0.141177
158504291663872; 1.483550; -9.145369; -0.141177
158504308441088; 2.074577; -6.345766; -2.957529
158504325218304; 3.242275; -6.285945; -4.141976
158504341995520; 3.818945; -12.327823; 2.220539
158504358772736; 5.000999; -14.103296; 1.514657
158504375549952; 5.000999; -14.103296; 1.514657
158504375549952; 6.343373; -14.419149; -2.383251
158504392327168; 6.343373; -14.419149; -2.383251
158504425881600; 1.512264; -16.565512; 0.394816
158504459436032; -2.493321; -11.655439; 0.057428
158504476213248; -2.979064; -8.238488; 1.457229
158504509767680; -1.998007; -4.319045; 1.282553
158504526544896; -1.349552; -2.545963; 0.179462
158504560099328; -0.457029; -1.878366; 0.806381
158504593653760; -0.011964; -2.189433; 3.184847
158504610430976; -0.533599; 0.337388; 0.354138
158504643985408; -0.464208; -0.674776; 0.057428
158504660762624; 0.488136; -0.698704; 2.342573
158504677539840; 1.265803; -1.619941; 4.421936
158504727871488; 3.136991; -3.302095; 5.694918
158504744648704; 3.136991; -3.302095; 5.694918
158504778203136; 3.136991; -3.302095; 5.694918
158504778203136; 3.136991; -3.302095; 5.694918
158504794980352; 7.054041; -8.262417; 7.534998
158504794980352; 7.054041; -8.262417; 7.534998
158504811757568; 7.054041; -8.262417; 7.534998
158504828534784; 7.666604; -12.244074; 7.152147
158504845312000; 7.666604; -12.244074; 7.152147
158504862089216; 12.926028; -14.048262; 11.815758
158504878866432; 12.926028; -14.048262; 11.815758
158504878866432; 12.926028; -14.048262; 11.815758
158504895643648; 15.471992; -13.148561; 9.420543
158504895643648; 15.471992; -13.148561; 9.420543
158504912420864; 13.332808; -12.011970; 6.144769
158504912420864; 12.279965; -9.456435; 2.208575
158504929198080; 12.279965; -9.456435; 2.208575
158504945975296; 9.934999; -8.870193; 1.265803
158504962752512; 5.910272; -9.413364; 3.330809
158504996306944; -1.225125; -5.357530; 1.141376
158505029861376; -0.674776; -8.798409; -1.282553
158505063415808; -0.016750; -8.324630; 0.363709
158505080193024; 3.311666; -9.152547; -0.734597
158505113747456; 3.562913; -12.667603; 0.308674
158505147301888; 9.334401; -16.031912; -2.553142
158505180856320; 7.695318; -17.797815; -1.667797
158505180856320; 4.934000; -19.412970; -1.447658
158505214410752; 2.785246; -17.359928; -1.172483
158505231187968; 0.983450; -12.801601; 0.540778
158505264742400; -1.452443; -4.905286; 0.524028
158505298296832; -1.660619; -2.510071; 0.583849
158505298296832; -1.454836; -1.931008; 1.533799
158505331851264; -0.265603; -0.660419; 2.885744
158505348628480; -0.145962; -2.947958; 5.300102
158505382182912; -0.614955; -0.428315; 1.646262
158505398960128; -0.648455; -0.277567; 1.131805
158505415737344; 0.849452; -1.471586; 4.173083
158505432514560; 1.261018; -2.026721; 5.740382
158505449291776; 0.787239; -1.361516; 4.091727
158505449291776; 0.787239; -1.361516; 4.091727
158505466068992; 0.787239; -1.361516; 4.091727
158505466068992; 0.787239; -1.361516; 4.091727
158505482846208; 1.521835; -1.966900; 3.790231
158505482846208; 5.895915; -4.249653; 6.326623
158505499623424; 5.895915; -4.249653; 6.326623
158505499623424; 5.895915; -4.249653; 6.326623
158505516400640; 7.867601; -8.604590; 7.164111
158505549955072; 11.416157; -12.780066; 7.109076
158505600286720; 14.486148; -10.100104; 9.154940
158505617063936; 16.563118; -8.717052; 8.973084
158505633841152; 17.635103; -10.435100; 9.956535
158505650618368; 16.082161; -11.444871; 9.856036
158505667395584; 14.754145; -9.729217; 6.898508
158505684172800; 13.019348; -7.884351; 4.615755
158505700950016; 13.019348; -7.884351; 4.615755
158505717727232; 5.752346; -8.025527; 4.407579
158505734504448; 5.752346; -8.025527; 4.407579
158505768058880; 0.110070; -4.869394; 1.536192
158505784836096; -0.208176; -6.927222; 0.868595
158505801613312; -1.071985; -7.802995; 1.074377
158505818390528; -0.023928; -7.750352; -2.084148
158505835167744; 1.488336; -10.286744; -1.081556
158505851944960; 1.488336; -10.286744; -1.081556
158505868722176; 5.010571; -9.994821; -1.095913
158505868722176; 3.804588; -8.683554; -0.768096
158505885499392; 3.804588; -8.683554; -0.768096
158505919053824; 10.341780; -14.931213; -1.765903
158505952608256; 9.485149; -15.122639; -2.177469
158505969385472; 5.496314; -17.333607; -1.859223
158505986162688; 3.062813; -15.711273; -1.320838
158506002939904; 3.062813; -15.711273; -1.320838
158506070048768; 1.306481; -5.146962; 2.091327
158506103603200; 0.129212; -1.911865; 2.976671
158506103603200; 0.722632; -2.371287; 4.577470
158506187489280; 0.820738; -0.803988; 4.524827
158506187489280; 0.820738; -0.803988; 4.524827
158506237820928; 1.619941; -1.112663; 5.568098
158506237820928; 1.698904; -1.734796; 5.692525
158506304929792; 7.389036; -6.041877; 6.879365
158506321707008; 9.832108; -10.707881; 7.422536
158506321707008; 9.832108; -10.707881; 7.422536
158506355261440; 13.773088; -10.545170; 9.686146
158506372038656; 17.288143; -9.406186; 9.224331
158506405593088; 17.441284; -11.392229; 9.844072
158506422370304; 17.441284; -11.392229; 9.844072
158506439147520; 16.335800; -9.487542; 5.809773
158506439147520; 16.335800; -9.487542; 5.809773
158506472701952; 11.676974; -11.562119; 4.649254
158506472701952; 11.676974; -11.562119; 4.649254
158506506256384; 6.960721; -8.085348; 2.648855
158506523033600; 1.868794; -6.362515; 1.203590
158506539810816; -0.311067; -8.348558; 0.100499
158506573365248; -0.760918; -7.898707; -2.057827
158506573365248; -0.760918; -7.898707; -2.057827
158506590142464; -0.552742; -6.898508; -2.617748
158506606919680; 0.909273; -8.346166; 0.272782
158506640474112; 3.527021; -7.905886; -1.598405
158506674028544; 3.792624; -13.344772; 1.232304
158506690805760; 6.116055; -13.146168; -0.622134
158506707582976; 8.508878; -13.596018; -1.375873
158506707582976; 8.508878; -13.596018; -1.375873
158506724360192; 8.836694; -16.902899; 0.186640
158506741137408; 6.082555; -18.927227; -0.995414
158506757914624; 6.082555; -18.927227; -0.995414
158506757914624; 6.082555; -18.927227; -0.995414
158506774691840; 6.082555; -18.927227; -0.995414
158506791469056; 6.082555; -18.927227; -0.995414
158506791469056; 6.082555; -18.927227; -0.995414
158506825023488; 3.287738; -16.919649; 0.122034
158506908909568; -0.071785; -2.734996; 4.965107
158506942464000; 0.916451; -0.894916; 4.201797
158506976018432; 1.146162; -1.607977; 4.902894
158507009572864; 1.540978; -1.272982; 5.024928
158507026350080; 1.540978; -1.272982; 5.024928
158507043127296; 2.964707; -1.787439; 7.063612
158507059904512; 2.964707; -1.787439; 7.063612
158507093458944; 6.975078; -7.494320; 6.604190
158507110236160; 8.628518; -9.949356; 7.441679
158507143790592; 13.741981; -13.914264; 10.741381
158507177345024; 16.778473; -10.080962; 9.547362
158507194122240; 17.182859; -10.896914; 10.777273
158507210899456; 17.020147; -13.395021; 11.057234
158507244453888; 15.172889; -10.368100; 3.072384
158507278008320; 9.200403; -9.992428; 3.701697
158507328339968; -0.768096; -7.530213; -0.480957
158507361894400; -0.433101; -8.037491; -2.285146
158507378671616; 0.547956; -7.680961; -2.632105
158507395448832; 0.547956; -7.680961; -2.632105
158507412226048; 3.151347; -7.367501; -3.988835
158507429003264; 4.414758; -9.700503; -1.253839
158507445780480; 4.098905; -12.516855; 1.225125
158507462557696; 5.082355; -12.569497; -0.035892
158507479334912; 5.082355; -12.569497; -0.035892
158507479334912; 8.587840; -15.373885; -0.440279
158507496112128; 8.587840; -15.373885; -0.440279
158507512889344; 7.788638; -14.017155; 1.311267
158507512889344; 7.788638; -14.017155; 1.311267
158507546443776; 2.100898; -14.543576; -0.653241
158507563220992; 1.639084; -9.109476; 1.107877
158507579998208; 1.639084; -9.109476; 1.107877
158507596775424; 0.227318; -3.833302; 4.479364
158507613552640; 0.227318; -3.833302; 4.479364
158507647107072; 0.145962; -0.796810; 4.125226
158507680661504; 0.569492; -1.536192; 8.884550
158507714215936; 0.480957; -1.988436; 7.491928
158507714215936; 0.368495; -0.205783; 4.292724
158507730993152; 0.811167; -0.581456; 4.914858
158507764547584; 1.308874; -1.201197; 7.367501
158507781324800; 1.414158; -1.414158; 7.645068
158507814879232; 1.399801; -1.844866; 6.589834
158507831656448; 3.433701; -2.816352; 7.951350
158507848433664; 3.433701; -2.816352; 7.951350
158507848433664; 6.329016; -7.336394; 10.001999
158507865210880; 6.891329; -8.437093; 8.006385
158507881988096; 6.891329; -8.437093; 8.006385
158507881988096; 8.032705; -7.771888; 8.233703
158507915542528; 9.384650; -11.971292; 9.401401
158507932319744; 12.751352; -14.225330; 9.597611
158507949096960; 15.864414; -10.518848; 9.461221
158507982651392; 17.312073; -12.753745; 9.298509
158508032983040; 14.782858; -9.585648; 3.888337
158508049760256; 13.210773; -7.759924; 2.428715
158508066537472; 8.982656; -8.109276; 2.155933
158508100091904; 0.586242; -5.032106; 0.468993
158508133646336; -0.495314; -6.317052; -1.435694
158508150423552; -0.535992; -8.575876; -2.409572
158508167200768; -0.368495; -8.374879; -2.964707
158508217532416; 3.656233; -8.755338; -0.409173
158508251086848; 4.098905; -11.789437; 0.832702
158508284641280; 7.322037; -14.065011; -0.047856
158508284641280; 7.322037; -14.065011; -0.047856
158508301418496; 7.881958; -12.385250; 2.651248
158508318195712; 5.826523; -14.445470; 2.110470
