time; x; y; z
158584201543680; 0.174676; 5.977271; 8.149954
158584251875328; -0.272782; 6.005985; 7.707282
158584285429760; -0.174676; 5.974878; 7.709674
158584285429760; -0.153141; 6.037092; 7.719246
158584302206976; -0.165105; 6.032306; 7.671390
158584302206976; -0.150748; 6.058627; 7.714460
158584302206976; -0.150748; 6.058627; 7.714460
158584318984192; -0.208176; 6.228518; 7.625926
158584318984192; -0.208176; 6.228518; 7.625926
158584318984192; -0.258425; 6.317052; 7.697711
158584335761408; -0.258425; 6.317052; 7.697711
158584335761408; -0.174676; 5.982057; 7.731210
158584352538624; -0.102891; 5.958128; 7.712068
158584386093056; -0.267996; 6.053841; 7.575676
158584386093056; -0.284746; 6.104091; 7.525427
158584386093056; -0.284746; 6.104091; 7.525427
158584419647488; -0.301496; 6.293124; 7.566105
158584469979136; -0.284746; 6.171090; 7.147361
158584503533568; 2.383251; 8.779266; 6.240481
158584520310784; 1.057628; 8.970692; 5.869594
158584520310784; 0.468993; 8.329415; 5.556134
158584604196864; 1.823331; 4.649254; 4.709075
158584620974080; 1.048056; 1.328017; 3.919444
158584637751296; 0.643669; -1.186840; 2.892923
158584654528512; -0.770489; -7.453642; 0.880559
158584671305728; -2.766103; -11.011770; -1.564906
158584721637376; -6.470192; -14.328222; -4.575077
158584755191808; -8.616554; -12.760923; -2.890530
158584771969024; -7.700103; -11.255837; -3.586841
158584771969024; -7.700103; -11.255837; -3.586841
158584788746240; -6.465407; -9.540184; -2.744568
158584805523456; -5.934200; -8.879765; -2.225325
158584822300672; -4.737789; -8.554341; -0.878166
158584839077888; -2.916851; -8.592627; 0.380459
158584872632320; -1.830509; -8.544769; 0.732204
158584889409536; 1.660619; -9.107083; 1.311267
158584922963968; 3.543770; -8.652447; 2.201397
158584956518400; 5.254639; -6.702296; 0.579063
158584973295616; 5.723632; -7.044470; 0.090927
158584990072832; 6.561120; -7.573284; -1.091127
158585023627264; 9.504292; -8.319844; -4.386044
158585040404480; 9.504292; -8.319844; -4.386044
158585057181696; 10.588241; -8.623733; -5.259424
158585073958912; 11.373086; -9.099904; -5.560920
158585073958912; 12.746566; -10.030712; -7.338787
158585107513344; 14.735002; -10.135997; -9.281759
158585107513344; 14.735002; -10.135997; -9.281759
158585107513344; 14.735002; -10.135997; -9.281759
158585107513344; 14.735002; -10.135997; -9.281759
158585141067776; 17.632710; -10.229317; -10.724631
158585157844992; 16.740187; -10.473385; -10.018748
158585191399424; 17.158932; -9.403793; -13.672588
158585208176640; 17.158932; -9.403793; -13.672588
158585224953856; 15.280565; -10.712667; -13.749159
158585258508288; 12.169896; -9.858429; -13.828122
158585275285504; 9.858429; -7.499106; -15.093925
158585292062720; 6.503692; -8.216953; -14.675181
158585308839936; 6.503692; -8.216953; -14.675181
158585325617152; 3.058027; -4.534399; -15.577275
158585342394368; 3.058027; -4.534399; -15.577275
158585359171584; 1.186840; -5.355137; -15.299708
158585375948800; 1.186840; -5.355137; -15.299708
158585375948800; 1.186840; -5.355137; -15.299708
158585409503232; 0.576670; -6.506085; -12.016755
158585426280448; 1.222732; -6.637690; -11.897114
158585459834880; 1.155733; -5.962914; -10.851451
158585510166528; 2.299503; -3.785445; -4.919643
158585526943744; 2.371287; -2.072184; -4.161119
158585543720960; 2.452643; -1.172483; -4.570291
158585577275392; 2.136791; -3.424129; -1.957329
158585577275392; 2.624926; -1.002593; -2.457429
158585594052608; 2.495714; 2.373680; -1.172483
158585627607040; 2.402394; -0.236889; 5.096712
158585644384256; 1.619941; -1.359123; 6.809973
158585694715904; -0.007178; -1.500300; 4.529613
158585694715904; -0.059821; -2.392823; 5.536992
158585728270336; 0.351745; -4.359723; 6.991828
158585728270336; 0.351745; -4.359723; 6.991828
158585745047552; 0.449851; -5.807381; 8.350951
158585761824768; -0.138784; -4.811966; 6.262017
158585795379200; 2.577070; -7.288538; 8.815159
158585812156416; 3.617948; -9.142975; 9.109476
158585828933632; 1.957329; -9.736395; 7.319644
158585862488064; 0.545564; -7.585248; 7.125826
158585879265280; 2.423929; -7.867601; 9.473185
158585896042496; 3.998407; -9.556933; 10.384851
158585912819712; 3.871587; -9.367901; 8.561520
158585929596928; 5.292923; -7.927422; 8.111669
158585963151360; 10.808380; -12.100504; 12.145967
158585996705792; 16.496119; -11.224731; 8.295917
158586013483008; 17.907885; -14.361721; 10.186246
158586080591872; 16.383657; -9.645468; 0.957129
158586080591872; 16.383657; -9.645468; 0.957129
158586097369088; 13.629518; -11.473584; 2.835495
158586114146304; 9.408579; -9.348758; 2.187040
158586130923520; 9.408579; -9.348758; 2.187040
158586147700736; 0.471386; -8.193025; -0.531207
158586181255168; -0.461815; -11.332408; -1.198804
158586214809600; -0.576670; -9.750752; -4.127619
158586248364032; 2.916851; -11.219945; -0.882952
158586265141248; 4.323831; -9.025727; -3.366701
158586281918464; 5.912665; -11.212767; -4.331009
158586298695680; 5.912665; -11.212767; -4.331009
158586332250112; 7.116254; -9.667004; -3.132205
