time; x; y; z
158702631911424; -0.203390; 6.412765; 7.824530
158702631911424; -0.203390; 6.412765; 7.824530
158702665465856; -0.145962; 6.130412; 7.645068
158702682243072; -0.220140; 6.314659; 7.728817
158702699020288; -0.205783; 6.290731; 7.640283
158702699020288; -0.205783; 6.290731; 7.640283
158702699020288; -0.122034; 6.204589; 7.719246
158702715797504; -0.122034; 6.204589; 7.719246
158702732574720; -0.155533; 6.154340; 7.743174
158702749351936; -0.169890; 6.192625; 7.625926
158702749351936; -0.222533; 6.185447; 7.587641
158702799683584; -0.251246; 6.218946; 7.494320
158702816460800; -0.193819; 5.919843; 7.477571
158702850015232; -0.179462; 6.003592; 7.262217
158702866792448; -0.301496; 6.175875; 7.125826
158702900346880; -0.244068; 6.149554; 7.099505
158702917124096; -0.133998; 6.312266; 6.972685
158702933901312; -0.023928; 6.340980; 6.833901
158702967455744; 0.086142; 6.683154; 6.661618
158702984232960; 0.626920; 6.934400; 6.324230
158703001010176; 0.531207; 7.855637; 5.910272
158703034564608; 1.244268; 6.484550; 5.714060
158703051341824; 0.985843; 6.783652; 5.615955
158703101673472; 1.426122; 5.266603; 6.912865
158703118450688; 0.882952; 2.560320; 6.264410
158703135227904; 0.430708; 0.689133; 5.319245
158703152005120; -1.122234; -7.597212; 1.093520
158703185559552; -3.177669; -13.923835; -2.780460
158703185559552; -3.177669; -13.923835; -2.780460
158703202336768; -6.156733; -14.246866; -4.228117
158703219113984; -6.398408; -11.619547; -4.785645
158703235891200; -6.427122; -12.433106; -5.072784
158703252668416; -6.187840; -12.564712; -4.314259
158703269445632; -6.096912; -12.320643; -4.156333
158703269445632; -6.034698; -11.861222; -3.579663
158703286222848; -5.685347; -10.827522; -2.935993
158703303000064; -4.290331; -8.580662; -1.174876
158703319777280; -3.467200; -7.819745; -0.698704
158703336554496; -1.174876; -6.860222; 0.404387
158703353331712; -0.538385; -7.077970; 0.399601
158703370108928; -0.538385; -7.077970; 0.399601
158703386886144; -0.538385; -7.077970; 0.399601
158703403663360; -0.538385; -7.077970; 0.399601
158703437217792; 4.802395; -8.774481; 0.279960
158703470772224; 6.285945; -8.690732; -2.512464
158703504326656; 7.247860; -8.999406; -5.321638
158703571435520; 11.162518; -10.145568; -6.908079
158703588212736; 12.275180; -9.760324; -10.664810
158703621767168; 13.679767; -10.021141; -10.463814
158703638544384; 14.605789; -9.913465; -9.353543
158703655321600; 15.153746; -10.978271; -10.305887
