time; x; y; z
158315732533248; -0.073182; 0.066645; -0.121257
158315749310464; -0.092118; 0.069700; -0.114537
158315766087680; -0.060353; 0.075198; -0.055283
158315766087680; -0.024923; 0.091080; -0.016799
158315766087680; -0.024923; 0.091080; -0.016799
158315782864896; 0.010507; 0.111239; 0.010079
158315816419328; -0.064630; 0.088637; -0.055283
158315833196544; -0.064630; 0.088637; -0.055283
158315849973760; -0.051801; 0.075808; -0.048564
158315883528192; -0.060353; 0.092913; -0.079718
158315900305408; -0.095173; 0.110628; -0.122478
158315933859840; -0.198409; 0.145447; -0.149357
158315950637056; -0.236894; 0.150945; -0.187230
158315950637056; -0.294315; 0.152167; -0.251982
158315984191488; -0.469022; 0.139338; -0.394924
158316034523136; -2.619268; 0.672013; -0.541532
158316051300352; -3.631472; 0.793575; -1.466382
158316068077568; -4.872139; 0.753869; -1.783421
158316101632000; -5.995520; 1.092899; -2.107180
158316118409216; -6.982068; 1.337245; -2.223244
158316135186432; -7.814677; 1.564487; -2.134058
158316151963648; -8.420045; 1.787453; -1.936137
158316168740864; -9.045570; 1.921843; -1.678352
158316185518080; -9.354669; 1.709262; -1.393078
158316202295296; -9.460959; 1.571817; -1.243416
158316219072512; -9.585576; 1.448423; -1.080315
158316219072512; -9.690644; 1.312200; -0.886060
158316235849728; -9.358334; 1.080071; -0.633773
158316252626944; -8.541607; 0.985998; -0.160352
158316269404160; -7.996104; 0.983554; 0.135918
158316286181376; -7.249627; 0.882761; 0.239154
158316302958592; -5.671762; 0.678732; 0.233656
158316302958592; -5.016303; 0.475925; 0.211665
158316319735808; -4.054190; 0.105130; 0.237932
158316319735808; -4.054190; 0.105130; 0.237932
158316336513024; -3.804957; 0.067256; 0.288023
158316336513024; -3.676676; 0.032437; 0.283747
158316353290240; -3.734097; 0.021441; 0.238543
158316353290240; -3.979054; 0.041600; 0.203113
158316386844672; -4.308311; 0.084971; 0.180511
158316420399104; -4.886189; 1.133827; 0.132252
158316420399104; -4.886189; 1.133827; 0.132252
158316437176320; -4.781731; 1.420323; 0.184176
158316453953536; -4.286930; 1.973767; 0.223271
158316470730752; -3.594209; 2.534541; 0.197615
158316487507968; -3.247848; 2.840585; 0.194561
158316521062400; -1.587517; 4.135008; 0.237321
158316537839616; -1.587517; 4.135008; 0.237321
158316537839616; -0.870361; 4.733045; 0.233045
158316554616832; -0.870361; 4.733045; 0.233045
158316621725696; -2.011457; 6.678040; 1.243416
158316621725696; -2.011457; 6.678040; 1.243416
158316638502912; -2.022453; 6.751955; 1.738828
158316638502912; -2.022453; 6.751955; 1.738828
158316655280128; -1.821478; 6.837476; 2.302046
158316655280128; -1.821478; 6.837476; 2.302046
158316672057344; -1.821478; 6.837476; 2.302046
158316672057344; -1.486724; 6.862521; 2.858544
158316688834560; -0.968099; 6.676818; 3.346625
158316705611776; -0.968099; 6.676818; 3.346625
158316705611776; -0.581421; 6.456907; 3.820657
158316722388992; -0.581421; 6.456907; 3.820657
158316739166208; -0.699929; 6.142922; 4.287968
158316755943424; -1.070725; 5.618189; 4.719239
158316755943424; -1.070725; 5.618189; 4.719239
158316772720640; -1.340727; 5.006102; 5.117523
158316772720640; -1.340727; 5.006102; 5.117523
158316806275072; -0.782396; 3.352489; 5.561011
158316839829504; -0.032254; 2.373883; 5.591555
158316856606720; 0.311663; 1.640845; 5.446780
158316856606720; 0.289672; 0.883983; 5.085758
158316890161152; 0.601824; 0.166827; 4.893336
158316906938368; 1.246898; -0.719538; 4.681365
158316906938368; 1.246898; -0.719538; 4.681365
158316923715584; 1.692830; -1.480676; 4.617836
158316940492800; 1.802175; -2.334055; 4.480391
158316957270016; 1.758192; -3.166664; 4.522541
158316974047232; 1.758192; -3.166664; 4.522541
158316990824448; 3.314066; -4.079908; 4.513378
158317007601664; 4.802745; -4.877698; 4.584238
158317024378880; 4.664078; -5.211841; 4.598899
158317041156096; 4.664078; -5.211841; 4.598899
158317057933312; 3.268251; -4.981545; 4.486500
158317057933312; 1.980547; -4.653511; 4.068668
158317074710528; 1.364795; -4.288824; 3.558595
158317108264960; 0.985448; -4.079297; 3.157257
158317125042176; 0.702617; -4.284548; 2.708271
158317125042176; 0.922529; -4.910685; 2.184149
158317141819392; 0.922529; -4.910685; 2.184149
158317175373824; 0.195599; -5.283312; 1.438893
158317192151040; -1.329731; -4.495907; 1.226312
158317225705472; -1.707857; -3.433002; 0.939816
158317242482688; -1.533761; -2.428128; 0.573908
158317259259904; -1.990688; -1.799548; 0.121868
158317276037120; -2.338881; -1.626673; -0.215330
158317276037120; -1.986412; -1.565586; -0.305127
158317292814336; -1.986412; -1.565586; -0.305127
158317309591552; -1.549032; -1.388436; -0.303295
158317326368768; -1.456792; -1.061012; -0.348499
158317326368768; -1.456792; -1.061012; -0.348499
158317343145984; -1.616838; -1.093388; -0.644768
158317359923200; -2.045666; -1.298028; -1.042441
158317376700416; -2.045666; -1.298028; -1.042441
158317393477632; -2.136074; -1.307191; -1.195769
158317393477632; -1.858130; -1.086057; -1.168280
158317410254848; -1.858130; -1.086057; -1.168280
158317427032064; -1.837361; -0.882028; -1.258688
158317443809280; -1.834917; -0.913793; -1.449278
158317460586496; -1.433579; -1.083003; -1.585501
158317477363712; -0.824546; -1.011532; -1.517084
158317494140928; -0.824546; -1.011532; -1.517084
158317510918144; -0.759794; -0.864313; -1.528079
158317527695360; -1.196563; -0.932119; -1.917201
158317544472576; -1.469009; -0.893024; -2.488971
158317561249792; -2.043833; -0.764742; -2.982550
158317578027008; -2.043833; -0.764742; -2.982550
158317611581440; -3.560000; -0.241231; -3.603800
158317611581440; -3.297939; 0.391015; -4.393649
158317628358656; -3.070086; 0.944459; -5.295286
158317645135872; -3.070086; 0.944459; -5.295286
158317645135872; -2.312613; 1.782566; -5.795584
158317661913088; -2.377365; 2.557754; -6.034432
158317678690304; -2.377365; 2.557754; -6.034432
158317695467520; -3.551448; 3.050111; -5.869499
158317712244736; -3.551448; 3.050111; -5.869499
158317712244736; -3.925298; 3.692741; -5.247638
158317745799168; -3.382849; 4.070867; -4.338671
158317762576384; -3.809233; 4.273674; -3.550043
158317796130816; -4.828767; 4.552840; -2.888476
158317812908032; -4.828767; 4.552840; -2.888476
158317829685248; -5.831197; 4.136230; -1.057713
158317880016896; -6.667472; 2.862576; 2.732706
158317896794112; -5.530041; 2.027523; 4.273308
158317913571328; -0.112277; -0.025595; 6.196922
158317930348544; 0.340985; -0.876531; 6.195701
158317930348544; 0.340985; -0.876531; 6.195701
158317947125760; 2.075842; -2.169732; 6.353304
158317963902976; 3.981131; -3.126958; 6.892087
158317963902976; 3.981131; -3.126958; 6.892087
158317980680192; 4.739826; -3.608320; 7.082677
158317980680192; 4.739826; -3.608320; 7.082677
158317997457408; 5.130779; -3.480649; 6.582378
158318014234624; 5.130779; -3.480649; 6.582378
158318031011840; 4.870551; -3.037772; 5.934861
158318047789056; 3.615223; -2.766548; 5.090034
158318047789056; 1.582874; -2.682248; 4.170072
158318064566272; -0.436036; -2.739670; 3.290426
158318081343488; -0.436036; -2.739670; 3.290426
158318098120704; -1.146472; -2.866729; 2.453540
158318098120704; -1.146472; -2.866729; 2.453540
158318114897920; -0.539883; -2.986459; 1.588555
158318114897920; -0.539883; -2.986459; 1.588555
158318131675136; -0.157481; -3.007229; 1.010677
158318148452352; -0.875248; -2.968744; 0.748004
158318148452352; -0.875248; -2.968744; 0.748004
158318165229568; -2.065213; -2.908268; 0.560469
158318182006784; -2.065213; -2.908268; 0.560469
158318198784000; -2.953411; -2.924762; 0.303295
158318232338432; -1.520932; -2.734172; -0.203113
158318249115648; -0.909456; -2.481274; -0.052229
158318282670080; -1.293080; -2.311453; -0.354607
158318316224512; -1.013914; -2.189280; -0.958753
158318333001728; -0.539883; -1.908282; -1.567786
158318349778944; -1.152581; -1.595519; -2.168266
158318366556160; -2.394469; -1.285199; -2.528066
158318383333376; -2.770152; -0.896689; -2.573270
158318416887808; -2.483045; -0.526505; -2.899472
158318433665024; -0.859976; 0.295109; -5.017342
158318467219456; -0.315695; 0.750204; -5.689294
158318483996672; -0.534385; 1.313421; -6.175542
158318500773888; -1.790324; 1.653062; -6.498690
158318534328320; -3.001059; 2.588297; -5.325218
158318551105536; -3.001059; 2.588297; -5.325218
158318567882752; -3.198979; 3.185112; -4.331340
158318584659968; -3.907583; 3.529640; -3.441309
158318584659968; -3.907583; 3.529640; -3.441309
158318618214400; -5.981470; 3.023233; -0.020464
158318634991616; -6.724282; 2.402594; 1.707063
158318651768832; -6.158010; 2.086777; 3.027143
158318651768832; -6.158010; 2.086777; 3.027143
158318668546048; -4.530665; 1.943834; 4.150524
158318685323264; -4.530665; 1.943834; 4.150524
158318685323264; -1.588738; 1.416047; 5.119967
158318702100480; -1.588738; 1.416047; 5.119967
158318718877696; -0.292482; 0.745928; 5.816964
158318718877696; -0.260717; 0.136895; 6.326426
158318735654912; -0.260717; 0.136895; 6.326426
158318735654912; -0.260717; 0.136895; 6.326426
158318752432128; 0.016005; -0.564378; 6.336200
158318769209344; 1.833329; -1.738461; 6.546337
158318769209344; 1.833329; -1.738461; 6.546337
158318802763776; 3.500380; -2.851458; 6.665456
158318819540992; 4.033666; -3.378635; 6.212194
158318819540992; 4.033666; -3.378635; 6.212194
158318836318208; 3.631716; -3.310829; 5.520083
158318836318208; 2.749627; -3.103134; 4.755891
158318853095424; 1.809505; -3.100691; 3.784005
158318886649856; 0.628092; -3.169719; 2.869539
158318886649856; 0.628092; -3.169719; 2.869539
158318920204288; -0.854478; -3.064039; 2.085189
158318936981504; -1.456181; -2.970577; 1.356426
158318953758720; -0.800722; -2.846571; 0.744339
