time; x; y; z
158455335747584; -1.371270; 0.067256; -2.100460
158455352524800; -1.748785; 0.367191; -2.623361
158455369302016; -1.018801; 0.517464; -3.170085
158455386079232; -0.659612; 0.601763; -3.358843
158455419633664; -1.056675; 0.789910; -3.250108
158455436410880; -1.056675; 0.789910; -3.250108
158455436410880; -1.029186; 0.763643; -2.867707
158455469965312; -1.571023; 1.027536; -2.515848
158455486742528; -1.915551; 1.297539; -2.111456
158455503519744; -2.140960; 1.551048; -1.422400
158455520296960; -2.999837; 1.671389; -0.695470
158455553851392; -3.606426; 1.682384; -0.102320
158455553851392; -3.239296; 1.686660; 0.554360
158455587405824; -2.817188; 1.483242; 1.375363
158455604183040; -2.738997; 1.430708; 2.495079
158455620960256; -2.372478; 1.182085; 3.444975
158455637737472; -1.104933; 0.550451; 4.485278
158455654514688; -0.311419; -0.021319; 5.074152
158455671291904; 0.463769; -0.885083; 4.983744
158455704846336; 3.147911; -1.866132; 5.207321
158455704846336; 5.327478; -2.772656; 5.509088
158455738400768; 5.772188; -3.751262; 5.527414
158455755177984; 5.593204; -4.568600; 5.037500
158455771955200; 5.470420; -4.719484; 4.318511
158455788732416; 5.316483; -4.097012; 3.738801
158455805509632; 3.492439; -3.425671; 3.289815
158455839064064; 0.159558; -3.197819; 2.554944
158455839064064; -2.030394; -3.002953; 1.426065
158455889395712; -0.693210; -2.279077; -0.209221
158455889395712; -0.693210; -2.279077; -0.209221
158455922950144; -0.527665; -1.632171; -0.151189
158455939727360; -0.527665; -1.632171; -0.151189
158455956504576; -1.038960; -1.274815; -0.179289
158455973281792; -1.129368; -0.508179; -0.294742
158455990059008; -1.129368; -0.508179; -0.294742
158456006836224; -1.415864; -0.239398; -0.602008
158456040390656; -0.811107; 0.002505; -1.193936
158456073945088; -0.770179; 0.257846; -1.655750
158456090722304; -1.307740; 0.464319; -1.842675
158456107499520; -1.897836; 0.718439; -2.068084
158456107499520; -1.848967; 1.253557; -2.683226
158456124276736; -1.412809; 1.375730; -3.491400
158456141053952; -1.412809; 1.375730; -3.491400
158456174608384; -1.086607; 1.401386; -3.787670
158456174608384; -1.086607; 1.401386; -3.787670
158456208162816; -1.349279; 1.551048; -2.936735
158456224940032; -2.403022; 1.444147; -2.426662
158456258494464; -3.490973; 1.648786; -1.986228
158456275271680; -3.914302; 1.796616; -1.042441
158456275271680; -3.914302; 1.796616; -1.042441
158456325603328; -2.761600; 0.900476; 1.721724
158456359157760; -1.136087; 0.444160; 2.555555
158456359157760; -1.136087; 0.444160; 2.555555
158456375934976; 0.303722; -0.177701; 3.495065
158456392712192; 1.862650; -0.866757; 4.328286
158456409489408; 2.568200; -1.265041; 4.904331
158456443043840; 2.643947; -1.961427; 5.784588
158456459821056; 3.883393; -2.324892; 5.562844
158456476598272; 4.405072; -2.440957; 5.391191
158456476598272; 4.405072; -2.440957; 5.391191
158456493375488; 3.565132; -2.736004; 5.364313
158456510152704; 2.700147; -3.226529; 5.049717
158456526929920; 2.477792; -3.613818; 4.313014
158456560484352; 2.686707; -3.618094; 3.494455
158456594038784; 0.962235; -3.031052; 2.419332
158456610816000; -0.379836; -2.981572; 1.346042
158456644370432; -0.756129; -2.695687; -0.350942
158456677924864; -1.100657; -2.298625; -0.692416
158456677924864; -1.446407; -1.828259; -0.801150
158456711479296; -1.446407; -1.828259; -0.801150
158456728256512; -1.239934; -1.051238; -0.846354
158456745033728; -1.393872; -0.737864; -0.730289
158456778588160; -1.748174; -0.448925; -0.569021
158456795365376; -1.405479; -0.345689; -0.493885
158456812142592; -0.430538; -0.302928; -0.848186
158456828919808; -0.333410; 0.017165; -1.529912
158456845697024; -1.595458; 0.392237; -2.148719
158456862474240; -2.672413; 0.769751; -2.416888
158456912805888; -1.800709; 1.162538; -3.478572
158456929583104; -1.800709; 1.162538; -3.478572
158456963137536; -1.326066; 1.042808; -4.003916
158456996691968; -0.732305; 1.402608; -3.754683
158457030246400; -0.732305; 1.402608; -3.754683
158457063800832; -3.384682; 1.653673; -2.838996
158457080578048; -3.803736; 1.909626; -1.077261
158457114132480; -0.793392; 0.539455; 1.580614
158457130909696; -0.020036; -0.283380; 3.601356
158457147686912; -0.020036; -0.283380; 3.601356
158457164464128; 1.459479; -0.590646; 4.362494
158457164464128; 1.459479; -0.590646; 4.362494
158457198018560; 0.863886; -1.142868; 5.480377
158457214795776; 1.680612; -1.604071; 5.842010
158457231572992; 3.496104; -2.057944; 5.834068
158457248350208; 4.544349; -2.257086; 5.606826
158457265127424; 4.160726; -2.703018; 5.427843
158457298681856; 3.133861; -3.269901; 5.033224
158457315459072; 2.654332; -3.651691; 4.267199
158457332236288; 2.935941; -3.542957; 3.413821
158457349013504; 2.392881; -3.152615; 2.855489
158457365790720; 0.134513; -2.990124; 2.306322
158457382567936; -1.684644; -2.798923; 1.471880
158457399345152; -1.674260; -2.632157; 0.404698
158457399345152; -1.674260; -2.632157; 0.404698
158457432899584; -0.593028; -2.177063; -0.832304
158457449676800; -0.593028; -2.177063; -0.832304
158457483231232; -2.248473; -1.484952; -0.798095
158457516785664; -1.580797; -0.753747; -0.931264
158457550340096; -2.054828; -0.266887; -0.728457
158457583894528; -0.073182; 0.394680; -1.559844
158457600671744; 0.382524; 0.733710; -1.867110
158457617448960; 0.382524; 0.733710; -1.867110
158457651003392; -0.619906; 0.880929; -2.042428
158457651003392; -1.949760; 1.232787; -2.514016
158457667780608; -2.447004; 1.613356; -3.006984
