time; x; y; z
158584318984192; 0.028222; 0.014722; -0.188452
158584335761408; -0.038973; 0.015944; -0.223882
158584335761408; -0.064630; 0.008613; -0.226936
158584352538624; -0.059743; 0.003115; -0.185398
158584369315840; 0.004398; 0.076419; -0.060781
158584386093056; -0.027978; 0.113071; -0.027183
158584386093056; -0.071349; 0.136284; 0.000916
158584402870272; -0.103725; 0.146058; -0.003971
158584453201920; -0.352347; 0.157664; -0.163406
158584486756352; -0.932669; 0.081917; -0.639881
158584503533568; -1.907610; 0.397734; -0.205556
158584520310784; -2.902098; 0.445993; -1.099863
158584570642432; -5.510493; 0.202868; -1.969735
158584620974080; -8.605748; 0.675678; -2.306933
158584637751296; -9.523878; 0.781358; -2.139555
158584654528512; -12.187251; 1.247448; -1.258688
158584671305728; -12.187251; 1.247448; -1.258688
158584704860160; -11.958787; 0.955454; 0.096822
158584738414592; -7.797573; 0.522351; 0.704633
158584755191808; -5.707192; 0.226692; 0.908051
158584771969024; -4.947886; 0.079474; 0.895223
158584788746240; -3.740817; -0.260778; 0.490219
158584805523456; -3.341922; -0.417160; 0.294132
158584805523456; -3.161105; -0.557659; 0.149357
158584822300672; -3.310767; -0.702434; -0.051618
158584855855104; -3.771971; -0.550939; -0.343612
158584872632320; -3.771971; -0.550939; -0.343612
158584906186752; -3.002891; 1.885191; -0.650877
158584939741184; -2.396913; 2.707416; -0.475559
158584956518400; -2.169060; 3.758104; -0.393092
158584973295616; -2.027339; 4.135619; -0.338725
158585006850048; -1.560028; 5.208909; -0.095600
158585023627264; -1.632721; 5.777014; 0.140194
158585040404480; -1.848967; 6.315797; 0.452957
158585057181696; -1.906999; 6.718357; 0.782213
158585073958912; -1.906999; 6.718357; 0.782213
158585090736128; -1.663264; 7.017070; 1.200656
158585107513344; -1.089051; 7.235149; 1.660026
158585107513344; -1.089051; 7.235149; 1.660026
158585107513344; -1.089051; 7.235149; 1.660026
158585124290560; -0.729862; 7.432458; 2.049147
158585141067776; -1.162965; 7.579677; 2.487138
158585174622208; -2.224649; 7.357933; 3.676492
158585208176640; -2.362094; 6.886956; 4.220773
158585224953856; -2.691961; 6.365277; 4.656320
158585241731072; -2.771373; 5.529613; 4.860960
158585258508288; -2.281459; 4.318878; 5.035057
158585275285504; -1.599734; 3.011627; 5.055826
158585308839936; -1.014525; 1.834489; 4.918381
158585308839936; 0.041050; 0.806403; 4.785823
158585342394368; 1.100901; -0.055528; 4.598288
158585359171584; 1.883420; -0.806281; 4.292855
158585359171584; 2.419149; -1.302914; 4.301407
158585375948800; 2.419149; -1.302914; 4.301407
158585409503232; 3.469226; -2.859399; 4.373489
158585426280448; 4.788695; -3.918639; 4.487721
158585443057664; 5.383067; -4.571654; 4.576297
158585493389312; 2.464353; -4.218575; 4.127311
158585526943744; 1.469864; -3.794634; 3.773009
158585543720960; 0.721554; -3.459880; 3.275765
158585560498176; 1.079521; -3.494088; 2.624583
158585577275392; 1.079521; -3.494088; 2.624583
158585594052608; 2.309193; -3.610152; 2.231796
158585627607040; 0.135123; -3.160556; 2.090075
158585627607040; -1.220997; -2.846571; 1.835956
158585677938688; -1.305297; -2.425074; 0.807258
158585694715904; -1.578964; -2.363987; 0.517097
158585711493120; -1.578964; -2.363987; 0.517097
158585728270336; -2.523362; -2.450119; 0.231823
158585745047552; -2.779315; -2.563130; -0.193950
158585745047552; -2.197771; -2.434237; -0.567188
158585778601984; -1.636386; -2.500821; -0.758389
158585795379200; -1.753061; -2.625438; -0.937373
158585828933632; -2.369424; -2.489826; -1.251968
158585845710848; -1.654712; -1.938825; -1.227534
158585862488064; -1.432357; -2.001744; -1.167058
158585896042496; -1.432968; -1.779389; -1.430952
158585896042496; -1.405479; -1.367055; -1.837177
158585929596928; -1.702359; -1.248547; -2.272113
158585963151360; -2.572842; -0.845987; -3.195131
158585996705792; -2.834903; -0.600419; -3.871969
158586013483008; -2.416461; -0.216185; -4.644714
158586080591872; -3.125064; 1.595030; -6.058867
158586080591872; -3.805568; 2.494835; -5.705176
158586097369088; -3.679730; 3.180225; -4.872567
158586114146304; -4.240504; 3.546745; -4.232991
158586130923520; -4.240504; 3.546745; -4.232991
158586147700736; -5.713911; 4.268787; -2.418721
158586181255168; -6.273464; 4.170438; -0.919047
158586198032384; -7.060869; 3.736113; 0.801150
158586231586816; -7.935628; 3.072713; 2.309376
158586265141248; -2.925922; 1.361069; 4.452291
158586281918464; -0.821492; 0.958509; 5.095532
158586298695680; -0.250943; 0.778303; 5.640424
158586332250112; 0.039218; 0.854662; 5.670967
158586349027328; 0.931081; 0.182099; 5.370421
158586399358976; 2.114327; -0.759244; 5.186551
158586399358976; 2.114327; -0.759244; 5.186551
158586416136192; 3.468615; -1.564976; 4.622112
158586449690624; 2.026973; -2.200276; 2.429106
158586483245056; -0.125105; -1.894843; 0.756557
158586500022272; -0.090286; -2.092763; 0.375988
158586533576704; -0.669997; -2.359101; 0.222660
158586550353920; -1.299799; -2.787317; 0.123700
158586567131136; -1.809261; -3.913142; -0.409585
158586583908352; -1.809261; -3.913142; -0.409585
158586600685568; -0.199631; -4.206357; -0.694859
158586617462784; 1.033095; -4.415273; -0.418137
158586634240000; 1.033095; -4.415273; -0.418137
158586634240000; 0.438723; -4.553939; -0.069944
158586667794432; -0.149540; -4.256448; -0.495717
158586684571648; 0.416121; -3.952848; -1.433395
158586701348864; 0.711169; -3.495921; -1.933083
158586718126080; -0.368230; -3.023111; -1.749213
158586734903296; -0.900293; -2.821526; -2.024102
158586751680512; 0.123517; -2.570460; -2.170710
158586751680512; 0.123517; -2.570460; -2.170710
158586768457728; 0.123517; -2.570460; -2.170710
158586785234944; 0.020281; -2.317562; -3.498120
158586802012160; 0.020281; -2.317562; -3.498120
158586818789376; 0.085032; -1.820317; -4.256814
158586835566592; -0.106779; -0.955332; -4.545143
158586869121024; -2.819632; 1.155818; -4.520098
158586885898240; -4.011430; 1.876639; -4.278806
158586919452672; -4.241726; 2.463681; -3.818213
158586936229888; -3.851994; 3.231538; -3.099836
158586936229888; -4.319917; 3.749552; -2.116343
158586953007104; -4.319917; 3.749552; -2.116343
158586969784320; -5.205671; 3.712900; -1.055270
158586986561536; -5.956425; 3.793534; -0.034514
158586986561536; -5.956425; 3.793534; -0.034514
158587003338752; -6.248418; 3.992065; 0.883006
158587020115968; -5.936266; 3.863173; 1.458441
158587036893184; -6.573399; 4.042768; 2.211638
158587053670400; -7.272840; 4.200981; 3.680768
158587087224832; -5.977194; 3.500930; 5.170058
158587087224832; -5.977194; 3.500930; 5.170058
158587104002048; -3.423167; 2.493613; 5.640424
158587137556480; -1.170907; 1.730642; 5.061324
158587154333696; 0.497977; 0.836946; 4.493830
158587171110912; 0.497977; 0.836946; 4.493830
158587187888128; 4.114911; -1.673710; 2.721099
158587221442560; 3.183341; -2.128804; 2.025934
158587238219776; 2.325686; -2.338942; 1.512808
158587254996992; 2.003760; -2.510595; 1.313666
158587288551424; 1.407556; -2.890553; 0.860404
158587338883072; 1.085019; -3.255240; 1.099252
158587355660288; -0.043249; -3.527075; 1.146899
158587389214720; -0.377393; -3.953459; 0.975246
158587405991936; -0.495290; -3.835562; 0.739452
158587422769152; -0.495290; -3.835562; 0.739452
158587439546368; -0.392053; -3.669406; 0.404698
158587456323584; -0.359677; -3.786693; -0.634994
158587473100800; -0.359677; -3.786693; -0.634994
158587473100800; -0.353569; -3.713389; -1.766928
158587540209664; -0.097005; -3.423839; -2.339919
158587573764096; 0.272568; -2.992568; -3.063795
158587590541312; -0.382279; -1.009699; -4.386318
158587624095744; -1.084164; 0.306715; -4.408920
