time; x; y; z
158702715797504; -0.151372; 0.047098; 0.012523
158702749351936; -0.104947; 0.046487; -0.000916
158702782906368; -0.081123; 0.069089; -0.077885
158702816460800; -0.118997; 0.072754; -0.098655
158702833238016; -0.158703; 0.093523; -0.105985
158702866792448; -0.232007; 0.106352; -0.152411
158702883569664; -0.329134; 0.102076; -0.215330
158702900346880; -0.452529; 0.123456; -0.212276
158702933901312; -0.589363; 0.143004; -0.196393
158702950678528; -0.754296; 0.141171; -0.254425
158702967455744; -0.858754; 0.111239; -0.400422
158703001010176; -1.611951; -0.008491; -0.869567
158703017787392; -2.329718; -0.066523; -1.159728
158703034564608; -2.570399; -0.086682; -1.325272
158703068119040; -3.670567; -0.011545; -1.839010
158703118450688; -8.622241; 0.576718; -2.538450
158703135227904; -9.633224; 0.767308; -2.372295
158703152005120; -11.683287; 1.072130; -1.879327
158703168782336; -13.217170; 0.964617; -1.102917
158703185559552; -13.357058; 1.088623; -0.424857
158703202336768; -12.993593; 0.939572; 0.000305
158703219113984; -11.777360; 0.408730; 0.734565
158703235891200; -10.868393; -0.072021; 0.954477
158703252668416; -10.190332; -0.204579; 1.118189
158703252668416; -9.183626; -0.282159; 1.134071
158703269445632; -6.519642; -0.538722; 0.822530
158703286222848; -6.519642; -0.538722; 0.822530
158703286222848; -3.996769; -0.659063; 0.464563
158703303000064; -3.130562; -0.668226; 0.315512
158703336554496; -3.052982; -0.244896; -0.162185
158703353331712; -3.569163; -0.006658; -0.280693
158703370108928; -3.569163; -0.006658; -0.280693
158703386886144; -3.569163; -0.006658; -0.280693
158703386886144; -3.569163; -0.006658; -0.280693
158703403663360; -3.304659; 1.776457; -0.491441
158703453995008; -2.836736; 3.670750; -0.343612
158703470772224; -2.230758; 4.940739; -0.003971
158703537881088; -1.566747; 5.999979; 0.802372
158703571435520; -1.163576; 6.208895; 1.166447
158703588212736; -0.284541; 6.292584; 1.498147
158703621767168; -0.183748; 6.548536; 2.076636
158703638544384; -1.263147; 6.562586; 2.693610
158703672098816; -1.869736; 6.260208; 3.526220
158703672098816; -1.863628; 5.798394; 4.230547
158703688876032; -1.863628; 5.798394; 4.230547
158703688876032; -1.863628; 5.798394; 4.230547
158703705653248; -1.839193; 5.175922; 4.845078
158703722430464; -1.691364; 4.378743; 5.307502
158703739207680; -1.064616; 3.503373; 5.599496
158703755984896; -1.064616; 3.503373; 5.599496
158703755984896; -0.093340; 2.705583; 5.526192
158703772762112; 0.833342; 1.924287; 5.311779
158703789539328; 0.833342; 1.924287; 5.311779
158703806316544; 1.691608; 1.186361; 5.126687
158703806316544; 2.395325; 0.407508; 4.984966
158703823093760; 2.395325; 0.407508; 4.984966
158703839870976; 2.436253; -0.373788; 4.889671
158703856648192; 2.355619; -1.145311; 4.702746
158703873425408; 3.194337; -1.909504; 4.545753
158703906979840; 4.054435; -2.528921; 4.567134
158703923757056; 3.497937; -2.950418; 4.605618
158703940534272; 2.710531; -3.732326; 4.429689
158703974088704; 2.621956; -3.943074; 4.253760
158704007643136; 1.499185; -3.783638; 3.612352
158704024420352; 0.675739; -3.693841; 3.258050
158704057974784; 0.043494; -3.817847; 2.767525
158704074752000; 0.207205; -4.415273; 1.711950
158704091529216; 0.207205; -4.415273; 1.711950
158704108306432; -0.110444; -4.243009; 1.271516
158704108306432; -0.110444; -4.243009; 1.271516
158704125083648; -1.151970; -3.691398; 0.965473
158704141860864; -1.541702; -3.031052; 0.649655
158704158638080; -1.541702; -3.031052; 0.649655
158704158638080; -1.493443; -2.579623; 0.277027
158704175415296; -1.493443; -2.579623; 0.277027
158704175415296; -2.098811; -2.198443; -0.043677
158704175415296; -2.098811; -2.198443; -0.043677
158704225746944; -2.517864; -1.792217; -0.353996
158704242524160; -2.255192; -1.669434; -0.506102
158704259301376; -2.350487; -1.443413; -0.737620
158704259301376; -2.350487; -1.443413; -0.737620
158704292855808; -1.954647; -1.444024; -1.221425
158704309633024; -2.283903; -1.514274; -1.448667
158704343187456; -2.143404; -1.647442; -1.498147
158704393519104; -0.273545; -1.679818; -1.737606
158704410296320; -1.200839; -1.481287; -1.835956
158704427073536; -2.029172; -1.401875; -2.021048
158704494182400; -1.867904; -0.657841; -3.112053
158704510959616; -1.757948; -0.272385; -3.940997
158704527736832; -1.223441; 0.491808; -4.764444
158704561291264; -1.547199; 1.359236; -5.346598
158704578068480; -2.653476; 2.169244; -5.774815
158704594845696; -3.176377; 2.909612; -5.738774
158704628400128; -2.634540; 3.756882; -4.244597
158704645177344; -3.187984; 4.034826; -3.449862
158704661954560; -4.041973; 4.194873; -2.499966
158704678731776; -5.012027; 3.926092; -0.969138
158704695508992; -6.239866; 3.431291; 0.919658
158704729063424; -6.783536; 2.975586; 2.572048
158704745840640; -6.509869; 2.497278; 3.625180
158704762617856; -6.509869; 2.497278; 3.625180
158704779395072; -4.979651; 1.927341; 4.478559
158704796172288; -4.979651; 1.927341; 4.478559
158704812949504; -1.227717; 1.533333; 5.339267
158704829726720; -1.227717; 1.533333; 5.339267
158704846503936; 0.111300; 1.323806; 5.842010
158704846503936; 0.111300; 1.323806; 5.842010
158704863281152; -0.472077; 0.907196; 5.711284
158704880058368; -0.472077; 0.907196; 5.711284
158704896835584; -0.472077; 0.907196; 5.711284
158704913612800; 3.081937; -2.087265; 3.085175
158704963944448; 0.100304; -2.403083; 0.730289
158704997498880; -0.749409; -2.507541; 0.130420
158704997498880; -0.901515; -2.801367; -0.364381
158705047830528; -0.727418; -3.184380; -0.609949
158705081384960; -1.365162; -3.365196; -0.628886
158705098162176; -0.556376; -3.597324; -0.603229
158705098162176; 0.582888; -3.780584; -0.436463
158705114939392; 0.512027; -3.830675; -0.328951
158705131716608; 0.063041; -3.735991; -0.295964
158705148493824; 0.063041; -3.735991; -0.295964
158705165271040; 0.439945; -3.795856; -0.454789
158705182048256; 0.312885; -3.943685; -0.983188
158705198825472; -0.353569; -3.660244; -1.945911
158705215602688; -0.353569; -3.660244; -1.945911
158705249157120; -0.839207; -2.282743; -2.649017
158705265934336; -0.839207; -2.282743; -2.649017
158705282711552; -0.481851; -1.790996; -3.267213
