time; hr
158315615092736; 0.000000
158325983412224; 69.000000
158327896014848; 70.000000
158329892503552; 69.000000
158331972878336; 68.000000
158331972878336; 68.000000
158333885480960; 72.000000
158333885480960; 72.000000
158335898746880; 75.000000
158335898746880; 75.000000
158337912012800; 78.000000
158337912012800; 78.000000
158339891724288; 80.000000
158339891724288; 80.000000
158341904990208; 82.000000
158341904990208; 82.000000
158343935033344; 84.000000
158343935033344; 84.000000
158345897967616; 84.000000
158347911233536; 86.000000
158347911233536; 86.000000
158349907722240; 85.000000
158351904210944; 84.000000
158353917476864; 83.000000
158355930742784; 82.000000
158357910454272; 81.000000
158359940497408; 79.000000
158359940497408; 79.000000
158361936986112; 78.000000
158363916697600; 76.000000
158363933474816; 76.000000
158365946740736; 75.000000
158365946740736; 75.000000
158371952984064; 76.000000
158371969761280; 76.000000
158375945961472; 76.000000
158379972493312; 77.000000
