time; x; y; z
160538914979840; 0.409173; 3.543770; 9.044869
160538914979840; 0.409173; 3.543770; 9.044869
160538914979840; 0.409173; 3.543770; 9.044869
160538982088704; 0.409173; 3.522235; 9.116654
160539015643136; 0.390030; 3.455236; 9.099904
160539032420352; 0.390030; 3.455236; 9.099904
160539049197568; 0.390030; 3.455236; 9.099904
160539049197568; 0.406780; 3.596412; 9.154940
160539082752000; 0.516850; 3.627519; 9.121440
160539133083648; 0.471386; 3.680161; 9.145369
160539317633024; 0.533599; 3.605984; 8.671589
160539334410240; 0.504886; 3.574877; 8.602198
160539334410240; 0.533599; 3.672983; 8.544769
160539334410240; 0.533599; 3.672983; 8.544769
160539367964672; 0.758525; 3.651447; 8.482556
160539384741888; 0.847059; 3.661019; 8.343773
160539384741888; 0.926022; 3.785445; 8.231310
160539384741888; 0.926022; 3.785445; 8.231310
160539418296320; 1.179662; 3.775874; 7.881958
160539418296320; 1.213161; 3.907479; 7.668997
160539418296320; 1.213161; 3.907479; 7.668997
160539451850752; 1.509871; 4.216154; 7.281359
160539451850752; 1.509871; 4.216154; 7.281359
160539451850752; 1.509871; 4.216154; 7.281359
160539468627968; 2.277967; 4.297510; 7.585248
160539468627968; 2.277967; 4.297510; 7.585248
160539485405184; 2.277967; 4.297510; 7.585248
160539485405184; 2.404787; 4.421936; 7.484749
160539485405184; 2.404787; 4.421936; 7.484749
160539502182400; 2.481357; 4.476971; 7.446464
160539502182400; 2.574677; 4.474578; 7.463214
160539502182400; 2.574677; 4.474578; 7.463214
160539518959616; 2.574677; 4.474578; 7.463214
160539518959616; 2.574677; 4.474578; 7.463214
160539518959616; 2.790031; 4.398008; 7.161718
160539535736832; 2.790031; 4.398008; 7.161718
160539535736832; 2.723032; 4.259224; 7.006185
160539535736832; 2.723032; 4.259224; 7.006185
160539535736832; 2.811567; 4.149155; 7.044470
160539552514048; 2.811567; 4.149155; 7.044470
160539552514048; 3.093920; 3.955336; 7.037292
160539569291264; 3.108277; 3.811766; 6.898508
160539586068480; 3.201597; 3.917051; 6.781260
160539586068480; 3.309274; 4.015156; 6.805188
160539602845696; 3.560520; 3.857230; 6.987042
160539619622912; 4.273581; 3.471986; 7.025327
160539619622912; 4.273581; 3.471986; 7.025327
160539653177344; 4.754539; 3.014956; 6.278767
160539669954560; 5.008178; 2.955136; 5.154140
160539686731776; 5.132605; 2.967100; 4.835895
160539703508992; 5.893522; 2.301895; 4.498507
160539720286208; 7.144969; 1.150948; 4.876573
160539753840640; 9.717253; -0.710668; 3.519842
160539770617856; 9.717253; -0.710668; 3.519842
160539787395072; 10.078569; -2.526821; 1.849652
160539804172288; 10.738988; -2.498107; 1.332802
160539820949504; 11.748759; -4.582255; 0.775275
160539837726720; 13.131811; -5.429315; 0.669990
160539854503936; 13.246666; -5.548956; 0.033500
160539888058368; 13.021741; -5.393422; -2.495714
160539921612800; 13.691731; -5.790631; -2.644069
160539938390016; 12.832707; -6.836294; -5.338387
160539955167232; 11.971292; -7.678568; -4.706682
160539988721664; 11.629118; -8.377272; -3.804588
160540039053312; 7.604390; -10.088140; -5.541777
160540072607744; 6.719046; -12.454642; -5.443672
160540122939392; 6.910472; -14.182260; -9.059227
160540139716608; 6.798009; -15.498312; -9.489935
160540173271040; 6.606583; -15.014962; -10.212567
160540240379904; 6.443871; -11.430513; -9.518648
160540290711552; 8.863015; -7.384251; -8.968299
160540307488768; 8.863015; -7.384251; -8.968299
160540324265984; 9.274581; -9.401401; -6.793223
160540341043200; 8.669196; -8.221739; -4.271188
160540341043200; 8.669196; -8.221739; -4.271188
160540374597632; 8.695518; -6.422336; -3.060420
160540391374848; 5.022535; -7.917850; -1.677369
160540424929280; 1.686940; -8.279166; -1.416551
160540508815360; -11.708081; -11.334801; -10.595419
160540508815360; -7.869994; -13.761123; -14.088940
160540525592576; -2.620141; -16.158731; -16.034304
160540559147008; 1.974079; -16.051054; -14.770894
160540575924224; 7.054041; -13.237095; -13.057633
160540592701440; 10.889736; -6.044270; -13.000205
160540609478656; 12.622139; 0.433101; -15.393028
160540626255872; 14.041083; 1.890330; -11.210374
160540643033088; 12.777673; 4.649254; -4.127619
160540676587520; 11.851650; 6.431907; 4.338187
160540693364736; 11.851650; 6.431907; 4.338187
160540710141952; 10.638490; 7.826923; 5.965307
160540710141952; 9.705289; 7.872386; 6.333802
160540726919168; 9.705289; 7.872386; 6.333802
160540726919168; 9.705289; 7.872386; 6.333802
160540743696384; 8.532805; 5.642276; 7.980063
160540760473600; 7.451250; 3.888337; 10.088140
160540777250816; 7.451250; 3.888337; 10.088140
160540794028032; 6.262017; 2.373680; 10.676775
160540877914112; 4.268795; -1.454836; 7.735996
160540894691328; 4.268795; -1.454836; 7.735996
160540911468544; 4.268795; -1.454836; 7.735996
160540928245760; 4.601398; -2.048256; 8.255239
160540961800192; 6.977471; -6.556334; 8.250452
160540961800192; 6.977471; -6.556334; 8.250452
160540978577408; 6.977471; -6.556334; 8.250452
160540995354624; 6.977471; -6.556334; 8.250452
160540995354624; 6.977471; -6.556334; 8.250452
160540995354624; 8.834301; -7.936993; 11.227124
160541028909056; 8.930014; -9.487542; 13.339986
160541045686272; 8.930014; -9.487542; 13.339986
160541062463488; 22.652851; -15.972091; 8.372486
160541079240704; 24.327827; -15.433706; 8.126026
160541096017920; 26.943184; -11.662618; 1.318445
160541112795136; 22.456640; -13.605590; 2.892923
160541129572352; 18.429520; -9.631111; -0.105284
160541129572352; 18.429520; -9.631111; -0.105284
160541146349568; 9.071191; -7.365108; 0.203390
160541163126784; 0.725025; -8.037491; 4.563113
160541196681216; -5.687739; -7.953743; 4.859823
160541196681216; -7.549356; -7.477571; 6.027520
160541213458432; -7.549356; -7.477571; 6.027520
160541213458432; -7.549356; -7.477571; 6.027520
160541213458432; 2.806781; -6.709475; 3.701697
160541230235648; 2.806781; -6.709475; 3.701697
160541230235648; 8.003992; -6.185447; 0.165105
160541247012864; 8.003992; -6.185447; 0.165105
160541247012864; 8.003992; -6.185447; 0.165105
160541247012864; 13.852050; -8.989835; 0.758525
160541263790080; 13.852050; -8.989835; 0.758525
160541263790080; 13.852050; -8.989835; 0.758525
160541263790080; 13.852050; -8.989835; 0.758525
160541280567296; 19.221544; -12.949956; -2.734996
160541297344512; 19.221544; -12.949956; -2.734996
160541297344512; 16.180267; -12.447463; -4.393222
160541297344512; 16.180267; -12.447463; -4.393222
160541314121728; 16.180267; -12.447463; -4.393222
160541314121728; 8.559127; -16.668402; -3.694518
160541314121728; 8.559127; -16.668402; -3.694518
160541314121728; 8.559127; -16.668402; -3.694518
160541330898944; 8.559127; -16.668402; -3.694518
160541330898944; 6.393622; -19.161724; -3.479164
160541330898944; 6.393622; -19.161724; -3.479164
160541347676160; 6.393622; -19.161724; -3.479164
160541347676160; 8.425129; -22.566710; -3.450450
160541347676160; 8.425129; -22.566710; -3.450450
160541364453376; 8.425129; -22.566710; -3.450450
160541364453376; 8.425129; -22.566710; -3.450450
160541381230592; 9.080762; -20.554346; -5.936593
160541381230592; 9.080762; -20.554346; -5.936593
160541398007808; 6.080163; -10.858629; -10.908878
160541414785024; 1.136591; -14.579469; -16.256838
160541414785024; 1.136591; -14.579469; -16.256838
160541448339456; 5.462814; -9.975677; -16.127625
160541481893888; 10.408778; -9.018549; -14.213367
160541481893888; 10.408778; -9.018549; -14.213367
160541481893888; 14.519648; -11.440085; -15.189638
160541481893888; 14.519648; -11.440085; -15.189638
160541498671104; 14.519648; -11.440085; -15.189638
160541515448320; 14.668003; -16.359728; -17.687744
160541532225536; 10.533205; -17.635103; -13.899907
160541532225536; 10.533205; -17.635103; -13.899907
160541549002752; 9.262616; -12.732209; -6.896115
160541565779968; 6.606583; -8.470592; -3.397808
160541565779968; 6.606583; -8.470592; -3.397808
160541582557184; 6.941578; -5.577670; -4.603791
160541582557184; 6.941578; -5.577670; -4.603791
160541599334400; 6.005985; -2.653640; -1.732404
160541616111616; 6.005985; -2.653640; -1.732404
160541632888832; 4.180261; -0.557528; 2.237289
160541666443264; 4.118048; 1.469193; 3.613162
160541683220480; 4.862216; 1.060020; 1.715654
160541716774912; 5.491528; -0.964308; 4.749753
160541733552128; 5.491528; -0.964308; 4.749753
160541750329344; 4.204189; 0.964308; 5.869594
160541750329344; 4.204189; 0.964308; 5.869594
160541783883776; 5.072784; 0.792024; 3.347559
160541783883776; 5.079962; 0.480957; 1.485943
160541800660992; 5.079962; 0.480957; 1.485943
160541834215424; 5.261817; -2.091327; 4.268795
160541834215424; 5.261817; -2.091327; 4.268795
160541884547072; 3.373880; -4.529613; 3.273381
160541901324288; 3.373880; -4.529613; 3.273381
160541918101504; 2.478964; -7.671390; 3.311666
160541951655936; 11.863615; -18.479769; 3.495914
160541951655936; 11.863615; -18.479769; 3.495914
160541968433152; 19.080368; -18.257236; 2.218147
160541985210368; 19.080368; -18.257236; 2.218147
160541985210368; 21.681366; -15.103497; -1.261018
160541985210368; 21.681366; -15.103497; -1.261018
160542001987584; 27.613173; -14.232509; -8.190632
160542018764800; 27.613173; -14.232509; -8.190632
160542018764800; 32.690742; -18.439091; -15.247066
160542035542016; 32.690742; -18.439091; -15.247066
160542035542016; 32.690742; -18.439091; -15.247066
160542052319232; 28.481768; -23.708086; -6.144769
160542069096448; 20.252851; -17.020147; -0.866202
160542085873664; 9.894321; -10.377672; -2.593820
160542102650880; -0.045464; -10.389636; -1.134198
160542119428096; -0.045464; -10.389636; -1.134198
160542152982528; 0.646062; -11.016556; -0.514457
160542186536960; 8.812766; -9.298509; -3.091527
160542203314176; 10.810773; -10.473385; -6.484550
160542220091392; 11.956935; -13.337593; -7.228717
160542253645824; 7.520642; -14.581861; -6.259624
160542270423040; 3.060420; -14.859428; -5.285745
160542287200256; 0.256032; -10.415956; -7.585248
160542287200256; 0.069392; -9.839287; -9.633504
160542320754688; 1.043271; -12.423535; -9.272188
160542337531904; 3.227918; -11.308480; -9.973285
160542354309120; 6.285945; -10.648061; -12.653246
160542371086336; 6.285945; -10.648061; -12.653246
160542387863552; 10.119247; -13.170095; -12.062219
160542404640768; 9.466006; -15.732809; -12.279965
160542438195200; 3.737589; -12.772887; -8.169097
160542454972416; 3.737589; -12.772887; -8.169097
160542471749632; 1.387837; -10.908878; -3.421736
160542488526848; -0.854238; -7.685746; -1.521835
160542505304064; -0.509671; -5.111069; -1.483550
160542505304064; -0.509671; -5.111069; -1.483550
160542505304064; -0.509671; -5.111069; -1.483550
160542522081280; 1.538585; -3.424129; 0.035892
160542538858496; 1.538585; -3.424129; 0.035892
160542538858496; 2.237289; -2.675176; 1.651048
160542555635712; 2.237289; -2.675176; 1.651048
160542572412928; 2.617748; -0.370888; 2.285146
160542589190144; 3.639483; -0.081356; 1.950150
160542589190144; 3.639483; -0.081356; 1.950150
160542605967360; 4.106084; -0.031107; 2.285146
160542605967360; 4.106084; -0.031107; 2.285146
160542622744576; 3.742375; 1.167697; 2.632105
160542622744576; 3.742375; 1.167697; 2.632105
160542639521792; 3.802195; 1.631905; 3.067599
160542639521792; 3.802195; 1.631905; 3.067599
160542656299008; 4.520042; 1.627119; 2.299503
160542673076224; 4.520042; 1.627119; 2.299503
160542673076224; 4.335794; 1.079163; 1.232304
160542689853440; 4.335794; 1.079163; 1.232304
160542706630656; 4.156333; 0.674776; -0.291924
160542706630656; 4.642076; 2.364109; -0.705883
160542723407872; 4.642076; 2.364109; -0.705883
160542740185088; 3.967300; 3.196811; -0.330210
160542773739520; 3.728018; 1.418944; -0.162712
160542773739520; 3.979264; -2.232503; 0.811167
160542773739520; 3.979264; -2.232503; 0.811167
160542790516736; 4.642076; -6.434300; 2.285146
160542807293952; 4.642076; -6.434300; 2.285146
160542824071168; 5.364708; -8.233703; 1.957329
160542840848384; 10.679168; -13.445271; 0.007178
160542857625600; 10.679168; -13.445271; 0.007178
160542874402816; 22.217358; -17.218752; 2.340181
160542907957248; 21.288942; -19.929819; 2.086541
160542924734464; 21.288942; -19.929819; 2.086541
160542941511680; 21.288942; -19.929819; 2.086541
160542958288896; 22.861027; -15.960127; -2.847459
160542975066112; 22.861027; -15.960127; -2.847459
160542975066112; 28.479376; -18.503698; -10.904093
160543008620544; 28.479376; -18.503698; -10.904093
160543025397760; 22.865812; -20.597418; -3.787838
160543025397760; 22.865812; -20.597418; -3.787838
