time; x; y; z
160662814720000; -0.002932; 0.031826; 0.041233
160662915383296; -0.018815; 0.025717; 0.065668
160662948937728; -0.024312; 0.011668; 0.085827
160662965714944; -0.034086; 0.014722; 0.083383
160662965714944; -0.046914; 0.011668; 0.065057
160662982492160; -0.065240; 0.007391; 0.044899
160662982492160; -0.065240; 0.007391; 0.044899
160662999269376; -0.085399; -0.002993; 0.010079
160662999269376; -0.118997; -0.015821; -0.014966
160663016046592; -0.151372; -0.023763; -0.035736
160663016046592; -0.151372; -0.023763; -0.035736
160663032823808; -0.230785; -0.014600; -0.105374
160663049601024; -0.318139; 0.001283; -0.091935
160663049601024; -0.318139; 0.001283; -0.091935
160663066378240; -0.358456; 0.009835; -0.085827
160663066378240; -0.514226; 0.004337; -0.088881
160663083155456; -0.514226; 0.004337; -0.088881
160663083155456; -0.605245; 0.001894; -0.011301
160663099932672; -0.707871; -0.032315; 0.085216
160663099932672; -0.683436; -0.285213; 0.399200
160663116709888; -0.683436; -0.285213; 0.399200
160663116709888; -0.650449; -0.095234; 0.490830
160663133487104; -0.671219; -0.165483; 0.251371
160663150264320; -0.519113; -0.095234; -0.060781
160663167041536; -0.097616; -0.035369; 0.231212
160663167041536; -0.310197; -0.177701; 0.105374
160663183818752; -0.475742; -0.248561; 0.068722
160663200595968; -0.406103; -0.293765; 0.047953
160663234150400; -0.398773; -0.268720; 0.046731
160663250927616; -0.572259; -0.290711; 0.011301
160663267704832; -0.724364; -0.332860; -0.008247
160663284482048; -0.767735; -0.333471; -0.016188
160663301259264; -0.878302; -0.343245; -0.027794
160663318036480; -1.037738; -0.362182; -0.093157
160663334813696; -1.205726; -0.410440; -0.151189
160663351590912; -1.537426; -0.473359; -0.149357
160663368368128; -1.808650; -0.508790; -0.126755
160663385145344; -2.232590; -0.591867; -0.147524
160663401922560; -2.432343; -0.516731; -0.065057
160663401922560; -2.432343; -0.516731; -0.065057
160663435476992; -2.202047; -0.364015; -0.063835
160663485808640; -1.494054; -0.264444; -0.200058
160663502585856; -1.207559; -0.228403; -0.286190
160663519363072; -1.130589; -0.208855; -0.337503
160663519363072; -1.078055; -0.200914; -0.383318
160663536140288; -1.039571; -0.199692; -0.430965
160663552917504; -0.911289; -0.185642; -0.565967
160663569694720; -0.750020; -0.159375; -0.636827
160663586471936; -0.630902; -0.122723; -0.697914
160663603249152; -0.609521; -0.101343; -0.729068
160663620026368; -0.591195; -0.075075; -0.784046
160663636803584; -0.591195; -0.075075; -0.784046
160663636803584; -0.591195; -0.075075; -0.784046
160663653580800; -0.591195; -0.075075; -0.784046
160663670358016; -0.591195; -0.075075; -0.784046
160663687135232; -0.622350; -0.059804; -0.818865
160663703912448; -0.622350; -0.059804; -0.818865
160663703912448; -0.621739; 0.011668; -0.777937
160663720689664; -0.621739; 0.011668; -0.777937
160663737466880; -0.621739; 0.011668; -0.777937
160663754244096; -0.515448; 0.071532; -0.671035
160663754244096; -0.515448; 0.071532; -0.671035
160663787798528; -0.474520; 0.088637; -0.596510
160663804575744; -0.728029; -0.009713; -0.587347
160663821352960; -0.773233; 0.001283; -0.562912
160663821352960; -0.853257; -0.010324; -0.528704
160663838130176; -0.881967; -0.010934; -0.525039
160663854907392; -0.873415; -0.012767; -0.510378
160663854907392; -0.881967; -0.019487; -0.495717
160663871684608; -0.892352; -0.067745; -0.470672
160663888461824; -0.853257; -0.050030; -0.452957
160663888461824; -0.811718; -0.033537; -0.440739
160663905239040; -0.781174; -0.031093; -0.415083
160663905239040; -0.781174; -0.031093; -0.415083
160663922016256; -0.764681; -0.029260; -0.414472
160663922016256; -0.742690; -0.034758; -0.420581
160663922016256; -0.742690; -0.034758; -0.420581
160663938793472; -0.729251; -0.035980; -0.418748
160663938793472; -0.745133; -0.050641; -0.401033
160663955570688; -0.776288; -0.074464; -0.381485
160663955570688; -0.790948; -0.092790; -0.391870
160663972347904; -0.820881; -0.125777; -0.385151
160663989125120; -0.819659; -0.114782; -0.358883
160664005902336; -0.809274; -0.119669; -0.333227
160664005902336; -0.770790; -0.133108; -0.328951
160664022679552; -0.704205; -0.142271; -0.330173
160664039456768; -0.643119; -0.136773; -0.329562
160664039456768; -0.589363; -0.138605; -0.328951
160664039456768; -0.538661; -0.147157; -0.319177
160664056233984; -0.480018; -0.152655; -0.311847
160664056233984; -0.480018; -0.152655; -0.311847
160664089788416; -0.428705; -0.165483; -0.270919
160664089788416; -0.429316; -0.161818; -0.244652
160664106565632; -0.455583; -0.116003; -0.186008
160664123342848; -0.455583; -0.116003; -0.186008
160664123342848; -0.500176; -0.103786; -0.149967
160664123342848; -0.500176; -0.103786; -0.149967
160664156897280; -0.580200; -0.100121; -0.070555
160664156897280; -0.580200; -0.100121; -0.070555
160664156897280; -0.578978; -0.097677; -0.048564
160664156897280; -0.578978; -0.097677; -0.048564
160664207228928; -0.340741; -0.128831; -0.095600
160664207228928; -0.340741; -0.128831; -0.095600
160664207228928; -0.286985; -0.133108; -0.087659
160664240783360; -0.345628; -0.177701; -0.056505
160664240783360; -0.345628; -0.177701; -0.056505
160664240783360; -0.394497; -0.219850; -0.047342
160664274337792; -0.526444; -0.305372; -0.046731
160664291115008; -0.559430; -0.290100; -0.023518
160664291115008; -0.559430; -0.290100; -0.023518
160664307892224; -0.547824; -0.219240; -0.018021
160664324669440; -0.522168; -0.183809; -0.019853
160664341446656; -0.496511; -0.148379; -0.028405
