time; x; y; z
157511667679232; 1.294517; 6.396015; 7.568498
157511684456448; 1.294517; 6.396015; 7.568498
157511718010880; 0.894916; 6.297909; 7.070791
157511718010880; 0.921237; 6.326623; 7.338787
157511718010880; 0.921237; 6.326623; 7.338787
157511734788096; 0.921237; 6.326623; 7.338787
157511734788096; 0.930808; 6.800402; 7.432107
157511751565312; 0.830309; 6.771688; 7.403393
157511768342528; 0.842274; 6.673583; 7.384251
157511768342528; 0.875773; 6.396015; 7.295716
157511801896960; 0.906880; 6.343373; 7.240681
157511818674176; 0.935594; 6.290731; 7.281359
157511818674176; 0.916451; 6.453443; 7.252645
157511835451392; 0.885344; 6.441479; 7.274181
157511852228608; 0.792024; 6.551548; 7.211967
157511852228608; 0.792024; 6.551548; 7.211967
157511869005824; 0.801596; 6.496513; 7.475178
157511885783040; 0.847059; 6.477371; 7.530213
157511919337472; 0.882952; 6.549156; 7.446464
157511936114688; 0.760918; 6.419943; 7.178468
157511952891904; 0.729811; 6.391229; 7.106683
157511969669120; 0.686740; 6.470192; 7.049255
157511986446336; 0.617348; 6.599405; 6.922436
157512020000768; 0.416351; 7.063612; 6.551548
157512053555200; 3.524628; 7.925029; 5.589633
157512070332416; 0.595813; 7.173682; 5.285745
157512120664064; 2.132005; 5.843273; 4.773681
157512137441280; 2.038685; 5.446064; 4.895715
157512154218496; 2.258825; 4.957929; 5.077569
157512187772928; 1.775474; 3.199204; 5.678168
157512187772928; 2.017149; 2.629712; 5.603991
157512204550144; 2.270789; 1.969293; 5.979664
157512221327360; 2.007578; 1.115055; 6.843473
157512254881792; 0.562313; 1.342373; 7.795816
157512254881792; 1.258625; -0.057428; 7.233503
157512288436224; 2.691926; -5.187640; 4.752146
157512321990656; 3.067599; -8.597412; 3.390630
157512355545088; 2.237289; -10.911271; 3.086741
157512389099520; 1.414158; -12.567104; 3.010171
157512389099520; 1.579263; -12.926028; 2.904887
157512405876736; 1.579263; -12.926028; 2.904887
157512422653952; 1.131805; -11.892328; 3.024528
157512439431168; 0.988236; -11.808579; 2.919244
157512439431168; 1.344766; -11.959328; 3.077170
157512456208384; 1.344766; -11.959328; 3.077170
157512456208384; 1.375873; -12.100504; 3.464807
157512456208384; 1.375873; -12.100504; 3.464807
157512472985600; 1.519442; -12.033505; 3.182454
157512489762816; 1.677369; -12.124433; 2.792424
157512506540032; 1.677369; -12.124433; 2.792424
157512523317248; 1.086342; -12.043077; 1.957329
157512556871680; 1.304088; -12.770494; 2.921636
157512556871680; 1.500300; -12.492927; 2.835495
157512573648896; 1.682154; -12.504891; 2.878566
157512590426112; 1.792224; -12.832707; 2.744568
157512590426112; 1.636691; -12.796816; 2.426322
157512590426112; 1.636691; -12.796816; 2.426322
157512607203328; 1.636691; -12.796816; 2.426322
157512623980544; 1.143769; -12.110075; 1.981257
157512657534976; 2.026721; -11.327622; 2.711068
157512674312192; 1.741975; -10.899307; 2.703890
157512707866624; 2.297110; -10.138390; 2.943172
157512741421056; 2.373680; -10.274780; 2.684747
157512758198272; 2.404787; -10.219746; 2.366502
157512774975488; 2.378466; -10.076176; 2.567499
157512774975488; 2.378466; -10.076176; 2.567499
157512791752704; 2.352145; -10.135997; 2.495714
157512808529920; 2.352145; -10.135997; 2.495714
157512808529920; 2.352145; -10.135997; 2.495714
157512808529920; 2.287539; -10.626525; 2.385644
157512825307136; 2.002793; -10.583454; 1.916651
157512842084352; 2.002793; -10.583454; 1.916651
157512842084352; 1.258625; -10.358529; 1.414158
157512858861568; 1.258625; -10.358529; 1.414158
157512858861568; 1.258625; -10.358529; 1.414158
157512858861568; 0.744168; -9.779466; 1.076770
157512875638784; 0.744168; -9.779466; 1.076770
157512875638784; 0.744168; -9.779466; 1.076770
157512892416000; 0.595813; -9.664611; 0.926022
157512909193216; -0.081356; -9.509077; 1.004985
157512925970432; -0.547956; -8.839087; 0.902094
157512942747648; -0.547956; -8.839087; 0.902094
157512942747648; -1.368695; -8.061419; 0.552742
157512959524864; -1.368695; -8.061419; 0.552742
157512959524864; -1.672583; -7.905886; 0.308674
157512993079296; -1.856830; -7.791030; 0.047856
157513009856512; -2.275574; -7.357930; -0.318245
157513026633728; -2.555535; -6.362515; -0.385244
157513043410944; -2.404787; -6.463014; -0.090927
157513060188160; -2.404787; -6.463014; -0.090927
157513076965376; -1.421337; -9.291330; -1.074377
157513093742592; -1.421337; -9.291330; -1.074377
157513093742592; 0.626920; -11.107483; -1.359123
157513110519808; 0.626920; -11.107483; -1.359123
157513110519808; 2.474179; -11.743974; -0.990629
157513127297024; 2.474179; -11.743974; -0.990629
157513144074240; 2.895315; -10.949556; 0.531207
157513177628672; 6.077769; -14.768501; -0.153141
157513194405888; 8.023134; -14.797215; 0.746561
157513211183104; 9.564112; -13.761123; 3.467200
157513227960320; 9.564112; -13.761123; 3.467200
157513244737536; 11.992827; -15.163317; 6.912865
157513278291968; 14.467006; -17.568104; 8.595019
157513311846400; 16.749758; -15.833307; 12.423535
157513311846400; 16.749758; -15.833307; 12.423535
157513328623616; 17.034504; -13.457234; 13.995620
157513345400832; 17.400606; -12.260823; 14.074583
157513362178048; 16.601404; -10.671989; 12.801601
157513378955264; 16.601404; -10.671989; 12.801601
157513395732480; 12.531212; -6.197411; 11.598011
157513412509696; 12.531212; -6.197411; 11.598011
157513429286912; 11.112268; -6.077769; 10.372886
157513446064128; 9.229117; -4.125226; 7.269395
157513479618560; 6.396015; -3.672983; 3.014956
157513479618560; 6.396015; -3.672983; 3.014956
157513496395776; 6.396015; -3.672983; 3.014956
157513513172992; 5.048856; -2.617748; 2.431108
157513529950208; 3.871587; -1.734796; 1.488336
157513546727424; 2.924029; -1.715654; -0.169890
157513546727424; 2.924029; -1.715654; -0.169890
157513546727424; 2.924029; -1.715654; -0.169890
157513563504640; 1.861616; -2.555535; -1.844866
157513563504640; 1.861616; -2.555535; -1.844866
157513580281856; 0.911665; -2.706282; -2.892923
157513597059072; -0.184247; -3.125026; -3.151347
157513613836288; -0.157926; -3.527021; -3.601198
157513630613504; -0.679562; -3.026921; -4.096512
157513647390720; -0.679562; -3.026921; -4.096512
157513664167936; -0.765703; -1.875973; -5.982057
157513680945152; -1.339981; -1.428515; -7.326823
157513680945152; -1.339981; -1.428515; -7.326823
157513680945152; -0.868595; -2.108077; -6.845866
157513697722368; -0.868595; -2.108077; -6.845866
157513714499584; -1.366302; -2.562713; -9.944571
157513731276800; -1.476372; -2.718246; -11.626725
157513731276800; -1.476372; -2.718246; -11.626725
157513748054016; -0.894916; -4.472186; -6.664011
157513764831232; -1.686940; -6.161518; -2.711068
157513781608448; -1.686940; -6.161518; -2.711068
157513798385664; -1.686940; -6.161518; -2.711068
157513815162880; -1.966900; -5.654240; -2.962314
157513831940096; -2.947958; -6.637690; -2.916851
157513865494528; -2.371287; -5.764310; -3.684947
157513882271744; -2.371287; -5.764310; -3.684947
157513899048960; -1.069592; -9.061620; -2.854637
157513915826176; -1.330409; -10.348958; -3.486343
157513932603392; -1.330409; -10.348958; -3.486343
157513932603392; -0.507278; -12.789637; -1.196411
157514016489472; 5.663811; -14.368900; -1.744368
157514050043904; 18.159130; -16.134804; -5.041677
157514117152768; 13.296915; -15.570097; -5.347959
157514184261632; -1.155733; -13.057633; -0.849452
157514201038848; 0.612563; -14.309079; 2.656033
157514234593280; 10.291531; -11.045269; 3.809374
157514268147712; 11.004591; -12.516855; 6.431907
157514301702144; 8.908479; -10.892129; 6.867401
