time; x; y; z
157071014100992; 1.100698; 6.850651; 6.896115
157071014100992; 1.100698; 6.850651; 6.896115
157071014100992; 1.100698; 6.850651; 6.896115
157071014100992; 1.100698; 6.850651; 6.896115
157071014100992; 1.100698; 6.850651; 6.896115
157071014100992; 1.100698; 6.850651; 6.896115
157071014100992; 1.100698; 6.850651; 6.896115
157071014100992; 1.100698; 6.850651; 6.896115
157071014100992; 1.100698; 6.850651; 6.896115
157071030878208; 1.136591; 7.094719; 6.910472
157071030878208; 1.083949; 7.188039; 6.903293
157071030878208; 1.083949; 7.188039; 6.903293
157071030878208; 1.083949; 7.188039; 6.903293
157071047655424; 1.091127; 7.063612; 6.929615
157071047655424; 1.091127; 7.063612; 6.929615
157071047655424; 1.165305; 6.766902; 6.915257
157071064432640; 1.225125; 6.611369; 6.953543
157071064432640; 1.225125; 6.611369; 6.953543
157071064432640; 1.093520; 6.534799; 6.987042
157071081209856; 1.105484; 6.518049; 7.075577
157071081209856; 1.105484; 6.518049; 7.075577
157071081209856; 1.105484; 6.518049; 7.075577
157071081209856; 1.174876; 6.582655; 7.018149
157071097987072; 1.205983; 6.616155; 6.955935
157071097987072; 1.205983; 6.616155; 6.955935
157071097987072; 1.182054; 6.640083; 6.975078
157071114764288; 1.182054; 6.640083; 6.975078
157071114764288; 1.124627; 6.666404; 6.865008
157071131541504; 1.052842; 6.625726; 6.776474
157071131541504; 0.993021; 6.585048; 6.757331
157071198650368; 1.189233; 6.546763; 6.740582
157071198650368; 1.244268; 6.506085; 6.563512
157071215427584; 1.205983; 6.501299; 6.360123
157071248982016; 1.134198; 6.618547; 6.424729
157071248982016; 1.153340; 6.733403; 6.321837
157071282536448; 1.545763; 6.740582; 5.852844
157071316090880; 6.309873; 7.901100; 4.472186
157071332868096; 0.591027; 7.176075; 4.309474
157071349645312; 3.560520; 7.910672; 4.460221
157071383199744; 3.055634; 3.448057; 4.783252
157071416754176; 2.629712; -0.844666; 4.543970
157071416754176; 3.036492; -2.543571; 4.728218
157071433531392; 2.584249; -5.986842; 4.120440
157071450308608; 1.529014; -7.300502; 3.744767
157071467085824; -0.306281; -9.674182; 2.431108
157071467085824; -0.306281; -9.674182; 2.431108
157071483863040; -0.330210; -10.628919; 2.227718
157071483863040; -0.189033; -11.112268; 1.818545
157071517417472; -3.692125; -12.442677; 0.942772
157071534194688; -3.859623; -13.158132; 0.717847
157071550971904; -3.163311; -12.720245; 0.126820
157071567749120; -3.156133; -12.646068; 0.083749
157071584526336; -3.761517; -12.277573; -0.736989
157071618080768; -4.977071; -11.985648; -0.880559
157071634857984; -3.931408; -12.514462; -0.614955
157071651635200; -3.237489; -11.863615; -0.514457
157071668412416; -3.280560; -11.322837; -0.760918
157071685189632; -3.424129; -10.944771; -0.897308
157071701966848; -3.117848; -10.834701; -1.191626
157071718744064; -2.086541; -11.538191; -1.251446
157071752298496; -1.830509; -10.779666; -1.215554
157071769075712; -1.600798; -9.994821; -1.457229
157071769075712; -1.600798; -9.994821; -1.457229
157071769075712; -1.600798; -9.994821; -1.457229
157071785852928; -1.057628; -9.561719; -1.722832
157071785852928; -1.057628; -9.561719; -1.722832
157071802630144; -0.813560; -9.037691; -1.543371
157071802630144; -0.813560; -9.037691; -1.543371
157071836184576; -0.595813; -7.264609; -0.997807
157071852961792; -0.346959; -6.975078; -1.057628
157071852961792; -0.346959; -6.975078; -1.057628
157071869739008; -0.346959; -6.975078; -1.057628
157071869739008; -0.098106; -6.807580; -0.856631
157071886516224; 0.392423; -6.326623; -0.543171
