time; x; y; z
157243098005504; 1.500300; 6.271588; 7.664211
157243131559936; 1.806581; 6.156733; 7.678568
157243131559936; 1.806581; 6.156733; 7.678568
157243181891584; 1.567299; 6.250053; 7.738389
157243198668800; 1.670190; 6.044270; 7.712068
157243198668800; 1.670190; 6.044270; 7.712068
157243198668800; 1.670190; 6.044270; 7.712068
157243215446016; 1.689333; 5.948557; 7.702496
157243215446016; 1.689333; 5.948557; 7.702496
157243215446016; 1.689333; 5.948557; 7.702496
157243215446016; 1.689333; 5.948557; 7.702496
157243215446016; 1.689333; 5.948557; 7.702496
157243232223232; 1.787439; 5.737988; 7.668997
157243249000448; 1.787439; 5.843273; 7.601997
157243265777664; 1.746760; 6.125626; 7.568498
157243282554880; 1.579263; 6.068198; 7.568498
157243316109312; 1.557728; 5.735596; 7.511070
157243349663744; 1.581656; 5.958128; 7.556534
157243349663744; 1.567299; 6.092126; 7.470392
157243349663744; 1.567299; 6.092126; 7.470392
157243366440960; 1.497907; 6.080163; 7.482357
157243383218176; 1.581656; 5.883951; 7.307680
157243399995392; 1.579263; 5.761917; 7.319644
157243416772608; 1.588834; 5.828916; 7.089933
157243433549824; 1.438086; 6.080163; 6.625726
157243450327040; 1.438086; 6.080163; 6.625726
157243450327040; 1.438086; 6.305088; 6.530013
157243467104256; 1.249053; 6.623333; 6.486942
157243483881472; 2.007578; 8.111669; 6.092126
157243517435904; 1.210768; 7.420143; 4.900501
157243534213120; 3.268596; 7.070791; 4.414758
157243567767552; 2.000400; 4.419543; 5.570491
157243584544768; 2.742175; 2.103291; 5.338387
157243618099200; 3.649055; -5.020142; 3.263810
157243634876416; 3.117848; -6.613762; 2.945565
157243651653632; 1.885544; -9.918250; 2.847459
157243668430848; 1.665405; -11.078769; 2.785246
157243685208064; -0.234497; -12.655639; 1.296910
157243701985280; -2.912065; -12.291930; -0.959522
157243735539712; -3.443272; -12.954741; -0.923630
157243752316928; -3.215954; -11.435300; -0.547956
157243769094144; -4.003192; -11.143375; -0.509671
157243785871360; -4.163511; -10.719846; 0.038285
157243836203008; -3.555734; -10.947164; -1.835295
157243852980224; -3.503092; -10.490134; -1.490728
157243886534656; -2.703890; -12.124433; -1.268196
157243903311872; -1.928615; -11.404193; -2.299503
157243920089088; -2.069792; -11.021341; -2.266003
157243953643520; -1.787439; -9.760324; -1.639084
157243987197952; -0.961915; -9.334401; -1.148555
157244020752384; 0.342174; -6.362515; -0.028714
157244037529600; 0.342174; -6.362515; -0.028714
157244037529600; 0.902094; -6.958328; -0.081356
157244037529600; 0.902094; -6.958328; -0.081356
157244071084032; 1.880759; -8.606983; 0.361316
157244087861248; 3.151347; -8.504091; 0.007178
157244087861248; 4.929214; -7.403393; -0.090927
157244104638464; 4.929214; -7.403393; -0.090927
157244121415680; 6.317052; -6.853044; -0.200997
157244138192896; 6.317052; -6.853044; -0.200997
157244138192896; 7.283752; -6.939186; -0.454636
157244138192896; 7.283752; -6.939186; -0.454636
157244154970112; 7.283752; -6.939186; -0.454636
157244154970112; 8.721839; -8.913264; -0.311067
157244171747328; 9.858429; -7.898707; -1.146162
157244188524544; 9.858429; -7.898707; -1.146162
157244205301760; 12.514462; -9.805787; -3.665804
157244222078976; 12.514462; -9.805787; -3.665804
157244238856192; 13.911871; -10.231709; -4.804788
157244238856192; 13.911871; -10.231709; -4.804788
157244255633408; 14.634503; -8.681161; -6.173482
157244255633408; 14.634503; -8.681161; -6.173482
157244272410624; 16.173088; -9.372686; -9.327223
157244289187840; 16.173088; -9.372686; -9.327223
157244289187840; 16.673187; -9.865608; -9.169296
157244305965056; 16.673187; -9.865608; -9.169296
157244305965056; 16.673187; -9.865608; -9.169296
157244305965056; 17.331215; -9.004191; -9.420543
157244322742272; 17.965313; -8.372486; -10.650454
157244339519488; 17.965313; -8.372486; -10.650454
157244339519488; 17.828922; -7.920243; -12.260823
157244356296704; 17.828922; -7.920243; -12.260823
157244356296704; 17.828922; -7.920243; -12.260823
157244373073920; 17.213966; -7.302895; -13.634303
157244373073920; 17.213966; -7.302895; -13.634303
157244389851136; 15.780665; -7.908279; -13.275380
157244389851136; 15.780665; -7.908279; -13.275380
157244389851136; 15.780665; -7.908279; -13.275380
157244406628352; 14.017155; -8.348558; -11.844472
157244406628352; 14.017155; -8.348558; -11.844472
157244423405568; 13.512269; -8.616554; -12.346965
157244440182784; 13.512269; -8.616554; -12.346965
157244456960000; 12.224931; -7.580462; -12.617353
157244473737216; 10.662417; -5.656633; -13.466805
157244490514432; 9.884750; -6.319445; -14.586647
157244507291648; 9.288938; -2.833102; -16.003199
157244540846080; 7.080362; -1.768296; -15.247066
157244557623296; 5.862415; -1.919044; -16.122839
157244607954944; 4.979464; -6.171090; -12.437892
157244624732160; 5.620740; -4.917251; -12.669996
157244641509376; 4.845466; -4.864608; -10.959127
157244658286592; 4.103691; -3.840480; -8.989835
157244675063808; 4.132405; -3.156133; -7.671390
157244708618240; 4.223332; -2.950350; -6.352944
157244742172672; 4.771288; -1.734796; -3.835695
157244775727104; 5.276174; -0.093320; 3.440879
157244809281536; 3.127419; -2.299503; 3.668197
157244826058752; 4.141976; -2.210968; 3.771089
157244842835968; 3.749553; -3.742375; 6.027520
157244876390400; 2.584249; -3.687340; 6.594619
157244876390400; 3.316452; -4.857430; 6.709475
