time; x; y; z
157448367243264; -0.097005; 0.039767; -0.172569
157448384020480; -0.116553; 0.025717; -0.197615
157448400797696; -0.194744; 0.001283; -0.251371
157448417574912; -0.275378; -0.016432; -0.302073
157448434352128; -0.289428; -0.028650; -0.272751
157448434352128; -0.289428; -0.028650; -0.272751
157448451129344; -0.205739; -0.019487; -0.233656
157448467906560; -0.115942; 0.004948; -0.105374
157448484683776; -0.119607; 0.026328; -0.055894
157448518238208; -0.247278; 0.019609; 0.041233
157448535015424; -0.335854; -0.073243; -0.035125
157448551792640; -0.362732; -0.168538; -0.151800
157448568569856; -0.420153; -0.303539; -0.294132
157448602124288; -0.943665; -0.624854; -0.698524
157448652455936; -1.805596; -0.338969; -0.981966
157448669233152; -2.537412; -0.558881; -1.138347
157448686010368; -3.149499; -0.694493; -1.555568
157448702787584; -3.479366; -0.794064; -1.963626
157448736342016; -3.813509; -0.522840; -2.116954
157448769896448; -4.894741; -0.304761; -2.746756
157448803450880; -6.349211; -0.379286; -2.929404
157448837005312; -8.239840; -0.885694; -2.762638
157448853782528; -9.464624; -0.547885; -2.326480
157448853782528; -9.623449; -0.143492; -2.023491
157448870559744; -9.182405; 0.577940; -1.478599
157448904114176; -8.876972; 1.303648; -1.264796
157448920891392; -7.629585; 1.907793; -1.060768
157448937668608; -5.825089; 1.983541; -0.975857
157448971223040; -4.391999; 2.011029; -0.969138
157448988000256; -4.184916; 2.040962; -1.041831
157448988000256; -4.043806; 2.081890; -1.096809
157449021554688; -4.159870; 2.105103; -1.079704
157449038331904; -4.304645; 1.937115; -0.959975
157449038331904; -4.181251; 1.839987; -0.939205
157449071886336; -3.440882; 1.676275; -0.910495
157449088663552; -2.970515; 1.692158; -0.833526
157449105440768; -2.477547; 2.052568; -0.888503
157449122217984; -1.855686; 2.236439; -1.061378
157449138995200; -1.420140; 2.191235; -1.053437
157449155772416; -0.621128; 2.180850; -1.022283
157449172549632; -0.191079; 2.259041; -1.125519
157449189326848; 0.045326; 2.383657; -1.144456
157449189326848; -0.068295; 2.354947; -1.033279
157449206104064; -0.235061; 2.315240; -0.923323
157449222881280; -0.350515; 2.347005; -1.009455
157449222881280; -0.144042; 2.438635; -1.126130
157449256435712; 0.076480; 2.547980; -1.149343
157449256435712; 0.172386; 2.676262; -1.047939
157449273212928; 0.262183; 2.777665; -0.789543
157449273212928; 0.298835; 2.799046; -0.655153
157449289990144; 0.298835; 2.799046; -0.655153
157449323544576; 0.091141; 2.859521; -0.278249
157449323544576; 0.091141; 2.859521; -0.278249
157449340321792; 0.091141; 2.859521; -0.278249
157449340321792; -0.472077; 2.874793; 0.238543
157449357099008; -0.282708; 2.775222; 0.572075
157449373876224; 0.198043; 2.613343; 0.878730
157449390653440; 0.198043; 2.613343; 0.878730
157449390653440; 0.198043; 2.613343; 0.878730
157449424207872; 0.966511; 2.037297; 1.100474
157449424207872; 0.966511; 2.037297; 1.100474
157449440985088; 1.180314; 1.723312; 1.065654
157449457762304; 1.180314; 1.723312; 1.065654
157449474539520; 1.245676; 1.401386; 0.933097
157449491316736; 1.207192; 0.994550; 0.714407
157449508093952; 1.153436; 0.505858; 0.478002
157449541648384; 1.347080; -0.485577; -0.047342
157449541648384; 1.347080; -0.485577; -0.047342
157449558425600; 2.036136; -1.026803; -0.424857
157449575202816; 2.036136; -1.026803; -0.424857
157449591980032; 2.896234; -1.415925; -0.779159
157449591980032; 3.188228; -1.710972; -0.939816
157449608757248; 3.188228; -1.710972; -0.939816
157449625534464; 3.039788; -1.896675; -1.121243
