time; x; y; z
157071014100992; -0.023091; 0.002505; -0.027794
157071030878208; -0.094562; -0.001161; -0.018631
157071030878208; -0.094562; -0.001161; -0.018631
157071047655424; -0.176418; -0.005437; -0.005192
157071047655424; -0.176418; -0.005437; -0.005192
157071047655424; -0.233228; 0.004337; 0.025962
157071064432640; -0.233839; 0.023885; 0.039401
157071064432640; -0.233839; 0.023885; 0.039401
157071064432640; -0.201463; 0.029383; 0.037568
157071064432640; -0.201463; 0.029383; 0.037568
157071081209856; -0.147096; 0.015333; 0.033903
157071081209856; -0.147096; 0.015333; 0.033903
157071081209856; -0.085399; 0.000672; 0.034514
157071097987072; -0.085399; 0.000672; 0.034514
157071097987072; -0.038362; -0.011545; 0.020464
157071097987072; -0.001710; -0.017043; -0.009468
157071114764288; -0.001710; -0.017043; -0.009468
157071114764288; -0.001710; -0.017043; -0.009468
157071131541504; 0.063041; -0.046976; -0.088881
157071131541504; 0.058765; -0.057360; -0.125533
157071181873152; -0.048747; -0.079351; -0.099876
157071198650368; -0.190468; -0.094623; -0.107818
157071215427584; -0.379836; -0.103786; -0.160352
157071232204800; -0.498955; -0.133718; -0.186008
157071248982016; -0.885022; -0.259557; -0.256869
157071282536448; -1.869125; -0.589424; -0.471283
157071299313664; -2.577118; -0.754968; -0.572075
157071332868096; -3.737151; 0.164995; -0.411418
157071349645312; -5.136033; -0.466029; -0.527482
157071366422528; -7.863546; -0.031093; -0.760833
157071399976960; -8.972267; 0.289611; -0.760222
157071416754176; -9.194011; 0.384906; -0.733955
157071433531392; -9.476842; 0.937739; -0.677144
157071450308608; -9.422475; 1.296317; -0.542143
157071467085824; -9.430416; 1.774014; -0.154243
157071467085824; -9.393764; 1.803335; -0.003971
157071483863040; -9.300302; 1.764240; 0.136528
157071483863040; -9.142698; 1.759964; 0.259923
157071500640256; -8.680273; 1.878472; 0.514654
157071534194688; -7.513520; 1.507066; 0.804204
157071550971904; -5.975973; 1.146044; 1.077872
157071567749120; -5.636332; 1.078238; 1.171945
157071584526336; -4.902682; 1.115501; 1.244027
157071601303552; -4.117109; 1.067243; 1.112080
157071618080768; -3.295496; 0.802127; 0.957531
157071651635200; -2.436008; 0.540066; 0.748004
157071668412416; -1.518489; 0.336648; 0.543365
157071668412416; -1.518489; 0.336648; 0.543365
157071701966848; -1.498330; 0.111849; 0.462730
157071718744064; -1.487946; 0.039156; 0.330784
157071735521280; -1.272310; 0.133230; 0.225715
157071752298496; -1.272310; 0.133230; 0.225715
157071769075712; -1.293690; 0.113071; 0.197615
157071769075712; -1.293690; 0.113071; 0.197615
157071785852928; -1.423805; 0.056872; 0.137750
157071785852928; -1.423805; 0.056872; 0.137750
157071802630144; -1.583851; 0.003726; 0.036346
157071802630144; -1.583851; 0.003726; 0.036346
157071836184576; -1.669984; 0.014722; -0.068722
157071852961792; -1.669984; 0.014722; -0.068722
157071852961792; -1.671205; 0.153388; -0.078496
157071869739008; -1.671205; 0.153388; -0.078496
157071869739008; -1.475117; 0.464930; -0.091935
157071886516224; -1.475117; 0.464930; -0.091935
157071903293440; -1.236880; 0.828394; -0.128587
157071936847872; -2.117748; 1.618854; -0.211054
157071953625088; -2.925922; 2.155194; -0.316734
157071953625088; -2.925922; 2.155194; -0.316734
157071970402304; -3.448823; 2.798435; -0.249538
157071987179520; -3.747536; 3.555908; 0.053451
157072003956736; -3.577105; 4.323765; 0.222660
157072020733952; -3.577105; 4.323765; 0.222660
157072037511168; -3.258233; 4.834448; 0.436463
157072054288384; -2.831849; 5.080017; 0.647823
157072054288384; -2.831849; 5.080017; 0.647823
