time; hr
157318561923072; 0.000000
157331379716096; 77.000000
157333611085824; 78.000000
157335691460608; 79.000000
157335708237824; 79.000000
157338694582272; 79.000000
157343610306560; 82.000000
157343610306560; 82.000000
157345271250944; 86.000000
157345271250944; 86.000000
157346948972544; 89.000000
157346948972544; 89.000000
157348458921984; 89.000000
157348458921984; 89.000000
157350035980288; 92.000000
157350052757504; 92.000000
157351713701888; 91.000000
157351713701888; 91.000000
157353324314624; 89.000000
157353341091840; 89.000000
157354901372928; 88.000000
157356847529984; 86.000000
157356847529984; 86.000000
157358860795904; 88.000000
157358860795904; 88.000000
157360874061824; 89.000000
157362853773312; 90.000000
157364833484800; 92.000000
157364850262016; 92.000000
157366863527936; 93.000000
157368876793856; 93.000000
157372869771264; 94.000000
157372869771264; 94.000000
157374883037184; 94.000000
157378876014592; 95.000000
157380872503296; 95.000000
157383070318592; 94.000000
157385419128832; 93.000000
157387935711232; 94.000000
157389915422720; 95.000000
157391693807616; 96.000000
157393606410240; 97.000000
157396122992640; 99.000000
157396122992640; 99.000000
157398236921856; 100.000000
157399964975104; 101.000000
157401575587840; 102.000000
157404847144960; 102.000000
157406893965312; 103.000000
157406893965312; 103.000000
