time; hr
157179780792320; 0.000000
157190149111808; 79.000000
157192044937216; 80.000000
157194058203136; 81.000000
157196138577920; 81.000000
157198051180544; 81.000000
157200064446464; 80.000000
157204057423872; 79.000000
157206070689792; 83.000000
157206070689792; 83.000000
157208067178496; 88.000000
157208067178496; 88.000000
157210063667200; 91.000000
157210063667200; 91.000000
157212076933120; 92.000000
157212076933120; 92.000000
157214073421824; 95.000000
157214090199040; 95.000000
157216069910528; 96.000000
157220079665152; 98.000000
157220079665152; 98.000000
157222092931072; 99.000000
157224089419776; 98.000000
