time; x; y; z
163463150174208; 0.947558; 5.936593; 7.465607
163463166951424; 0.947558; 5.936593; 7.465607
163463200505856; 0.794417; 5.927022; 8.152347
163463200505856; 0.794417; 5.927022; 8.152347
163463217283072; 0.794417; 5.927022; 8.152347
163463217283072; 0.794417; 5.927022; 8.152347
163463217283072; 0.820738; 5.790631; 8.130812
163463217283072; 0.820738; 5.790631; 8.130812
163463250837504; 0.756132; 5.874380; 7.795816
163463250837504; 0.756132; 5.874380; 7.795816
163463267614720; 0.696311; 5.970092; 7.647461
163463284391936; 0.574277; 6.154340; 7.453642
163463284391936; 0.626920; 6.216553; 7.302895
163463301169152; 0.602991; 5.991628; 7.252645
163463317946368; 0.732204; 5.819345; 7.365108
163463317946368; 0.732204; 5.819345; 7.365108
163463334723584; 0.617348; 5.855237; 7.558927
163463351500800; 0.636491; 5.852844; 7.680961
163463368278016; 0.720240; 5.927022; 7.755138
163463368278016; 0.772882; 5.960521; 7.826923
163463401832448; 0.801596; 6.161518; 7.676175
163463418609664; 0.878166; 6.111269; 7.599605
163463435386880; 0.909273; 5.962914; 7.532606
163463452164096; 0.794417; 5.891129; 7.575676
163463468941312; 0.684347; 6.139983; 7.666604
163463485718528; 0.593420; 6.187840; 7.745567
163463502495744; 0.543171; 6.228518; 7.721639
163463519272960; 0.567099; 6.262017; 7.575676
163463536050176; 0.524028; 6.266802; 7.434500
163463536050176; 0.449851; 6.305088; 7.307680
163463552827392; 0.399601; 6.525228; 7.185647
163463552827392; 0.399601; 6.525228; 7.185647
163463569604608; 0.150748; 6.750153; 6.764510
163463569604608; 0.150748; 6.750153; 6.764510
163463586381824; -0.169890; 7.109076; 6.297909
163463603159040; -0.509671; 7.247860; 6.029913
163463603159040; -0.894916; 7.422536; 5.735596
163463619936256; -1.222732; 7.472785; 5.429315
163463619936256; -1.222732; 7.472785; 5.429315
163463653490688; -1.720439; 7.056434; 4.800002
163463670267904; -1.854438; 6.955935; 4.476971
163463687045120; -2.361716; 7.377072; 4.412365
163463720599552; -2.636891; 6.836294; 4.766503
163463754153984; -2.127219; 4.900501; 5.666204
163463770931200; -2.663212; 2.790031; 5.819345
163463804485632; -2.914458; 0.672383; 5.888737
163463838040064; -2.742175; -4.948357; 5.938986
163463854817280; -2.778067; -6.821938; 5.879165
163463871594496; -3.259024; -9.765109; 5.553741
163463888371712; -2.081756; -12.715460; 3.816552
163463938703360; -0.514457; -12.320643; 1.593620
163463955480576; 0.818345; -11.818151; 1.947758
163463972257792; 0.622134; -10.368100; 1.555335
163463989035008; 0.447458; -10.279566; 0.870987
163464005812224; 0.069392; -10.528419; 0.023928
163464022589440; -0.409173; -10.241281; -1.150948
163464022589440; -0.440279; -11.636296; -1.241875
163464056143872; -0.198604; -12.157932; -1.031307
163464072921088; -1.148555; -9.884750; -0.227318
163464089698304; -1.442872; -9.710074; -0.131605
163464106475520; -2.031507; -9.839287; 0.205783
163464123252736; -2.242075; -9.686146; 0.057428
163464190361600; -3.680161; -11.456835; -0.909273
163464207138816; -3.522235; -12.167503; -1.617548
163464223916032; -3.213561; -13.177275; -1.636691
163464240693248; -2.998207; -13.117454; -0.366102
163464257470464; -2.998207; -13.117454; -0.366102
163464257470464; -3.656233; -12.497713; -0.110070
163464291024896; -3.828516; -11.492727; -0.205783
163464307802112; -3.759124; -10.339387; -0.239282
163464324579328; -4.354937; -10.241281; -0.516850
163464341356544; -4.486542; -11.483156; 0.019143
163464358133760; -4.486542; -11.483156; 0.019143
163464358133760; -4.055834; -11.315659; -0.241675
163464374910976; -4.055834; -11.315659; -0.241675
163464374910976; -4.342973; -10.449456; -1.040878
163464391688192; -4.555934; -10.691132; -0.837488
163464408465408; -4.591826; -10.138390; -0.911665
163464425242624; -4.591826; -10.138390; -0.911665
163464442019840; -4.878965; -9.554541; -1.057628
163464458797056; -5.022535; -9.162118; -1.361516
163464458797056; -5.022535; -9.162118; -1.361516
163464475574272; -4.847859; -9.083155; -0.997807
163464475574272; -4.847859; -9.083155; -0.997807
163464492351488; -4.917251; -8.559127; -0.978664
163464509128704; -4.917251; -8.559127; -0.978664
163464509128704; -4.850252; -8.573483; -0.626920
163464525905920; -4.354937; -8.353344; -0.196211
163464542683136; -4.354937; -8.353344; -0.196211
163464559460352; -3.711268; -8.236095; 0.040678
163464559460352; -3.400201; -8.209774; 0.423530
163464576237568; -3.400201; -8.209774; 0.423530
163464593014784; -3.409772; -8.472985; 0.339781
