time; x; y; z
163317205172224; -1.270589; 4.886144; 8.209774
163317205172224; -1.270589; 4.886144; 8.209774
163317205172224; -1.406980; 4.926822; 8.224132
163317221949440; -1.406980; 4.926822; 8.224132
163317221949440; -1.406980; 4.926822; 8.224132
163317221949440; -1.282553; 4.924429; 8.190632
163317221949440; -1.282553; 4.924429; 8.190632
163317221949440; -1.282553; 4.924429; 8.190632
163317221949440; -1.282553; 4.924429; 8.190632
163317238726656; -1.282553; 4.924429; 8.190632
163317238726656; -1.196411; 4.642076; 8.178668
163317238726656; -1.440479; 4.421936; 8.164310
163317238726656; -1.440479; 4.421936; 8.164310
163317255503872; -1.497907; 4.551149; 8.228917
163317255503872; -1.426122; 4.625326; 8.291130
163317272281088; -1.349552; 4.804788; 8.377272
163317272281088; -1.349552; 4.804788; 8.377272
163317289058304; -1.299303; 5.087141; 8.370093
163317289058304; -1.263410; 5.312066; 8.346166
163317322612736; -1.299303; 5.484350; 8.195417
163317356167168; -1.344766; 4.713861; 8.094919
163317372944384; -1.304088; 4.448257; 8.255239
163317423276032; -1.308874; 5.443672; 8.283952
163317456830464; -1.282553; 4.977071; 8.032705
163317490384896; -1.313660; 4.847859; 7.891529
163317523939328; -1.828117; 5.230711; 7.645068
163317557493760; -2.045863; 5.965307; 7.010970
163317607825408; -3.402594; 6.788438; 5.955736
163317624602624; -4.364509; 5.022535; 6.441479
163317624602624; -4.364509; 5.022535; 6.441479
163317641379840; -4.036692; 3.086741; 7.281359
163317708488704; -3.641876; -0.875773; 5.814559
163317725265920; -2.531606; -3.043670; 5.467600
163317758820352; -2.249253; -4.548756; 5.785845
163317775597568; -1.986043; -6.513263; 4.989035
163317792374784; -0.799203; -7.451250; 3.974478
163317809152000; 0.093320; -9.066405; 2.663212
163317825929216; 0.095713; -9.946963; 2.072184
163317842706432; 0.504886; -11.636296; 0.854238
163317842706432; 0.854238; -11.660225; 0.370888
163317859483648; 0.854238; -11.660225; 0.370888
163317876260864; 1.512264; -11.411371; -0.047856
163317893038080; 3.177669; -11.578869; -1.871187
163317893038080; 3.177669; -11.578869; -1.871187
163317893038080; 3.397808; -11.933006; -2.751746
163317909815296; 3.462414; -12.629318; -3.275774
163317926592512; 3.541378; -13.158132; -3.687340
163317926592512; 3.527021; -13.356736; -3.309274
163317943369728; 4.357330; -12.093326; -2.404787
163317943369728; 4.357330; -12.093326; -2.404787
163317960146944; 4.644469; -11.538191; -2.208575
163317976924160; 4.575077; -11.258230; -2.524428
163317993701376; 3.194418; -11.722438; -3.840480
163318010478592; 2.880959; -12.744173; -4.768896
163318027255808; 2.517249; -11.684153; -3.737589
163318060810240; 1.249053; -10.097712; -2.428715
163318060810240; 1.249053; -10.097712; -2.428715
163318077587456; 1.249053; -10.097712; -2.428715
163318111141888; -0.437887; -9.032906; -1.148555
163318127919104; -1.086342; -7.975278; -0.184247
163318161473536; -1.600798; -7.724031; -0.014357
163318195027968; -4.788038; -7.858029; -0.112463
163318211805184; -4.788038; -7.858029; -0.112463
163318211805184; -4.788038; -7.858029; -0.112463
163318228582400; -5.486742; -7.003792; -0.208176
163318228582400; -5.486742; -7.003792; -0.208176
163318245359616; -6.151947; -6.604190; -0.636491
163318245359616; -6.151947; -6.604190; -0.636491
163318245359616; -6.151947; -6.604190; -0.636491
163318262136832; -6.151947; -6.604190; -0.636491
163318262136832; -7.403393; -7.152147; -0.995414
163318262136832; -7.403393; -7.152147; -0.995414
163318278914048; -8.673982; -7.470392; -2.175076
163318295691264; -8.673982; -7.470392; -2.175076
163318295691264; -9.281759; -6.939186; -3.333202
163318312468480; -9.281759; -6.939186; -3.333202
163318312468480; -9.554541; -6.589834; -3.326024
163318329245696; -9.554541; -6.589834; -3.326024
163318329245696; -9.554541; -6.589834; -3.326024
163318329245696; -9.554541; -6.589834; -3.326024
163318346022912; -9.903893; -7.250253; -3.194418
163318346022912; -9.903893; -7.250253; -3.194418
163318362800128; -11.368300; -7.721639; -4.969893
163318379577344; -12.418750; -8.331808; -6.577869
163318379577344; -12.418750; -8.331808; -6.577869
163318396354560; -12.646068; -8.630911; -6.793223
163318413131776; -12.646068; -8.630911; -6.793223
163318429908992; -13.421342; -8.671589; -6.185447
163318429908992; -13.801801; -8.164310; -7.609176
163318429908992; -13.801801; -8.164310; -7.609176
163318463463424; -14.330615; -10.327422; -9.401401
163318463463424; -13.945371; -10.064212; -8.949157
163318497017856; -12.959527; -9.822537; -7.948957
163318497017856; -12.959527; -9.822537; -7.948957
163318530572288; -12.677175; -10.193424; -8.638090
163318530572288; -12.026326; -10.683953; -9.745967
163318580903936; -8.776874; -11.353944; -9.841680
163318597681152; -7.549356; -10.966306; -10.542776
163318614458368; -6.917650; -10.636097; -12.083755
163318631235584; -6.692725; -7.932207; -13.782659
163318648012800; -6.783652; -5.407779; -14.603396
163318681567232; -5.058427; -6.396015; -15.127425
163318681567232; -4.960321; -3.888337; -16.254444
163318698344448; -4.960321; -3.888337; -16.254444
163318715121664; -5.627919; -5.654240; -16.613367
163318715121664; -4.828716; -5.132605; -14.213367
163318731898880; -4.828716; -5.132605; -14.213367
163318765453312; -3.680161; -4.783252; -11.432906
163318782230528; -3.594020; -4.486542; -9.743574
163318815784960; -2.866601; -3.026921; -5.912665
163318832562176; -2.866601; -3.026921; -5.912665
163318832562176; -2.694318; -2.596213; -4.342973
163318832562176; -2.694318; -2.596213; -4.342973
163318849339392; -2.256432; -1.923829; -3.256632
163318866116608; -2.256432; -1.923829; -3.256632
163318899671040; -2.945565; -2.108077; -1.009771
163318899671040; -2.945565; -2.108077; -1.009771
163318933225472; -2.897708; -2.141576; 1.330409
163318950002688; -2.658426; -0.739382; 2.744568
163318966779904; -2.490928; -0.145962; -0.909273
163318983557120; -2.758924; -3.668197; -0.114855
163319000334336; -2.758924; -3.668197; -0.114855
163319017111552; -3.242275; -3.706482; 2.557927
163319033888768; -2.600998; -2.031507; 4.811966
163319050665984; -3.005385; -3.371487; 6.063413
163319067443200; -2.732604; -4.883751; 3.567698
163319084220416; -2.210968; -8.623733; 2.890530
163319100997632; -2.210968; -8.623733; 2.890530
163319117774848; -2.012364; -10.104890; 4.656433
163319117774848; -2.151148; -12.050255; 1.825724
163319134552064; -2.151148; -12.050255; 1.825724
163319134552064; -1.663012; -16.364513; -2.842673
163319151329280; -1.663012; -16.364513; -2.842673
163319151329280; -1.663012; -16.364513; -2.842673
163319168106496; -1.612762; -19.501505; 0.595813
163319168106496; -1.612762; -19.501505; 0.595813
163319184883712; -1.395016; -18.826729; 3.742375
163319201660928; -1.395016; -18.826729; 3.742375
163319235215360; -2.299503; -23.246271; 2.842673
163319235215360; -2.299503; -23.246271; 2.842673
163319251992576; -3.797410; -24.440290; -0.043071
163319268769792; -3.797410; -24.440290; -0.043071
163319268769792; -3.797410; -24.440290; -0.043071
163319285547008; -3.797410; -24.440290; -0.043071
163319285547008; -10.839486; -20.511276; -4.764110
163319319101440; -12.586247; -18.841085; -6.104091
163319335878656; -12.586247; -18.841085; -6.104091
163319386210304; 0.524028; -8.133204; -6.061020
163319402987520; -2.895315; -3.062813; -7.030113
163319419764736; -3.881158; -6.673583; -6.187840
163319436541952; -1.789831; -8.791230; -7.633104
163319453319168; -3.254239; -7.709674; -9.743574
163319453319168; -3.254239; -7.709674; -9.743574
163319470096384; -3.708875; -9.537791; -8.051848
163319503650816; -2.694318; -8.111669; -5.962914
163319537205248; 0.193819; -9.267402; -7.470392
163319537205248; 1.572084; -9.186047; -6.396015
163319553982464; 1.572084; -9.186047; -6.396015
163319570759680; 0.497707; -6.503692; -8.956335
163319587536896; 0.497707; -6.503692; -8.956335
163319587536896; -0.394816; -4.467400; -9.822537
163319604314112; -1.600798; -6.599405; -9.061620
163319621091328; -4.000800; -7.917850; -9.858429
163319637868544; -4.000800; -7.917850; -9.858429
163319654645760; -5.745167; -9.906285; -11.291730
163319671422976; -8.796016; -14.689538; -14.074583
163319704977408; -4.886144; -18.673588; -14.916857
163319704977408; -4.886144; -18.673588; -14.916857
163319704977408; -4.886144; -18.673588; -14.916857
163319721754624; -1.323231; -19.104296; -12.966706
163319721754624; -1.323231; -19.104296; -12.966706
163319721754624; -1.323231; -19.104296; -12.966706
163319738531840; 0.526421; -14.349757; -10.664810
163319738531840; 0.526421; -14.349757; -10.664810
163319755309056; 0.526421; -14.349757; -10.664810
163319755309056; 1.325624; -12.210574; -5.436493
163319772086272; 1.325624; -12.210574; -5.436493
163319788863488; 3.060420; -9.286545; -4.309474
163319805640704; 4.302295; -6.479764; -4.352544
163319805640704; 4.302295; -6.479764; -4.352544
163319822417920; 2.191826; -5.749953; -2.835495
163319822417920; 2.191826; -5.749953; -2.835495
163319839195136; 0.985843; -3.189633; -0.212961
163319855972352; 0.940379; -0.892523; 1.246661
163319889526784; -3.869194; 0.655633; 0.698704
163319906304000; -2.732604; -3.321238; 2.916851
163319923081216; -2.732604; -3.321238; 2.916851
163319939858432; -1.653440; -1.184447; 3.615555
163319956635648; -2.002793; 0.069392; 2.612962
163319973412864; -3.273381; 0.488136; -0.332602
163319973412864; -3.273381; 0.488136; -0.332602
163319990190080; -5.273781; -0.583849; -0.382852
163320023744512; -4.981857; -2.694318; 3.089134
163320057298944; -2.763710; 0.772882; 2.679961
163320074076160; -4.015156; -0.263211; 1.031307
163320090853376; -4.206582; -2.723032; 2.151148
163320107630592; -3.598805; -4.953143; 4.407579
163320157962240; -8.894122; -14.187045; -2.969493
163320174739456; -11.674582; -25.241886; -1.684547
163320208293888; -14.825929; -27.881170; -5.010571
163320225071104; -16.706688; -26.845078; -10.884951
163320241848320; -16.706688; -26.845078; -10.884951
163320241848320; -19.951355; -22.662424; -14.385650
163320258625536; -19.771894; -20.614166; -15.354743
163320275402752; -19.771894; -20.614166; -15.354743
163320292179968; -19.451256; -18.094524; -16.316658
163320292179968; -13.529019; -12.500106; -17.130217
163320308957184; -13.529019; -12.500106; -17.130217
163320308957184; -13.529019; -12.500106; -17.130217
163320325734400; -4.534399; -12.284752; -12.277573
163320325734400; -4.534399; -12.284752; -12.277573
163320342511616; 4.132405; -9.004191; -7.776674
163320359288832; -4.689932; -5.163711; -8.267202
163320359288832; -4.689932; -5.163711; -8.267202
163320359288832; -4.689932; -5.163711; -8.267202
163320376066048; -1.739582; -9.762716; -11.554940
163320376066048; -1.739582; -9.762716; -11.554940
163320376066048; -1.739582; -9.762716; -11.554940
163320392843264; -1.112663; -9.669396; -11.842079
163320409620480; -1.112663; -9.669396; -11.842079
163320426397696; -2.718246; -3.017349; -9.583255
163320426397696; -2.143969; -5.201996; -9.920643
163320443174912; -2.143969; -5.201996; -9.920643
163320459952128; -1.892723; -4.429115; -10.325029
163320476729344; -0.765703; -4.089334; -8.827123
163320493506560; -0.413958; -7.118648; -6.482157
163320510283776; -1.076770; -2.641676; -6.903293
163320543838208; -3.029314; -4.342973; -10.791630
163320560615424; -3.029314; -4.342973; -10.791630
163320577392640; -3.359523; -6.888937; -10.791630
163320594169856; -3.359523; -6.888937; -10.791630
163320610947072; -5.764310; -13.122239; -13.765908
163320644501504; -7.003792; -17.584854; -17.338392
163320678055936; -3.067599; -14.615360; -13.816158
163320678055936; 2.505285; -12.124433; -11.411371
163320694833152; 2.505285; -12.124433; -11.411371
163320694833152; 5.213961; -9.777073; -8.049456
163320711610368; 5.568098; -10.159925; -4.333402
163320728387584; 6.429514; -6.975078; -3.230311
163320745164800; 6.429514; -6.975078; -3.230311
163320778719232; 2.426322; -4.649254; -2.045863
163320812273664; 0.349352; -3.838088; 0.167498
163320845828096; -5.288138; -3.522235; 0.521635
163320879382528; -2.663212; -3.345166; 1.385444
163320896159744; -3.546163; -0.112463; 1.296910
163320912936960; -5.659026; 0.531207; 1.414158
163320912936960; -5.659026; 0.531207; 1.414158
163320929714176; -5.659026; 0.531207; 1.414158
163320929714176; -6.800402; -2.031507; 1.806581
163320946491392; -6.800402; -2.031507; 1.806581
163320946491392; -5.977271; -1.497907; 1.818545
163320963268608; -5.977271; -1.497907; 1.818545
163320963268608; -4.354937; 0.050249; 3.074777
163320980045824; -4.354937; 0.050249; 3.074777
163320996823040; -4.651647; -3.349952; 6.094519
163321013600256; -4.651647; -3.349952; 6.094519
163321030377472; -3.976871; -2.421536; 1.234697
163321047154688; -2.811567; -5.075177; 2.447858
163321063931904; -2.811567; -5.075177; 2.447858
163321063931904; -4.802395; -10.260424; 4.855037
163321080709120; -9.736395; -21.614367; 1.179662
163321097486336; -9.736395; -21.614367; 1.179662
163321097486336; -13.885550; -23.717659; -4.687540
163321114263552; -16.225731; -26.053053; -7.374680
163321131040768; -16.225731; -26.053053; -7.374680
163321147817984; -19.113867; -30.276384; -11.490335
163321164595200; -21.008984; -27.196823; -12.095718
163321181372416; -19.508682; -22.363321; -15.151353
163321214926848; -14.955141; -15.749558; -20.449062
163321248481280; -9.360723; -20.927628; -14.574683
163321265258496; -3.055634; -18.860228; -9.803394
163321315590144; -1.296910; -10.939985; -8.425129
163321332367360; 1.026521; -10.217353; -11.889935
163321349144576; 1.026521; -10.217353; -11.889935
163321365921792; -2.220539; -4.917251; -9.946963
163321365921792; -1.529014; -5.300102; -10.387243
163321382699008; -1.165305; -4.429115; -9.233903
163321399476224; -1.165305; -4.429115; -9.233903
163321416253440; -0.794417; -4.388437; -8.145168
163321416253440; -0.794417; -4.388437; -8.145168
163321449807872; -2.615355; -3.175276; -7.190432
163321449807872; -2.615355; -3.175276; -7.190432
163321500139520; -3.957729; -5.991628; -10.212567
163321500139520; -3.723232; -6.266802; -9.602397
163321516916736; -3.723232; -6.266802; -9.602397
163321533693952; -4.110869; -10.023534; -9.162118
163321550471168; -6.752545; -14.919250; -12.358929
163321567248384; -8.834301; -18.247665; -14.488541
163321584025600; -4.419543; -15.670595; -11.849257
163321600802816; 0.801596; -12.772887; -11.066805
163321617580032; 3.766303; -10.456635; -9.178867
163321634357248; 4.587041; -11.131411; -5.221139
163321667911680; 5.874380; -8.075776; -4.103691
163321684688896; 6.094519; -6.673583; -2.833102
163321701466112; 5.175675; -6.754938; -0.428315
163321718243328; 4.084548; -4.481757; -0.002393
163321735020544; 0.911665; -4.101298; 0.433101
163321768574976; -3.010171; -1.392623; 0.626920
163321785352192; -3.866802; 0.959522; 0.679562
163321802129408; -2.301895; -1.806581; 0.770489
163321818906624; -3.103491; -3.079563; -0.050249
163321835683840; -5.458028; 0.126820; 0.220140
163321852461056; -7.099505; 1.031307; 1.093520
163321869238272; -6.759724; 0.964308; 0.521635
163321886015488; -5.388637; -2.062613; -0.081356
163321919569920; -5.252246; -1.813760; 1.024128
163321936347136; -4.254439; 0.509671; 3.919444
163321953124352; -2.892923; -3.192025; 5.309673
163321969901568; -2.218147; -4.031906; 1.344766
163321986678784; -3.823730; -10.023534; 3.218346
163322003456000; -5.967700; -17.209181; 4.091727
163322037010432; -7.932207; -21.903898; -0.557528
163322053787648; -14.136796; -26.100910; -2.656033
163322070564864; -16.122839; -28.800013; -13.981263
163322104119296; -15.579668; -23.535803; -13.883157
163322104119296; -15.579668; -23.535803; -13.883157
163322120896512; -13.533805; -18.876978; -15.524633
163322137673728; -10.356136; -13.014563; -19.211973
163322171228160; -6.441479; -16.596619; -13.579268
163322188005376; -1.119841; -13.069597; -8.535198
163322204782592; -1.995614; -5.520242; -9.442079
163322221559808; -3.637090; -6.132804; -11.478371
