time; x; y; z
163791346073600; 0.727418; 5.934200; 7.159325
163791362850816; 0.727418; 5.934200; 7.159325
163791396405248; 0.040678; 7.714460; 6.709475
163791396405248; 0.040678; 7.714460; 6.709475
163791396405248; 0.040678; 7.714460; 6.709475
163791396405248; 0.040678; 7.714460; 6.709475
163791413182464; 0.189033; 7.384251; 6.580262
163791413182464; -0.019143; 7.022934; 6.599405
163791429959680; 0.483350; 6.884151; 6.719046
163791446736896; 0.399601; 7.018149; 6.774081
163791463514112; 0.332602; 7.144969; 6.943971
163791480291328; 0.358923; 7.200003; 6.932007
163791480291328; 0.155533; 7.357930; 6.934400
163791497068544; 0.157926; 7.166504; 6.824330
163791513845760; 0.320638; 6.829116; 6.695118
163791530622976; 0.349352; 6.967899; 6.690332
163791547400192; 0.200997; 6.994221; 6.640083
163791564177408; 0.074178; 7.329216; 6.647261
163791580954624; 0.062213; 7.195218; 6.742974
163791614509056; 0.102891; 7.070791; 6.668797
163791648063488; 0.052642; 6.989435; 6.518049
163791681617920; 0.066999; 6.987042; 6.764510
163791731949568; -0.014357; 7.147361; 6.649654
163791765504000; 0.076570; 6.872187; 6.506085
163791815835648; -0.062213; 6.879365; 6.486942
163791849390080; 0.059821; 6.917650; 6.745367
163791916498944; 0.897308; 7.137790; 6.336195
163791933276160; 0.985843; 7.975278; 5.938986
163791950053376; 1.021735; 7.738389; 5.804988
163791950053376; 1.378266; 7.264609; 5.441278
163791966830592; 1.773082; 6.910472; 5.280960
163791983607808; 1.832902; 6.561120; 5.060820
163792000385024; 2.053042; 6.580262; 4.922036
163792000385024; 2.287539; 6.484550; 4.697111
163792017162240; 2.033899; 6.321837; 4.668397
163792033939456; 1.390230; 5.233103; 4.790431
163792050716672; 1.631905; 5.175675; 4.771288
163792067493888; 2.438286; 3.838088; 4.962714
163792084271104; 2.294717; 2.519642; 5.584848
163792101048320; 1.864009; 0.378066; 5.714060
163792101048320; 1.897508; -0.229711; 5.536992
163792117825536; 2.148755; -1.170090; 5.498706
163792134602752; 2.565106; -2.361716; 5.383851
163792151379968; 3.381058; -5.781060; 6.089734
163792168157184; 3.364309; -7.654640; 6.044270
163792168157184; 3.125026; -9.028120; 5.630311
163792184934400; 1.890330; -10.327422; 5.242674
163792218488832; 1.610370; -9.202796; 4.840680
163792235266048; 1.643869; -10.033105; 4.369294
163792235266048; 1.643869; -10.033105; 4.369294
163792252043264; 1.359123; -10.372886; 4.055834
