time; x; y; z
163659745591296; 0.885344; 6.132804; 7.173682
163659762368512; 0.959522; 6.451050; 7.439286
163659762368512; 0.959522; 6.451050; 7.439286
163659795922944; 0.741775; 6.331409; 7.293324
163659812700160; 0.741775; 6.331409; 7.293324
163659812700160; 0.741775; 6.331409; 7.293324
163659812700160; 0.741775; 6.331409; 7.293324
163659812700160; 0.741775; 6.331409; 7.293324
163659829477376; 0.799203; 6.183053; 7.223932
163659829477376; 0.799203; 6.183053; 7.223932
163659846254592; 0.717847; 6.281159; 7.353144
163659846254592; 0.734597; 6.250053; 7.389036
163659863031808; 0.784846; 6.144769; 7.563713
163659879809024; 0.885344; 6.128019; 7.671390
163659896586240; 0.890130; 6.029913; 7.726424
163659896586240; 1.024128; 6.142376; 7.695318
163659913363456; 0.930808; 6.204589; 7.585248
163659930140672; 0.823131; 6.369694; 7.611569
163659946917888; 0.803988; 6.283552; 7.580462
163659946917888; 0.935594; 6.211768; 7.618747
163659946917888; 0.837488; 6.192625; 7.628319
163659963695104; 0.825524; 6.070591; 7.604390
163659980472320; 0.825524; 6.070591; 7.604390
163659997249536; 0.686740; 6.355337; 7.604390
163659997249536; 0.686740; 6.355337; 7.604390
163660014026752; 0.705883; 6.376873; 7.623533
163660014026752; 0.705883; 6.376873; 7.623533
163660014026752; 0.703490; 6.396015; 7.621140
163660047581184; 0.715454; 6.223732; 7.534998
163660047581184; 0.701097; 6.233303; 7.518249
163660081135616; 0.854238; 5.962914; 7.568498
163660081135616; 0.854238; 5.962914; 7.568498
163660097912832; 0.830309; 6.025127; 7.570891
163660114690048; 0.638884; 6.216553; 7.477571
163660181798912; 0.729811; 5.996414; 6.984649
163660198576128; 0.751346; 6.307480; 6.642476
163660198576128; 0.933201; 6.556334; 6.424729
163660248907776; 2.187040; 6.687939; 5.455636
163660265684992; 2.067399; 7.501499; 4.721039
163660265684992; 2.811567; 7.484749; 4.505685
163660282462208; 2.763710; 6.541977; 4.285545
163660299239424; 2.414358; 6.135197; 4.364509
163660316016640; 2.916851; 5.096712; 4.649254
163660332793856; 3.369094; 4.768896; 4.902894
163660349571072; 4.007978; 4.388437; 4.998607
163660366348288; 4.055834; 3.550949; 5.450850
163660399902720; 2.641676; 0.363709; 6.948757
163660416679936; 3.723232; -2.536392; 6.362515
163660433457152; 3.488735; -4.510471; 5.699704
163660467011584; 1.785046; -7.750352; 4.113262
163660483788800; 1.828117; -8.243274; 4.275974
163660483788800; 2.210968; -9.135797; 4.845466
163660500566016; 2.210968; -9.135797; 4.845466
163660500566016; 2.883351; -9.425328; 4.778467
163660517343232; 2.921636; -9.621540; 4.125226
163660517343232; 2.055435; -10.162318; 3.223132
163660550897664; 0.911665; -12.102897; 2.390430
163660567674880; 0.911665; -12.102897; 2.390430
163660584452096; 1.351945; -12.050255; 2.397608
163660601229312; 0.904487; -11.085947; 1.794617
163660601229312; 0.619741; -11.315659; 1.619941
163660618006528; 0.708275; -11.566905; 1.519442
163660634783744; 0.722632; -11.880364; 1.581656
163660668338176; 1.122234; -12.191431; 1.452443
163660668338176; 1.177269; -11.717652; 0.698704
163660685115392; 1.069592; -12.229716; 0.275175
163660701892608; 1.447658; -12.074183; 0.868595
163660718669824; 1.521835; -11.889935; 1.201197
163660785778688; 2.605784; -11.021341; 0.722632
163660802555904; 2.947958; -10.688739; 1.205983
163660819333120; 4.043870; -10.841880; 1.526621
163660836110336; 4.043870; -10.841880; 1.526621
163660836110336; 3.852444; -11.516655; 1.244268
163660852887552; 4.335794; -11.064412; 1.234697
163660903219200; 4.704289; -10.717453; 1.840081
163660903219200; 4.704289; -10.717453; 1.840081
163660919996416; 3.960121; -11.382657; 1.940579
163660936773632; 3.912265; -10.703095; 1.591227
163660953550848; 4.520042; -10.966306; 1.213161
163660970328064; 4.785645; -10.765309; 1.038485
163661003882496; 4.857430; -10.741381; 0.495314
163661020659712; 4.754539; -10.727024; 0.653241
163661037436928; 4.551149; -10.348958; 0.732204
163661054214144; 4.359723; -10.698310; 0.299103
163661070991360; 4.067799; -10.394422; -0.174676
163661070991360; 4.067799; -10.394422; -0.174676
163661087768576; 3.747160; -9.829716; -0.339781
163661087768576; 3.747160; -9.829716; -0.339781
163661087768576; 3.747160; -9.829716; -0.339781
163661104545792; 3.275774; -8.908479; -0.157926
163661121323008; 3.275774; -8.908479; -0.157926
163661121323008; 2.835495; -8.169097; -0.141177
163661138100224; 2.835495; -8.169097; -0.141177
163661154877440; 2.431108; -7.853244; -0.186640
163661154877440; 1.974079; -8.147561; -0.291924
163661171654656; 1.974079; -8.147561; -0.291924
163661188431872; 1.677369; -8.774481; -0.605384
163661188431872; 1.677369; -8.774481; -0.605384
163661205209088; 1.177269; -9.288938; -0.619741
163661221986304; 1.177269; -9.288938; -0.619741
163661221986304; 0.988236; -8.542377; -0.500100
163661238763520; 0.988236; -8.542377; -0.500100
163661255540736; 1.000200; -7.958528; -0.217747
163661255540736; 0.971486; -7.374680; -0.141177
163661272317952; 0.971486; -7.374680; -0.141177
163661272317952; 0.971486; -7.374680; -0.141177
163661289095168; 1.138984; -7.422536; -1.026521
163661305872384; 1.347159; -8.317451; -1.007378
163661305872384; 1.347159; -8.317451; -1.007378
163661322649600; 2.723032; -9.643075; -0.265603
163661322649600; 2.723032; -9.643075; -0.265603
163661356204032; 4.438686; -9.556933; -0.760918
163661389758464; 7.245467; -13.567305; 1.765903
163661406535680; 7.245467; -13.567305; 1.765903
163661406535680; 8.666803; -13.978869; 3.046063
163661423312896; 8.666803; -13.978869; 3.046063
163661440090112; 11.148161; -14.388042; 4.060620
163661456867328; 12.574283; -14.196617; 6.463014
163661473644544; 14.510077; -16.498512; 7.501499
163661473644544; 14.510077; -16.498512; 7.501499
163661490421760; 17.785851; -17.666210; 9.647861
163661523976192; 21.080767; -17.065611; 12.736995
163661557530624; 21.274586; -12.780066; 14.524433
163661574307840; 19.345970; -10.698310; 15.227923
163661607862272; 17.627924; -8.549556; 14.060225
163661624639488; 12.406785; -4.560720; 8.673982
163661641416704; 10.533205; -3.438486; 6.314659
163661674971136; 6.754938; -1.682154; 0.193819
163661708525568; 4.254439; -0.801596; -1.933401
163661725302784; 2.557927; -0.928415; -1.856830
163661742080000; 2.421536; -1.201197; -2.708675
