time; x; y; z
163463234060288; 0.080146; -0.006048; -0.021686
163463267614720; 0.069150; -0.020097; -0.036957
163463267614720; 0.044104; -0.024984; -0.038790
163463284391936; -0.007208; -0.029260; -0.039401
163463301169152; -0.096395; -0.021930; -0.020464
163463301169152; -0.101892; -0.004215; -0.014966
163463317946368; -0.082345; 0.011057; -0.029016
163463334723584; -0.022480; 0.027550; -0.025351
163463351500800; -0.011484; 0.022663; -0.027183
163463351500800; 0.006231; 0.011057; -0.028405
163463368278016; 0.029444; -0.005437; -0.018631
163463385055232; 0.019670; -0.020097; 0.012523
163463418609664; -0.015149; -0.012156; 0.027794
163463418609664; -0.030421; 0.001283; 0.027184
163463452164096; -0.012706; 0.024496; -0.003971
163463468941312; 0.039828; 0.037935; -0.022297
163463485718528; 0.024557; 0.036102; -0.035125
163463502495744; -0.001710; 0.028772; -0.043677
163463519272960; -0.053634; 0.018998; -0.037568
163463519272960; -0.076847; 0.025107; -0.030238
163463536050176; -0.101892; 0.023885; -0.028405
163463536050176; -0.130603; 0.023885; -0.021686
163463552827392; -0.173974; 0.038546; 0.001527
163463552827392; -0.214902; 0.054428; 0.032681
163463569604608; -0.266215; 0.083139; 0.070555
163463586381824; -0.338908; 0.114293; 0.124922
163463586381824; -0.433592; 0.152777; 0.181122
163463603159040; -0.726807; 0.240131; 0.356440
163463619936256; -0.929615; 0.282892; 0.484111
163463619936256; -0.929615; 0.282892; 0.484111
163463636713472; -1.337062; 0.352530; 0.789543
163463653490688; -1.639440; 0.462486; 1.057713
163463687045120; -2.183110; 0.667737; 1.503034
163463720599552; -4.076181; 0.593211; 1.839621
163463737376768; -4.590530; 0.591990; 2.114510
163463770931200; -5.180626; 0.643913; 2.671008
163463787708416; -5.705359; 0.756312; 3.140153
163463821262848; -6.234368; 0.322598; 3.120605
163463838040064; -6.676024; 0.103297; 2.925128
163463871594496; -6.816523; -0.212520; 2.794403
163463888371712; -6.547742; -0.627908; 2.442545
163463905148928; -5.960701; -0.919902; 1.988672
163463955480576; -5.710246; -0.902187; 0.859793
163463972257792; -5.680314; -0.807503; 0.766941
163463989035008; -5.690698; -0.654176; 0.613614
163463989035008; -5.700472; -0.575985; 0.485332
163464005812224; -5.593571; -0.574763; 0.328951
163464022589440; -5.415198; -0.594922; 0.343612
163464039366656; -4.183083; -0.627908; 0.374766
163464072921088; -1.516045; -0.652343; 0.881784
163464089698304; -1.183735; -0.677388; 1.000903
163464106475520; -0.974208; -0.776960; 1.148121
163464106475520; -0.977262; -0.800783; 1.206764
