time; x; y; z
163398994100224; -0.004154; -0.002382; -0.003360
163399044431872; -0.120829; -0.004215; 0.030238
163399094763520; -0.032865; 0.001283; 0.101709
163399111540736; -0.039584; 0.012278; 0.101709
163399128317952; -0.208794; 0.049541; 0.130420
163399145095168; -0.392664; 0.091080; 0.204945
163399161872384; -0.447642; 0.110628; 0.245873
163399178649600; -0.458027; 0.143614; 0.359494
163399212204032; -0.412823; 0.169882; 0.558636
163399212204032; -0.479407; 0.161940; 0.643547
163399228981248; -0.479407; 0.161940; 0.643547
163399228981248; -0.649228; 0.149112; 0.753502
163399245758464; -1.260093; 0.124678; 1.071763
163399245758464; -1.260093; 0.124678; 1.071763
163399262535680; -1.686477; 0.100243; 1.242195
163399262535680; -2.283292; 0.073365; 1.377196
163399279312896; -2.959520; 0.072754; 1.501812
163399279312896; -3.613146; 0.104519; 1.641700
163399296090112; -3.613146; 0.104519; 1.641700
163399296090112; -4.267382; 0.131397; 1.780978
163399312867328; -4.942999; 0.138728; 1.890323
163399329644544; -6.084706; 0.079474; 2.217746
163399329644544; -6.621046; -0.014600; 2.415056
163399329644544; -6.621046; -0.014600; 2.415056
163399346421760; -7.120123; -0.207022; 2.600759
163399363198976; -7.741373; -0.681665; 2.899472
163399363198976; -8.008322; -0.880807; 2.997210
163399379976192; -8.008322; -0.880807; 2.997210
163399379976192; -8.294817; -1.079949; 3.039360
163399396753408; -8.478688; -1.159972; 2.986826
163399396753408; -8.606359; -1.174022; 2.855489
163399413530624; -8.781066; -1.216782; 2.702163
163399413530624; -8.781066; -1.216782; 2.702163
163399430307840; -9.008308; -1.380494; 2.539672
163399447085056; -9.227609; -1.943712; 2.017382
163399447085056; -9.301523; -2.133691; 1.667357
163399463862272; -9.525711; -2.107424; 1.145678
163399480639488; -9.589851; -1.922332; 0.602008
163399497416704; -9.188513; -1.904006; 0.384540
163399514193920; -8.321085; -1.846584; 0.273973
163399530971136; -6.404800; -1.279091; -0.055894
163399530971136; -5.759726; -0.926011; -0.197615
163399547748352; -5.361442; -0.624243; -0.310625
163399564525568; -5.041959; -0.439151; -0.321010
163399564525568; -4.764016; -0.303539; -0.252593
163399581302784; -4.428040; -0.201524; -0.142637
163399581302784; -3.908804; -0.028039; -0.068722
163399598080000; -2.417072; 0.275561; -0.129198
163399648411648; -1.082942; 0.620700; 0.303905
163399665188864; -1.338894; 0.584048; 0.333838
163399681966080; -1.679757; 0.505858; 0.308792
163399765852160; -2.642481; -1.803824; -0.064446
163399816183808; -3.033435; -3.996220; -0.238543
163399916847104; -2.148902; -6.355381; -0.850019
163399933624320; -1.302853; -7.490980; -1.693624
163399967178752; -1.795822; -7.981504; -2.416888
163399983955968; -2.361483; -8.046256; -2.898861
163400017510400; -2.864836; -7.727995; -3.358843
163400034287616; -3.355361; -6.945477; -3.879911
163400034287616; -4.123829; -5.760398; -4.554306
163400084619264; -3.556946; -2.759217; -5.681963
163400084619264; -3.556946; -2.759217; -5.681963
163400101396480; -1.908221; -1.459296; -5.765041
163400134950912; -0.719477; 0.494862; -5.144402
163400185282560; 1.237124; 2.394653; -4.297743
163400202059776; 3.135083; 3.294457; -4.105320
163400235614208; 3.742894; 3.868060; -3.944052
163400252391424; 4.238916; 4.500305; -3.779118
163400285945856; 4.099028; 4.718384; -3.737579
163400319500288; 3.064833; 4.515577; -3.435201
163400319500288; 2.708088; 4.263289; -3.195741
163400336277504; 2.708088; 4.263289; -3.195741
163400353054720; 2.409986; 4.050098; -2.943454
163400369831936; 1.337917; 3.813082; -2.751032
163400369831936; 1.337917; 3.813082; -2.751032
163400386609152; -0.367619; 3.599279; -2.471866
163400403386368; -2.183110; 3.414798; -2.067473
163400420163584; -2.183110; 3.414798; -2.067473
163400436940800; -4.107946; 3.323168; -1.412626
163400453718016; -5.346170; 3.149682; -0.706466
163400470495232; -6.386474; 2.926105; -0.205556
163400487272448; -6.532471; 2.788050; 0.483500
163400520826880; -5.896560; 2.698253; 1.135293
163400537604096; -5.319292; 2.160691; 1.841453
163400554381312; -4.937501; 1.507677; 2.228131
163400571158528; -3.992493; 0.551062; 2.796847
163400587935744; -3.992493; 0.551062; 2.796847
163400587935744; -3.992493; 0.551062; 2.796847
163400604712960; -4.512950; -0.222905; 3.224452
163400604712960; -4.512950; -0.222905; 3.224452
163400621490176; -2.880107; -0.710375; 3.360064
163400638267392; -0.562485; -1.042075; 3.049134
163400638267392; -0.562485; -1.042075; 3.049134
163400655044608; -0.562485; -1.042075; 3.049134
163400655044608; -1.356610; -2.076270; 2.803566
163400671821824; -3.548394; -3.276620; 2.833498
163400671821824; -3.548394; -3.276620; 2.833498
163400688599040; -3.548394; -3.276620; 2.833498
163400688599040; -3.775636; -4.300430; 3.215900
163400705376256; -3.775636; -4.300430; 3.215900
163400705376256; -3.775636; -4.300430; 3.215900
163400722153472; -2.130576; -5.041410; 4.028351
163400722153472; -1.565526; -5.497726; 4.376544
163400738930688; -1.565526; -5.497726; 4.376544
163400738930688; -1.565526; -5.497726; 4.376544
163400738930688; -1.565526; -5.497726; 4.376544
163400755707904; -1.850800; -6.183728; 4.418694
163400755707904; -1.850800; -6.183728; 4.418694
163400772485120; -1.850800; -6.183728; 4.418694
163400772485120; -2.214875; -6.338888; 4.315457
163400789262336; -1.823921; -5.921056; 3.829209
163400806039552; -1.823921; -5.921056; 3.829209
163400806039552; -0.086621; -5.523383; 2.038763
163400839593984; -0.040806; -4.398779; 0.393092
163400856371200; -0.040806; -4.398779; 0.393092
163400856371200; -2.479991; -4.078686; -0.058338
163400873148416; -2.479991; -4.078686; -0.058338
163400889925632; -3.552670; -3.637031; -0.416916
163400906702848; -3.552670; -3.637031; -0.416916
163400923480064; -3.552670; -3.637031; -0.416916
163400940257280; -3.566109; -3.233860; -0.908051
163400973811712; -5.811039; -2.585732; -2.165212
163400990588928; -1.180070; 0.282892; -3.564704
163401007366144; -0.066462; 1.351906; -4.105931
163401024143360; -0.348071; 2.219334; -4.502383
163401040920576; -1.133644; 2.861965; -4.576297
163401057697792; -1.133644; 2.861965; -4.576297
163401057697792; -1.537426; 3.908377; -4.641660
163401074475008; -0.524000; 5.014043; -4.739398
163401091252224; 1.890139; 5.450811; -4.625166
163401108029440; 1.890139; 5.450811; -4.625166
163401124806656; 3.739839; 5.550993; -4.622723
163401141583872; 3.399587; 5.584591; -4.377766
163401158361088; 2.440529; 5.441648; -3.705203
163401175138304; 1.754527; 5.273050; -2.745534
163401191915520; 1.754527; 5.273050; -2.745534
163401191915520; 1.859596; 4.726936; -1.601994
163401208692736; 1.943285; 3.861340; -0.573908
163401225469952; 1.943285; 3.861340; -0.573908
163401225469952; 1.276220; 3.800254; 0.273973
163401259024384; 0.896262; 3.983513; 0.595899
163401259024384; 0.896262; 3.983513; 0.595899
163401275801600; -0.663888; 3.766045; 0.289245
163401309356032; -4.834265; 3.293846; 0.545808
163401309356032; -4.834265; 3.293846; 0.545808
163401326133248; -3.097575; 3.179615; 0.878119
163401359687680; -0.958936; 2.837530; 1.521971
163401376464896; -1.496498; 2.531487; 2.002111
163401393242112; -3.734097; 2.190013; 2.185370
163401426796544; -2.307727; 0.930409; 1.290453
163401460350976; -3.398732; 0.218751; 1.774869
163401493905408; -2.992507; -0.054917; 1.613601
163401510682624; -2.290012; -0.782457; 1.091311
163401544237056; -2.746328; -1.137370; 1.263575
163401561014272; -2.594833; -1.434861; 1.542740
163401594568704; -2.174558; -2.249145; 1.317331
163401611345920; -2.251527; -3.576555; 1.952020
163401644900352; -1.713966; -4.648623; 2.614809
163401695232000; 0.880379; -7.807408; 3.915952
163401695232000; 0.880379; -7.807408; 3.915952
163401712009216; -0.995588; -7.276566; 3.590971
163401712009216; -0.995588; -7.276566; 3.590971
163401728786432; -3.396288; -6.431129; 2.248900
163401745563648; -4.385890; -4.850820; 0.354607
163401762340864; -4.385890; -4.850820; 0.354607
163401762340864; -5.974751; -4.273552; -0.979522
163401779118080; -5.337008; -3.261959; -2.171931
163401795895296; -5.337008; -3.261959; -2.171931
163401812672512; -1.700527; -2.560075; -3.297756
163401829449728; 0.317161; -2.418965; -3.833485
163401829449728; 0.317161; -2.418965; -3.833485
163401846226944; -0.505674; -2.121474; -4.093103
163401863004160; -2.115915; -1.200900; -4.387540
163401879781376; -2.361483; -0.108062; -4.455957
163401913335808; -1.559417; 1.163759; -4.407699
163401946890240; -1.276586; 3.246810; -4.047288
163401963667456; 0.145508; 4.296276; -4.129755
163401963667456; 0.145508; 4.296276; -4.129755
163401997221888; 1.793012; 5.558935; -4.989853
163401997221888; 1.793012; 5.558935; -4.989853
163402013999104; 1.479638; 5.742194; -5.539632
163402030776320; 0.810130; 5.348186; -5.496260
163402047553536; 0.810130; 5.348186; -5.496260
163402064330752; -0.145264; 4.750760; -4.942816
163402064330752; -0.145264; 4.750760; -4.942816
163402064330752; -0.145264; 4.750760; -4.942816
163402081107968; -0.657780; 4.354919; -4.081496
163402081107968; -0.657780; 4.354919; -4.081496
163402097885184; -0.301034; 4.028718; -2.815783
163402114662400; -0.035919; 3.724506; -1.293507
163402131439616; -0.035919; 3.724506; -1.293507
163402131439616; -0.355401; 3.502762; 0.131641
163402148216832; -1.234437; 3.370205; 1.488984
163402164994048; -1.234437; 3.370205; 1.488984
163402181771264; -1.670594; 3.634709; 2.470034
163402181771264; -1.338284; 3.508260; 2.727819
163402215325696; -1.666318; 3.321335; 2.532342
163402215325696; -1.666318; 3.321335; 2.532342
163402232102912; -2.608272; 3.228484; 2.225688
163402248880128; -2.608272; 3.228484; 2.225688
163402248880128; -3.181264; 3.261471; 2.057700
163402248880128; -3.181264; 3.261471; 2.057700
163402265657344; -2.723115; 3.005518; 1.831679
163402299211776; -1.240545; 1.800892; 2.871983
163402332766208; -2.255803; 1.482631; 3.033862
163402349543424; -3.057869; 1.166814; 2.458427
163402399875072; -2.805582; -0.263222; 1.411404
163402416652288; -2.805582; -0.263222; 1.411404
163402416652288; -1.332786; -0.736642; 1.188438
163402433429504; -1.332786; -0.736642; 1.188438
163402450206720; -0.659001; -1.516106; 1.200045
163402450206720; -2.122024; -2.254642; 1.776702
163402466983936; -2.122024; -2.254642; 1.776702
163402483761152; -2.791532; -2.810530; 2.176208
163402500538368; -1.592404; -3.814182; 2.587931
163402500538368; -1.592404; -3.814182; 2.587931
163402517315584; -0.327302; -5.007812; 3.278819
163402534092800; -0.327302; -5.007812; 3.278819
163402534092800; -0.297369; -5.948545; 4.055840
163402550870016; -0.297369; -5.948545; 4.055840
163402567647232; -0.797668; -6.983961; 4.507269
163402584424448; -0.682825; -7.532518; 4.033237
163402601201664; -1.260093; -6.762828; 3.466355
163402617978880; -2.538634; -6.219158; 1.569007
163402651533312; -4.183083; -4.752470; -0.540921
163402685087744; -2.233812; -3.311440; -2.860377
163402701864960; -2.233812; -3.311440; -2.860377
163402718642176; -3.047484; -2.506930; -3.420540
163402735419392; -3.617422; -1.356671; -3.683823
163402768973824; -2.844066; -0.288878; -3.727805
163402768973824; -2.375533; 0.672624; -3.933667
163402785751040; -2.754880; 1.508287; -4.214665
163402802528256; -2.754880; 1.508287; -4.214665
163402819305472; -3.180042; 2.289584; -4.319123
163402819305472; -2.962574; 3.320724; -4.283082
163402836082688; -2.962574; 3.320724; -4.283082
163402852859904; -1.302243; 4.458156; -4.394259
163402869637120; 1.204748; 5.310313; -4.743063
163402886414336; 1.204748; 5.310313; -4.743063
163402903191552; 1.204748; 5.310313; -4.743063
163402919968768; 2.579195; 5.701266; -5.597664
163402936745984; 2.579195; 5.701266; -5.597664
163402970300416; 1.141829; 5.304204; -5.279403
163402987077632; -0.125105; 4.176547; -3.177416
163403020632064; 1.218798; 2.459404; 1.357037
163403054186496; 0.852279; 2.493613; 2.255009
163403070963712; -3.299161; 2.770946; 2.335643
163403087740928; -3.299161; 2.770946; 2.335643
163403087740928; -3.299161; 2.770946; 2.335643
163403087740928; -4.347406; 2.865019; 2.003943
163403104518144; -4.347406; 2.865019; 2.003943
163403104518144; -4.139711; 2.874182; 1.985007
163403121295360; -4.139711; 2.874182; 1.985007
163403138072576; -3.319930; 2.691533; 2.211027
163403154849792; -1.748785; 2.453907; 2.457816
163403154849792; -1.748785; 2.453907; 2.457816
163403171627008; -1.748785; 2.453907; 2.457816
163403171627008; -0.244835; 2.224832; 2.314263
163403188404224; -0.704816; 1.885802; 2.099849
163403205181440; -2.963796; 1.280435; 2.170099
163403221958656; -2.963796; 1.280435; 2.170099
163403238735872; -3.784188; 0.665293; 2.212249
163403238735872; -2.472660; 0.133841; 2.195144
163403255513088; -1.672427; -0.162429; 2.224466
163403272290304; -1.672427; -0.162429; 2.224466
163403289067520; -2.295509; -0.255891; 2.011885
163403289067520; -2.295509; -0.255891; 2.011885
163403305844736; -2.295509; -0.255891; 2.011885
163403305844736; -2.767097; 0.070311; 1.569007
163403322621952; -2.767097; 0.070311; 1.569007
163403322621952; -2.010235; 0.101465; 1.209819
163403339399168; -2.010235; 0.101465; 1.209819
163403356176384; -0.834320; -0.673723; 1.221425
163403372953600; 1.562105; -2.405526; 1.948966
163403389730816; 1.562105; -2.405526; 1.948966
163403406508032; 0.837618; -3.423228; 3.126714
163403440062464; 0.430782; -6.359657; 4.341724
163403456839680; 0.430782; -6.359657; 4.341724
163403473616896; -0.018204; -7.457993; 4.645325
163403490394112; -2.826962; -7.715778; 4.314847
163403490394112; -5.039516; -6.951585; 3.114496
163403507171328; -5.039516; -6.951585; 3.114496
163403523948544; -5.307075; -5.869743; 1.481043
163403557502976; -3.257622; -3.797077; -0.928821
163403574280192; -1.875845; -3.357254; -2.213470
163403591057408; -1.552697; -3.064650; -2.757751
163403624611840; -1.837361; -2.572903; -3.278819
163403624611840; -2.454945; -1.820928; -3.827987
163403641389056; -2.454945; -1.820928; -3.827987
163403658166272; -3.740206; -0.863702; -4.229326
163403674943488; -3.789686; 0.242575; -4.427246
163403708497920; -1.885619; 2.322571; -4.403422
163403725275136; -1.468398; 3.422739; -4.491998
163403742052352; -1.468398; 3.422739; -4.491998
163403758829568; -0.018204; 4.471595; -4.751616
163403758829568; 1.669006; 5.191194; -5.157841
163403775606784; 1.669006; 5.191194; -5.157841
163403775606784; 2.465574; 5.620632; -5.619655
163403792384000; 2.465574; 5.620632; -5.619655
163403809161216; 1.493077; 5.769073; -5.851784
163403825938432; 1.493077; 5.769073; -5.851784
163403825938432; 0.013561; 5.653008; -5.504812
163403842715648; -0.771401; 5.155153; -4.862182
163403842715648; -0.771401; 5.155153; -4.862182
163403859492864; -0.771401; 5.155153; -4.862182
163403859492864; -0.671219; 4.724493; -3.977649
163403876270080; -0.671219; 4.724493; -3.977649
163403893047296; -0.153816; 4.047654; -2.654515
163403909824512; -0.063408; 3.340272; -1.151175
163403926601728; 0.023946; 2.895562; 0.837802
163403926601728; 0.023946; 2.895562; 0.837802
163403943378944; 0.516914; 3.460002; 2.722932
163403960156160; 0.116797; 3.523532; 3.514613
163403976933376; -1.949149; 3.210158; 3.787670
163403993710592; -4.225233; 3.360431; 3.473685
163403993710592; -4.225233; 3.360431; 3.473685
163404010487808; -4.225233; 3.360431; 3.473685
163404027265024; -5.345560; 3.509482; 2.827390
163404044042240; -5.006529; 3.135632; 2.724154
163404060819456; -3.580159; 2.657936; 3.049134
163404094373888; -0.849591; 1.969491; 2.737593
163404094373888; -0.849591; 1.969491; 2.737593
163404111151104; -2.268631; 1.202855; 2.592818
163404111151104; -2.268631; 1.202855; 2.592818
163404127928320; -3.734097; 0.529070; 2.459038
163404144705536; -3.734097; 0.529070; 2.459038
163404144705536; -3.319930; 0.147280; 2.304489
163404161482752; -1.881343; -0.278493; 1.930029
163404195037184; -1.847134; -0.590646; 1.548238
163404211814400; -3.054204; -0.672502; 1.379028
163404228591616; -3.385293; -0.579650; 1.094976
163404245368832; -1.765889; -0.885694; 0.703411
163404262146048; -0.561874; -1.694479; 0.129198
163404278923264; -0.561874; -1.694479; 0.129198
163404295700480; -0.289428; -2.617496; 0.479835
163404312477696; -1.355388; -3.109243; 1.104139
163404329254912; -1.090883; -4.175814; 2.070528
163404346032128; 0.507140; -5.747570; 2.360078
163404362809344; 2.063014; -7.138510; 3.101668
163404396363776; -0.750020; -8.564880; 3.505450
163404413140992; -0.750020; -8.564880; 3.505450
163404413140992; -1.314460; -7.779919; 2.664289
163404446695424; -3.093910; -6.687692; 0.413861
163404463472640; -5.119539; -5.505056; -0.755335
163404480249856; -5.503163; -4.334028; -1.869553
163404497027072; -3.726156; -3.330376; -2.882978
163404513804288; -3.157440; -2.588786; -3.631289
163404530581504; -3.669956; -1.657216; -4.179235
163404547358720; -4.005932; -0.611415; -4.298354
163404564135936; -3.014498; 0.419115; -4.345390
163404597690368; -2.039557; 1.459418; -4.353942
163404614467584; -2.131186; 2.492391; -4.153578
163404631244800; -1.748174; 3.620659; -3.948328
163404648022016; -0.800722; 4.592546; -4.033849
163404664799232; 0.315939; 5.317032; -4.352109
163404681576448; 1.193753; 5.807557; -4.755280
163404698353664; 1.386786; 6.089166; -5.187773
163404731908096; 0.826623; 6.138035; -5.656918
163404748685312; 0.005620; 5.689660; -5.567731
163404765462528; -0.919841; 5.243117; -4.733901
163404832571392; -0.842261; 5.097121; -3.719253
163404866125824; 0.301890; 3.831408; -1.616044
163404866125824; 0.301890; 3.831408; -1.616044
163404882903040; 0.416732; 3.057441; -0.404698
163404916457472; 0.198653; 1.995758; 2.277611
163404933234688; 0.198653; 1.995758; 2.277611
163404966789120; -5.598458; 2.485672; 2.913522
163404983566336; -5.598458; 2.485672; 2.913522
163405000343552; -4.179418; 2.266371; 3.270267
163405000343552; -4.179418; 2.266371; 3.270267
163405000343552; -4.179418; 2.266371; 3.270267
163405033897984; -2.271686; 2.102659; 3.516446
163405050675200; -1.226495; 1.860757; 3.721697
163405050675200; -1.892949; 1.293263; 3.773620
163405067452416; -2.349876; 0.561446; 3.492622
163405084229632; -1.631499; -0.031704; 2.914743
163405101006848; -1.631499; -0.031704; 2.914743
163405117784064; -1.077444; -0.277883; 2.272724
163405134561280; -1.672427; -0.429377; 1.971568
163405151338496; -2.566734; -0.684719; 1.869553
163405168115712; -2.622322; -1.106827; 1.555568
163405184892928; -1.686477; -1.357892; 1.030224
163405201670144; -0.550267; -1.874684; 1.262964
163405218447360; -0.936945; -2.566184; 2.294715
163405235224576; -2.118358; -3.429337; 3.150537
163405268779008; -0.377393; -4.867313; 3.710701
163405285556224; 2.684875; -6.297349; 3.710701
163405302333440; 2.716029; -7.571003; 4.254371
163405319110656; -1.355999; -8.550831; 4.842023
163405335887872; -6.162286; -8.062749; 4.282471
163405352665088; -9.592906; -7.470821; 1.952631
163405386219520; -9.197065; -4.841046; -0.395535
163405402996736; -8.158594; -3.655357; -1.740050
163405419773952; -4.144598; -2.618107; -3.058297
163405436551168; -1.756115; -1.832535; -3.959323
163405453328384; -1.403035; -1.460518; -4.192063
163405470105600; -1.592404; -1.295584; -4.490776
163405486882816; -1.473285; -0.815444; -4.699081
163405520437248; -1.606453; 0.205312; -4.594012
163405537214464; -2.544132; 1.414825; -4.366159
163405553991680; -2.884994; 2.515604; -4.119370
163405570768896; -1.932045; 3.532084; -4.059505
163405587546112; -0.538050; 4.436164; -4.289802
163405604323328; 0.763704; 5.209520; -4.699692
163405621100544; 1.578598; 5.783122; -5.157230
163405637877760; 1.829053; 6.151474; -5.617823
163405671432192; 1.598756; 6.204619; -5.976400
163405688209408; 1.094793; 6.036020; -5.945246
163405704986624; 0.281731; 5.594365; -5.449834
163405721763840; -0.620517; 4.956622; -4.653877
163405738541056; -1.565526; 4.212588; -3.680158
163405772095488; -2.118358; 3.458169; -2.316706
163405772095488; -2.441506; 2.907169; -0.623999
163405805649920; -2.894768; 2.187569; 1.273960
163405822427136; -2.775038; 1.832657; 3.069903
163405839204352; -0.765292; 1.423377; 4.228104
163405855981568; 0.372139; 1.565709; 4.454735
163405872758784; -2.481212; 1.848539; 4.015522
163405889536000; -5.985746; 2.059288; 3.605021
163405906313216; -5.736513; 2.108157; 3.597080
163405939867648; -3.017552; 1.890078; 3.882354
163405956644864; -0.417099; 1.787453; 3.886019
163405973422080; -0.113499; 1.622519; 3.852422
163405990199296; -1.789713; 1.314032; 3.955047
163406006976512; -2.360261; 0.597487; 3.820657
163406023753728; -0.497733; 0.112460; 3.100446
163406040530944; 0.573114; 0.036102; 2.380236
163406074085376; -0.520946; -0.006658; 2.268448
