time; x; y; z
163791429959680; -0.074403; -0.035980; 0.079718
163791463514112; -0.063408; -0.041478; -0.052229
163791480291328; -0.112277; -0.057971; -0.093157
163791480291328; -0.112277; -0.057971; -0.093157
163791497068544; -0.145875; -0.056749; -0.122478
163791497068544; -0.173974; -0.065912; -0.117592
163791530622976; -0.113499; -0.023763; -0.095600
163791547400192; -0.020647; 0.036713; -0.086437
163791564177408; 0.003176; 0.064202; -0.054062
163791580954624; -0.055467; 0.053206; -0.055283
163791597731840; -0.083566; 0.033659; -0.050396
163791648063488; -0.042028; 0.004948; -0.096211
163791664840704; -0.007819; -0.021319; -0.126755
163791715172352; -0.095173; -0.064080; -0.146302
163791748726784; -0.206961; -0.092180; -0.154243
163791799058432; -0.343184; -0.131275; -0.258701
163791832612864; -0.463525; -0.167316; -0.368046
163791899721728; -0.903958; -0.058582; -0.361938
163791933276160; -1.205726; -0.091569; -0.495717
163791950053376; -1.725572; -0.168538; -0.840245
163791950053376; -1.969307; -0.263833; -0.969138
163791966830592; -2.165395; -0.272996; -1.090089
163791983607808; -2.494651; -0.240620; -1.405906
163791983607808; -2.494651; -0.240620; -1.405906
163792000385024; -2.889881; -0.180755; -1.670411
163792017162240; -3.187984; -0.103786; -1.799304
163792017162240; -3.187984; -0.103786; -1.799304
163792033939456; -3.712717; -0.111727; -2.046704
163792067493888; -4.944832; -0.138605; -2.544559
163792084271104; -5.299745; -0.063469; -2.654515
163792101048320; -5.818980; -0.053084; -2.829222
163792101048320; -5.818980; -0.053084; -2.829222
163792117825536; -6.310116; -0.170981; -2.711936
163792134602752; -6.553851; -0.221072; -2.586098
163792134602752; -6.804916; -0.232679; -2.482251
163792151379968; -6.991230; -0.169149; -2.357023
163792168157184; -7.014443; 0.271285; -2.002722
163792184934400; -6.514756; 0.664072; -1.827403
163792201711616; -6.032172; 0.815566; -1.702176
163792218488832; -6.091426; 1.041586; -1.518306
163792235266048; -6.079820; 1.172312; -1.374752
163792235266048; -6.079820; 1.172312; -1.374752
163792268820480; -5.348614; 1.483242; -1.144456
163792268820480; -5.066394; 1.549215; -1.185995
163792285597696; -4.881302; 1.612135; -1.245249
163792302374912; -4.727364; 1.742860; -1.319163
163792302374912; -4.570372; 1.889467; -1.355815
163792319152128; -4.165979; 2.119763; -1.245860
163792335929344; -4.004099; 2.195511; -1.196990
163792335929344; -3.869709; 2.198565; -1.209208
163792352706560; -3.743260; 2.180239; -1.250136
163792386260992; -3.335813; 2.239493; -1.373531
163792386260992; -2.993728; 2.288973; -1.425454
163792403038208; -2.739608; 2.357390; -1.407128
163792436592640; -1.852021; 2.234606; -1.330770
163792436592640; -1.852021; 2.234606; -1.330770
163792453369856; -1.253373; 2.177185; -1.410793
163792470147072; -0.880135; 2.276756; -1.474323
163792486924288; -0.880135; 2.175963; -1.365589
163792520478720; -0.583254; 1.951165; -1.190271
163792604364800; 0.174830; 1.954830; -0.840245
163792621142016; -0.349293; 1.807611; -0.330173
163792654696448; -0.082345; 1.861978; 0.137139
163792671473664; -0.082345; 1.861978; 0.137139
163792738582528; 0.218201; 1.440481; 0.514654
163792755359744; 0.346483; 1.232787; 0.629497
163792772136960; 0.489425; 1.032423; 0.656375
163792788914176; 0.857166; 0.774638; 0.552528
163792805691392; 1.262781; 0.476536; 0.355218
163792805691392; 1.262781; 0.476536; 0.355218
163792822468608; 1.389841; 0.096578; 0.120035
163792872800256; 1.292713; -0.682275; -0.453567
163792889577472; 1.403890; -1.007256; -0.707687
163792889577472; 1.403890; -1.007256; -0.707687
163792906354688; 1.312872; -1.269928; -0.831693
163792923131904; 1.067304; -1.513663; -0.881784
163792923131904; 1.067304; -1.513663; -0.881784
163792939909120; 0.902981; -1.721357; -0.934929
163792956686336; 0.902981; -1.721357; -0.934929
163792956686336; 0.908479; -1.916223; -1.094365
163792973463552; 0.987280; -2.047559; -1.289842
163792990240768; 0.987280; -2.047559; -1.289842
163792990240768; 1.256061; -2.258919; -1.167669
163793007017984; 1.256061; -2.258919; -1.167669
163793023795200; 1.537670; -2.438513; -0.809702
163793023795200; 1.537670; -2.438513; -0.809702
163793040572416; 1.493077; -2.486161; -0.630108
163793057349632; 1.337306; -2.493491; -0.492663
163793074126848; 1.686110; -2.430572; -0.116981
