time; x; y; z
163317205172224; -0.141599; 0.026939; -0.030849
163317221949440; -0.152594; 0.007391; -0.047342
163317238726656; -0.107390; 0.027550; -0.041844
163317238726656; -0.026756; 0.036713; -0.026573
163317255503872; -0.026756; 0.036713; -0.026573
163317255503872; 0.043494; 0.018387; -0.019853
163317272281088; 0.103969; -0.007269; -0.019853
163317272281088; 0.144897; -0.023763; -0.012523
163317272281088; 0.144897; -0.023763; -0.012523
163317289058304; 0.149173; -0.034147; 0.000305
163317305835520; -0.026756; -0.017043; 0.013744
163317339389952; -0.192300; 0.019609; 0.006414
163317372944384; -0.037751; 0.008002; 0.020464
163317406498816; 0.140621; -0.007880; 0.039401
163317456830464; -0.162368; 0.009224; 0.042455
163317490384896; -0.192300; 0.020831; 0.051618
163317507162112; -0.203907; 0.045876; 0.116370
163317540716544; -0.624793; 0.034880; 0.262367
163317591048192; -1.969918; 0.143004; 0.542754
163317607825408; -3.586879; 0.223027; 0.791987
163317624602624; -4.250278; 0.206534; 0.781602
163317641379840; -4.723699; 0.175379; 0.812756
163317674934272; -6.007738; 0.138728; 0.816421
163317725265920; -7.239242; -0.532613; 0.900721
163317742043136; -7.171436; -0.820331; 0.923934
163317775597568; -6.858062; -1.197235; 0.952644
163317775597568; -6.712065; -1.406762; 0.966083
163317792374784; -6.528194; -1.687760; 1.023505
163317825929216; -6.297287; -1.780000; 0.950201
163317825929216; -6.096313; -1.808711; 0.878730
163317842706432; -5.858686; -1.814209; 0.742507
163317859483648; -5.521489; -1.862467; 0.558636
163317876260864; -5.484837; -1.834978; 0.501215
163317876260864; -5.506217; -1.708529; 0.399200
163317893038080; -5.544702; -1.525269; 0.257480
163317893038080; -5.544702; -1.525269; 0.257480
163317909815296; -5.425583; -1.130650; -0.120035
163317909815296; -5.097548; -0.934563; -0.299629
163317926592512; -4.583200; -0.729923; -0.369268
163317943369728; -3.986384; -0.558881; -0.367435
163317943369728; -3.521516; -0.404943; -0.339947
163317960146944; -3.325428; -0.243063; -0.331394
163317976924160; -3.377352; -0.086071; -0.352164
163317976924160; -3.377352; -0.086071; -0.352164
