time; hr
163398675333120; 0.000000
163409060429824; 74.000000
163410956255232; 73.000000
163412986298368; 73.000000
163415066673152; 78.000000
163415066673152; 78.000000
163416962498560; 82.000000
163416979275776; 82.000000
163418975764480; 85.000000
163418992541696; 85.000000
163420989030400; 89.000000
163420989030400; 89.000000
163422968741888; 93.000000
163422968741888; 93.000000
163424982007808; 96.000000
163424998785024; 96.000000
163426978496512; 97.000000
163428974985216; 99.000000
163428991762432; 99.000000
163430988251136; 98.000000
163433001517056; 101.000000
163433001517056; 101.000000
163439007760384; 104.000000
163439007760384; 104.000000
163441004249088; 106.000000
163441004249088; 106.000000
163443017515008; 108.000000
163443017515008; 108.000000
163445047558144; 109.000000
