time; hr
163791329296384; 0.000000
163801680838656; 73.000000
163803610218496; 74.000000
163805623484416; 79.000000
163805623484416; 79.000000
163807687081984; 81.000000
163807703859200; 81.000000
163809616461824; 82.000000
163811612950528; 86.000000
163811629727744; 86.000000
163813642993664; 89.000000
163813642993664; 89.000000
163815639482368; 91.000000
163815639482368; 91.000000
163817619193856; 95.000000
163817619193856; 95.000000
163819632459776; 99.000000
163819632459776; 99.000000
163821645725696; 103.000000
163821645725696; 103.000000
163823625437184; 104.000000
163825638703104; 106.000000
163825638703104; 106.000000
163827635191808; 107.000000
163831628169216; 109.000000
163831628169216; 109.000000
