time; x; y; z
136661354676224; 0.124427; -6.321837; 7.479964
136661354676224; 0.124427; -6.321837; 7.479964
136661363064832; 0.124427; -6.321837; 7.479964
136661371453440; 0.169890; -6.324230; 7.491928
136661371453440; 0.169890; -6.324230; 7.491928
136661371453440; 0.169890; -6.324230; 7.491928
136661371453440; 0.215354; -6.393622; 7.427321
136661371453440; 0.215354; -6.393622; 7.427321
136661388230656; 0.272782; -6.453443; 7.396215
136661388230656; 0.272782; -6.453443; 7.396215
136661388230656; 0.272782; -6.453443; 7.396215
136661388230656; 0.272782; -6.453443; 7.396215
136661405007872; 0.272782; -6.458228; 7.470392
136661405007872; 0.272782; -6.458228; 7.470392
136661413396480; 0.272782; -6.458228; 7.470392
136661421785088; 0.267996; -6.489335; 7.491928
136661438562304; 0.157926; -6.424729; 7.453642
136661446950912; 0.239282; -6.417551; 7.436893
136661505671168; 0.344566; -6.470192; 7.542177
136661530836992; 0.284746; -6.429514; 7.503892
136661572780032; 0.263211; -6.326623; 7.427321
136661589557248; 0.308674; -6.264410; 7.463214
136661606334464; 0.385244; -6.269196; 7.506285
136661623111680; 0.390030; -6.211768; 7.477571
136661623111680; 0.483350; -6.190232; 7.482357
136661639888896; 0.387637; -6.118447; 7.477571
136661656666112; 0.232104; -6.104091; 7.441679
136661681831936; 0.272782; -5.994021; 7.530213
136661690220544; 0.404387; -6.008378; 7.427321
136661698609152; 0.346959; -6.128019; 7.365108
136661706997760; 0.349352; -6.254838; 7.286145
136661723774976; 0.172283; -6.747760; 7.305287
136661757329408; -0.210568; -6.568298; 7.348358
136661774106624; 0.617348; -6.161518; 7.546963
136661816049664; 0.129212; -6.273981; 7.456035
136661849604096; 0.296710; -6.407979; 7.381858
136661857992704; 0.284746; -6.403193; 7.374680
136661874769920; 0.177069; -6.470192; 7.288538
136661891547136; 0.157926; -6.367301; 7.264609
136661916712960; 0.153141; -6.434300; 7.195218
136661925101568; 0.169890; -6.486942; 7.192825
136661941878784; 0.145962; -6.541977; 7.183254
136661950267392; 0.155533; -6.530013; 7.149754
136661967044608; 0.169890; -6.558727; 7.197610
136661983821824; 0.122034; -6.582655; 7.207182
136662008987648; 0.155533; -6.544370; 7.185647
136662025764864; 0.153141; -6.508478; 7.183254
136662025764864; 0.112463; -6.506085; 7.130611
136662042542080; 0.055035; -6.460621; 7.164111
136662050930688; 0.050249; -6.439086; 7.202396
136662059319296; 0.021535; -6.544370; 7.247860
136662084485120; 0.038285; -6.652047; 7.197610
136662109650944; -0.021535; -6.783652; 7.142576
136662168371200; 0.253639; -7.377072; 6.429514
136662201925632; 0.311067; -7.745567; 6.015556
136662227091456; 0.267996; -8.250452; 5.596812
136662243868672; 0.267996; -8.250452; 5.596812
136662252257280; 0.318245; -8.413164; 5.479564
136662310977536; 0.430708; -8.764910; 4.938786
136662327754752; 0.440279; -8.879765; 4.855037
136662344531968; 0.519243; -8.872586; 4.723432
136662352920576; 0.519243; -8.872586; 4.723432
136662361309184; 0.519243; -8.872586; 4.723432
136662378086400; 0.514457; -8.920443; 4.517649
136662394863616; 0.610170; -8.989835; 4.393222
136662411640832; 0.617348; -9.018549; 4.127619
136662420029440; 0.617348; -9.018549; 4.127619
136662436806656; 0.665205; -9.205189; 3.586841
136662453583872; 0.665205; -9.205189; 3.586841
136662470361088; 0.646062; -9.303294; 3.342773
136662487138304; 0.689133; -9.324830; 3.151347
136662495526912; 0.689133; -9.324830; 3.151347
136662512304128; 0.701097; -9.422935; 2.928815
136662520692736; 0.772882; -9.387043; 2.603391
136662537469952; 0.772882; -9.387043; 2.603391
136662545858560; 0.818345; -9.257831; 2.251646
136662554247168; 0.818345; -9.257831; 2.251646
136662562635776; 1.026521; -9.224331; 2.041078
136662562635776; 1.026521; -9.224331; 2.041078
136662579412992; 1.148555; -9.133404; 1.892723
136662587801600; 1.148555; -9.133404; 1.892723
136662587801600; 1.148555; -9.133404; 1.892723
136662596190208; 1.335195; -8.973084; 1.615155
136662604578816; 1.335195; -8.973084; 1.615155
136662612967424; 1.418944; -8.882157; 1.217947
136662621356032; 1.418944; -8.882157; 1.217947
136662629744640; 1.418944; -8.882157; 1.217947
136662638133248; 1.596013; -8.769695; 0.784846
136662654910464; 1.672583; -8.784052; 0.421137
136662654910464; 1.672583; -8.784052; 0.421137
136662671687680; 1.672583; -8.784052; 0.421137
136662680076288; 1.718047; -8.726624; 0.172283
136662688464896; 1.718047; -8.726624; 0.172283
136662688464896; 1.746760; -8.645268; -0.126820
136662705242112; 1.746760; -8.645268; -0.126820
136662713630720; 1.639084; -8.803194; -0.552742
136662722019328; 1.639084; -8.803194; -0.552742
136662730407936; 1.507478; -9.152547; -1.387837
136662738796544; 1.507478; -9.152547; -1.387837
136662747185152; 1.304088; -9.805787; -1.794617
136662755573760; 1.304088; -9.805787; -1.794617
136662772350976; 1.263410; -10.009177; -2.041078
136662772350976; 1.263410; -10.009177; -2.041078
136662789128192; 1.203590; -9.946963; -2.079363
136662789128192; 1.203590; -9.946963; -2.079363
136662797516800; 1.203590; -9.946963; -2.079363
136662805905408; 1.074377; -9.939785; -2.313859
136662822682624; 1.074377; -9.939785; -2.313859
136662831071232; 0.854238; -9.444471; -2.301895
136662864625664; 0.662812; -9.095119; -2.105684
136662881402880; 0.598206; -8.949157; -2.325824
136662889791488; 0.452243; -9.138189; -2.555535
136662914957312; 0.232104; -9.528220; -2.904887
136662914957312; 0.232104; -9.528220; -2.904887
136662931734528; -0.047856; -9.901500; -3.297310
136662940123136; -0.047856; -9.901500; -3.297310
136662956900352; -0.215354; -10.466207; -3.632305
136662973677568; -0.452243; -10.777273; -3.548556
136662982066176; -0.540778; -10.894522; -3.309274
136663007232000; -0.325424; -10.956735; -3.297310
136663032397824; 0.050249; -10.674382; -3.646662
136663057563648; 0.442672; -10.645668; -3.737589
136663091118080; 1.127020; -10.923235; -3.658626
136663116283904; 1.430908; -10.851451; -3.555734
136663133061120; 1.430908; -10.851451; -3.555734
136663158226944; 1.861616; -10.061819; -3.503092
136663175004160; 2.232503; -9.688539; -3.467200
136663191781376; 2.495714; -9.341579; -3.663411
136663208558592; 2.495714; -9.341579; -3.663411
136663267278848; 2.785246; -8.434700; -3.649055
136663284056064; 2.768496; -8.018349; -3.763910
136663309221888; 2.998207; -7.458428; -3.766303
136663334387712; 3.187240; -7.197610; -3.909872
136663351164928; 3.364309; -6.876972; -3.962514
136663359553536; 3.749553; -6.836294; -3.818945
136663367942144; 3.749553; -6.836294; -3.818945
136663384719360; 3.749553; -6.836294; -3.818945
136663393107968; 3.749553; -6.836294; -3.818945
136663409885184; 4.256832; -6.855437; -3.414558
136663426662400; 4.256832; -6.855437; -3.414558
136663435051008; 4.783252; -7.140183; -3.268596
136663451828224; 4.783252; -7.140183; -3.268596
136663451828224; 4.783252; -7.140183; -3.268596
136663468605440; 5.027320; -7.446464; -3.024528
136663468605440; 5.027320; -7.446464; -3.024528
136663476994048; 5.027320; -7.446464; -3.024528
136663485382656; 5.027320; -7.446464; -3.024528
136663502159872; 4.634897; -7.688139; -2.787638
136663518937088; 5.592027; -8.949157; -2.344966
136663535714304; 5.819345; -9.181260; -2.060220
136663544102912; 5.819345; -9.181260; -2.060220
136663544102912; 5.819345; -9.181260; -2.060220
136663560880128; 5.714060; -9.162118; -1.864009
136663569268736; 5.714060; -9.162118; -1.864009
136663577657344; 5.455636; -8.997013; -1.651048
136663586045952; 5.455636; -8.997013; -1.651048
136663594434560; 5.297709; -8.915657; -1.473979
136663602823168; 5.297709; -8.915657; -1.473979
136663611211776; 5.297709; -8.915657; -1.473979
136663619600384; 5.225924; -8.705089; -1.529014
136663627988992; 5.225924; -8.705089; -1.529014
136663636377600; 5.235496; -8.252846; -1.677369
136663695097856; 5.355137; -7.654640; -2.531606
136663711875072; 5.458028; -7.747960; -2.689533
136663737040896; 5.446064; -7.936993; -2.950350
136663778983936; 5.359923; -8.044670; -3.132205
136663787372544; 5.398208; -8.159525; -3.249453
136663795761152; 5.398208; -8.159525; -3.249453
136663812538368; 5.391029; -7.992028; -3.486343
136663812538368; 5.391029; -7.992028; -3.486343
136663820926976; 5.371887; -7.898707; -3.517449
136663829315584; 5.371887; -7.898707; -3.517449
136663854481408; 5.417350; -7.793423; -3.558127
136663879647232; 5.371887; -7.601997; -3.500700
136663904813056; 5.240282; -6.862615; -3.117848
136663929978880; 5.166104; -6.632905; -2.878566
136663946756096; 5.123033; -6.415157; -2.816352
136663955144704; 5.190032; -6.580262; -2.763710
136663963533312; 5.190032; -6.580262; -2.763710
136663997087744; 5.089534; -6.754938; -2.967100
136664013864960; 5.142176; -6.809973; -3.046063
136664030642176; 5.142176; -6.809973; -3.046063
136664039030784; 5.060820; -6.876972; -3.148955
136664047419392; 5.060820; -6.876972; -3.148955
136664064196608; 5.022535; -6.690332; -3.156133
136664080973824; 5.029713; -6.527620; -3.079563
136664089362432; 5.012963; -6.577869; -3.172883
136664106139648; 4.910072; -6.742974; -3.192025
136664122916864; 4.910072; -6.742974; -3.192025
136664131305472; 4.802395; -6.824330; -3.172883
136664156471296; 4.572684; -6.872187; -3.232703
136664173248512; 4.673182; -7.128219; -3.567698
136664181637120; 4.673182; -7.128219; -3.567698
136664190025728; 5.175675; -7.570891; -3.687340
