time; x; y; z
136880297345024; 4.744967; 1.110270; 8.697910
136880356065280; 4.771288; 1.150948; 8.652447
136880364453888; 4.776074; 1.234697; 8.573483
136880398008320; 4.835895; 1.148555; 8.451449
136880398008320; 4.852644; 1.160519; 8.439486
136880406396928; 4.814359; 1.203590; 8.413164
136880414785536; 4.814359; 1.203590; 8.413164
136880423174144; 4.855037; 1.251446; 8.286345
136880439951360; 4.804788; 1.239482; 8.317451
136880448339968; 4.802395; 1.189233; 8.286345
136880456728576; 4.800002; 1.148555; 8.279166
136880465117184; 4.771288; 1.107877; 8.331808
136880473505792; 4.783252; 1.093520; 8.350951
136880481894400; 4.725825; 1.074377; 8.374879
136880490283008; 4.725825; 1.074377; 8.374879
136880515448832; 4.680361; 1.064806; 8.377272
136880532226048; 4.718646; 1.038485; 8.432307
136880540614656; 4.725825; 1.088734; 8.456235
136880557391872; 4.689932; 1.098306; 8.530413
136880582557696; 4.675575; 1.079163; 8.549556
136880599334912; 4.682754; 1.062413; 8.549556
136880658055168; 4.759324; 1.100698; 8.786445
136880666443776; 4.733003; 1.127020; 8.745767
136880691609600; 4.627719; 1.220340; 8.669196
136880699998208; 4.627719; 1.220340; 8.669196
136880725164032; 4.666004; 1.215554; 8.599805
136880733552640; 4.699504; 1.158126; 8.611769
136880775495680; 4.713861; 1.086342; 8.693125
136880792272896; 4.713861; 1.048056; 8.724232
136880792272896; 4.713861; 1.048056; 8.724232
136880834215936; 4.709075; 1.201197; 8.657232
136880842604544; 4.680361; 1.160519; 8.595019
136880876158976; 4.670790; 1.215554; 8.446664
136880892936192; 4.613362; 1.186840; 8.453842
136880909713408; 4.654040; 1.196411; 8.379665
136880926490624; 4.572684; 1.203590; 8.274381
136880934879232; 4.570291; 1.208375; 8.281559
136880943267840; 4.654040; 1.153340; 8.240881
136880960045056; 4.630112; 1.083949; 8.200203
136880976822272; 4.697111; 1.146162; 8.255239
136880985210880; 4.711468; 1.205983; 8.267202
136881010376704; 4.677969; 1.342373; 8.283952
136881018765312; 4.802395; 1.349552; 8.140383
136881027153920; 4.802395; 1.349552; 8.140383
136881043931136; 4.898108; 1.378266; 8.169097
136881069096960; 4.943572; 1.483550; 8.219346
136881085874176; 4.941179; 1.634298; 8.106883
136881102651392; 5.000999; 1.780260; 8.080562
136881111040000; 5.120640; 1.895115; 8.085348
136881169760256; 5.522635; 2.404787; 7.331609
136881178148864; 5.620740; 2.440679; 7.298109
136881186537472; 5.754738; 2.507678; 7.319644
136881203314688; 5.812166; 2.423929; 7.436893
136881220091904; 5.905486; 2.206182; 7.379465
136881236869120; 6.003592; 1.749153; 7.240681
136881253646336; 6.027520; 1.009771; 6.922436
136881262034944; 5.982057; 0.550349; 6.721439
136881278812160; 6.096912; -0.423530; 6.525228
136881278812160; 6.096912; -0.423530; 6.525228
136881295589376; 6.362515; -1.512264; 6.333802
136881312366592; 6.455835; -1.801795; 6.173482
136881320755200; 6.472585; -2.177469; 5.950950
136881337532416; 6.386444; -2.565106; 5.687739
136881345921024; 6.386444; -2.565106; 5.687739
136881354309632; 6.317052; -3.012564; 5.486742
136881371086848; 6.142376; -5.056034; 4.608576
136881387864064; 5.977271; -6.838687; 4.019942
136881404641280; 5.965307; -8.396415; 3.651447
136881413029888; 5.936593; -8.944371; 3.402594
136881438195712; 5.785845; -10.358529; 2.175076
136881471750144; 5.611169; -10.973485; 1.148555
136881488527360; 5.405386; -11.263016; 0.287139
136881496915968; 5.319245; -11.272588; -0.064606
136881505304576; 5.113462; -11.267802; -0.356531
136881522081792; 4.575077; -11.035698; -0.789631
136881530470400; 4.575077; -11.035698; -0.789631
136881538859008; 4.156333; -10.794023; -1.117448
136881547247616; 3.885944; -10.588241; -1.268196
136881555636224; 3.608377; -10.418350; -1.308874
136881589190656; 3.357130; -10.269995; -1.378266
136881605967872; 2.411965; -9.997213; -2.021935
136881614356480; 1.969293; -10.057034; -2.682354
136881631133696; 1.823331; -10.169497; -2.979064
136881673076736; 1.701297; -10.365707; -3.500700
136881681465344; 1.478764; -10.329815; -3.929015
136881689853952; 1.478764; -10.329815; -3.929015
136881698242560; 1.203590; -10.155139; -4.022335
136881715019776; 0.854238; -10.023534; -4.163511
136881723408384; 0.854238; -10.023534; -4.163511
136881731796992; 0.854238; -10.023534; -4.163511
136881748574208; 0.641276; -10.224531; -4.469793
136881748574208; 0.641276; -10.224531; -4.469793
136881782128640; 0.394816; -10.738988; -4.465007
136881782128640; 0.394816; -10.738988; -4.465007
136881798905856; 0.143569; -10.451849; -4.618148
136881832460288; -0.380459; -9.667004; -5.292923
136881849237504; -0.655633; -9.219545; -5.469993
136881866014720; -1.107877; -9.183653; -5.412565
136881891180544; -1.438086; -9.004191; -5.529813
136881907957760; -1.411765; -9.109476; -5.663811
136881924734976; -1.411765; -9.109476; -5.663811
136881941512192; -1.485943; -9.480363; -5.527421
136881949900800; -1.605584; -8.767303; -5.350351
136881958289408; -1.605584; -8.767303; -5.350351
136881975066624; -1.801795; -8.592627; -4.960321
136881983455232; -2.055435; -8.137990; -4.761717
136882000232448; -2.330609; -7.578069; -4.776074
136882017009664; -2.330609; -7.578069; -4.776074
136882050564096; -2.452643; -7.391429; -5.118248
136882050564096; -2.452643; -7.391429; -5.118248
136882058952704; -2.402394; -7.585248; -5.091927
136882092507136; -2.569891; -7.635497; -4.936393
136882109284352; -2.687140; -7.362715; -5.015356
136882117672960; -2.813959; -7.424929; -5.053641
136882142838784; -2.823531; -7.042077; -5.113462
136882151227392; -2.823531; -7.042077; -5.113462
136882159616000; -2.845066; -6.750153; -5.292923
136882168004608; -2.845066; -6.750153; -5.292923
136882176393216; -2.995814; -6.927222; -5.161318
136882184781824; -2.995814; -6.927222; -5.161318
136882201559040; -3.613162; -6.838687; -4.795217
136882201559040; -3.613162; -6.838687; -4.795217
136882218336256; -3.981657; -6.458228; -4.546363
136882235113472; -4.122833; -6.628119; -4.283153
136882243502080; -4.122833; -6.628119; -4.283153
136882260279296; -4.252046; -7.109076; -3.945765
136882268667904; -4.252046; -7.109076; -3.945765
136882293833728; -4.582255; -7.448857; -4.421936
136882327388160; -5.012963; -7.556534; -4.914858
136882344165376; -5.247460; -7.401000; -5.094319
136882352553984; -5.247460; -7.401000; -5.094319
136882360942592; -5.247460; -7.401000; -5.094319
136882369331200; -5.455636; -6.644868; -5.402994
136882386108416; -5.455636; -6.644868; -5.402994
136882394497024; -5.651847; -5.948557; -5.460421
136882402885632; -5.869594; -5.656633; -5.381458
136882419662848; -5.869594; -5.656633; -5.381458
136882436440064; -6.046663; -5.697311; -5.302495
136882444828672; -6.046663; -5.697311; -5.302495
136882453217280; -6.046663; -5.697311; -5.302495
136882469994496; -6.178268; -5.716453; -5.271388
