time; x; y; z
136661379842048; -0.100671; -0.048197; 0.038790
136661388230656; -0.090286; -0.038423; 0.040623
136661388230656; -0.090286; -0.038423; 0.040623
136661396619264; -0.087842; -0.031704; 0.042455
136661405007872; -0.087232; -0.020097; 0.034514
136661405007872; -0.087232; -0.020097; 0.034514
136661421785088; -0.079290; -0.020708; 0.025962
136661421785088; -0.058521; -0.021930; 0.022907
136661438562304; -0.037141; -0.023763; 0.030849
136661497282560; -0.068906; -0.064080; 0.033292
136661522448384; 0.014172; -0.035980; 0.012523
136661564391424; 0.012339; -0.039034; -0.005192
136661572780032; 0.017837; -0.036591; -0.008858
136661597945856; 0.007453; -0.044532; -0.039401
136661623111680; -0.032254; -0.066523; -0.071166
136661623111680; -0.046304; -0.059804; -0.076053
136661631500288; -0.046304; -0.059804; -0.076053
136661656666112; -0.122051; -0.053084; -0.052229
136661673443328; -0.129992; -0.042089; 0.050396
136661681831936; -0.169087; -0.048808; 0.054672
136661690220544; -0.169087; -0.048808; 0.054672
136661698609152; -0.231396; -0.054306; 0.047342
136661723774976; -0.125105; -0.024374; -0.175624
136661748940800; 0.105802; 0.015333; 0.114537
136661774106624; 0.135734; 0.006170; 0.215330
136661807661056; 0.074037; 0.004948; 0.048564
136661841215488; -0.015149; -0.050030; 0.146913
136661849604096; -0.021258; -0.053695; 0.134696
136661857992704; -0.023091; -0.053084; 0.128587
136661883158528; -0.035308; -0.050030; 0.116370
136661908324352; -0.093340; -0.057360; 0.083383
136661916712960; -0.122051; -0.059193; 0.074831
136661933490176; -0.139766; -0.050030; 0.057116
136661950267392; -0.144042; -0.036591; 0.043066
136661967044608; -0.147707; -0.032926; 0.046731
136661975433216; -0.162368; -0.028650; 0.051007
136662000599040; -0.220400; -0.021930; 0.050396
136662017376256; -0.282098; -0.012767; 0.047342
136662025764864; -0.329745; -0.010324; 0.048564
136662034153472; -0.329745; -0.010324; 0.048564
136662042542080; -0.383501; -0.003604; 0.047342
136662050930688; -0.447031; -0.006048; 0.049175
136662076096512; -0.706649; -0.038423; 0.041233
136662092873728; -0.876469; -0.062247; 0.033903
136662151593984; -1.214889; -0.153877; 0.022297
136662193537024; -1.323012; -0.177090; 0.003360
136662227091456; -1.308351; -0.163040; -0.010079
136662243868672; -1.262536; -0.145325; -0.028405
136662252257280; -1.192898; -0.114171; -0.054062
136662302588928; -1.086607; -0.065301; -0.096822
136662319366144; -1.079888; -0.041478; -0.122478
136662344531968; -1.101879; -0.006048; -0.202502
136662352920576; -1.101879; -0.006048; -0.202502
136662361309184; -1.101879; -0.006048; -0.202502
136662369697792; -1.125703; 0.005559; -0.237932
136662378086400; -1.125703; 0.005559; -0.237932
136662394863616; -1.170296; 0.004948; -0.269697
136662420029440; -1.216111; 0.016554; -0.302073
136662436806656; -1.269867; 0.024496; -0.336281
136662445195264; -1.316293; 0.039767; -0.357662
136662461972480; -1.353555; 0.059315; -0.379042
136662478749696; -1.398148; 0.064813; -0.392481
136662487138304; -1.398148; 0.064813; -0.392481
136662503915520; -1.409144; 0.092913; -0.412029
136662520692736; -1.379212; 0.117347; -0.438296
136662529081344; -1.379212; 0.117347; -0.438296
136662545858560; -1.358442; 0.135062; -0.440128
136662545858560; -1.358442; 0.135062; -0.440128
136662554247168; -1.404868; 0.151556; -0.428522
136662562635776; -1.404868; 0.151556; -0.428522
136662571024384; -1.404868; 0.151556; -0.428522
136662579412992; -1.511769; 0.171714; -0.396146
136662587801600; -1.511769; 0.171714; -0.396146
136662596190208; -1.630277; 0.185764; -0.347277
136662604578816; -1.630277; 0.185764; -0.347277
136662604578816; -1.630277; 0.185764; -0.347277
136662612967424; -1.748174; 0.199814; -0.284358
136662621356032; -1.748174; 0.199814; -0.284358
136662629744640; -1.882565; 0.219973; -0.206167
136662646521856; -1.882565; 0.219973; -0.206167
136662654910464; -2.027950; 0.246240; -0.125533
136662663299072; -2.027950; 0.246240; -0.125533
136662671687680; -2.126300; 0.252348; -0.039401
136662680076288; -2.126300; 0.252348; -0.039401
136662688464896; -2.217319; 0.240742; 0.036957
136662705242112; -2.217319; 0.240742; 0.036957
136662713630720; -2.252138; 0.197371; 0.085827
136662722019328; -2.252138; 0.197371; 0.085827
136662730407936; -2.182499; 0.170493; 0.135307
136662738796544; -2.182499; 0.170493; 0.135307
136662738796544; -2.182499; 0.170493; 0.135307
136662755573760; -1.922271; 0.184542; 0.178678
136662772350976; -1.437244; 0.194927; 0.203113
136662772350976; -1.437244; 0.194927; 0.203113
136662780739584; -1.437244; 0.194927; 0.203113
136662789128192; -0.900904; 0.215086; 0.212887
136662797516800; -0.900904; 0.215086; 0.212887
136662805905408; -0.336465; 0.232801; 0.228158
136662814294016; -0.336465; 0.232801; 0.228158
136662822682624; 0.091141; 0.271285; 0.212276
136662856237056; 0.232862; 0.308548; 0.196393
136662873014272; 0.108856; 0.329317; 0.184787
136662889791488; -0.132436; 0.369635; 0.178678
136662906568704; -0.351736; 0.429499; 0.149967
136662914957312; -0.351736; 0.429499; 0.149967
136662931734528; -0.487348; 0.500360; 0.098044
136662931734528; -0.487348; 0.500360; 0.098044
136662948511744; -0.542326; 0.579161; 0.038179
136662965288960; -0.500787; 0.643302; -0.042455
136662973677568; -0.453751; 0.653687; -0.152411
136662998843392; -0.475131; 0.646357; -0.280082
136663024009216; -0.632123; 0.661017; -0.397368
136663057563648; -1.173350; 0.769140; -0.517708
136663074340864; -1.298577; 0.841833; -0.536645
136663107895296; -1.197174; 0.893146; -0.572075
136663124672512; -0.925339; 0.914526; -0.636827
136663149838336; -0.493457; 0.881540; -0.752281
136663175004160; -0.378003; 0.855272; -0.810313
136663183392768; -0.378003; 0.855272; -0.810313
136663200169984; -0.327912; 0.827173; -0.848186
136663233724416; -0.305921; 0.816788; -0.875675
136663284056064; -0.351736; 0.736154; -0.845132
136663300833280; -0.414044; 0.684841; -0.782213
136663334387712; -0.365786; 0.544953; -0.595288
136663342776320; -0.364564; 0.489975; -0.469450
136663359553536; -0.364564; 0.489975; -0.469450
