time; x; y; z
136880448339968; -0.038973; 0.061148; -0.034514
136880465117184; -0.048136; 0.045876; -0.032070
136880465117184; -0.048136; 0.045876; -0.032070
136880481894400; -0.046914; 0.037324; -0.035736
136880490283008; -0.047525; 0.028772; -0.039401
136880507060224; -0.057910; 0.008002; -0.046731
136880523837440; -0.040806; -0.002382; -0.048564
136880532226048; -0.029199; -0.008491; -0.045509
136880549003264; -0.015149; -0.020708; -0.042455
136880574169088; -0.018815; -0.016432; -0.046731
136880599334912; -0.015760; -0.024374; -0.031460
136880641277952; 0.000122; -0.023152; -0.051618
136880658055168; -0.008430; -0.010934; -0.038179
136880683220992; -0.013928; 0.008002; -0.025962
136880699998208; -0.015760; 0.021441; -0.024740
136880708386816; -0.013317; 0.028772; -0.026573
136880733552640; -0.004765; 0.028161; -0.030849
136880767107072; 0.009896; 0.023274; -0.035125
136880783884288; 0.009896; 0.017165; -0.043066
136880792272896; 0.010507; 0.017165; -0.045509
136880809050112; 0.016005; 0.023885; -0.043677
136880834215936; 0.020892; 0.037935; -0.036346
136880859381760; 0.009896; 0.048319; -0.036346
136880892936192; -0.006597; 0.055650; -0.030238
136880901324800; -0.000489; 0.059315; -0.025962
136880918102016; -0.004765; 0.062369; -0.027794
136880926490624; -0.012706; 0.058093; -0.028405
136880943267840; -0.014539; 0.056261; -0.029627
136880960045056; -0.022480; 0.033048; -0.036346
136880968433664; -0.015149; 0.023274; -0.044899
136880976822272; -0.010263; 0.006170; -0.044899
136880993599488; -0.036530; -0.009102; -0.054672
136881010376704; -0.082345; -0.021930; -0.063835
136881018765312; -0.108612; -0.027428; -0.071166
136881035542528; -0.136101; -0.032926; -0.083383
136881052319744; -0.206961; -0.032315; -0.098044
136881077485568; -0.374949; -0.007269; -0.134085
136881094262784; -0.448864; 0.004337; -0.151189
136881102651392; -0.530109; 0.022052; -0.167682
136881161371648; -1.588127; 0.309770; -0.386372
136881178148864; -1.819035; 0.331761; -0.440128
136881186537472; -2.081096; 0.355585; -0.499993
136881194926080; -2.377976; 0.361082; -0.555582
