time; x; y; z
137083536539648; -0.337388; 2.579463; 9.530613
137083595259904; -0.471386; 2.385644; 9.530613
137083595259904; -0.471386; 2.385644; 9.530613
137083612037120; -0.514457; 2.598605; 9.363115
137083628814336; -0.366102; 2.608177; 9.399008
137083637202944; -0.315853; 2.691926; 9.456435
137083637202944; -0.315853; 2.691926; 9.456435
137083637202944; -0.315853; 2.691926; 9.456435
137083645591552; -0.483350; 2.694318; 9.456435
137083662368768; -0.382852; 2.593820; 9.628718
137083679145984; -0.258425; 2.596213; 9.695718
137083687534592; -0.229711; 2.593820; 9.712467
137083704311808; -0.227318; 2.703890; 9.683753
137083712700416; -0.193819; 2.713461; 9.621540
137083737866240; -0.172283; 2.737389; 9.463614
137083746254848; -0.172283; 2.737389; 9.463614
137083754643456; -0.244068; 2.691926; 9.430114
137083771420672; -0.284746; 2.548356; 9.470792
137083779809280; -0.234497; 2.545963; 9.552148
137083796586496; -0.246461; 2.524428; 9.525827
137083813363712; -0.332602; 2.376073; 9.415757
137083838529536; -0.411565; 2.428715; 9.343972
137083846918144; -0.423530; 2.385644; 9.339187
137083872083968; -0.313460; 2.364109; 9.214760
137083888861184; 0.011964; 2.555535; 9.011370
137083922415616; 1.282553; 3.251846; 7.893922
137083939192832; 1.067199; 4.165904; 7.037292
137083964358656; 2.170290; 2.873780; 5.017749
137083972747264; 2.778067; 2.816352; 4.407579
137083989524480; 3.460021; 2.266003; 3.474379
137084006301696; 3.682554; 1.907080; 3.017349
137084014690304; 3.931408; 1.725225; 2.660819
137084031467520; 4.414758; 1.737189; 2.182254
137084048244736; 4.764110; 1.864009; 1.605584
137084056633344; 4.764110; 1.864009; 1.605584
137084065021952; 5.146962; 1.746760; 1.483550
137084081799168; 6.427122; 0.492921; 2.053042
137084098576384; 8.700303; -0.533599; 1.753939
137084115353600; 6.711867; 2.048256; -1.229911
137084123742208; 8.721839; -3.680161; -0.617348
137084140519424; 15.495919; -5.948557; 0.303888
137084148908032; 15.495919; -5.948557; 0.303888
137084165685248; 8.264810; -7.793423; -0.090927
137084207628288; 11.023734; -13.119846; -1.792224
137084224405504; 10.801202; -13.990834; -2.493321
137084257959936; 10.339387; -14.021940; -4.670790
137084274737152; 9.566504; -13.978869; -5.927022
137084299902976; 9.064013; -12.497713; -6.640083
137084358623232; 8.159525; -10.229317; -9.097511
137084400566272; 7.637890; -11.480763; -10.021141
137084425732096; 6.656833; -11.203196; -12.480963
137084467675136; 4.469793; -14.234902; -14.438292
137084484452352; 3.536592; -14.249259; -13.282558
137084526395392; 2.682354; -13.974084; -15.352350
137084543172608; 2.703890; -14.019547; -17.989241
137084585115648; 3.022135; -12.279965; -17.678173
137084601892864; 3.371487; -12.095718; -17.840885
137084610281472; 4.208975; -11.863615; -18.628124
137084627058688; 5.278567; -12.222538; -19.410578
137084652224512; 6.616155; -12.461821; -18.769300
137084677390336; 7.293324; -12.272787; -18.032312
137084685778944; 8.152347; -12.598211; -18.039490
137084702556160; 8.152347; -12.598211; -18.039490
137084710944768; 9.116654; -12.382857; -17.453249
137084719333376; 9.116654; -12.382857; -17.453249
137084736110592; 9.430114; -12.418750; -16.077375
137084744499200; 9.466006; -11.665010; -13.945371
137084752887808; 9.466006; -11.665010; -13.945371
137084761276416; 9.466006; -11.665010; -13.945371
137084761276416; 9.131011; -10.100104; -11.911471
137084769665024; 9.131011; -10.100104; -11.911471
137084778053632; 9.131011; -10.100104; -11.911471
137084786442240; 7.886744; -7.625926; -8.961121
137084794830848; 7.886744; -7.625926; -8.961121
137084803219456; 6.101698; -5.895915; -6.159125
137084803219456; 6.101698; -5.895915; -6.159125
137084811608064; 6.101698; -5.895915; -6.159125
137084819996672; 5.388637; -4.496114; -5.053641
137084828385280; 5.388637; -4.496114; -5.053641
137084836773888; 5.388637; -4.496114; -5.053641
137084845162496; 4.067799; -1.921437; -4.981857
137084853551104; 4.067799; -1.921437; -4.981857
137084861939712; 3.400201; -0.083749; -4.656433
137084861939712; 3.400201; -0.083749; -4.656433
137084870328320; 3.400201; -0.083749; -4.656433
137084878716928; 3.400201; -0.083749; -4.656433
137084878716928; 3.311666; -0.177069; -3.538985
137084887105536; 3.311666; -0.177069; -3.538985
137084887105536; 3.311666; -0.177069; -3.538985
137084903882752; 3.038885; 0.019143; -3.263810
137084912271360; 3.038885; 0.019143; -3.263810
137084912271360; 3.038885; 0.019143; -3.263810
137084912271360; 3.038885; 0.019143; -3.263810
137084920659968; 2.715854; -0.543171; -3.278167
137084929048576; 2.715854; -0.543171; -3.278167
137084937437184; 2.744568; -0.066999; -2.545963
137084945825792; 2.744568; -0.066999; -2.545963
137084954214400; 2.744568; -0.066999; -2.545963
137084962603008; 3.065206; -0.107677; -1.019342
137084970991616; 3.065206; -0.107677; -1.019342
137084987768832; 3.247060; -1.710868; 0.502493
137084996157440; 3.120241; -2.170290; 0.555135
137085012934656; 3.120241; -2.170290; 0.555135
137085021323264; 3.488735; -2.974278; -0.205783
137085038100480; 4.333402; -3.560520; 0.055035
137085063266304; 4.067799; -3.605984; 0.454636
137085080043520; 4.271188; -3.488735; 1.631905
137085096820736; 4.582255; -3.517449; 2.368894
137085147152384; 5.225924; -3.426522; 2.754139
137085163929600; 6.778867; -3.275774; 2.976671
137085189095424; 7.697711; -3.220739; 3.656233
137085214261248; 8.676374; -3.306881; 4.694718
137085247815680; 9.903893; -3.682554; 4.424329
137085281370112; 12.174682; -4.206582; 4.386044
137085323313152; 14.129618; -4.862216; 3.409772
137085365256192; 16.445869; -5.376672; 3.900301
137085390422016; 18.510876; -6.508478; 3.560520
137085407199232; 20.338993; -7.142576; 1.969293
137085423976448; 22.171894; -7.601997; 0.490529
137085440753664; 23.464020; -8.094919; 1.780260
