time; x; y; z
137083653980160; -0.045082; -0.033537; 0.083994
137083679145984; -0.037751; -0.041478; 0.062003
137083704311808; 0.004398; -0.034147; 0.050396
137083712700416; 0.012950; -0.024984; 0.049175
137083721089024; 0.022724; -0.014600; 0.041233
137083737866240; 0.016005; 0.011057; 0.041844
137083746254848; 0.000122; 0.024496; 0.045509
137083771420672; -0.002321; 0.012889; 0.023518
137083779809280; -0.011484; 0.015944; 0.010690
137083788197888; -0.024312; 0.021441; -0.000916
137083804975104; -0.016982; 0.025717; -0.016799
137083830140928; -0.020036; 0.032437; -0.029016
137083838529536; -0.025534; 0.031826; -0.029016
137083855306752; -0.063408; 0.019609; -0.021075
137083888861184; -0.123273; -0.013378; -0.035125
137083905638400; -0.274156; -0.043310; -0.112094
137083930804224; -0.905791; -0.010934; -0.142637
137083955970048; -1.572856; -0.261389; -0.376598
137083972747264; -1.973583; -0.557048; -0.707076
137083989524480; -2.162951; -0.700601; -0.915382
137083997913088; -2.512367; -0.966328; -1.395522
137084006301696; -2.653476; -1.084836; -1.619098
137084023078912; -2.808025; -1.177687; -1.832901
137084039856128; -3.252124; -1.374997; -2.253787
137084048244736; -3.575272; -1.477011; -2.461482
137084056633344; -3.974778; -1.601017; -2.647795
137084081799168; -4.900239; -1.900952; -3.048523
137084098576384; -5.899004; -1.921721; -3.400992
137084106964992; -6.493986; -1.737850; -3.472463
137084115353600; -8.016263; -1.699366; -4.882341
137084140519424; -8.319863; -2.009075; -2.127338
137084148908032; -8.029702; -0.580872; -2.377793
137084157296640; -8.197690; 0.756312; -3.691153
137084190851072; -9.241048; 1.321974; -3.879911
137084216016896; -9.347339; 2.141144; -3.685655
137084249571328; -8.588644; 3.809417; -3.162755
137084274737152; -8.353460; 4.464875; -2.559831
137084291514368; -8.420655; 4.852775; -2.061976
137084325068800; -8.975932; 5.247394; -1.244027
137084400566272; -8.059024; 4.784968; 1.352761
137084417343488; -7.717549; 4.657298; 1.585501
137084467675136; -5.162911; 3.742832; 2.554944
137084476063744; -3.147666; 3.048889; 2.689334
137084492840960; -2.114082; 1.923676; 2.894585
137084526395392; -2.355374; 0.659796; 3.204905
137084568338432; -0.340741; -1.739072; 3.849978
137084593504256; 0.122295; -2.364598; 4.069279
137084601892864; 0.122295; -2.364598; 4.069279
137084627058688; 0.119241; -2.974242; 4.245819
137084635447296; 0.296392; -3.527686; 4.317901
137084669001728; 0.756984; -4.503849; 4.457178
137084685778944; 0.756984; -4.503849; 4.457178
137084694167552; 0.777143; -4.833105; 4.534758
137084710944768; 0.769202; -4.985821; 4.546364
137084719333376; 0.769202; -4.985821; 4.546364
137084727721984; 0.880990; -5.026749; 4.501771
137084744499200; 1.061195; -5.025527; 4.415028
137084752887808; 1.061195; -5.025527; 4.415028
137084752887808; 1.061195; -5.025527; 4.415028
137084761276416; 1.218187; -5.033469; 4.249484
137084769665024; 1.218187; -5.033469; 4.249484
137084778053632; 1.218187; -5.033469; 4.249484
137084786442240; 1.335474; -4.892970; 3.981314
137084794830848; 1.335474; -4.892970; 3.981314
