time; hr
137083544928256; 0.000000
137093904859136; 108.000000
137095817461760; 109.000000
137095817461760; 109.000000
137097813950464; 109.000000
137099902713856; 110.000000
137101823705088; 111.000000
137103828582400; 113.000000
137103828582400; 113.000000
137105825071104; 111.000000
137105825071104; 111.000000
137107838337024; 115.000000
137107838337024; 115.000000
137109834825728; 120.000000
137109843214336; 120.000000
137111831314432; 124.000000
137111831314432; 124.000000
137113836191744; 127.000000
137113844580352; 127.000000
137115849457664; 129.000000
137115857846272; 129.000000
137117845946368; 131.000000
137117845946368; 131.000000
137121855700992; 132.000000
137123852189696; 133.000000
137123852189696; 133.000000
137125848678400; 132.000000
137129858433024; 131.000000
137133884964864; 131.000000
137135873064960; 131.000000
137137869553664; 132.000000
137139882819584; 132.000000
137141887696896; 132.000000
137143875796992; 132.000000
137145872285696; 133.000000
137151878529024; 133.000000
137155879895040; 133.000000
137159914815488; 134.000000
137163874238464; 135.000000
137165895892992; 136.000000
137167791718400; 136.000000
137169821761536; 136.000000
137171902136320; 137.000000
137173797961728; 138.000000
137175819616256; 140.000000
137175819616256; 140.000000
137177908379648; 141.000000
137179820982272; 140.000000
