time; x; y; z
137200859611136; 0.026321; 4.094120; 8.640483
137200918331392; 0.160319; 4.132405; 8.958728
137200926720000; 0.205783; 4.031906; 8.953942
137200951885824; 0.224925; 4.235296; 8.848659
137200968663040; 0.296710; 4.381258; 8.918050
137200977051648; 0.296710; 4.381258; 8.918050
137201002217472; 0.287139; 4.364509; 8.922835
137201018994688; 0.234497; 4.237689; 8.839087
137201052549120; 0.191426; 4.146761; 8.748159
137201069326336; 0.169890; 4.319045; 8.788837
137201169989632; 0.382852; 4.177868; 8.551949
137201169989632; 0.344566; 4.168297; 8.504091
137201169989632; 0.344566; 4.168297; 8.504091
137201203544064; 0.375673; 4.218546; 8.248059
137201220321280; 1.191626; 4.677969; 7.240681
137201237098496; 1.270589; 4.766503; 6.994221
137201237098496; 1.505085; 4.795217; 6.771688
137201262264320; 2.076970; 4.651647; 6.893722
137201279041536; 3.182454; 4.237689; 7.451250
137201287430144; 3.627519; 4.127619; 7.611569
137201295818752; 3.627519; 4.127619; 7.611569
137201320984576; 4.031906; 3.352345; 7.695318
137201320984576; 4.031906; 3.352345; 7.695318
137201346150400; 4.240082; 2.957529; 7.881958
137201362927616; 4.266403; 2.536392; 8.075776
137201388093440; 4.400401; 1.158126; 9.243474
137201396482048; 4.500899; 1.071985; 9.781859
137201404870656; 4.400401; 1.064806; 10.212567
137201430036480; 3.684947; 0.820738; 10.671989
137201446813696; 3.493521; 0.495314; 10.463814
137201455202304; 3.151347; 0.160319; 10.375279
137201488756736; 2.557927; -0.959522; 10.303494
137201513922560; 2.148755; -1.385444; 10.037891
137201539088384; 1.605584; -1.205983; 10.035499
137201555865600; 1.335195; -1.670190; 10.035499
137201564254208; 1.172483; -2.189433; 9.875179
137201572642816; 0.988236; -2.285146; 9.834501
137201581031424; 0.988236; -2.285146; 9.834501
137201606197248; 0.356531; -2.591427; 9.812965
137201614585856; 0.267996; -2.321038; 9.789038
137201631363072; 0.126820; -2.091327; 9.920643
137201639751680; -0.040678; -2.335395; 10.049855
137201639751680; -0.165105; -3.103491; 9.939785
137201648140288; -0.148355; -3.921836; 9.884750
137201673306112; 0.196211; -5.544170; 9.970892
137201681694720; 0.272782; -5.814559; 9.863214
137201690083328; 0.327817; -5.577670; 10.088140
