time; hr
137200775725056; 0.000000
137211160821760; 121.000000
137213039869952; 118.000000
137213039869952; 118.000000
137215036358656; 116.000000
137215036358656; 116.000000
137217150287872; 115.000000
137219046113280; 113.000000
137219046113280; 113.000000
137221050990592; 117.000000
137221050990592; 117.000000
137223081033728; 119.000000
137223081033728; 119.000000
137225060745216; 116.000000
137225060745216; 116.000000
137227057233920; 118.000000
137227057233920; 118.000000
137229104054272; 117.000000
137231066988544; 113.000000
137231066988544; 113.000000
137233063477248; 110.000000
137233063477248; 110.000000
137235076743168; 109.000000
137239094886400; 110.000000
137245084352512; 110.000000
137251090595840; 110.000000
137253112250368; 111.000000
137257113616384; 112.000000
137265107959808; 113.000000
137269117714432; 114.000000
137271097425920; 115.000000
137273110691840; 116.000000
137275123957760; 117.000000
137279125323776; 118.000000
137281121812480; 117.000000
137283118301184; 117.000000
137289124544512; 117.000000
137291037147136; 118.000000
137297051779072; 117.000000
137299165708288; 117.000000
