time; x; y; z
158129757093888; 0.906880; 6.202196; 7.530213
158129790648320; 0.949951; 6.163911; 7.467999
158129790648320; 0.949951; 6.163911; 7.467999
158129807425536; 0.844666; 6.415157; 7.460821
158129824202752; 0.844666; 6.415157; 7.460821
158129824202752; 0.844666; 6.415157; 7.460821
158129824202752; 0.844666; 6.415157; 7.460821
158129824202752; 0.890130; 6.183053; 7.594819
158129824202752; 0.890130; 6.183053; 7.594819
158129874534400; 0.959522; 6.051448; 7.477571
158129874534400; 0.937986; 6.041877; 7.527820
158129908088832; 0.856631; 6.149554; 7.637890
158129908088832; 0.856631; 6.149554; 7.637890
158129924866048; 0.820738; 6.149554; 7.616354
158129924866048; 0.894916; 6.142376; 7.539784
158129941643264; 0.844666; 6.130412; 7.467999
158129958420480; 0.806381; 6.135197; 7.420143
158129975197696; 0.799203; 6.242874; 7.482357
158129975197696; 0.815953; 6.053841; 7.561319
158130008752128; 0.875773; 6.034698; 7.515856
158130008752128; 0.902094; 6.128019; 7.532606
158130025529344; 0.854238; 6.173482; 7.403393
158130042306560; 0.765703; 6.099305; 7.405786
158130075860992; 0.811167; 6.254838; 7.317252
158130092638208; 0.763310; 6.238089; 7.307680
158130109415424; 0.949951; 6.391229; 7.185647
158130126192640; 1.064806; 6.278767; 7.140183
158130176524288; 1.926222; 6.120841; 6.649654
158130176524288; 1.713261; 6.343373; 6.510870
158130193301504; 1.785046; 6.934400; 6.235696
158130226855936; 2.335395; 5.941379; 5.749953
158130243633152; 2.069792; 4.986642; 6.396015
158130277187584; 2.373680; 4.639683; 6.714260
158130293964800; 2.727818; 3.883551; 6.874579
158130310742016; 2.766103; 0.660419; 6.850651
158130327519232; 2.285146; -0.014357; 6.783652
158130344296448; 1.584049; -1.517050; 7.185647
158130361073664; 1.777867; -2.024328; 7.578069
158130394628096; 1.055235; -3.517449; 7.010970
158130411405312; -0.143569; -5.623133; 6.202196
158130444959744; 0.057428; -7.759924; 5.637490
158130461736960; -0.375673; -8.910872; 4.663611
158130461736960; -1.098306; -9.623933; 3.976871
158130478514176; -1.887937; -11.028520; 3.534199
158130495291392; -2.584249; -12.899707; 3.732803
158130512068608; -2.490928; -13.134204; 3.751946
158130528845824; -1.864009; -11.375479; 3.110669
158130545623040; -2.562713; -11.026127; 3.081956
158130562400256; -3.617948; -11.150554; 2.507678
158130579177472; -3.196811; -11.693725; 2.110470
158130595954688; -2.694318; -12.189038; 2.024328
158130629509120; -2.261217; -12.430714; 1.610370
158130646286336; -2.931208; -11.521441; 1.825724
158130696617984; -2.055435; -11.614761; 0.882952
158130696617984; -2.110470; -11.349157; 0.411565
158130713395200; -2.155933; -11.021341; 0.260818
158130746949632; -2.404787; -10.315458; 0.564706
158130763726848; -2.373680; -10.124033; 0.823131
158130780504064; -2.112862; -10.875379; 1.064806
158130814058496; -2.158326; -10.593026; -0.088534
158130830835712; -2.108077; -10.703095; -0.002393
158130830835712; -2.108077; -10.703095; -0.002393
158130847612928; -1.964507; -10.755738; 0.000000
158130847612928; -1.964507; -10.755738; 0.000000
158130864390144; -1.916651; -10.224531; 0.100499
158130897944576; -1.768296; -10.413564; 0.122034
158130897944576; -1.768296; -10.413564; 0.122034
158130897944576; -1.859223; -10.511670; -0.023928
158130914721792; -1.859223; -10.511670; -0.023928
158130914721792; -1.835295; -10.626525; -0.169890
