time; x; y; z
157948110176256; 1.208375; 5.979664; 7.714460
157948126953472; 1.208375; 5.979664; 7.714460
157948126953472; 1.208375; 5.979664; 7.714460
157948160507904; 1.036092; 6.118447; 7.444071
157948177285120; 1.036092; 6.118447; 7.444071
157948177285120; 1.036092; 6.118447; 7.444071
157948177285120; 0.976272; 6.396015; 7.393822
157948194062336; 0.990629; 6.367301; 7.645068
157948194062336; 0.990629; 6.367301; 7.645068
157948210839552; 1.069592; 6.340980; 7.623533
157948210839552; 1.069592; 6.340980; 7.623533
157948227616768; 1.081556; 6.331409; 7.568498
157948244393984; 1.103091; 6.058627; 7.563713
157948261171200; 1.280160; 6.139983; 7.640283
157948277948416; 1.241875; 6.029913; 7.654640
157948311502848; 1.124627; 6.005985; 7.707282
157948328280064; 1.191626; 5.711668; 7.700103
157948328280064; 1.323231; 5.781060; 7.771888
157948345057280; 1.275374; 5.974878; 7.834101
157948361834496; 1.117448; 6.044270; 7.733603
157948378611712; 1.117448; 6.044270; 7.733603
157948395388928; 0.933201; 5.962914; 7.561319
157948412166144; 0.945165; 5.871987; 7.506285
157948412166144; 0.940379; 5.776274; 7.314859
157948428943360; 0.801596; 6.010770; 7.353144
157948445720576; 0.830309; 6.039485; 7.298109
157948462497792; 0.981057; 6.269196; 7.111469
157948479275008; 1.153340; 6.247660; 6.991828
157948496052224; 2.342573; 5.766703; 6.697511
157948512829440; 1.887937; 5.883951; 6.800402
157948529606656; 1.253839; 6.254838; 6.326623
157948546383872; 1.914258; 7.575676; 6.013163
157948563161088; 2.304288; 7.597212; 6.553941
157948579938304; 1.942972; 6.051448; 6.214160
157948613492736; 2.060220; 4.486542; 6.173482
157948647047168; 2.514857; 2.596213; 5.300102
157948680601600; 1.246661; -2.878566; 4.285545
157948680601600; 1.246661; -2.878566; 4.285545
157948697378816; 1.110270; -5.568098; 3.165704
157948747710464; -2.397608; -11.911471; -0.952343
157948764487680; -2.397608; -11.911471; -0.952343
157948764487680; -2.512464; -11.643475; -1.423729
157948781264896; -2.100898; -11.248659; -2.763710
157948814819328; -3.608377; -11.076376; -3.955336
157948831596544; -4.441079; -11.736795; -4.017549
157948848373760; -4.220939; -11.504691; -3.768696
157948865150976; -4.249653; -11.105090; -3.122633
157948881928192; -4.204189; -10.851451; -2.763710
