time; x; y; z
158238372790272; 0.039218; -0.008491; -0.051618
158238389567488; 0.017837; 0.013500; -0.054062
158238389567488; 0.012339; 0.024496; -0.058948
158238406344704; 0.007453; 0.029993; -0.043677
158238423121920; 0.006842; 0.040378; -0.015577
158238439899136; 0.012950; 0.058093; 0.017410
158238439899136; 0.003176; 0.070311; 0.036346
158238456676352; 0.008674; 0.075808; 0.058949
158238473453568; 0.092974; 0.068478; 0.057727
158238490230784; 0.089919; 0.066035; 0.030849
158238490230784; 0.073426; 0.056261; 0.013134
158238507008000; 0.051435; 0.048319; -0.000305
158238523785216; 0.034941; 0.025717; -0.027794
158238523785216; 0.056933; 0.008613; -0.044288
158238540562432; 0.058765; -0.005437; -0.057116
158238574116864; 0.000733; -0.009713; -0.051007
158238574116864; 0.031276; 0.010446; -0.056505
158238590894080; 0.044715; 0.018387; -0.065668
158238607671296; 0.044104; 0.035491; -0.029627
158238607671296; 0.044104; 0.035491; -0.029627
158238624448512; 0.004398; 0.053817; -0.018631
158238641225728; -0.031032; 0.060537; -0.027794
158238641225728; -0.151983; 0.053817; -0.075442
158238658002944; -0.151983; 0.053817; -0.075442
158238658002944; -0.222844; 0.039767; -0.100487
158238674780160; -0.301645; 0.022663; -0.136528
158238691557376; -0.665110; -0.092790; -0.324675
158238708334592; -0.665110; -0.092790; -0.324675
158238708334592; -1.138531; -0.208244; -0.548862
158238725111808; -1.138531; -0.208244; -0.548862
158238741889024; -1.471452; -0.286435; -0.734565
158238741889024; -1.825143; -0.309648; -0.918436
158238741889024; -2.095756; -0.266276; -0.919047
158238758666240; -2.145847; 0.406286; -0.035736
158238792220672; -2.600942; -0.039034; -0.911716
158238808997888; -4.167811; -0.390282; -1.102306
158238825775104; -5.546534; -0.376843; -1.426065
158238876106752; -8.139047; -0.102564; -1.975844
158238892883968; -8.842153; 0.303661; -2.309987
158238909661184; -9.675373; 1.221181; -1.955074
158238959992832; -9.649106; 1.425210; -0.960586
158239027101696; -8.838488; 1.497292; 0.350331
158239060656128; -6.669915; 1.420323; 0.819476
158239094210560; -3.703554; 1.259054; 0.400422
158239110987776; -2.795197; 1.177198; 0.338114
158239144542208; -2.378587; 1.021428; 0.539089
158239161319424; -2.238088; 0.987219; 0.630718
158239161319424; -2.008403; 0.946902; 0.670425
158239178096640; -1.122648; 0.835725; 0.578184
158239194873856; -0.637621; 0.791742; 0.496939
158239228428288; 0.158336; 0.585881; 0.333227
158239278759936; 0.220034; 0.089858; 0.217773
158239278759936; 0.220034; 0.089858; 0.217773
158239312314368; 0.711169; -0.055528; -0.055283
