time; x; y; z
157948210839552; -0.090897; 0.009835; 0.044288
157948227616768; -0.109834; 0.012278; 0.005192
157948227616768; -0.115942; 0.009835; -0.016799
157948244393984; -0.073182; -0.012767; -0.051618
157948277948416; -0.088453; 0.001283; -0.082161
157948294725632; -0.114110; 0.029993; -0.137139
157948311502848; -0.116553; 0.039767; -0.199447
157948328280064; -0.101892; 0.039156; -0.215330
157948345057280; -0.097005; 0.074587; -0.235489
157948361834496; -0.140377; 0.102686; -0.236099
157948378611712; -0.262550; 0.146058; -0.225715
157948378611712; -0.329134; 0.164995; -0.214108
157948395388928; -0.420153; 0.177212; -0.223271
157948412166144; -0.441533; 0.175990; -0.228158
157948428943360; -0.469022; 0.172325; -0.234267
157948445720576; -0.540494; 0.164995; -0.237932
157948462497792; -0.665110; 0.128954; -0.284358
157948479275008; -0.883189; 0.089247; -0.373544
157948496052224; -1.052399; 0.141782; -0.148746
157948512829440; -1.089051; 0.238909; -0.185398
157948512829440; -1.226495; 0.256014; -0.452346
157948529606656; -1.717020; 0.121623; -0.797485
157948563161088; -2.895379; 0.108184; -1.016785
157948579938304; -4.406660; 0.246851; -1.342987
157948596715520; -5.902058; 0.345811; -1.841453
157948630269952; -7.090802; 0.535790; -2.259285
157948663824384; -9.258762; 1.237063; -1.954463
157948680601600; -9.759672; 1.329915; -1.780367
157948697378816; -10.488435; 1.474079; -1.470658
157948714156032; -10.739500; 1.643289; -1.006400
157948747710464; -8.553213; 1.883359; -0.024740
157948764487680; -8.553213; 1.883359; -0.024740
157948781264896; -7.447547; 1.656728; 0.485332
157948798042112; -7.049873; 1.619465; 0.642325
157948814819328; -6.018122; 1.335413; 0.698524
157948848373760; -4.305256; 0.998215; 0.532980
157948865150976; -2.888659; 0.858327; 0.467617
157948881928192; -2.302840; 0.790521; 0.403477
157948915482624; -1.591182; 0.612148; 0.241597
157948949037056; -1.847745; 0.265177; 0.039401
157948965814272; -2.138517; 0.249294; 0.057727
157948982591488; -2.297342; 0.285335; 0.046731
157948999368704; -2.297342; 0.285335; 0.046731
157949016145920; -2.195938; 0.582826; 0.024740
157949049700352; -2.080485; 0.782579; -0.021075
157949066477568; -1.954036; 0.993328; 0.053451
157949083254784; -1.590571; 1.256611; 0.232434
157949116809216; -1.193509; 1.516229; 0.369268
157949133586432; -1.476339; 1.989649; 0.708298
157949150363648; -1.476339; 1.989649; 0.708298
157949167140864; -1.571634; 2.240715; 0.816421
157949167140864; -1.337062; 2.333566; 0.864680
157949183918080; -1.337062; 2.333566; 0.864680
157949200695296; -1.296745; 2.326847; 0.919658
157949200695296; -1.296745; 2.326847; 0.919658
157949217472512; -1.399981; 2.341507; 1.021672
157949234249728; -1.775052; 2.431305; 1.233642
157949234249728; -1.775052; 2.431305; 1.233642
157949251026944; -1.960144; 2.451463; 1.486541
157949251026944; -1.960144; 2.451463; 1.486541
157949267804160; -1.960144; 2.451463; 1.486541
157949267804160; -1.437855; 2.309132; 1.829236
157949284581376; -1.437855; 2.309132; 1.829236
157949284581376; -0.966267; 2.187569; 2.193312
157949301358592; -0.966267; 2.187569; 2.193312
157949301358592; -0.966267; 2.187569; 2.193312
157949301358592; -0.889908; 2.179628; 2.422386
157949318135808; -0.889908; 2.179628; 2.422386
157949318135808; -0.889908; 2.179628; 2.422386
157949334913024; -0.395719; 1.942002; 2.765692
157949334913024; -0.395719; 1.942002; 2.765692
157949351690240; 0.542571; 1.682995; 3.064405
157949351690240; 0.542571; 1.682995; 3.064405
157949368467456; 1.293935; 1.397110; 3.358232
157949385244672; 1.293935; 1.397110; 3.358232
157949385244672; 1.500407; 0.985387; 3.660610
157949402021888; 1.500407; 0.985387; 3.660610
157949402021888; 2.086838; 0.436830; 3.986812
157949402021888; 2.086838; 0.436830; 3.986812
157949418799104; 2.086838; 0.436830; 3.986812
157949435576320; 3.023905; -0.129442; 4.308127
157949435576320; 3.023905; -0.129442; 4.308127
157949452353536; 4.574281; -0.883250; 4.900666
157949469130752; 4.574281; -0.883250; 4.900666
157949485907968; 5.011050; -1.196624; 5.173723
157949485907968; 5.011050; -1.196624; 5.173723
157949502685184; 5.361076; -1.497170; 5.298339
157949502685184; 5.361076; -1.497170; 5.298339
157949519462400; 5.274944; -1.703031; 5.336824
157949536239616; 5.274944; -1.703031; 5.336824
157949536239616; 4.526023; -1.798937; 5.350263
157949553016832; 3.432574; -1.978531; 5.295896
157949586571264; 2.197405; -1.972423; 4.727180
157949620125696; 1.209635; -1.939436; 4.268421
157949636902912; 1.209635; -1.939436; 4.268421
157949653680128; -1.066449; -2.235095; 3.164587
157949687234560; -0.457416; -2.572903; 1.912314
157949720788992; -0.410379; -2.798923; 1.169502
157949754343424; -2.280238; -2.968744; -0.487776
157949787897856; -1.571023; -3.257683; -1.777312
157949804675072; -1.195952; -3.373748; -2.149329
157949855006720; -1.187400; -3.429947; -2.528677
157949871783936; -0.939389; -3.355422; -2.477364
157949905338368; -0.971764; -3.209425; -2.035098
157949922115584; -0.861809; -3.184380; -1.777312
157949938892800; -1.117761; -3.117795; -1.557401
157949955670016; -1.117761; -3.117795; -1.557401
157949955670016; -1.815369; -3.008450; -1.324050
157949989224448; -2.418293; -2.979740; -1.163393
157950006001664; -2.908207; -2.933925; -1.155452
157950006001664; -2.908207; -2.933925; -1.155452
157950022778880; -3.331537; -2.776321; -1.214706
157950039556096; -2.831849; -2.783652; -1.349707
157950056333312; -2.831849; -2.783652; -1.349707
157950073110528; -1.111042; -3.162388; -1.336879
157950089887744; -1.111042; -3.162388; -1.336879
157950089887744; -1.401203; -3.281507; -1.208597
157950106664960; -1.401203; -3.281507; -1.208597
157950123442176; -1.133644; -3.412232; -1.120632
157950140219392; -0.583865; -3.177049; -0.911716
157950156996608; -0.817216; -2.992568; -0.678977
157950156996608; -0.817216; -2.992568; -0.678977
157950173773824; -1.214889; -3.115352; -0.489608
157950190551040; -0.963823; -3.322435; -0.366825
157950207328256; -0.963823; -3.322435; -0.366825
157950224105472; -0.536218; -3.236303; -0.241597
157950240882688; -0.650449; -3.129402; -0.105985
157950257659904; -1.117761; -3.024333; 0.079718
157950257659904; -1.117761; -3.024333; 0.079718
157950274437120; -1.117761; -3.024333; 0.079718
157950291214336; -1.282084; -2.969966; 0.127976
157950307991552; -1.282084; -2.969966; 0.127976
157950324768768; -1.245432; -2.901549; 0.089492
157950358323200; -1.326066; -3.042048; 0.041233
157950375100416; -1.326066; -3.042048; 0.041233
157950391877632; -1.151970; -2.834965; 0.338114
157950408654848; 0.394741; -2.412246; 0.850630
157950442209280; 0.709337; -1.546650; 1.610546
157950475763712; 0.334876; -1.248547; 2.028989
157950526095360; 2.088060; -0.105619; 3.117551
157950542872576; 2.096612; 0.113682; 3.295923
157950559649792; 2.096612; 0.113682; 3.295923
157950559649792; 1.802175; 0.408119; 3.413210
157950576427008; 2.197405; 0.752647; 3.474296
157950593204224; 2.197405; 0.752647; 3.474296
157950609981440; 3.046507; 1.318308; 3.290426
157950626758656; 3.046507; 1.318308; 3.290426
157950643535872; 3.053227; 1.633515; 3.006984
157950660313088; 2.709310; 2.086166; 2.584265
157950677090304; 2.235278; 2.405037; 2.088243
157950693867520; 2.235278; 2.405037; 2.088243
157950710644736; 1.979326; 2.569360; 1.732719
157950710644736; 1.979326; 2.569360; 1.732719
157950727421952; 1.931067; 2.578523; 1.512197
157950727421952; 2.264600; 2.660379; 1.186606
157950744199168; 2.264600; 2.660379; 1.186606
157950760976384; 2.419149; 2.773389; 0.883006
157950760976384; 2.419149; 2.773389; 0.883006
157950777753600; 1.997041; 2.827756; 0.571464
157950777753600; 1.997041; 2.827756; 0.571464
157950794530816; 1.500407; 2.884567; 0.268475
157950794530816; 1.500407; 2.884567; 0.268475
157950811308032; 1.077688; 2.930992; 0.009468
157950828085248; 0.526688; 2.971920; -0.303295
157950844862464; 0.526688; 2.971920; -0.303295
157950861639680; 0.133291; 2.948708; -0.711353
157950878416896; -0.230785; 2.879680; -1.037555
157950895194112; -0.575313; 2.916943; -1.323440
157950895194112; -0.374949; 2.914499; -1.606270
157950911971328; -0.374949; 2.914499; -1.606270
157950928748544; 0.082589; 2.854634; -1.818240
157950945525760; 0.011118; 2.951762; -2.034487
157950979080192; -0.426873; 3.084320; -2.340530
157951012634624; -0.527054; 3.163732; -2.300824
157951029411840; -1.155024; 3.232149; -2.247068
157951046189056; -0.775066; 3.264525; -2.111456
157951079743488; -0.520335; 3.184502; -2.116954
157951096520704; -0.931447; 3.147850; -1.951409
157951113297920; -1.243600; 3.248642; -1.842064
157951130075136; -1.432968; 3.342105; -1.607492
157951146852352; -1.994353; 3.420295; -1.283733
157951180406784; -2.473271; 3.546134; -0.987464
157951197184000; -2.478769; 3.489323; -0.764498
157951230738432; -2.102476; 3.317670; -0.702190
157951247515648; -2.226482; 2.942599; -0.385761
157951247515648; -2.226482; 2.942599; -0.385761
157951264292864; -2.371867; 2.635945; 0.030849
157951281070080; -2.371867; 2.635945; 0.030849
157951281070080; -1.423805; 2.313408; 0.607506
157951297847296; -1.423805; 2.313408; 0.607506
157951297847296; -1.423805; 2.313408; 0.607506
157951297847296; -0.459859; 2.051347; 1.214706
157951314624512; -0.459859; 2.051347; 1.214706
157951331401728; 0.171775; 1.764240; 1.718058
157951348178944; 1.320202; 1.405051; 2.216525
157951364956160; 2.174192; 0.918192; 2.617863
157951381733376; 2.174192; 0.918192; 2.617863
157951398510592; 2.694649; 0.459432; 3.091284
157951398510592; 3.566354; -0.052473; 3.441920
157951415287808; 3.566354; -0.052473; 3.441920
157951432065024; 4.422176; -0.463586; 3.825544
157951448842240; 4.364143; -0.706710; 3.973373
157951465619456; 4.115521; -1.054292; 4.143804
157951482396672; 3.608503; -1.410427; 4.302629
157951515951104; 3.296351; -1.569252; 4.310570
157951515951104; 3.207776; -1.629116; 4.138306
157951532728320; 2.780170; -1.677375; 3.983758
157951549505536; 2.634173; -1.741516; 3.838983
157951583059968; 2.114938; -2.009075; 3.640451
157951599837184; 0.779586; -2.115976; 3.323412
157951616614400; -0.541104; -2.069551; 2.831055
157951633391616; -0.541104; -2.069551; 2.831055
157951633391616; -1.044457; -2.100705; 2.401006
157951666946048; -0.257052; -2.262584; 2.043650
157951666946048; 1.133277; -2.411635; 1.767539
157951683723264; 1.133277; -2.411635; 1.767539
157951700500480; 1.394117; -2.571071; 1.570840
157951700500480; -0.152594; -2.607112; 1.273960
157951717277696; -0.152594; -2.607112; 1.273960
157951734054912; -2.155621; -2.509373; 0.763276
157951750832128; -2.634540; -2.588175; 0.242819
157951767609344; -2.634540; -2.588175; 0.242819
157951784386560; -1.654712; -2.672474; 0.033903
157951784386560; -0.866696; -2.816639; -0.253814
157951801163776; -1.125703; -2.892997; -0.639270
157951817940992; -1.689531; -3.038383; -0.991129
157951868272640; -1.673649; -3.527075; -1.436450
157951868272640; -1.673649; -3.527075; -1.436450
157951885049856; -1.632110; -3.724384; -1.584890
157951901827072; -2.244807; -3.691398; -1.565342
157951918604288; -2.244807; -3.691398; -1.565342
157951918604288; -3.117734; -3.644361; -1.622764
157951935381504; -3.954619; -3.487369; -1.703398
157951952158720; -3.954619; -3.487369; -1.703398
157951968935936; -4.537996; -3.315716; -1.869553
157951985713152; -4.512950; -3.217366; -1.990505
157952002490368; -3.965004; -3.197819; -2.079691
157952002490368; -3.965004; -3.197819; -2.079691
157952019267584; -3.197146; -3.172162; -2.197588
157952036044800; -2.806803; -3.138565; -2.252566
157952036044800; -2.806803; -3.138565; -2.252566
157952052822016; -2.475104; -3.196597; -2.294715
157952069599232; -1.210613; -3.241190; -2.248290
157952086376448; -0.520946; -3.265625; -2.022880
157952103153664; -0.943665; -3.276009; -1.693624
157952136708096; -0.812329; -3.178271; -1.261131
157952153485312; -0.167866; -2.998677; -0.775493
157952170262528; -0.137933; -2.773267; -0.289245
157952187039744; -0.368840; -2.574125; 0.165239
157952203816960; -0.431760; -2.287629; 0.622166
157952237371392; 0.510195; -2.032288; 1.032668
157952237371392; 1.447262; -1.648664; 1.491428
157952270925824; 1.681834; -1.110492; 2.002722
157952304480256; 1.374569; -0.472138; 2.321593
157952338034688; 1.182146; -0.140438; 2.631302
157952371589120; 1.268278; 0.299385; 2.848770
157952405143552; 2.235889; 0.816788; 3.163976
157952405143552; 2.235889; 0.816788; 3.163976
157952438697984; 2.870578; 1.832657; 2.793181
157952438697984; 2.741685; 2.027523; 2.369241
157952455475200; 2.440529; 2.402594; 2.037541
157952472252416; 2.073399; 2.669542; 1.675298
157952505806848; 2.009258; 2.695809; 1.247081
157952522584064; 1.916406; 2.687868; 0.897056
157952522584064; 1.916406; 2.687868; 0.897056
157952539361280; 1.452760; 2.800267; 0.656375
157952539361280; 1.452760; 2.800267; 0.656375
157952556138496; 0.782030; 2.934047; 0.554971
157952572915712; 0.483317; 2.938323; 0.498161
157952589692928; 0.328157; 2.978640; 0.436463
157952606470144; 0.177884; 3.052555; 0.263588
157952623247360; 0.149173; 3.040337; -0.065057
157952656801792; 0.023335; 2.998799; -0.226936
157952673579008; -0.026756; 3.089206; -0.528093
157952690356224; -0.140377; 3.188778; -0.802982
157952707133440; -0.221011; 3.268190; -1.053437
157952723910656; -0.285763; 3.233982; -1.254412
157952740687872; -0.297369; 3.270633; -1.469436
157952757465088; -0.348682; 3.362263; -1.686904
157952791019520; -0.958936; 3.479549; -1.793806
157952807796736; -1.832474; 3.546745; -1.756543
157952824573952; -1.817813; 3.539414; -1.625818
157952841351168; -0.910067; 3.505817; -1.569007
157952858128384; -0.437257; 3.458169; -1.611157
157952874905600; -1.075001; 3.307286; -1.642311
157952891682816; -2.014511; 3.204660; -1.528079
157952925237248; -1.934488; 3.144184; -1.367422
157952942014464; -1.623558; 3.120971; -1.200656
157952958791680; -1.925325; 3.099591; -1.058935
157952975568896; -2.249694; 3.180836; -0.867734
157952992346112; -2.098200; 3.166176; -0.561691
157953009123328; -1.966864; 3.095926; -0.160352
157953042677760; -1.806817; 2.816761; 0.291688
157953059454976; -1.035294; 2.419698; 0.811534
157953076232192; 0.120463; 2.091053; 1.308168
157953093009408; 0.698341; 1.662225; 1.782810
157953109786624; 1.329976; 1.153375; 2.233629
157953126563840; 2.636617; 0.615813; 2.719267
157953143341056; 3.673866; 0.084971; 3.093116
157953160118272; 4.488760; -0.367680; 3.359453
157953193672704; 4.420954; -0.760466; 3.501785
157953210449920; 4.398963; -0.992595; 3.683212
157953227227136; 4.050770; -1.153252; 3.788281
157953244004352; 4.321383; -1.439748; 4.038735
157953260781568; 4.303668; -1.676764; 4.104709
157953277558784; 3.513208; -1.618732; 3.851811
157953294336000; 2.427701; -1.591854; 3.515224
157953327890432; 1.874257; -1.756176; 3.258661
157953344667648; 1.557218; -1.861856; 3.058297
157953361444864; 0.860831; -1.878960; 2.773634
157953378222080; 0.543792; -1.987084; 2.442545
157953394999296; 0.999498; -2.026179; 2.196977
157953411776512; 1.576154; -2.054279; 1.931250
157953428553728; 1.393506; -2.238149; 1.748602
157953462108160; 0.367252; -2.363377; 1.622764
157953478885376; -1.113485; -2.324281; 1.280068
157953495662592; -1.994964; -2.381703; 0.787100
157953512439808; -2.115915; -2.500821; 0.375377
157953529217024; -2.334605; -2.687135; -0.141415
157953545994240; -2.686463; -2.994401; -0.603229
157953562771456; -2.525195; -3.045713; -0.924545
157953596325888; -2.087815; -3.088474; -1.184162
157953613103104; -2.035892; -3.279064; -1.413237
157953629880320; -2.245418; -3.523410; -1.686904
157953646657536; -2.301007; -3.670017; -1.879938
157953663434752; -2.556960; -3.693841; -1.875051
157953680211968; -3.176988; -3.563727; -1.888490
157953696989184; -3.794573; -3.465988; -1.966070
157953730543616; -3.470814; -3.472708; -2.090075
157953747320832; -3.322374; -3.390241; -2.173153
157953764098048; -3.953398; -3.189266; -2.261118
157953780875264; -3.790297; -2.963857; -2.412001
157953797652480; -2.629042; -2.913155; -2.568383
