time; hr
158065986895872; 0.000000
158076371992576; 69.000000
158078251040768; 68.000000
158080247529472; 72.000000
158080247529472; 72.000000
158082344681472; 75.000000
158082344681472; 75.000000
158084257284096; 80.000000
158084274061312; 80.000000
158086253772800; 82.000000
158086270550016; 82.000000
158088283815936; 85.000000
158088300593152; 85.000000
158090280304640; 88.000000
158090280304640; 88.000000
158092276793344; 91.000000
158092276793344; 91.000000
158094290059264; 95.000000
158094290059264; 95.000000
158096286547968; 97.000000
158098283036672; 98.000000
158100296302592; 99.000000
158102292791296; 100.000000
158104306057216; 101.000000
158106302545920; 102.000000
158106302545920; 102.000000
158108299034624; 103.000000
158110329077760; 103.000000
