time; x; y; z
136948152795136; 0.729811; -8.298309; 5.816952
136948194738176; 0.765703; -8.396415; 5.855237
136948194738176; 0.765703; -8.396415; 5.855237
136948219904000; 0.741775; -8.154739; 5.369494
136948228292608; 0.734597; -8.279166; 5.352744
136948228292608; 0.734597; -8.279166; 5.352744
136948236681216; 0.734597; -8.279166; 5.352744
136948245069824; 0.672383; -8.432307; 5.304888
136948253458432; 0.672383; -8.432307; 5.304888
136948270235648; 0.600598; -8.271988; 5.259424
136948270235648; 0.600598; -8.271988; 5.259424
136948287012864; 0.600598; -8.283952; 5.304888
136948303790080; 0.533599; -8.262417; 5.331209
136948320567296; 0.595813; -8.279166; 5.278567
136948337344512; 0.600598; -8.176275; 5.371887
136948354121728; 0.650848; -8.142776; 5.443672
136948387676160; 0.758525; -8.145168; 5.608776
136948396064768; 0.746561; -8.255239; 5.659026
136948404453376; 0.746561; -8.255239; 5.659026
136948421230592; 0.734597; -7.862815; 5.960521
136948429619200; 0.859023; -7.793423; 6.003592
136948438007808; 0.859023; -7.731210; 5.982057
136948446396416; 0.859023; -7.731210; 5.982057
136948454785024; 0.827917; -7.786245; 5.924629
136948463173632; 0.753739; -7.719246; 5.996414
136948463173632; 0.753739; -7.719246; 5.996414
136948471562240; 0.808774; -7.735996; 6.046663
136948479950848; 0.792024; -7.625926; 6.113662
136948505116672; 0.839881; -7.484749; 6.197411
136948513505280; 0.870987; -7.324430; 6.362515
136948547059712; 0.935594; -7.106683; 6.546763
136948563836928; 0.890130; -7.077970; 6.582655
136948580614144; 0.914058; -7.113862; 6.594619
136948614168576; 0.918844; -7.168897; 6.656833
136948647723008; 0.744168; -7.207182; 6.673583
136948689666048; 0.684347; -6.994221; 6.793223
136948731609088; 0.679562; -6.838687; 6.900900
136948739997696; 0.710668; -6.872187; 6.929615
136948765163520; 0.708275; -6.910472; 6.994221
136948781940736; 0.677169; -6.843473; 7.015756
136948832272384; 0.818345; -6.929615; 6.939186
136948840660992; 0.806381; -6.807580; 6.951150
136948865826816; 0.887737; -6.551548; 7.092326
136948882604032; 0.844666; -6.518049; 7.094719
136948899381248; 0.937986; -6.563512; 7.003792
136948924547072; 0.892523; -6.608976; 6.939186
136948941324288; 0.854238; -6.570691; 6.900900
136948949712896; 0.851845; -6.489335; 6.946364
136948991655936; 1.203590; -6.228518; 7.097112
136949000044544; 1.256232; -6.187840; 7.089933
136949008433152; 1.335195; -6.154340; 6.982256
136949025210368; 1.383052; -6.166304; 7.051648
136949033598976; 1.698904; -6.075377; 7.066005
136949041987584; 2.778067; -5.560920; 7.149754
136949058764800; 3.598805; -5.180461; 7.070791
136949067153408; 4.278367; -4.785645; 6.675975
136949083930624; 4.972285; -4.015156; 5.446064
136949092319232; 5.115855; -3.902694; 4.778467
136949109096448; 4.919643; -3.806981; 3.720839
136949117485056; 4.919643; -3.806981; 3.720839
136949125873664; 4.680361; -3.948157; 3.227918
136949134262272; 4.472186; -4.359723; 2.804388
136949134262272; 4.472186; -4.359723; 2.804388
136949142650880; 4.326223; -4.622933; 2.612962
136949151039488; 4.252046; -4.740181; 2.100898
136949151039488; 4.252046; -4.740181; 2.100898
136949159428096; 4.177868; -5.020142; 1.670190
136949167816704; 4.177868; -5.020142; 1.670190
136949192982528; 3.751946; -6.467800; 0.564706
136949201371136; 3.421736; -7.051648; 0.344566
136949209759744; 3.225525; -7.613962; -0.021535
136949226536960; 3.079563; -8.303095; -0.543171
136949226536960; 3.053242; -8.918050; -1.050449
136949243314176; 3.146562; -9.805787; -1.844866
136949251702784; 3.574877; -12.983456; -4.845466
136949260091392; 3.787838; -14.950356; -6.151947
136949268480000; 3.787838; -14.950356; -6.151947
136949276868608; 3.876373; -16.680367; -6.666404
136949276868608; 3.876373; -16.680367; -6.666404
136949285257216; 3.653840; -17.754744; -6.692725
136949302034432; 2.055435; -16.826328; -6.089734
136949310423040; 2.055435; -16.826328; -6.089734
136949318811648; 1.071985; -15.261423; -5.436493
136949327200256; 0.433101; -13.667803; -4.756931
136949335588864; 0.117248; -12.373286; -4.266403
136949343977472; -0.055035; -11.459228; -3.883551
136949360754688; -0.136391; -10.693524; -3.558127
136949360754688; 0.004786; -10.432707; -3.376273
136949369143296; 0.081356; -10.466207; -3.541378
136949377531904; 0.107677; -10.825130; -3.890730
136949385920512; 0.055035; -11.131411; -4.048656
136949402697728; 0.031107; -11.282159; -4.098905
136949411086336; 0.014357; -11.219945; -4.063013
136949419474944; -0.045464; -11.069198; -3.967300
136949427863552; -0.050249; -10.779666; -3.976871
136949436252160; -0.066999; -10.609776; -3.909872
136949444640768; 0.021535; -10.442278; -3.871587
136949461417984; 0.184247; -10.277173; -3.747160
136949469806592; 0.380459; -10.222138; -3.646662
136949486583808; 0.847059; -9.879965; -3.495914
