time; x; y; z
136738160771072; -0.005986; -0.010934; 0.003360
136738169159680; -0.004765; -0.016432; -0.001527
136738185936896; -0.010263; -0.017654; 0.002749
136738194325504; -0.024312; -0.016432; -0.002749
136738211102720; -0.012706; -0.012156; 0.007025
136738219491328; 0.002566; -0.010934; 0.006414
136738244657152; 0.011118; -0.001772; 0.002138
136738253045760; 0.012339; 0.003726; 0.002749
136738269822976; -0.005986; 0.003726; 0.010690
136738286600192; -0.013317; 0.005559; 0.019242
136738311766016; -0.008430; 0.004337; 0.021686
136738353709056; -0.012095; 0.000672; 0.014966
136738378874880; -0.010263; 0.001283; 0.018021
136738387263488; -0.012095; -0.002382; 0.018631
136738429206528; 0.019670; 0.001894; 0.006414
136738454372352; 0.002566; -0.006658; 0.016799
136738479538176; 0.019059; -0.004215; 0.011301
136738513092608; 0.008674; -0.002993; 0.002138
136738529869824; 0.006231; -0.002382; 0.008858
136738571812864; -0.002321; 0.004337; 0.010079
136738588590080; -0.004154; 0.006170; 0.011301
136738596978688; -0.000489; 0.005559; 0.010079
136738613755904; 0.008674; 0.006781; 0.002138
136738630533120; 0.008674; 0.009224; -0.002138
136738638921728; 0.011118; 0.005559; -0.000305
136738655698944; -0.016371; 0.001894; 0.002749
136738680864768; -0.027978; 0.006781; 0.005803
136738680864768; -0.026145; 0.007391; 0.003971
136738697641984; -0.015760; 0.005559; 0.003971
136738697641984; -0.015760; 0.005559; 0.003971
136738706030592; -0.009041; 0.009835; 0.007025
136738714419200; 0.001344; 0.012889; 0.003971
136738722807808; 0.003176; 0.020831; 0.011301
136738739585024; -0.005986; 0.026939; 0.008858
136738756362240; -0.007819; 0.024496; 0.012523
136738764750848; 0.004398; 0.027550; 0.014355
136738781528064; 0.008674; 0.033659; 0.018021
136738781528064; 0.008674; 0.033659; 0.018021
136738798305280; 0.009285; 0.035491; 0.014966
136738806693888; 0.014783; 0.036713; 0.016799
136738815082496; 0.012950; 0.037324; 0.014966
136738831859712; 0.016616; 0.034270; 0.016799
136738848636928; -0.007208; 0.032437; 0.014966
136738865414144; -0.004765; 0.040378; 0.016799
136738873802752; 0.005009; 0.034270; 0.011301
136738882191360; 0.017226; 0.051985; 0.007025
136738890579968; 0.017226; 0.051985; 0.007025
136738898968576; 0.035552; 0.067256; -0.011912
136738915745792; 0.030665; 0.073365; -0.024740
136738924134400; 0.017226; 0.084971; -0.043066
136738924134400; 0.017226; 0.084971; -0.043066
136738932523008; -0.013317; 0.095967; -0.057727
136738940911616; -0.068295; 0.105741; -0.064446
136738949300224; -0.068295; 0.105741; -0.064446
136738957688832; -0.106779; 0.105130; -0.077274
136738974466048; -0.079290; 0.127121; -0.103542
136738982854656; -0.030421; 0.138117; -0.115148
136738991243264; 0.009285; 0.146058; -0.122478
136738999631872; 0.009285; 0.146058; -0.122478
136739008020480; 0.033720; 0.149723; -0.116981
136739016409088; 0.045937; 0.157664; -0.114537
136739024797696; 0.055711; 0.169271; -0.110872
136739033186304; 0.048991; 0.179655; -0.108429
136739033186304; 0.048991; 0.179655; -0.108429
136739041574912; 0.022724; 0.186986; -0.112705
136739049963520; -0.002321; 0.196760; -0.104153
136739075129344; 0.029444; 0.219362; -0.075442
136739091906560; 0.187047; 0.266398; -0.049786
136739100295168; 0.289061; 0.301829; -0.044288
136739108683776; 0.389854; 0.346422; -0.034514
136739117072384; 0.483927; 0.395902; -0.018021
136739125460992; 0.550512; 0.461264; 0.019242
136739133849600; 0.550512; 0.461264; 0.019242
136739133849600; 0.573114; 0.537012; 0.071777
136739167404032; 0.474764; 0.844277; 0.300240
136739192569856; 0.736215; 1.225457; 0.446237
136739200958464; 0.736215; 1.225457; 0.446237
136739209347072; 0.879768; 1.432540; 0.494495
136739226124288; 0.753930; 1.653062; 0.603840
136739242901504; 0.660468; 1.768516; 0.678977
136739259678720; 0.555399; 1.989649; 0.787711
136739268067328; 0.555399; 1.989649; 0.787711
136739276455936; 0.629313; 2.190624; 0.796874
136739293233152; 0.840673; 2.393431; 0.749226
136739310010368; 0.925583; 2.525989; 0.717461
136739326787584; 1.030041; 2.803932; 0.606895
136739343564800; 1.048367; 2.912056; 0.530536
136739351953408; 1.045923; 3.059885; 0.373544
136739368730624; 0.976285; 3.111809; 0.270308
136739393896448; 0.736826; 3.221764; -0.113315
136739402285056; 0.752097; 3.233982; -0.257480
136739410673664; 0.766147; 3.222375; -0.414472
136739444228096; 0.227364; 2.973753; -1.088256
136739494559744; -0.852646; 2.392209; -2.136501
136739502948352; -0.786672; 2.344562; -2.362521
136739528114176; -0.211848; 2.343951; -3.113275
